Date,Open,High,Low,Close,Volume,Adj Close
2016-01-22,19.370001,19.450001,19.190001,19.379999,16400,19.379999
2016-01-21,19.33,19.40,19.139999,19.190001,16700,19.190001
2016-01-20,19.07,19.49,18.879999,19.32,96600,19.32
2016-01-19,19.33,19.540001,19.09,19.200001,61200,19.200001
2016-01-15,19.040001,19.299999,18.950001,19.200001,96400,19.200001
2016-01-14,19.450001,19.67,19.389999,19.43,23000,19.43
2016-01-13,20.00,20.00,19.299999,19.450001,30100,19.450001
2016-01-12,19.940001,19.98,19.75,19.969999,43200,19.969999
2016-01-11,19.93,19.98,19.66,19.809999,185000,19.809999
2016-01-08,20.040001,20.26,19.84,19.860001,28300,19.860001
2016-01-07,19.82,20.10,19.82,19.940001,37700,19.940001
2016-01-06,19.950001,20.27,19.950001,20.030001,34600,20.030001
2016-01-05,20.110001,20.24,19.950001,20.049999,38700,20.049999
2016-01-04,20.07,20.76,19.940001,20.09,43900,20.09
2015-12-31,20.530001,20.60,20.290001,20.290001,22800,20.290001
2015-12-30,20.59,20.690001,20.51,20.549999,14600,20.549999
2015-12-29,20.49,20.60,20.43,20.59,12600,20.59
2015-12-28,20.309999,20.450001,20.139999,20.42,10300,20.42
2015-12-24,20.389999,20.50,20.200001,20.379999,10200,20.379999
2015-12-23,20.299999,20.450001,20.280001,20.34,21300,20.34
2015-12-22,20.469999,20.469999,20.110001,20.200001,22700,20.200001
2015-12-21,20.23,20.469999,20.040001,20.33,27200,20.33
2015-12-18,20.40,20.549999,20.059999,20.059999,81000,20.059999
2015-12-17,20.51,20.540001,20.360001,20.450001,129900,20.450001
2015-12-16,20.780001,20.780001,20.379999,20.440001,102700,20.440001
2015-12-15,19.940001,20.440001,19.90,20.33,195900,20.33
2015-12-14,19.77,19.969999,19.75,19.84,92100,19.84
2015-12-11,19.67,20.00,19.67,19.799999,234200,19.799999
2015-12-10,19.76,20.00,19.690001,19.98,126900,19.98
2015-12-09,19.049999,19.879999,19.049999,19.74,535300,19.74
2015-12-08,18.41,18.51,18.309999,18.459999,9000,18.459999
2015-12-07,18.610001,18.65,18.27,18.379999,18000,18.379999
2015-12-04,18.43,18.60,18.290001,18.57,18100,18.57
2015-12-03,18.40,18.60,18.389999,18.41,13300,18.41
2015-12-02,18.280001,18.50,18.23,18.469999,14500,18.469999
2015-12-01,18.27,18.40,18.16,18.389999,22600,18.389999
2015-11-30,18.309999,18.309999,18.209999,18.24,20000,18.24
2015-11-27,18.129999,18.200001,17.99,18.200001,12300,18.200001
2015-11-25,18.129999,18.27,18.040001,18.16,8500,18.16
2015-11-24,18.059999,18.10,17.98,18.07,10100,18.07
2015-11-23,18.00,18.040001,17.940001,18.02,23600,18.02
2015-11-20,17.77,18.030001,17.719999,18.00,79400,18.00
