Date,Open,High,Low,Close,Volume,Adj Close
2016-01-22,31.49,31.700001,30.809999,31.50,28500,31.50
2016-01-21,31.52,31.73,31.27,31.309999,45000,31.309999
2016-01-20,31.16,32.00,30.790001,31.52,56700,31.52
2016-01-19,31.68,31.950001,31.51,31.639999,25400,31.639999
2016-01-15,31.370001,31.950001,30.90,31.389999,41400,31.389999
2016-01-14,32.02,32.27,31.65,32.099998,44300,32.099998
2016-01-13,32.200001,32.389999,31.190001,31.65,31300,31.65
2016-01-12,32.099998,32.349998,32.009998,32.200001,50200,32.200001
2016-01-11,32.299999,32.299999,31.85,32.02,58900,32.02
2016-01-08,32.02,33.400002,31.76,32.349998,43300,32.349998
2016-01-07,32.080002,32.619999,31.75,31.860001,34500,31.860001
2016-01-06,31.709999,32.689999,31.709999,32.59,29300,32.59
2016-01-05,32.009998,32.759998,31.99,32.259998,21000,32.259998
2016-01-04,32.799999,32.810001,31.32,32.029999,43100,32.029999
2015-12-31,33.93,34.110001,33.150002,33.32,27300,33.32
2015-12-30,34.299999,34.650002,33.880001,33.93,27300,33.93
2015-12-29,33.459999,34.439999,33.16,34.41,47600,34.41
2015-12-28,33.139999,33.360001,32.990002,33.330002,12600,33.330002
2015-12-24,33.389999,33.50,33.07,33.360001,10300,33.360001
2015-12-23,33.240002,33.360001,32.970001,33.360001,10800,33.360001
2015-12-22,33.389999,33.389999,32.48,33.240002,20400,33.240002
2015-12-21,32.849998,33.369999,32.43,33.299999,30400,33.299999
2015-12-18,32.990002,33.060001,32.50,32.630001,67700,32.630001
2015-12-17,33.73,34.00,33.07,33.18,16600,33.18
2015-12-16,33.59,33.59,32.860001,33.509998,19700,33.509998
2015-12-15,32.849998,33.580002,32.849998,33.509998,20700,33.509998
2015-12-14,32.700001,32.75,32.130001,32.650002,23300,32.650002
2015-12-11,32.470001,32.939999,32.360001,32.50,29900,32.50
2015-12-10,32.630001,33.290001,32.619999,32.939999,25800,32.939999
2015-12-09,33.150002,33.599998,32.619999,32.880001,17700,32.880001
2015-12-08,33.59,33.799999,33.330002,33.549999,22600,33.549999
2015-12-07,34.110001,34.18,33.41,33.740002,20500,33.740002
2015-12-04,33.950001,34.57,33.950001,34.25,31700,34.25
2015-12-03,34.299999,34.580002,33.919998,33.98,20900,33.98
2015-12-02,34.52,34.709999,34.240002,34.290001,20700,34.290001
2015-12-01,34.77,34.849998,34.189999,34.610001,23500,34.610001
2015-11-30,34.130001,34.66,33.860001,34.48,85000,34.48
2015-11-27,33.720001,34.139999,33.599998,34.119999,8100,34.119999
2015-11-25,33.619999,33.75,33.50,33.740002,30400,33.740002
2015-11-24,33.450001,33.689999,33.43,33.630001,41800,33.630001
2015-11-23,33.619999,33.970001,33.50,33.66,30500,33.66
2015-11-20,33.549999,33.919998,33.389999,33.720001,34600,33.720001
2015-11-19,33.470001,33.470001,33.00,33.330002,19800,33.330002
2015-11-18,33.150002,33.330002,32.82,33.310001,34500,33.310001
2015-11-17,32.450001,33.509998,32.450001,33.16,40300,33.16
2015-11-16,32.360001,32.740002,31.959999,32.73,35400,32.73
2015-11-13,31.98,32.59,31.52,32.360001,30800,32.360001
2015-11-12,32.66,32.66,32.099998,32.209999,17300,32.209999
2015-11-11,33.25,33.25,32.689999,32.700001,20300,32.700001
2015-11-10,32.880001,33.279999,32.779999,33.150002,35100,33.150002
2015-11-09,32.790001,32.93,32.400002,32.849998,30900,32.849998
