Date,Open,High,Low,Close,Volume,Adj Close
2016-01-22,23.35,23.35,22.959999,23.139999,405100,23.139999
2016-01-21,23.27,23.690001,22.83,22.879999,618200,22.879999
2016-01-20,22.77,23.469999,22.42,23.18,618800,23.18
2016-01-19,23.90,23.950001,23.08,23.219999,632400,23.219999
2016-01-15,22.77,23.65,22.76,23.530001,1074700,23.530001
2016-01-14,23.290001,23.75,22.969999,23.49,848300,23.49
2016-01-13,24.27,24.469999,22.75,23.15,866500,23.15
2016-01-12,24.24,24.440001,23.799999,24.27,479400,24.27
2016-01-11,24.190001,24.35,23.959999,24.17,349000,24.17
2016-01-08,24.690001,24.690001,23.889999,23.950001,403300,23.950001
2016-01-07,25.030001,25.540001,24.690001,24.74,520800,24.44
2016-01-06,25.370001,25.940001,25.35,25.540001,379600,25.230301
2016-01-05,25.700001,26.030001,25.700001,25.879999,393500,25.566176
2016-01-04,25.940001,26.50,25.51,25.700001,534100,25.38836
2015-12-31,27.110001,27.110001,26.530001,26.530001,303600,26.208296
2015-12-30,27.280001,27.459999,27.15,27.17,270900,26.840534
2015-12-29,27.360001,27.549999,27.10,27.389999,249000,27.057866
2015-12-28,26.99,27.299999,26.85,27.190001,425000,26.860292
2015-12-24,26.98,27.379999,26.969999,27.24,295800,26.909685
2015-12-23,26.60,26.99,26.48,26.98,403300,26.652838
2015-12-22,26.540001,26.67,26.059999,26.52,324300,26.198417
2015-12-21,26.23,27.00,26.049999,26.50,700800,26.178659
2015-12-18,26.00,26.43,25.34,26.09,5547400,25.773631
2015-12-17,26.90,26.93,26.049999,26.16,902900,25.842781
2015-12-16,26.83,27.049999,25.98,26.75,838600,26.425627
2015-12-15,26.07,26.709999,26.00,26.57,834800,26.24781
2015-12-14,25.860001,26.209999,25.24,25.74,747700,25.427874
2015-12-11,26.15,26.459999,25.530001,25.76,515700,25.447632
2015-12-10,26.48,26.99,26.35,26.719999,455500,26.39599
2015-12-09,27.280001,27.540001,26.42,26.540001,624000,26.218175
2015-12-08,27.620001,27.90,27.25,27.299999,533800,26.968957
2015-12-07,28.33,28.59,27.57,27.809999,581500,27.472773
2015-12-04,27.790001,28.52,27.700001,28.41,724000,28.065498
2015-12-03,29.120001,29.120001,27.91,27.99,673600,27.462895
2015-12-02,29.67,29.709999,28.700001,28.76,318500,28.218395
2015-12-01,29.549999,29.74,29.26,29.559999,306900,29.003328
2015-11-30,29.610001,29.620001,29.280001,29.379999,252300,28.826718
2015-11-27,29.40,29.48,29.049999,29.389999,113500,28.83653
2015-11-25,29.49,29.60,29.18,29.389999,163800,28.83653
2015-11-24,28.940001,29.50,28.870001,29.450001,232400,28.895401
2015-11-23,29.040001,29.42,28.93,29.23,206400,28.679543
2015-11-20,28.879999,29.120001,28.57,29.030001,245500,28.48331
2015-11-19,28.75,29.040001,28.43,28.73,206700,28.188959
2015-11-18,28.360001,28.889999,27.549999,28.870001,406800,28.326324
2015-11-17,28.59,29.059999,28.33,28.34,412700,27.806304
2015-11-16,27.93,28.459999,27.780001,28.459999,266300,27.924043
2015-11-13,28.32,28.610001,27.91,28.01,260900,27.482518
2015-11-12,28.809999,29.17,28.00,28.540001,263700,28.002538
2015-11-11,29.73,29.90,29.07,29.120001,245000,28.571616
2015-11-10,29.290001,29.719999,29.09,29.49,236200,28.934647
2015-11-09,29.75,30.00,29.09,29.370001,263100,28.816908
2015-11-06,29.00,29.940001,28.969999,29.690001,403600,29.130881
2015-11-05,28.16,28.860001,28.139999,28.629999,258900,28.090842
2015-11-04,28.09,28.200001,27.790001,28.16,238500,27.629693
2015-11-03,27.879999,28.299999,27.719999,28.09,239300,27.561012
2015-11-02,27.379999,27.940001,27.32,27.90,446800,27.374589
2015-10-30,28.139999,28.18,27.219999,27.360001,451000,26.84476
2015-10-29,28.309999,28.440001,27.889999,28.09,402600,27.561012
2015-10-28,26.950001,28.219999,26.67,28.219999,456900,27.688563
2015-10-27,27.24,27.49,26.74,26.82,367400,26.314928
2015-10-26,27.50,27.719999,26.440001,27.48,390600,26.962499
2015-10-23,27.969999,27.969999,26.41,27.780001,413800,27.25685
2015-10-22,27.16,27.85,26.969999,27.40,270800,26.884005
2015-10-21,27.389999,27.799999,26.889999,26.90,377100,26.393421
2015-10-20,27.17,27.50,27.17,27.40,188000,26.884005
2015-10-19,26.85,27.25,26.76,27.040001,174400,26.530786
2015-10-16,27.030001,27.08,26.629999,26.91,160500,26.403233
2015-10-15,26.540001,26.92,26.25,26.92,258400,26.413045
2015-10-14,26.969999,26.969999,26.209999,26.27,395300,25.775286
2015-10-13,27.18,27.51,26.92,27.02,403200,26.511162
2015-10-12,27.059999,27.459999,26.92,27.379999,176800,26.864382
2015-10-09,27.879999,27.950001,27.10,27.15,258100,26.638713
2015-10-08,27.10,27.65,26.799999,27.65,320300,27.129297
2015-10-07,26.99,27.52,26.99,27.49,459600,26.785888
2015-10-06,26.59,26.809999,26.41,26.780001,305900,26.094075
2015-10-05,26.23,26.780001,26.23,26.68,330300,25.996636
2015-10-02,25.940001,26.049999,24.940001,26.030001,483200,25.363285
2015-10-01,26.459999,26.50,25.91,26.360001,378000,25.684832
2015-09-30,26.110001,26.50,25.889999,26.389999,535300,25.714063
2015-09-29,26.08,26.16,25.73,25.85,315900,25.187895
2015-09-28,26.290001,26.48,26.02,26.049999,476500,25.382771
2015-09-25,26.59,26.870001,26.41,26.52,347500,25.840734
2015-09-24,25.57,26.27,25.450001,26.23,322400,25.558161
2015-09-23,25.860001,26.129999,25.60,25.85,206600,25.187895
2015-09-22,25.59,25.950001,25.49,25.75,320100,25.090456
2015-09-21,25.889999,26.299999,25.65,26.00,311100,25.334052
2015-09-18,26.030001,26.059999,25.58,25.639999,778300,24.983273
2015-09-17,27.219999,27.76,26.440001,26.51,486700,25.83099
2015-09-16,27.18,27.389999,26.91,27.280001,329400,26.581268
2015-09-15,26.790001,27.290001,26.780001,27.120001,298700,26.425366
2015-09-14,26.77,27.09,26.610001,26.74,257100,26.055098
2015-09-11,26.52,26.879999,26.299999,26.780001,250800,26.094075
2015-09-10,26.309999,26.969999,26.27,26.77,345800,26.084331
2015-09-09,26.57,26.85,26.25,26.450001,412200,25.772527
2015-09-08,26.129999,26.459999,25.59,26.42,216700,25.743295
2015-09-04,25.57,25.870001,25.469999,25.629999,299600,24.973529
2015-09-03,25.700001,26.110001,25.620001,25.93,318700,25.265846
2015-09-02,25.629999,25.879999,25.290001,25.74,570900,25.080712
2015-09-01,25.42,25.809999,25.09,25.219999,747000,24.57403
2015-08-31,25.440001,26.030001,25.33,26.01,487600,25.343797
2015-08-28,25.559999,25.90,25.450001,25.66,439100,25.002761
2015-08-27,25.27,25.91,24.969999,25.629999,694100,24.973529
2015-08-26,24.940001,25.139999,24.23,25.110001,701000,24.466849
2015-08-25,25.629999,25.73,24.290001,24.33,604700,23.706827
2015-08-24,25.50,25.92,24.75,24.84,600600,24.203764
2015-08-21,26.059999,26.700001,25.85,26.43,464000,25.753039
2015-08-20,27.10,27.52,26.41,26.549999,533400,25.869964
2015-08-19,27.98,27.99,27.41,27.42,273900,26.717682
2015-08-18,28.18,28.370001,27.940001,28.049999,278900,27.331544
2015-08-17,28.040001,28.379999,27.74,28.110001,376700,27.390009
2015-08-14,27.75,28.129999,27.719999,28.120001,383700,27.399753
2015-08-13,27.67,28.030001,27.549999,27.84,371000,27.126924
2015-08-12,28.049999,28.34,27.40,27.709999,755700,27.000253
2015-08-11,28.49,28.790001,27.959999,28.32,271100,27.594629
2015-08-10,28.40,28.77,28.40,28.74,297200,28.003872
2015-08-07,28.370001,28.690001,27.799999,28.15,290800,27.428983
2015-08-06,28.690001,28.84,28.370001,28.49,261200,27.760275
2015-08-05,28.50,28.99,28.200001,28.57,196000,27.838226
2015-08-04,28.26,28.58,28.08,28.35,243200,27.623861
2015-08-03,28.030001,28.35,27.83,28.17,271000,27.448472
2015-07-31,27.99,28.110001,27.629999,28.10,459800,27.380265
2015-07-30,27.67,28.02,27.58,28.01,341200,27.29257
2015-07-29,28.030001,28.049999,27.66,27.84,422300,27.126924
2015-07-28,28.389999,28.389999,27.809999,27.98,382800,27.263338
2015-07-27,28.110001,28.120001,27.790001,28.09,384600,27.370521
2015-07-24,29.07,29.07,28.42,28.549999,405700,27.818738
2015-07-23,29.99,30.200001,29.360001,29.379999,267800,28.627478
2015-07-22,29.35,29.959999,29.35,29.870001,472900,29.10493
2015-07-21,29.77,30.139999,29.370001,29.49,237100,28.734662
2015-07-20,29.700001,29.84,29.450001,29.780001,271200,29.017235
2015-07-17,29.889999,29.889999,29.379999,29.639999,303400,28.880819
2015-07-16,29.950001,30.139999,29.780001,29.879999,285700,29.114672
2015-07-15,29.799999,30.059999,29.66,29.75,298500,28.988002
2015-07-14,29.379999,29.75,29.26,29.66,234600,28.900307
2015-07-13,29.58,29.809999,29.379999,29.559999,298300,28.802868
2015-07-10,29.26,29.43,28.76,29.360001,419700,28.607992
2015-07-09,28.91,29.09,28.68,28.959999,566900,28.218236
2015-07-08,28.360001,28.709999,28.139999,28.57,668200,27.838226
2015-07-07,29.209999,29.209999,28.219999,28.799999,525300,27.877201
2015-07-06,28.84,29.35,28.73,29.309999,668900,28.37086
2015-07-02,29.809999,29.809999,28.90,29.00,503600,28.070793
2015-07-01,29.809999,30.09,29.459999,29.790001,429300,28.835481
2015-06-30,29.469999,29.860001,29.139999,29.42,490800,28.477336
2015-06-29,29.74,29.90,29.049999,29.08,472000,28.14823
2015-06-26,30.049999,30.290001,29.799999,29.879999,860900,28.922596
2015-06-25,29.950001,30.209999,29.60,29.90,623000,28.941956
2015-06-24,30.059999,30.200001,29.690001,29.719999,479100,28.767723
2015-06-23,29.99,30.27,29.85,30.08,684300,29.116188
2015-06-22,29.73,29.93,29.66,29.860001,250300,28.903238
2015-06-19,29.469999,29.60,29.18,29.440001,765600,28.496696
2015-06-18,29.43,29.559999,29.059999,29.440001,339700,28.496696
2015-06-17,30.00,30.00,29.139999,29.24,281300,28.303103
2015-06-16,29.280001,29.870001,29.190001,29.860001,426900,28.903238
2015-06-15,29.25,29.629999,28.90,29.379999,379600,28.438617
2015-06-12,29.57,29.629999,29.309999,29.540001,268300,28.593492
2015-06-11,29.700001,29.799999,29.15,29.60,318500,28.651569
2015-06-10,29.16,30.00,29.07,29.67,625300,28.719326
2015-06-09,29.389999,29.67,29.200001,29.530001,362700,28.583812
2015-06-08,29.190001,29.58,29.059999,29.290001,293500,28.351502
2015-06-05,28.809999,29.360001,28.639999,29.32,596700,28.38054
2015-06-04,28.639999,28.73,28.40,28.620001,336200,27.70297
2015-06-03,28.459999,28.85,28.42,28.809999,404100,27.886881
