Date,Open,High,Low,Close,Volume,Adj Close
2016-01-22,8.40,8.52,7.95,8.21,42000,8.21
2016-01-21,7.81,8.33,7.81,8.21,52400,8.21
2016-01-20,8.27,8.35,7.80,7.82,74800,7.82
2016-01-19,8.50,8.57,7.85,8.40,113400,8.40
2016-01-15,8.47,8.59,8.18,8.48,34500,8.48
2016-01-14,8.66,8.97,8.37,8.74,55700,8.74
2016-01-13,8.92,9.32,8.63,8.64,26100,8.64
2016-01-12,9.00,9.14,8.69,8.81,42800,8.81
2016-01-11,8.94,9.15,8.66,8.92,55600,8.92
2016-01-08,9.22,9.32,8.64,8.85,218900,8.85
2016-01-07,8.90,9.46,8.61,9.23,96500,9.23
2016-01-06,9.60,9.60,8.86,8.93,71600,8.93
2016-01-05,10.41,10.43,9.67,9.68,63800,9.68
2016-01-04,10.21,10.45,10.02,10.21,67100,10.21
2015-12-31,9.75,10.46,9.75,10.46,66300,10.46
2015-12-30,9.30,10.02,9.30,9.89,78000,9.89
2015-12-29,9.91,10.17,9.40,9.42,71400,9.42
2015-12-28,10.46,10.50,9.80,9.86,72900,9.86
2015-12-24,10.20,10.77,10.20,10.60,16500,10.60
2015-12-23,10.15,10.58,10.15,10.28,24200,10.28
2015-12-22,9.90,10.38,9.56,10.11,31600,10.11
2015-12-21,10.23,10.23,9.45,9.85,115500,9.85
2015-12-18,9.53,10.43,9.40,10.29,260300,10.29
2015-12-17,9.45,9.68,9.19,9.54,82900,9.54
2015-12-16,9.02,9.62,9.02,9.46,32500,9.46
2015-12-15,9.32,9.34,8.91,9.14,46200,9.14
2015-12-14,9.19,9.78,8.77,9.20,125100,9.20
2015-12-11,8.88,9.51,8.56,8.95,61900,8.95
2015-12-10,8.99,9.19,8.84,9.00,46100,9.00
2015-12-09,9.31,9.54,8.93,8.99,29400,8.99
2015-12-08,8.85,9.49,8.69,9.24,60700,9.24
2015-12-07,9.21,9.37,8.69,8.96,72100,8.96
2015-12-04,9.70,9.89,9.31,9.37,78200,9.37
2015-12-03,9.74,9.94,9.63,9.73,43500,9.73
2015-12-02,10.43,10.45,9.64,9.71,49100,9.71
2015-12-01,9.95,10.53,9.90,10.45,47600,10.45
2015-11-30,10.00,10.42,9.87,9.90,94900,9.90
2015-11-27,10.07,10.08,9.60,10.00,22800,10.00
2015-11-25,10.57,10.57,10.00,10.15,33100,10.15
2015-11-24,9.66,10.53,9.66,10.20,64200,10.20
2015-11-23,9.66,9.91,9.64,9.71,67700,9.71
2015-11-20,9.96,9.97,9.56,9.63,62300,9.63
2015-11-19,10.29,10.70,9.83,10.00,120100,10.00
2015-11-18,10.35,10.73,10.08,10.36,92600,10.36
2015-11-17,10.09,10.40,9.75,10.35,131100,10.35
2015-11-16,10.09,10.28,10.01,10.11,38900,10.11
2015-11-13,9.98,10.42,9.91,10.19,56400,10.19
2015-11-12,10.33,10.33,9.95,10.01,81000,10.01
2015-11-11,11.03,11.03,10.24,10.41,47300,10.41
2015-11-10,11.02,11.33,10.87,11.03,109100,11.03
2015-11-09,11.53,11.56,10.97,11.09,74300,10.99
2015-11-06,11.55,11.70,11.30,11.61,46000,11.505311
2015-11-05,11.72,11.83,11.50,11.56,60500,11.455763
2015-11-04,11.45,11.91,11.11,11.82,79900,11.713417
2015-11-03,11.03,11.56,10.56,11.40,86300,11.297205
2015-11-02,10.10,10.70,9.90,10.47,79800,10.375591
2015-10-30,11.05,11.19,9.51,10.11,134700,10.018837
2015-10-29,11.57,11.64,10.75,11.09,111000,10.99
2015-10-28,11.00,11.67,10.93,11.63,139900,11.525131
2015-10-27,10.87,11.09,10.56,10.99,66100,10.890902
2015-10-26,11.70,11.79,10.94,11.03,120200,10.930541
2015-10-23,12.04,12.05,11.64,11.76,74400,11.653959
2015-10-22,12.02,12.20,11.74,12.04,34000,11.931434
2015-10-21,12.15,12.30,11.71,12.02,63100,11.911615
2015-10-20,11.99,12.67,11.84,12.25,29500,12.13954
