Date,Open,High,Low,Close,Volume,Adj Close
2016-01-22,89.449997,89.510002,88.900002,89.150002,3087000,89.150002
2016-01-21,89.760002,89.809998,89.00,89.43,3446000,89.43
2016-01-20,89.709999,89.800003,89.120003,89.769997,3403700,89.769997
2016-01-19,90.099998,90.260002,89.629997,89.830002,5594500,89.830002
2016-01-15,90.00,90.269997,89.910004,90.019997,3105000,90.019997
2016-01-14,90.160004,90.370003,90.010002,90.110001,5746100,90.110001
2016-01-13,90.510002,90.599998,90.07,90.110001,5337800,90.110001
2016-01-12,90.199997,90.459999,90.00,90.419998,4829400,90.094998
2016-01-11,90.25,90.339996,90.099998,90.209999,2294800,89.885754
2016-01-08,90.190002,90.370003,90.099998,90.290001,2548200,89.965468
2016-01-07,89.940002,90.339996,89.93,90.150002,3121500,89.825972
2016-01-06,89.75,90.300003,89.660004,90.279999,2774600,89.955502
2016-01-05,89.919998,90.150002,89.769997,89.900002,2889100,89.57687
2016-01-04,89.599998,90.239998,89.540001,90.080002,2742800,89.756224
2015-12-31,90.019997,90.379997,89.900002,89.980003,1681600,89.656585
2015-12-30,90.059998,90.199997,90.010002,90.110001,1284800,89.786115
2015-12-29,89.879997,90.32,89.830002,90.209999,1041500,89.885754
2015-12-28,89.800003,89.93,89.589996,89.900002,1602300,89.57687
2015-12-24,89.75,90.169998,89.699997,89.879997,977200,89.556938
2015-12-23,89.43,89.790001,89.379997,89.730003,2548700,89.407483
2015-12-22,88.93,89.699997,88.82,89.480003,1818500,89.158382
2015-12-21,88.650002,89.089996,88.510002,88.75,2753200,88.431002
2015-12-18,88.779999,89.099998,87.839996,88.25,11529600,87.9328
2015-12-17,89.160004,89.279999,88.75,88.870003,5674900,88.550574
2015-12-16,89.110001,89.330002,89.00,89.220001,4898800,88.899314
2015-12-15,89.169998,89.449997,88.959999,89.110001,4304900,88.789709
2015-12-14,89.00,89.489998,88.82,89.269997,6140700,88.94913
2015-12-11,89.300003,89.480003,88.889999,88.959999,6009600,88.640247
2015-12-10,89.510002,89.879997,89.400002,89.449997,6310000,89.128483
2015-12-09,89.309998,89.839996,89.300003,89.50,7095500,89.178307
2015-12-08,89.139999,90.029999,89.00,89.650002,12074100,89.327769
2015-12-07,90.029999,90.169998,88.849998,88.889999,41371100,88.570499
2015-12-04,54.220001,54.290001,51.52,51.700001,3784500,51.514173
2015-12-03,52.459999,54.50,51.560001,54.299999,4971100,54.104827
2015-12-02,52.759998,53.950001,52.130001,52.459999,3020900,52.27144
2015-12-01,53.310001,53.41,51.220001,52.98,5287800,52.789571
2015-11-30,51.099998,53.689999,50.650002,52.400002,5891800,52.211658
2015-11-27,52.889999,53.049999,50.509998,50.84,2470700,50.657264
2015-11-25,49.419998,53.450001,49.32,52.759998,6836000,52.570361
2015-11-24,45.68,48.970001,45.560001,48.849998,4101700,48.674415
2015-11-23,47.689999,47.970001,45.549999,45.720001,4734200,45.555668
2015-11-20,48.529999,49.00,46.400002,47.439999,5592400,47.269483
2015-11-19,47.77,51.720001,46.360001,47.880001,20093900,47.707904
2015-11-18,40.310001,41.349998,39.799999,40.50,7375500,40.354429
2015-11-17,43.849998,44.240002,40.029999,40.130001,6025500,39.98576
2015-11-16,43.380001,44.52,42.759998,44.490002,3955200,44.33009
2015-11-13,45.139999,45.299999,43.290001,43.509998,3409100,43.353609
2015-11-12,46.00,46.759998,45.32,45.41,2622600,45.246781
2015-11-11,48.52,48.849998,46.060001,46.240002,5065500,46.073799
2015-11-10,52.16,52.419998,49.549999,50.040001,3029000,49.86014
2015-11-09,52.599998,53.240002,51.93,52.380001,2141800,52.19173
2015-11-06,52.07,52.689999,51.32,52.68,1487000,52.490651
2015-11-05,51.560001,52.939999,51.27,52.580002,1430300,52.391011
2015-11-04,54.860001,55.040001,50.810001,50.869999,3081600,50.687155
2015-11-03,51.599998,54.959999,51.599998,54.84,4431000,54.642887
2015-11-02,50.540001,51.830002,50.25,51.610001,2416400,51.424497
2015-10-30,51.740002,52.16,50.59,50.75,2486700,50.567587
2015-10-29,52.57,53.049999,51.049999,51.720001,2013800,51.534102
2015-10-28,51.77,54.009998,51.68,52.91,2293600,52.719823
2015-10-27,53.02,53.619999,51.099998,51.580002,2111300,51.394606
2015-10-26,55.040001,55.330002,53.060001,53.240002,1409800,53.048639
2015-10-23,54.299999,55.869999,53.889999,55.009998,2495000,54.812274
2015-10-22,54.630001,55.220001,53.459999,54.060001,1796200,53.865691
2015-10-21,52.959999,55.34,52.959999,54.610001,2188600,54.413714
2015-10-20,53.049999,54.07,52.68,52.939999,1667900,52.749714
2015-10-19,50.84,53.209999,50.00,53.099998,3056500,52.909139
2015-10-16,53.189999,53.209999,50.549999,50.799999,3062300,50.617407
2015-10-15,54.299999,54.689999,52.279999,52.77,2250400,52.580327
2015-10-14,55.34,55.34,53.779999,54.169998,2255400,53.975293
2015-10-13,54.98,56.799999,54.439999,54.970001,2504800,54.77242
2015-10-12,57.52,57.98,54.799999,55.029999,2105900,54.832202
2015-10-09,57.720001,58.200001,57.119999,57.549999,1974000,57.343145
2015-10-08,55.990002,58.209999,55.779999,57.860001,2598100,57.652032
2015-10-07,55.639999,57.580002,55.509998,56.18,2416100,55.97807
2015-10-06,54.580002,55.709999,54.439999,55.23,2280800,55.031484
2015-10-05,54.220001,55.139999,54.110001,54.650002,2125800,54.453571
2015-10-02,50.459999,53.779999,49.509998,53.650002,2579200,53.457165
2015-10-01,52.060001,52.619999,50.419998,52.049999,2999700,51.862914
2015-09-30,54.139999,54.720001,51.709999,52.139999,2068600,51.952591
2015-09-29,53.619999,54.700001,52.740002,53.709999,2529900,53.516947
2015-09-28,55.419998,55.75,52.900002,53.189999,1401400,52.998816
2015-09-25,54.66,55.93,54.549999,55.52,1336400,55.320443
2015-09-24,54.84,55.48,54.23,55.169998,1676300,54.684734
2015-09-23,56.700001,56.810001,54.759998,55.07,1642300,54.585615
2015-09-22,56.279999,56.990002,55.57,56.700001,1874900,56.201279
2015-09-21,56.82,57.77,56.689999,57.00,1403200,56.49864
2015-09-18,56.639999,57.080002,55.27,56.740002,3837200,56.240928
2015-09-17,60.259998,60.279999,57.02,57.189999,3253000,56.686967
2015-09-16,58.349998,60.299999,58.110001,60.150002,2630800,59.620934
2015-09-15,59.509998,59.689999,57.57,58.130001,2605000,57.618701
2015-09-14,60.77,60.98,58.799999,59.349998,4000700,58.827968
2015-09-11,60.98,61.209999,60.040001,60.900002,3758200,60.364337
2015-09-10,58.50,61.200001,57.41,60.889999,4426100,60.354423
2015-09-09,58.889999,59.860001,58.009998,58.59,3241800,58.074654
2015-09-08,58.380001,59.080002,56.939999,58.540001,3144900,58.025095
2015-09-04,56.560001,58.790001,56.540001,58.380001,2716300,57.866502
2015-09-03,57.48,58.240002,56.27,57.43,2944200,56.924858
2015-09-02,55.77,56.619999,55.130001,56.560001,2441100,56.062511
2015-09-01,55.330002,56.50,54.689999,55.099998,2754100,54.61535
2015-08-31,53.59,57.25,53.509998,56.599998,3299800,56.102156
2015-08-28,53.50,54.459999,53.50,54.110001,1371900,53.63406
2015-08-27,53.00,54.610001,52.619999,53.990002,2554100,53.515117
2015-08-26,52.709999,52.73,50.689999,52.560001,3385000,52.097694
2015-08-25,52.049999,52.529999,51.32,51.959999,4052600,51.502969
2015-08-24,46.619999,51.740002,45.25,51.299999,5901500,50.848775
2015-08-21,49.849998,50.779999,49.810001,50.139999,3096200,49.698978
2015-08-20,48.889999,51.049999,48.799999,50.400002,2796000,49.956693
2015-08-19,50.23,50.400002,49.009998,49.459999,2685500,49.024959
2015-08-18,51.07,51.25,50.150002,50.240002,1698300,49.798101
2015-08-17,50.50,51.00,50.200001,50.939999,1612900,50.491941
2015-08-14,50.040001,50.900002,49.93,50.599998,2110200,50.154931
2015-08-13,52.59,52.650002,49.130001,50.279999,5514700,49.837746
2015-08-12,52.75,53.279999,52.189999,52.889999,2188800,52.42479
2015-08-11,54.580002,54.580002,52.130001,52.959999,3191000,52.494174
2015-08-10,54.049999,55.349998,53.68,54.610001,3304000,54.129662
2015-08-07,53.209999,54.330002,52.959999,53.43,5161900,52.960041
2015-08-06,53.919998,55.77,52.400002,52.669998,18050100,52.206724
2015-08-05,76.959999,77.389999,74.790001,74.980003,4338700,74.320494
2015-08-04,75.620003,77.040001,75.489998,76.589996,1792700,75.916326
2015-08-03,75.440002,76.720001,75.050003,75.470001,2206500,74.806182
2015-07-31,74.32,75.25,73.730003,75.040001,1659600,74.379964
2015-07-30,74.449997,74.720001,72.910004,74.209999,1318200,73.557263
2015-07-29,74.459999,76.489998,73.760002,74.760002,2632700,74.102428
2015-07-28,71.690002,72.18,70.519997,71.800003,1107200,71.168465
2015-07-27,69.50,72.349998,68.779999,71.360001,1935200,70.732332
2015-07-24,71.050003,71.160004,69.260002,69.410004,1154100,68.799487
2015-07-23,72.190002,72.190002,71.019997,71.32,1034400,70.692683
2015-07-22,70.949997,72.360001,70.550003,71.919998,1929600,71.287404
2015-07-21,70.300003,71.629997,70.139999,70.989998,1124800,70.365584
2015-07-20,69.699997,71.699997,69.349998,71.040001,1619400,70.415147
2015-07-17,70.589996,70.739998,69.260002,69.650002,1098000,69.037374
2015-07-16,69.220001,71.25,69.199997,70.419998,1778800,69.800598
2015-07-15,69.580002,70.830002,68.720001,68.839996,1629500,68.234494
2015-07-14,69.529999,70.650002,69.440002,69.970001,1208500,69.354559
2015-07-13,70.349998,70.639999,69.580002,70.360001,1558700,69.741128
2015-07-10,71.779999,71.779999,70.139999,70.239998,1084400,69.622181
2015-07-09,71.57,72.50,70.629997,70.669998,1665800,70.048399
2015-07-08,71.720001,72.470001,70.709999,70.879997,1367600,70.256551
2015-07-07,71.760002,72.339996,70.510002,72.059998,2338900,71.426172
2015-07-06,73.540001,73.739998,71.440002,71.769997,2128500,71.138722
2015-07-02,74.480003,75.410004,73.830002,74.330002,1919600,73.67621
2015-07-01,77.010002,77.089996,74.410004,74.699997,1967600,74.042951
2015-06-30,76.50,76.769997,75.32,76.629997,2546000,75.955975
2015-06-29,77.080002,77.889999,75.559998,75.639999,1536800,74.974685
2015-06-26,77.940002,78.629997,77.529999,77.959999,2478700,77.274279
2015-06-25,80.93,81.18,78.029999,78.300003,2808200,77.325823
2015-06-24,83.629997,83.790001,80.93,81.18,1816100,80.169988
2015-06-23,82.419998,83.769997,82.199997,83.43,1320300,82.391995
2015-06-22,83.480003,83.720001,82.269997,82.419998,1603000,81.394559
2015-06-19,83.489998,84.730003,82.650002,83.199997,3255800,82.164853
2015-06-18,83.809998,85.040001,83.419998,83.57,1280500,82.530252
2015-06-17,83.709999,84.68,83.029999,83.839996,1007600,82.79689
2015-06-16,84.889999,84.989998,83.449997,83.529999,2137000,82.490749
2015-06-15,83.480003,85.00,82.779999,84.809998,1988800,83.754823
