Date,Open,High,Low,Close,Volume,Adj Close
2016-01-22,41.439999,43.150002,39.459999,39.610001,36700,39.610001
2016-01-21,40.459999,44.57,40.459999,40.919998,41700,40.919998
2016-01-20,38.790001,40.50,38.790001,39.950001,34500,39.950001
2016-01-19,40.369999,41.849998,39.220001,39.540001,31600,39.540001
2016-01-15,39.900002,40.50,39.110001,40.040001,47400,40.040001
2016-01-14,40.57,41.650002,40.549999,40.860001,50100,40.860001
2016-01-13,42.689999,42.689999,40.349998,40.779999,38300,40.779999
2016-01-12,43.700001,44.720001,42.41,42.599998,40500,42.599998
2016-01-11,42.25,43.50,42.099998,43.18,38300,43.18
2016-01-08,43.799999,43.810001,41.889999,42.07,35500,42.07
2016-01-07,43.939999,44.540001,43.389999,43.490002,21500,43.490002
2016-01-06,43.790001,45.00,43.790001,44.599998,23500,44.599998
2016-01-05,43.919998,44.720001,43.77,44.34,21000,44.34
2016-01-04,44.59,44.59,43.099998,43.810001,48700,43.810001
2015-12-31,46.91,47.099998,45.150002,45.259998,30600,45.259998
2015-12-30,47.330002,47.330002,46.75,46.779999,21200,46.779999
2015-12-29,47.209999,47.650002,46.490002,47.189999,37000,47.189999
2015-12-28,46.599998,46.98,46.169998,46.98,18900,46.76
2015-12-24,46.810001,47.040001,46.57,46.830002,6800,46.610704
2015-12-23,46.950001,47.299999,46.439999,46.669998,24900,46.45145
2015-12-22,45.349998,47.009998,44.689999,46.830002,38200,46.610704
2015-12-21,46.369999,47.880001,44.599998,45.400002,75800,45.187401
2015-12-18,47.889999,48.200001,46.009998,46.18,76200,45.963747
2015-12-17,47.50,49.040001,47.50,48.189999,37200,47.964333
2015-12-16,47.27,47.990002,46.91,47.799999,37300,47.57616
2015-12-15,46.549999,47.709999,46.549999,47.360001,34500,47.138221
2015-12-14,46.099998,46.91,45.990002,46.209999,37900,45.993605
2015-12-11,46.82,47.50,45.720001,46.25,32700,46.033419
2015-12-10,48.009998,48.43,47.619999,47.709999,21500,47.486581
2015-12-09,49.150002,49.299999,47.84,47.919998,33300,47.695597
2015-12-08,49.990002,50.009998,49.07,49.459999,24000,49.228386
2015-12-07,50.860001,50.860001,50.150002,50.419998,53200,50.183889
2015-12-04,49.93,51.099998,49.93,50.799999,31100,50.562111
2015-12-03,50.610001,51.09,49.759998,49.959999,33500,49.726044
2015-12-02,51.16,51.439999,50.330002,50.580002,37100,50.343144
2015-12-01,50.849998,51.369999,50.849998,51.259998,38100,51.019956
2015-11-30,51.66,51.66,50.779999,50.860001,35000,50.621831
2015-11-27,50.970001,51.689999,50.900002,51.34,14100,51.099583
2015-11-25,50.84,51.09,50.330002,51.049999,18700,50.81094
2015-11-24,50.009998,51.00,49.75,50.84,34800,50.601925
2015-11-23,50.599998,51.23,50.34,50.360001,30200,50.124173
2015-11-20,50.799999,51.34,50.369999,50.799999,22700,50.562111
2015-11-19,50.540001,50.66,50.139999,50.50,12100,50.263517
2015-11-18,50.07,50.77,49.560001,50.709999,33600,50.472532
2015-11-17,49.880001,50.880001,49.75,50.060001,28500,49.825578
2015-11-16,50.330002,50.330002,49.049999,50.060001,27300,49.825578
2015-11-13,50.029999,50.599998,49.349998,49.630001,54300,49.397592
2015-11-12,51.41,52.290001,50.32,50.41,30200,50.173938
2015-11-11,52.68,52.939999,51.970001,52.009998,35300,51.766444
