Date,Open,High,Low,Close,Volume,Adj Close
2016-01-22,8.09,8.43,7.62,7.86,1401200,7.86
2016-01-21,8.34,8.51,7.78,7.90,1526800,7.90
2016-01-20,8.12,8.52,7.84,8.35,1065100,8.35
2016-01-19,8.90,8.90,8.18,8.26,1546100,8.26
2016-01-15,9.04,9.05,8.45,8.75,757200,8.75
2016-01-14,8.95,9.46,8.71,9.25,1306000,9.25
2016-01-13,8.91,9.25,8.78,8.89,1003400,8.89
2016-01-12,9.11,9.11,8.40,8.80,983100,8.80
2016-01-11,9.21,9.25,8.82,8.88,1037500,8.88
2016-01-08,9.84,9.84,9.09,9.10,1550800,9.10
2016-01-07,10.50,10.50,9.63,9.77,1174800,9.77
2016-01-06,11.17,11.23,10.70,10.77,892700,10.77
2016-01-05,11.25,11.48,10.97,11.41,1269300,11.41
2016-01-04,10.58,11.41,10.50,11.27,2849700,11.27
2015-12-31,11.00,11.25,10.67,10.75,11573200,10.75
2015-12-30,11.42,11.42,10.60,10.99,3098900,10.99
2015-12-29,11.24,11.94,11.00,11.48,3882800,11.48
2015-12-28,12.49,12.69,11.00,11.57,1314600,11.57
2015-12-24,11.00,13.17,11.00,12.66,449800,12.66
2015-12-23,10.54,10.82,10.18,10.80,344500,10.80
2015-12-22,10.20,10.49,9.92,10.41,372200,10.41
2015-12-21,10.42,10.43,10.00,10.18,388600,10.18
2015-12-18,9.95,10.37,9.54,10.35,2231400,10.35
2015-12-17,9.72,10.11,9.46,10.01,704300,10.01
2015-12-16,9.59,9.79,9.45,9.75,418900,9.75
2015-12-15,9.36,9.58,9.29,9.57,402900,9.57
2015-12-14,9.21,9.37,8.94,9.30,497700,9.30
2015-12-11,9.34,9.34,8.88,9.18,528300,9.18
2015-12-10,9.49,9.77,9.40,9.59,380600,9.59
2015-12-09,9.74,10.15,9.44,9.49,475600,9.49
2015-12-08,9.83,9.85,9.52,9.68,306300,9.68
2015-12-07,10.36,10.40,9.71,9.95,321100,9.95
2015-12-04,10.71,10.97,10.41,10.48,392100,10.40
2015-12-03,11.09,11.09,10.42,10.76,544200,10.677863
2015-12-02,10.61,11.12,10.57,11.02,690600,10.935879
2015-12-01,10.21,10.46,10.02,10.41,422300,10.330534
2015-11-30,10.26,10.53,10.07,10.17,415200,10.092367
2015-11-27,9.61,10.27,9.61,10.23,273100,10.151908
2015-11-25,9.68,10.37,9.51,9.64,445500,9.566413
