Date,Open,High,Low,Close,Volume,Adj Close
2016-01-22,26.17,26.17,26.17,26.17,300,26.17
2016-01-21,26.16,26.700001,26.16,26.700001,500,26.700001
2016-01-20,26.790001,26.889999,26.50,26.84,1500,26.84
2016-01-19,26.40,26.799999,26.200001,26.73,4600,26.73
2016-01-15,26.139999,26.709999,26.139999,26.700001,1000,26.700001
2016-01-14,26.00,26.84,26.00,26.84,1000,26.84
2016-01-13,26.76,26.799999,26.15,26.389999,2400,26.389999
2016-01-12,26.75,26.75,26.25,26.51,49800,26.51
2016-01-11,26.75,26.75,26.75,26.75,000,26.75
2016-01-08,26.25,26.75,26.25,26.75,1000,26.75
2016-01-07,26.35,26.60,26.27,26.50,5600,26.50
2016-01-06,25.40,26.719999,25.389999,26.57,7300,26.57
2016-01-05,25.41,25.42,25.41,25.41,1200,25.41
2016-01-04,25.190001,25.940001,25.190001,25.58,3200,25.58
2015-12-31,25.450001,25.549999,25.26,25.549999,2300,25.549999
2015-12-30,25.309999,25.700001,25.25,25.25,7100,25.25
2015-12-29,25.190001,25.60,25.190001,25.25,70600,25.25
2015-12-28,25.35,25.75,25.35,25.700001,2000,25.700001
2015-12-24,25.370001,25.50,25.370001,25.50,400,25.50
2015-12-23,25.08,25.50,25.049999,25.50,7100,25.50
2015-12-22,25.10,25.299999,25.02,25.049999,2000,25.049999
2015-12-21,25.40,25.57,25.10,25.10,10100,25.10
2015-12-18,25.65,25.700001,25.40,25.41,9300,25.41
2015-12-17,25.940001,25.940001,25.459999,25.66,13400,25.66
2015-12-16,26.25,26.34,26.00,26.200001,4500,26.200001
2015-12-15,26.219999,26.309999,26.219999,26.27,6400,26.27
2015-12-14,26.50,26.50,26.219999,26.41,3200,26.41
2015-12-11,26.50,26.67,26.370001,26.50,5400,26.50
2015-12-10,26.68,26.690001,26.68,26.68,2000,26.68
2015-12-09,26.42,26.74,26.42,26.690001,700,26.690001
2015-12-08,26.700001,26.889999,26.700001,26.85,3900,26.85
2015-12-07,26.690001,26.690001,26.690001,26.690001,600,26.690001
2015-12-04,26.690001,26.690001,26.690001,26.690001,400,26.690001
2015-12-03,26.719999,26.75,26.700001,26.75,1400,26.75
2015-12-02,26.860001,26.90,26.65,26.690001,9600,26.690001
2015-12-01,26.98,27.00,26.76,26.889999,5800,26.889999
2015-11-30,26.77,27.00,26.76,26.76,6400,26.76
2015-11-27,27.280001,27.280001,27.280001,27.280001,000,27.280001
2015-11-25,26.50,27.280001,26.50,27.280001,700,27.280001
2015-11-24,27.27,27.50,27.27,27.35,4300,27.35
2015-11-23,26.51,27.209999,26.51,27.209999,500,27.209999
2015-11-20,26.50,27.370001,26.50,26.74,2400,26.74
2015-11-19,26.530001,26.549999,26.530001,26.549999,2100,26.549999
2015-11-18,26.440001,26.540001,26.440001,26.540001,2000,26.540001
2015-11-17,26.51,26.57,26.40,26.549999,15200,26.549999
2015-11-16,26.700001,26.700001,26.51,26.52,6200,26.52
2015-11-13,26.719999,26.719999,26.709999,26.709999,300,26.709999
2015-11-12,27.129999,27.129999,27.02,27.02,300,27.02
2015-11-11,26.73,26.99,26.73,26.99,500,26.99
