Date,Open,High,Low,Close,Volume,Adj Close
2016-01-22,14.48,14.84,14.44,14.81,84800,14.81
2016-01-21,14.50,14.61,14.27,14.31,80600,14.31
2016-01-20,14.50,15.07,14.06,14.59,115200,14.59
2016-01-19,15.13,15.16,14.45,14.71,188400,14.71
2016-01-15,14.69,15.03,14.54,15.03,183800,15.03
2016-01-14,14.63,15.22,14.45,15.07,136800,15.07
2016-01-13,14.70,14.77,14.38,14.49,159500,14.49
2016-01-12,14.72,15.39,14.40,14.70,186900,14.70
2016-01-11,14.29,14.74,14.27,14.62,228300,14.62
2016-01-08,14.82,14.92,13.96,14.29,291900,14.29
2016-01-07,15.24,15.30,14.74,14.87,124500,14.87
2016-01-06,15.20,15.70,14.91,15.47,170900,15.47
2016-01-05,15.60,15.77,15.35,15.47,141400,15.47
2016-01-04,15.76,15.84,15.44,15.50,166100,15.50
2015-12-31,16.42,16.549999,16.030001,16.07,107000,16.07
2015-12-30,16.41,16.59,16.209999,16.43,86300,16.43
2015-12-29,16.700001,16.700001,16.219999,16.51,78100,16.41
2015-12-28,16.24,16.42,15.99,16.24,86000,16.141635
2015-12-24,16.09,16.440001,16.049999,16.25,45100,16.151574
2015-12-23,16.17,16.17,15.83,16.01,152600,15.913028
2015-12-22,16.030001,16.10,15.84,16.01,197500,15.913028
2015-12-21,16.92,16.92,15.94,16.049999,188800,15.952785
2015-12-18,16.74,17.120001,16.65,16.76,449600,16.658486
2015-12-17,17.25,17.51,16.790001,16.84,185000,16.738001
2015-12-16,17.440001,17.58,16.959999,17.129999,139000,17.026243
2015-12-15,17.40,17.57,17.209999,17.280001,126000,17.175336
2015-12-14,17.50,17.75,17.200001,17.24,177600,17.135578
2015-12-11,17.35,17.799999,17.35,17.52,167900,17.413882
2015-12-10,17.879999,18.01,17.42,17.66,244400,17.553034
2015-12-09,18.309999,18.35,17.74,17.92,160200,17.811459
2015-12-08,18.030001,18.40,17.629999,18.299999,152800,18.189157
2015-12-07,18.52,18.709999,18.01,18.15,151800,18.040066
2015-12-04,18.620001,18.90,18.49,18.620001,160700,18.50722
2015-12-03,19.01,19.200001,18.620001,18.66,257800,18.546977
2015-12-02,18.700001,19.15,18.50,18.90,213200,18.785523
2015-12-01,18.93,18.93,18.309999,18.60,150600,18.487341
2015-11-30,19.190001,20.02,18.57,18.940001,395400,18.825282
2015-11-27,18.76,19.129999,18.610001,19.030001,93800,18.914737
2015-11-25,18.90,18.90,18.59,18.76,98100,18.646372
2015-11-24,18.51,18.889999,18.50,18.83,143800,18.715947
2015-11-23,18.77,18.98,18.50,18.610001,175900,18.49728
2015-11-20,18.42,18.860001,18.35,18.719999,130700,18.606613
2015-11-19,19.52,19.66,18.25,18.280001,267900,18.169279
2015-11-18,19.469999,19.75,19.290001,19.52,321600,19.401769
2015-11-17,18.65,19.620001,18.450001,19.450001,309700,19.332193
2015-11-16,18.280001,18.700001,18.280001,18.620001,169100,18.50722
2015-11-13,17.780001,18.43,17.57,18.23,220300,18.119581
2015-11-12,17.950001,18.190001,17.35,17.879999,448900,17.771701
2015-11-11,17.950001,19.389999,17.059999,18.280001,933800,18.169279
2015-11-10,15.70,16.120001,15.63,15.93,187500,15.833513
2015-11-09,16.41,16.450001,15.64,15.78,109800,15.684421
2015-11-06,15.75,16.52,15.57,16.290001,174100,16.191333
2015-11-05,15.49,15.84,15.44,15.76,105700,15.664542
2015-11-04,14.81,15.59,14.12,15.44,171400,15.34648
2015-11-03,14.80,15.01,14.69,14.85,115000,14.760054
2015-11-02,14.88,15.05,14.68,14.83,120800,14.740175
2015-10-30,15.02,15.12,14.62,14.88,263600,14.789872
2015-10-29,15.57,15.70,15.04,15.08,97200,14.988661
2015-10-28,15.46,15.78,15.25,15.57,137200,15.475693
2015-10-27,15.73,15.73,15.26,15.43,140200,15.336541
2015-10-26,16.879999,16.879999,15.58,15.84,226100,15.744058
2015-10-23,15.98,16.629999,15.90,16.389999,161700,16.290726
2015-10-22,15.51,15.83,15.37,15.80,265200,15.7043
2015-10-21,15.25,15.56,15.11,15.28,239300,15.187449
2015-10-20,14.85,15.15,14.60,15.06,145700,14.968783
2015-10-19,14.51,15.00,14.27,14.96,153600,14.869388
2015-10-16,14.36,14.59,14.07,14.52,135200,14.432053
2015-10-15,13.66,14.29,13.50,14.29,178600,14.203446
2015-10-14,13.87,14.05,13.62,13.64,52300,13.557383
2015-10-13,13.81,14.17,13.75,13.88,89600,13.795929
2015-10-12,13.83,13.97,13.68,13.90,98900,13.815808
2015-10-09,13.86,14.00,13.74,13.84,56100,13.756172
2015-10-08,14.00,14.05,13.81,13.87,74800,13.78599
2015-10-07,13.80,14.09,13.61,14.01,186200,13.925142
2015-10-06,13.12,14.03,13.12,13.74,83800,13.656777
2015-10-05,13.99,14.22,13.89,14.00,105600,13.915202
2015-10-02,13.87,13.92,13.51,13.91,86500,13.825747
2015-10-01,13.71,14.05,13.61,13.99,105000,13.905263
2015-09-30,13.54,13.78,13.23,13.75,223700,13.666717
2015-09-29,13.60,13.65,13.05,13.41,206300,13.328776
2015-09-28,13.71,13.88,13.11,13.65,212400,13.567322
2015-09-25,14.26,14.28,13.80,13.88,156300,13.795929
2015-09-24,14.34,14.52,14.11,14.15,140200,14.064294
2015-09-23,14.10,14.63,14.10,14.51,157300,14.422114
2015-09-22,14.07,14.50,13.93,14.06,196900,13.974839
2015-09-21,14.17,14.40,13.93,14.19,179000,14.104051
2015-09-18,14.37,14.83,13.98,14.02,243700,13.935082
2015-09-17,14.60,14.81,14.54,14.60,71100,14.511569
2015-09-16,14.60,14.91,14.54,14.60,73400,14.511569
2015-09-15,14.71,14.73,14.55,14.64,150000,14.551326
2015-09-14,14.86,14.97,14.58,14.65,146400,14.561265
2015-09-11,14.50,14.83,14.43,14.74,156500,14.65072
2015-09-10,14.79,14.95,14.50,14.60,175400,14.511569
2015-09-09,15.00,15.01,14.76,14.79,149800,14.700417
2015-09-08,14.26,15.04,13.96,15.01,416000,14.919085
2015-09-04,13.84,14.37,13.80,14.08,202700,13.994718
