Date,Open,High,Low,Close,Volume,Adj Close
2016-01-22,8.95,8.99,8.81,8.99,13700,8.99
2016-01-21,8.99,8.99,8.80,8.89,17000,8.89
2016-01-20,8.15,8.93,8.15,8.89,43900,8.89
2016-01-19,8.50,8.60,8.18,8.31,20300,8.31
2016-01-15,8.85,8.95,8.51,8.51,16100,8.51
2016-01-14,9.00,9.04,8.58,8.83,14400,8.83
2016-01-13,9.06,9.16,8.85,8.85,20700,8.85
2016-01-12,9.22,9.24,8.67,9.08,31900,9.08
2016-01-11,9.02,9.23,8.59,8.90,22700,8.90
2016-01-08,9.15,9.34,8.84,8.92,19900,8.92
2016-01-07,9.35,9.35,9.06,9.08,17600,9.08
2016-01-06,9.38,9.58,9.18,9.39,13500,9.39
2016-01-05,9.56,9.60,9.23,9.40,39200,9.40
2016-01-04,9.25,9.52,9.02,9.52,15300,9.52
2015-12-31,9.52,9.58,9.25,9.32,18400,9.32
2015-12-30,9.30,9.68,9.30,9.42,9600,9.42
2015-12-29,9.90,9.98,9.41,9.46,19900,9.46
2015-12-28,9.70,10.02,9.70,9.80,16500,9.80
2015-12-24,9.91,9.95,9.40,9.70,20400,9.70
2015-12-23,8.97,9.92,8.97,9.83,30500,9.83
2015-12-22,9.35,9.67,9.16,9.22,25000,9.22
2015-12-21,9.50,9.70,9.30,9.58,30800,9.58
2015-12-18,9.13,9.54,9.05,9.53,33800,9.53
2015-12-17,9.33,9.48,9.11,9.28,24100,9.28
2015-12-16,9.36,9.55,9.20,9.33,62600,9.33
2015-12-15,9.21,9.53,9.02,9.40,17800,9.40
2015-12-14,9.55,9.56,8.65,9.42,22500,9.42
2015-12-11,9.52,9.71,9.23,9.57,23000,9.57
2015-12-10,9.72,10.13,9.52,9.54,14100,9.54
2015-12-09,9.85,9.89,9.52,9.72,17300,9.72
2015-12-08,9.60,9.72,9.50,9.52,9200,9.52
2015-12-07,9.86,10.00,9.64,9.77,19000,9.77
2015-12-04,10.00,10.00,9.81,10.00,25600,10.00
2015-12-03,10.00,10.15,9.89,9.99,71900,9.99
2015-12-02,9.86,10.02,9.86,9.97,6100,9.97
2015-12-01,9.73,10.09,9.64,10.00,23300,10.00
2015-11-30,9.49,9.74,9.43,9.73,9400,9.73
2015-11-27,9.27,9.72,9.26,9.56,10800,9.56
2015-11-25,9.28,9.69,9.28,9.69,7800,9.67
2015-11-24,9.44,9.50,9.17,9.38,18300,9.36064
2015-11-23,9.58,9.65,8.80,9.31,19000,9.290785
2015-11-20,9.54,9.54,9.05,9.40,28500,9.380598
2015-11-19,9.02,9.50,8.95,9.43,41500,9.410537
2015-11-18,8.69,8.94,8.57,8.87,20900,8.851692
2015-11-17,8.15,8.83,8.14,8.77,38700,8.751899
2015-11-16,8.12,8.20,7.99,8.13,43500,8.11322
2015-11-13,8.01,8.25,7.99,8.22,20200,8.203034
2015-11-12,7.97,8.19,7.97,8.02,10600,8.003447
2015-11-11,8.15,8.15,8.00,8.11,36500,8.093261
2015-11-10,8.20,8.43,8.10,8.15,15700,8.133178
2015-11-09,8.50,8.60,8.25,8.30,16800,8.282869
2015-11-06,8.79,8.79,8.53,8.54,21400,8.522373
2015-11-05,9.05,9.10,8.68,8.77,26100,8.751899
2015-11-04,9.19,9.36,9.15,9.23,11400,9.210949
2015-11-03,9.39,9.39,9.21,9.31,6500,9.290785
2015-11-02,9.44,9.46,9.34,9.36,4400,9.340681
2015-10-30,9.46,9.54,9.46,9.46,7100,9.440475
2015-10-29,9.59,9.63,9.34,9.46,6500,9.440475
2015-10-28,9.66,9.71,9.55,9.57,6600,9.550247
2015-10-27,9.68,9.69,9.56,9.64,15600,9.620103
2015-10-26,9.58,9.89,9.54,9.82,10500,9.799731
2015-10-23,9.99,10.05,9.61,9.65,15500,9.630082
2015-10-22,9.91,10.00,9.87,9.98,5000,9.959401
2015-10-21,9.93,10.00,9.91,9.91,2000,9.889546
2015-10-20,9.80,9.94,9.80,9.94,5100,9.919484
2015-10-19,9.82,9.99,9.79,9.84,7000,9.81969
2015-10-16,9.91,9.91,9.69,9.75,6100,9.729876
2015-10-15,9.95,10.00,9.91,9.92,12300,9.899525
2015-10-14,10.00,10.00,9.85,9.89,10200,9.869587
2015-10-13,9.68,10.15,9.56,9.98,19300,9.959401
2015-10-12,9.91,9.98,9.55,9.61,11000,9.590165
2015-10-09,9.95,10.00,9.87,9.89,3800,9.869587
2015-10-08,9.77,10.00,9.27,10.00,16200,9.97936
2015-10-07,9.28,9.99,9.28,9.77,7900,9.749835
2015-10-06,9.15,9.22,9.13,9.20,16300,9.181011
2015-10-05,9.19,9.30,9.13,9.15,22900,9.131114
2015-10-02,9.10,9.18,9.10,9.17,14900,9.151073
2015-10-01,9.08,9.17,9.08,9.17,13400,9.151073
2015-09-30,9.06,9.18,9.02,9.17,3700,9.151073
2015-09-29,9.13,9.17,8.90,9.07,14500,9.051279
2015-09-28,8.93,9.20,8.87,9.09,14500,9.071238
2015-09-25,9.42,9.46,8.89,8.91,19400,8.89161
2015-09-24,9.62,9.92,9.36,9.40,12900,9.380598
2015-09-23,9.83,9.90,9.59,9.64,15400,9.620103
2015-09-22,9.97,9.97,9.50,9.78,15200,9.759814
2015-09-21,10.26,10.31,10.02,10.06,12300,10.039237
2015-09-18,10.00,10.27,10.00,10.26,17000,10.238824
2015-09-17,10.06,10.11,10.00,10.01,3600,9.98934
2015-09-16,10.12,10.33,10.00,10.01,6800,9.98934
2015-09-15,10.36,10.36,10.11,10.13,9900,10.109092
2015-09-14,10.29,10.34,10.13,10.21,4300,10.188927
2015-09-11,10.01,10.35,10.01,10.27,9100,10.248803
2015-09-10,10.27,10.34,9.94,10.00,19100,9.97936
2015-09-09,10.57,10.63,10.26,10.34,18300,10.318658
2015-09-08,10.79,10.79,10.31,10.53,21600,10.508266
2015-09-04,9.97,10.63,9.97,10.48,24500,10.458369
2015-09-03,10.10,10.10,9.89,9.97,21100,9.949422
2015-09-02,10.10,10.10,9.81,9.96,15300,9.939443
2015-09-01,10.26,10.26,10.00,10.05,17300,10.029257
2015-08-31,10.11,10.38,10.01,10.27,23700,10.248803
2015-08-28,9.72,10.15,9.68,10.04,19200,10.019278
2015-08-27,9.70,9.75,9.59,9.64,15100,9.600145
2015-08-26,9.62,9.65,9.50,9.60,26200,9.56031
2015-08-25,10.00,10.00,9.57,9.62,14900,9.580227
2015-08-24,9.40,9.94,9.40,9.79,45600,9.749524
2015-08-21,10.07,10.09,9.93,9.98,15600,9.938738
2015-08-20,10.63,10.63,10.07,10.18,9200,10.137912
2015-08-19,10.78,10.79,10.55,10.65,14000,10.605968
2015-08-18,10.31,10.83,10.25,10.77,58600,10.725473
2015-08-17,9.16,10.25,9.16,10.20,27400,10.157829
2015-08-14,8.90,9.20,8.90,9.16,24400,9.122129
2015-08-13,8.87,8.95,8.87,8.88,5700,8.843286
2015-08-12,8.79,8.95,8.76,8.91,10900,8.873162
2015-08-11,8.56,8.92,8.56,8.79,14200,8.753658
2015-08-10,8.42,8.73,8.42,8.58,6300,8.544527
2015-08-07,8.40,8.47,8.27,8.44,54300,8.405105
2015-08-06,8.36,8.63,8.36,8.50,34500,8.464857
2015-08-05,8.43,8.62,8.13,8.23,25800,8.195973
2015-08-04,8.28,8.45,8.26,8.30,13100,8.265685
2015-08-03,8.56,8.56,8.25,8.30,34100,8.265685
2015-07-31,8.60,8.60,8.50,8.50,24000,8.464857
2015-07-30,8.59,8.69,8.52,8.52,10300,8.484775
2015-07-29,8.59,8.71,8.53,8.60,16500,8.564444
2015-07-28,8.69,8.72,8.55,8.61,18400,8.574402
2015-07-27,8.85,8.91,8.67,8.67,20300,8.634155
2015-07-24,9.11,9.11,8.90,8.90,15300,8.863203
2015-07-23,9.11,9.14,9.01,9.05,10200,9.012584
2015-07-22,9.17,9.17,9.03,9.10,17900,9.062377
2015-07-21,9.30,9.31,9.14,9.24,11700,9.201798
2015-07-20,9.61,9.61,9.31,9.31,8200,9.271509
2015-07-17,9.45,9.49,9.34,9.46,10800,9.420888
2015-07-16,9.39,9.48,9.35,9.43,18300,9.391013
2015-07-15,9.50,9.55,9.34,9.40,14100,9.361136
2015-07-14,9.55,9.64,9.55,9.55,3100,9.510517
2015-07-13,9.61,9.69,9.50,9.61,10500,9.570268
2015-07-10,9.57,9.74,9.52,9.54,11600,9.500558
2015-07-09,9.61,9.75,9.50,9.53,11400,9.490599
2015-07-08,9.56,9.65,9.51,9.55,14600,9.510517
2015-07-07,9.64,9.73,9.36,9.61,35100,9.570268
2015-07-06,9.71,9.74,9.52,9.65,15400,9.610103
2015-07-02,9.83,9.90,9.69,9.72,25500,9.679814
2015-07-01,9.91,10.01,9.91,9.91,3700,9.869028
2015-06-30,9.90,9.94,9.80,9.85,20400,9.809276
2015-06-29,10.20,10.24,9.85,9.89,21900,9.849111
2015-06-26,10.14,10.25,10.14,10.25,13000,10.207622
2015-06-25,9.96,10.19,9.96,10.08,14700,10.038325
2015-06-24,10.03,10.08,9.95,9.97,10900,9.92878
2015-06-23,10.00,10.13,9.94,9.98,15400,9.938738
2015-06-22,9.80,10.12,9.80,9.98,14000,9.938738
2015-06-19,9.89,9.95,9.77,9.78,23100,9.739565
2015-06-18,9.87,9.97,9.84,9.84,7700,9.799317
2015-06-17,9.99,9.99,9.85,9.90,9900,9.859069
2015-06-16,9.87,10.01,9.85,10.01,4200,9.968615
2015-06-15,9.79,9.96,9.66,9.87,14600,9.829193
2015-06-12,9.75,9.88,9.71,9.83,42900,9.789359
2015-06-11,9.57,9.69,9.38,9.65,40500,9.610103
2015-06-10,9.45,9.60,9.45,9.54,15000,9.500558
2015-06-09,9.75,9.82,9.41,9.47,40400,9.430847
2015-06-08,10.20,10.20,9.72,9.82,36100,9.7794
2015-06-05,10.35,10.46,10.11,10.15,15000,10.108035
2015-06-04,10.72,10.72,10.37,10.37,5000,10.327126
2015-06-03,10.70,10.84,10.64,10.69,8200,10.645803
2015-06-02,10.74,10.79,10.66,10.79,8100,10.74539
2015-06-01,10.81,10.81,10.62,10.72,15300,10.675679
2015-05-29,10.64,10.77,10.58,10.70,6600,10.655762
2015-05-28,10.75,10.80,10.65,10.79,9500,10.74539
2015-05-27,10.76,10.85,10.66,10.69,11700,10.625886
2015-05-26,10.76,10.86,10.75,10.77,15200,10.705407
2015-05-22,10.89,10.92,10.84,10.90,13800,10.834626
2015-05-21,10.80,11.08,10.74,10.95,6600,10.884327
2015-05-20,10.75,10.83,10.70,10.80,10600,10.735227
2015-05-19,10.90,10.93,10.73,10.73,10800,10.665646
2015-05-18,10.91,11.00,10.86,10.97,18300,10.904207
2015-05-15,10.96,10.99,10.82,10.97,4400,10.904207
2015-05-14,10.97,11.11,10.97,10.97,4300,10.904207
2015-05-13,11.00,11.02,10.91,10.96,6200,10.894267
2015-05-12,11.05,11.11,10.96,11.00,15100,10.934027
2015-05-11,11.06,11.21,10.76,11.13,22600,11.063248
2015-05-08,11.06,11.20,10.98,11.03,6900,10.963847
2015-05-07,10.49,11.16,10.42,10.93,14900,10.864447
2015-05-06,10.34,10.47,10.30,10.47,28600,10.407206
2015-05-05,10.40,10.44,10.25,10.27,6900,10.208406
2015-05-04,10.74,10.75,10.31,10.33,28000,10.268045
2015-05-01,10.80,10.88,10.65,10.79,5600,10.725287
2015-04-30,10.89,10.89,10.67,10.76,14700,10.695467
2015-04-29,10.98,10.98,10.67,10.93,14200,10.864447
2015-04-28,10.62,11.11,10.61,10.99,21500,10.924087
2015-04-27,11.10,11.17,10.72,10.80,18000,10.735227
2015-04-24,11.10,11.21,10.89,11.02,29100,10.953908
2015-04-23,11.20,11.31,11.08,11.16,38400,11.093067
2015-04-22,11.33,11.48,11.09,11.21,45100,11.142768
2015-04-21,11.40,11.45,11.36,11.43,9900,11.361448
2015-04-20,11.43,11.49,11.37,11.41,9500,11.341568
2015-04-17,11.38,11.51,11.36,11.44,7200,11.371388
2015-04-16,11.49,11.51,11.40,11.45,10500,11.381328
2015-04-15,11.49,11.49,11.42,11.46,3800,11.391268
2015-04-14,11.33,11.53,11.33,11.48,7300,11.411148
2015-04-13,11.48,11.50,11.36,11.48,21500,11.411148
2015-04-10,11.41,11.52,11.40,11.40,7800,11.331628
2015-04-09,11.55,11.55,11.42,11.51,3700,11.440969
2015-04-08,11.60,11.60,11.50,11.51,6600,11.440969
2015-04-07,11.54,11.69,11.51,11.63,9400,11.560249
2015-04-06,11.51,11.68,11.37,11.55,10700,11.480729
2015-04-02,11.54,11.69,11.54,11.60,14600,11.530429
2015-04-01,11.39,11.69,11.39,11.63,8200,11.560249
2015-03-31,11.42,11.65,11.42,11.60,16400,11.530429
2015-03-30,11.35,11.45,11.35,11.45,11200,11.381328
2015-03-27,11.35,11.42,11.35,11.35,3500,11.281928
2015-03-26,11.30,11.40,11.26,11.40,18100,11.331628
2015-03-25,11.38,11.40,11.36,11.36,7900,11.291868
2015-03-24,11.24,11.44,11.22,11.40,7500,11.331628
2015-03-23,11.37,11.43,11.30,11.33,21700,11.262048
2015-03-20,11.49,11.79,11.30,11.30,73400,11.232228
2015-03-19,11.40,11.61,11.36,11.50,41100,11.431028
2015-03-18,11.41,11.45,11.39,11.40,39400,11.331628
2015-03-17,11.39,11.45,11.37,11.45,11900,11.381328
2015-03-16,11.46,11.48,11.37,11.42,19600,11.351508
2015-03-13,11.40,11.50,11.36,11.50,32000,11.431028
2015-03-12,11.51,11.54,11.41,11.41,2900,11.341568
2015-03-11,11.36,11.50,11.35,11.45,27300,11.381328
2015-03-10,11.52,11.53,11.36,11.39,15000,11.321688
2015-03-09,11.54,11.64,11.47,11.64,22000,11.570189
2015-03-06,11.50,11.51,11.40,11.50,27600,11.431028
2015-03-05,11.69,11.72,11.55,11.57,29800,11.500608
2015-03-04,11.80,11.85,11.60,11.72,22100,11.649709
2015-03-03,11.49,11.89,11.49,11.75,22500,11.679529
2015-03-02,11.47,11.60,11.44,11.50,35800,11.431028
2015-02-27,11.56,11.60,11.42,11.42,16500,11.351508
