Date,Open,High,Low,Close,Volume,Adj Close
2016-01-22,0.97,1.12,0.97,0.99,444500,0.99
2016-01-21,0.84,1.20,0.84,0.93,381400,0.93
2016-01-20,0.82,0.90,0.73,0.85,239700,0.85
2016-01-19,1.17,1.17,0.90,0.90,151800,0.90
2016-01-15,1.21,1.25,1.07,1.12,140100,1.12
2016-01-14,1.25,1.37,1.12,1.25,121100,1.25
2016-01-13,1.43,1.45,1.16,1.21,75500,1.21
2016-01-12,1.77,1.77,1.35,1.35,195000,1.35
2016-01-11,1.80,1.85,1.52,1.58,129800,1.58
2016-01-08,1.85,1.94,1.79,1.81,87300,1.81
2016-01-07,1.94,1.94,1.81,1.85,126800,1.85
2016-01-06,2.00,2.00,1.81,1.93,201600,1.93
2016-01-05,2.12,2.15,1.97,2.03,94800,2.03
2016-01-04,2.28,2.28,2.10,2.14,76700,2.14
2015-12-31,2.11,2.27,2.05,2.17,133100,2.17
2015-12-30,2.40,2.40,2.11,2.14,125700,2.14
2015-12-29,2.36,2.40,2.27,2.29,276900,2.29
2015-12-28,2.60,2.60,2.32,2.35,131200,2.35
2015-12-24,2.50,2.69,2.45,2.56,42400,2.56
2015-12-23,2.44,2.84,2.44,2.50,351800,2.50
2015-12-22,2.35,2.55,2.35,2.39,88700,2.39
2015-12-21,2.33,2.49,2.26,2.37,80700,2.37
2015-12-18,2.42,2.55,2.32,2.33,77000,2.33
2015-12-17,2.62,2.73,2.40,2.43,98700,2.43
2015-12-16,2.75,2.79,2.56,2.66,89300,2.66
2015-12-15,2.93,3.21,2.71,2.75,109700,2.75
2015-12-14,2.81,3.06,2.76,2.93,155200,2.93
2015-12-11,2.75,2.82,2.70,2.80,54000,2.80
2015-12-10,2.70,2.96,2.70,2.76,63300,2.76
2015-12-09,2.60,2.90,2.60,2.70,108300,2.70
2015-12-08,2.59,2.76,2.51,2.60,103900,2.60
2015-12-07,2.92,2.92,2.54,2.64,126700,2.64
2015-12-04,3.53,3.53,2.98,3.03,101400,3.03
2015-12-03,3.57,3.66,3.53,3.55,31000,3.55
2015-12-02,3.73,3.79,3.52,3.56,53100,3.56
2015-12-01,3.69,3.97,3.57,3.75,57800,3.75
2015-11-30,4.01,4.05,3.66,3.72,124200,3.72
2015-11-27,4.14,4.22,4.02,4.04,9400,4.04
2015-11-25,4.48,4.50,4.09,4.15,82600,4.15
2015-11-24,4.15,4.63,4.15,4.27,60400,4.27
2015-11-23,4.05,4.69,3.99,4.09,85900,4.09
2015-11-20,4.62,4.75,4.01,4.05,66500,4.05
2015-11-19,4.74,4.94,4.33,4.61,111700,4.61
2015-11-18,4.90,5.34,4.70,4.78,43000,4.78
2015-11-17,4.85,5.56,4.75,4.89,80800,4.89
2015-11-16,5.95,5.99,4.75,4.90,101900,4.90
2015-11-13,6.93,7.00,6.02,6.07,92000,6.07
2015-11-12,7.54,7.99,7.05,7.05,31900,7.05
2015-11-11,9.61,9.89,7.00,7.70,63900,7.70
2015-11-10,14.50,14.50,9.23,9.50,81500,9.50
