Date,Open,High,Low,Close,Volume,Adj Close
2016-01-22,16.280001,16.42,16.24,16.379999,5600,16.379999
2016-01-21,16.030001,16.49,16.030001,16.280001,6200,16.280001
2016-01-20,16.389999,16.51,16.08,16.51,7700,16.51
2016-01-19,16.950001,17.01,16.540001,16.60,4300,16.60
2016-01-15,16.90,17.01,16.709999,16.85,9000,16.85
2016-01-14,17.18,17.34,17.10,17.17,16300,17.17
2016-01-13,17.379999,17.50,16.860001,17.200001,9200,17.200001
2016-01-12,17.780001,17.780001,17.299999,17.41,5400,17.41
2016-01-11,17.889999,17.889999,17.51,17.66,18400,17.66
2016-01-08,17.879999,17.93,17.74,17.799999,12800,17.799999
2016-01-07,18.049999,18.15,17.73,17.83,17100,17.83
2016-01-06,18.10,18.209999,18.08,18.15,32100,18.15
2016-01-05,18.540001,18.540001,18.24,18.299999,17400,18.299999
2016-01-04,18.77,18.77,18.299999,18.469999,9000,18.469999
2015-12-31,19.219999,19.219999,18.77,18.889999,18900,18.889999
2015-12-30,19.24,19.35,19.139999,19.32,10800,19.32
2015-12-29,19.459999,19.459999,19.129999,19.32,7000,19.32
2015-12-28,19.200001,19.49,19.15,19.290001,13200,19.290001
2015-12-24,19.209999,19.299999,19.209999,19.280001,700,19.280001
2015-12-23,19.200001,19.40,19.049999,19.33,27200,19.33
2015-12-22,19.41,19.469999,19.16,19.32,23300,19.32
2015-12-21,19.51,19.690001,19.16,19.370001,48000,19.370001
2015-12-18,19.50,19.65,18.93,19.65,224400,19.65
2015-12-17,19.559999,19.629999,19.309999,19.52,12600,19.52
2015-12-16,19.42,19.639999,19.41,19.530001,13800,19.530001
2015-12-15,19.530001,19.559999,19.389999,19.50,20100,19.50
2015-12-14,19.559999,19.60,19.15,19.459999,76600,19.459999
2015-12-11,19.52,19.60,19.120001,19.459999,39400,19.459999
2015-12-10,19.52,19.60,19.030001,19.50,44700,19.50
2015-12-09,19.59,19.639999,19.219999,19.43,48300,19.43
2015-12-08,19.42,19.73,19.01,19.51,55900,19.51
2015-12-07,19.49,19.67,19.280001,19.50,36200,19.50
2015-12-04,19.16,19.50,19.16,19.48,92000,19.48
2015-12-03,19.299999,19.40,19.15,19.200001,61900,19.200001
2015-12-02,19.200001,19.450001,19.200001,19.34,110700,19.34
2015-12-01,18.85,19.50,18.75,19.290001,468100,19.290001
2015-11-30,16.23,16.23,16.15,16.23,2600,16.23
2015-11-27,16.18,16.219999,16.15,16.15,800,16.15
2015-11-25,16.07,16.07,16.07,16.07,100,16.07
2015-11-24,16.049999,16.049999,16.049999,16.049999,100,16.049999
2015-11-23,16.10,16.139999,16.10,16.139999,1300,16.139999
2015-11-20,16.15,16.16,16.10,16.10,1600,16.10
2015-11-19,16.049999,16.049999,16.049999,16.049999,000,16.049999
2015-11-18,16.049999,16.049999,16.049999,16.049999,000,16.049999
2015-11-17,16.049999,16.049999,16.049999,16.049999,000,16.049999
2015-11-16,16.030001,16.049999,16.030001,16.049999,2100,16.049999
2015-11-13,16.15,16.17,16.15,16.17,700,16.17
2015-11-12,16.23,16.23,16.049999,16.049999,3800,16.049999
2015-11-11,16.24,16.24,16.209999,16.209999,1200,16.209999
2015-11-10,16.120001,16.120001,16.120001,16.120001,000,16.120001
2015-11-09,16.200001,16.200001,16.030001,16.120001,6200,16.120001
2015-11-06,16.24,16.25,16.049999,16.129999,3900,16.129999
2015-11-05,16.15,16.15,16.09,16.09,200,16.09
2015-11-04,16.09,16.09,16.09,16.09,300,16.09
2015-11-03,16.120001,16.25,16.120001,16.25,900,16.137
2015-11-02,16.07,16.40,16.07,16.120001,1700,16.007905
2015-10-30,16.00,16.24,16.00,16.139999,1500,16.027764
2015-10-29,16.110001,16.32,16.110001,16.32,400,16.206513
2015-10-28,16.34,16.34,16.00,16.02,1500,15.9086
2015-10-27,16.26,16.389999,16.129999,16.309999,3100,16.196582
2015-10-26,16.25,16.25,16.139999,16.139999,700,16.027764
2015-10-23,16.290001,16.290001,16.290001,16.290001,400,16.176723
2015-10-22,16.049999,16.049999,15.23,15.52,3500,15.412077
2015-10-21,16.00,16.00,16.00,16.00,300,15.888739
2015-10-20,15.90,15.90,15.90,15.90,000,15.789434
2015-10-19,16.049999,16.07,15.06,15.90,37300,15.789434
2015-10-16,16.07,16.07,16.049999,16.049999,2500,15.93839
2015-10-15,16.299999,16.309999,16.290001,16.309999,900,16.196582
2015-10-14,16.299999,16.299999,16.299999,16.299999,300,16.186652
2015-10-13,16.450001,16.450001,16.02,16.40,1700,16.285957
2015-10-12,16.41,16.41,16.41,16.41,000,16.295887
2015-10-09,16.68,16.74,16.41,16.41,8100,16.295887
2015-10-08,16.40,16.50,16.40,16.50,3900,16.385262
2015-10-07,16.389999,16.43,16.389999,16.43,1700,16.315749
2015-10-06,16.370001,16.370001,16.370001,16.370001,200,16.256167
2015-10-05,16.200001,16.200001,16.200001,16.200001,200,16.087349
2015-10-02,15.95,16.15,15.95,16.15,5300,16.037695
2015-10-01,16.24,16.25,16.23,16.25,3400,16.137
2015-09-30,16.18,16.25,16.18,16.23,1800,16.117139
2015-09-29,15.96,16.139999,15.96,16.139999,3200,16.027764
2015-09-28,15.98,16.17,15.98,16.17,500,16.057557
2015-09-25,16.10,16.219999,16.09,16.209999,4500,16.097277
2015-09-24,15.99,15.99,15.99,15.99,100,15.878808
2015-09-23,16.09,16.09,16.09,16.09,100,15.978113
2015-09-22,15.95,16.00,15.95,16.00,500,15.888739
2015-09-21,16.18,16.18,16.07,16.07,500,15.958252
2015-09-18,15.91,16.23,15.91,15.94,3700,15.829155
2015-09-17,16.23,16.23,15.90,16.02,3100,15.9086
2015-09-16,15.91,15.97,15.91,15.96,1500,15.849017
2015-09-15,15.94,16.209999,15.91,16.209999,3100,16.097277
2015-09-14,16.030001,16.030001,15.94,15.94,200,15.829155
2015-09-11,16.200001,16.200001,16.110001,16.200001,700,16.087349
2015-09-10,15.94,15.94,15.94,15.94,200,15.829155
2015-09-09,16.370001,16.440001,15.95,16.049999,5400,15.93839
2015-09-08,16.00,16.219999,16.00,16.219999,4700,16.107208
2015-09-04,15.76,16.00,15.76,15.97,4400,15.858948
2015-09-03,16.00,16.00,16.00,16.00,1300,15.888739
2015-09-02,16.00,16.040001,15.88,15.88,14000,15.769573
2015-09-01,15.86,16.200001,15.76,15.87,6000,15.759643
2015-08-31,15.76,16.02,15.76,16.00,39200,15.888739
2015-08-28,16.00,16.00,15.76,15.77,5700,15.660338
2015-08-27,16.00,16.07,15.98,16.00,4700,15.888739
2015-08-26,16.00,16.049999,15.80,15.82,3100,15.70999
2015-08-25,16.00,16.00,15.90,15.90,3800,15.789434
2015-08-24,16.200001,16.200001,15.86,15.86,2600,15.749712
2015-08-21,16.200001,16.200001,16.200001,16.200001,500,16.087349
2015-08-20,16.299999,16.32,16.200001,16.200001,7200,16.087349
2015-08-19,16.33,16.33,16.33,16.33,200,16.216444
2015-08-18,16.43,16.43,16.35,16.389999,700,16.276026
2015-08-17,16.50,16.51,16.24,16.309999,2500,16.196582
2015-08-14,16.34,16.719999,16.18,16.559999,4000,16.444844
2015-08-13,16.00,16.299999,16.00,16.26,3500,16.146931
2015-08-12,15.70,16.030001,15.70,15.98,2500,15.868877
2015-08-11,15.93,16.00,15.91,16.00,2100,15.888739
2015-08-10,15.95,15.95,15.95,15.95,200,15.839086
2015-08-07,15.81,15.81,15.81,15.81,200,15.70006
2015-08-06,15.96,15.97,15.76,15.85,6000,15.739782
2015-08-05,15.61,15.98,15.61,15.98,10000,15.868877
2015-08-04,15.54,15.60,15.37,15.60,500,15.379307
2015-08-03,15.35,15.80,15.28,15.79,11600,15.566618
