Date,Open,High,Low,Close,Volume,Adj Close
2016-01-22,27.379999,27.379999,26.98,27.00,6200,27.00
2016-01-21,26.610001,26.85,26.610001,26.639999,7200,26.639999
2016-01-20,26.73,27.00,25.459999,26.60,34300,26.60
2016-01-19,27.290001,27.290001,26.58,27.00,21500,27.00
2016-01-15,26.450001,27.27,26.450001,26.85,8500,26.85
2016-01-14,25.23,26.93,25.10,26.83,15300,26.83
2016-01-13,26.07,26.92,24.200001,25.360001,22500,25.360001
2016-01-12,29.40,29.50,26.190001,26.370001,35600,26.370001
2016-01-11,29.50,29.50,28.780001,29.41,9700,29.41
2016-01-08,29.50,29.50,29.049999,29.50,9500,29.50
2016-01-07,29.68,29.68,29.219999,29.50,10100,29.50
2016-01-06,29.40,29.700001,29.40,29.440001,1100,29.440001
2016-01-05,29.60,29.700001,29.43,29.700001,1300,29.700001
2016-01-04,29.530001,29.92,29.040001,29.700001,20900,29.700001
2015-12-31,30.00,30.00,28.700001,29.959999,3400,29.959999
2015-12-30,29.85,30.049999,28.870001,29.799999,12200,29.799999
2015-12-29,29.60,30.440001,29.540001,30.00,9200,30.00
2015-12-28,29.700001,29.700001,29.469999,29.52,3500,29.52
2015-12-24,29.65,29.700001,29.60,29.700001,3500,29.700001
2015-12-23,29.51,29.700001,29.48,29.48,7000,29.48
2015-12-22,30.25,30.25,29.469999,29.469999,3900,29.469999
2015-12-21,29.280001,31.24,29.030001,29.809999,5100,29.809999
2015-12-18,29.99,30.35,29.01,29.01,7000,29.01
2015-12-17,31.42,32.720001,29.549999,29.549999,6300,29.549999
2015-12-16,30.790001,31.32,29.01,30.42,5800,30.42
2015-12-15,31.67,32.700001,30.790001,30.84,8200,30.84
2015-12-14,31.00,31.68,30.90,31.110001,12600,31.110001
2015-12-11,31.35,31.709999,30.610001,30.790001,38600,30.790001
2015-12-10,32.119999,32.139999,31.74,31.99,16200,31.99
2015-12-09,32.700001,32.73,32.07,32.369999,6100,32.369999
2015-12-08,32.07,32.740002,32.00,32.200001,15900,32.200001
2015-12-07,32.049999,32.450001,30.73,32.330002,21100,32.330002
2015-12-04,32.099998,32.849998,32.009998,32.459999,15900,32.459999
2015-12-03,31.57,33.00,31.57,32.450001,8800,32.450001
2015-12-02,30.879999,32.34,30.00,31.57,28600,31.57
2015-12-01,30.700001,30.940001,29.709999,30.59,15100,30.59
2015-11-30,29.00,29.799999,29.00,29.51,26200,29.51
2015-11-27,28.50,28.99,28.25,28.99,2800,28.99
2015-11-25,28.10,29.43,28.10,28.33,4600,28.33
2015-11-24,26.690001,28.059999,26.690001,27.790001,13600,27.790001
2015-11-23,28.450001,28.450001,26.690001,26.91,6900,26.91
2015-11-20,28.639999,28.870001,28.299999,28.709999,1900,28.709999
2015-11-19,29.00,29.00,28.27,28.91,1800,28.91
2015-11-18,29.50,29.50,28.389999,28.700001,1700,28.700001
2015-11-17,28.09,29.10,28.00,29.040001,4200,29.040001
2015-11-16,29.66,29.66,27.75,28.24,5100,28.24
2015-11-13,29.00,30.00,29.00,29.40,3800,29.40
2015-11-12,28.969999,29.00,28.690001,29.00,4600,29.00
2015-11-11,28.450001,28.75,28.450001,28.75,800,28.690001
2015-11-10,28.52,28.60,28.27,28.27,600,28.211003
2015-11-09,28.959999,28.959999,27.65,27.879999,10700,27.821815
2015-11-06,27.98,28.25,27.709999,28.02,1900,27.961524
2015-11-05,27.889999,27.969999,27.83,27.969999,400,27.911628
2015-11-04,27.65,28.00,27.65,27.99,6800,27.931586
2015-11-03,27.68,28.299999,27.360001,27.690001,5700,27.632213
2015-11-02,28.00,28.00,27.110001,27.25,3100,27.193131
2015-10-30,27.530001,27.90,27.00,27.90,1800,27.841774
2015-10-29,26.200001,27.58,26.200001,27.58,2200,27.522442
2015-10-28,26.200001,27.40,26.200001,26.32,1600,26.265072
2015-10-27,27.08,27.08,26.00,26.00,6300,25.94574
2015-10-26,27.719999,27.719999,26.540001,27.00,6800,26.943653
2015-10-23,27.639999,27.719999,27.360001,27.709999,2000,27.65217
2015-10-22,27.41,27.93,27.049999,27.200001,3400,27.143236
2015-10-21,26.870001,27.48,26.059999,27.42,5000,27.362776
2015-10-20,26.870001,27.73,26.01,26.110001,8100,26.055511
2015-10-19,26.02,27.74,26.00,27.74,2600,27.682108
2015-10-16,26.00,26.139999,26.00,26.02,3300,25.965698
2015-10-15,25.639999,26.25,25.639999,26.190001,6500,26.135344
2015-10-14,27.00,27.280001,25.030001,25.459999,24500,25.406866
2015-10-13,28.450001,28.50,26.290001,26.950001,19000,26.893758
2015-10-12,28.00,28.50,27.57,28.459999,13500,28.400605
2015-10-09,28.01,28.34,27.870001,27.950001,9300,27.891671
2015-10-08,27.780001,28.50,27.780001,28.370001,3200,28.310794
2015-10-07,27.84,28.01,25.530001,27.60,12700,27.542401
2015-10-06,27.030001,27.75,26.799999,27.700001,4400,27.642193
2015-10-05,24.25,29.02,23.860001,26.01,30000,25.955719
2015-10-02,23.84,24.23,23.84,24.23,3300,24.179433
2015-10-01,23.91,24.049999,23.549999,23.85,10200,23.800227
2015-09-30,24.049999,24.049999,23.379999,23.76,6400,23.710415
2015-09-29,23.67,23.67,23.190001,23.40,5700,23.351165
2015-09-28,24.02,24.049999,23.16,23.75,27300,23.700435
2015-09-25,24.25,24.25,24.02,24.02,2000,23.969872
2015-09-24,24.00,24.34,24.00,24.25,6700,24.199392
2015-09-23,23.00,24.50,23.00,24.10,3700,24.049705
2015-09-22,24.08,24.08,23.969999,23.969999,800,23.919975
2015-09-21,24.90,24.90,24.389999,24.90,4400,24.848035
2015-09-18,24.52,24.90,24.52,24.90,9500,24.848035
2015-09-17,24.84,24.84,24.52,24.52,17300,24.468829
2015-09-16,25.00,25.00,24.700001,24.799999,17600,24.748243
2015-09-15,24.75,24.92,24.709999,24.91,32700,24.858014
2015-09-14,24.90,24.90,24.700001,24.790001,7300,24.738266
2015-09-11,24.610001,24.90,24.610001,24.799999,30400,24.748243
2015-09-10,24.60,24.60,24.51,24.60,5600,24.548662
2015-09-09,24.60,24.60,24.440001,24.549999,13000,24.498765
2015-09-08,24.65,24.65,24.41,24.42,47800,24.369037
2015-09-04,24.549999,24.66,24.549999,24.610001,29500,24.558641
2015-09-03,24.65,24.67,24.549999,24.67,8600,24.618515
2015-09-02,24.65,24.65,24.559999,24.65,11700,24.598557
2015-09-01,24.68,24.75,24.629999,24.629999,11000,24.578598
2015-08-31,24.68,24.90,24.68,24.74,12300,24.688369
2015-08-28,24.66,24.91,24.66,24.870001,14000,24.818099
2015-08-27,24.85,24.85,24.540001,24.73,6000,24.67839
2015-08-26,24.50,24.57,24.43,24.530001,24500,24.478808
2015-08-25,24.85,24.85,24.41,24.41,14200,24.359058
2015-08-24,24.450001,24.950001,24.27,24.549999,29000,24.498765
2015-08-21,24.110001,24.629999,24.059999,24.57,28300,24.518724
2015-08-20,23.00,23.030001,23.00,23.00,8200,22.952
2015-08-19,22.809999,23.25,22.809999,23.25,400,23.201479
2015-08-18,23.26,23.299999,22.99,22.99,9700,22.942021
2015-08-17,23.209999,23.34,23.209999,23.309999,800,23.261353
2015-08-14,22.799999,23.530001,22.799999,23.08,16800,23.031833
2015-08-13,22.60,22.799999,22.00,22.799999,2100,22.692542
2015-08-12,22.690001,22.75,22.299999,22.75,2800,22.642778
2015-08-11,22.25,22.76,22.00,22.040001,9400,21.936125
2015-08-10,22.00,22.32,22.00,22.01,1500,21.906266
2015-08-07,22.10,22.50,22.10,22.50,3600,22.393956
2015-08-06,21.77,22.209999,21.75,21.85,3500,21.74702
2015-08-05,21.93,22.440001,21.059999,22.10,4000,21.995842
2015-08-04,20.50,22.50,20.50,21.57,21400,21.468339
2015-08-03,19.93,19.93,19.93,19.93,000,19.836069
2015-07-31,19.66,20.07,19.66,19.93,3500,19.836069
2015-07-30,19.58,19.780001,19.25,19.25,5000,19.159274
2015-07-29,19.91,20.01,19.629999,19.90,3900,19.80621
2015-07-28,19.75,19.809999,19.51,19.76,6000,19.66687
2015-07-27,19.879999,20.209999,19.50,19.51,7800,19.418048
2015-07-24,19.98,20.35,19.780001,20.08,1900,19.985362
2015-07-23,19.75,19.950001,19.75,19.950001,700,19.855975
2015-07-22,19.950001,20.299999,19.85,20.24,6200,20.144607
2015-07-21,19.82,20.09,19.82,19.82,2100,19.726587
2015-07-20,19.969999,20.030001,19.719999,19.799999,4600,19.706681
2015-07-17,19.99,19.99,19.75,19.91,7100,19.816163
2015-07-16,19.549999,19.780001,19.50,19.76,1500,19.66687
2015-07-15,19.540001,20.35,19.360001,20.35,3500,20.25409
2015-07-14,19.17,20.450001,18.65,19.48,47900,19.388189
2015-07-13,19.129999,19.51,19.129999,19.50,1400,19.408095
2015-07-10,18.719999,19.15,18.719999,19.139999,7300,19.049791
2015-07-09,19.02,19.02,19.02,19.02,1300,18.930358
2015-07-08,18.60,19.040001,18.60,18.99,4200,18.900499
2015-07-07,18.93,18.959999,18.50,18.58,1400,18.492431
2015-07-06,18.51,19.17,18.24,19.17,19500,19.079651
2015-07-02,19.049999,19.049999,18.60,18.620001,5700,18.532244
2015-07-01,18.790001,20.48,18.549999,19.85,34800,19.756446
2015-06-30,19.10,19.15,18.629999,18.85,8100,18.761159
2015-06-29,18.82,19.08,18.76,18.950001,13300,18.860688
2015-06-26,18.99,19.360001,18.700001,19.299999,12900,19.209037
2015-06-25,19.50,19.66,19.049999,19.049999,12400,18.960215
2015-06-24,19.42,20.10,19.299999,19.35,19800,19.258803
2015-06-23,19.83,19.83,19.219999,19.700001,12800,19.607154
2015-06-22,19.530001,19.790001,19.08,19.690001,21600,19.5972
2015-06-19,20.10,20.10,19.50,19.50,23300,19.408095
2015-06-18,20.49,20.49,20.200001,20.200001,600,20.104797
2015-06-17,19.639999,20.25,19.639999,20.25,2900,20.154561
2015-06-16,20.24,20.25,19.82,19.85,1300,19.756446
2015-06-15,20.40,20.48,20.00,20.049999,12500,19.955502
2015-06-12,20.42,20.50,19.98,19.98,2500,19.885833
2015-06-11,19.50,20.370001,19.299999,20.370001,3800,20.273996
2015-06-10,19.110001,19.440001,18.700001,19.299999,13600,19.209037
2015-06-09,19.65,19.65,19.059999,19.34,16600,19.24885
2015-06-08,19.24,19.50,19.040001,19.49,9000,19.398142
2015-06-05,19.49,19.49,19.469999,19.469999,600,19.378236
2015-06-04,19.18,19.35,19.18,19.35,1100,19.258803
2015-06-03,19.15,19.200001,19.00,19.15,8600,19.059745
2015-06-02,19.26,19.440001,18.91,19.25,19300,19.159274
2015-06-01,20.40,20.40,18.959999,19.40,9900,19.308566
2015-05-29,19.17,19.459999,18.870001,19.459999,5400,19.368283
2015-05-28,19.440001,19.49,19.120001,19.120001,6100,19.029887
2015-05-27,19.50,19.50,19.049999,19.10,5300,19.009981
2015-05-26,19.43,19.43,19.43,19.43,300,19.338426
2015-05-22,19.049999,19.459999,18.83,19.459999,7500,19.368283
2015-05-21,19.049999,19.110001,19.030001,19.049999,10500,18.960215
2015-05-20,19.01,19.200001,18.99,19.049999,10900,18.960215
2015-05-19,19.10,19.10,18.950001,18.969999,5100,18.880593
2015-05-18,19.040001,19.049999,18.76,18.969999,11600,18.880593
2015-05-15,19.120001,19.219999,18.870001,19.219999,2500,19.069698
2015-05-14,19.60,19.60,19.10,19.129999,46900,18.980401
2015-05-13,19.450001,19.60,19.190001,19.25,9700,19.099464
2015-05-12,19.60,19.610001,19.24,19.450001,10200,19.2979
2015-05-11,19.75,20.50,19.08,20.50,8400,20.339689
2015-05-08,20.389999,20.389999,19.50,19.940001,15700,19.784068
2015-05-07,20.389999,20.51,20.200001,20.209999,7200,20.051955
2015-05-06,19.950001,21.00,19.950001,20.190001,37000,20.032113
2015-05-05,19.139999,19.15,18.98,19.01,7200,18.861341
2015-05-04,19.299999,19.299999,19.280001,19.290001,1900,19.139152
2015-05-01,19.559999,19.559999,19.00,19.360001,6900,19.208604
2015-04-30,19.549999,19.549999,19.24,19.26,13500,19.109386
2015-04-29,19.26,19.50,19.200001,19.469999,10400,19.317743
