Date,Open,High,Low,Close,Volume,Adj Close
2016-01-22,28.280001,28.379999,27.610001,28.00,74900,28.00
2016-01-21,27.940001,28.129999,27.32,28.00,85300,28.00
2016-01-20,27.52,28.32,26.790001,27.91,131700,27.91
2016-01-19,28.190001,28.190001,27.26,27.74,103500,27.74
2016-01-15,27.33,27.950001,26.90,27.889999,67400,27.889999
2016-01-14,27.860001,28.50,27.719999,27.98,100000,27.98
2016-01-13,29.379999,29.790001,27.469999,27.629999,159700,27.629999
2016-01-12,29.969999,30.51,28.98,29.200001,188300,29.200001
2016-01-11,29.41,29.870001,28.879999,29.870001,88200,29.870001
2016-01-08,29.969999,30.51,29.290001,29.34,115600,29.34
2016-01-07,28.379999,30.43,28.15,30.290001,207000,30.290001
2016-01-06,25.49,28.33,25.16,28.219999,153800,28.219999
2016-01-05,24.60,24.940001,24.049999,24.82,80100,24.82
2016-01-04,24.950001,25.01,24.26,24.360001,95700,24.360001
2015-12-31,25.73,25.92,25.059999,25.24,96900,25.24
2015-12-30,25.82,26.18,25.620001,25.709999,78900,25.709999
2015-12-29,26.030001,26.209999,25.620001,25.77,69700,25.77
2015-12-28,25.48,25.799999,25.309999,25.780001,56000,25.780001
2015-12-24,25.940001,25.969999,25.43,25.709999,23900,25.709999
2015-12-23,25.99,26.10,25.60,25.860001,58700,25.860001
2015-12-22,25.99,25.99,25.43,25.92,51500,25.92
2015-12-21,25.99,26.200001,25.32,25.809999,56100,25.809999
2015-12-18,26.42,26.969999,25.74,26.00,99900,26.00
2015-12-17,26.83,27.469999,26.34,26.58,48000,26.58
2015-12-16,25.809999,26.719999,25.77,26.68,41600,26.68
2015-12-15,25.040001,25.60,25.040001,25.52,58500,25.52
2015-12-14,24.969999,25.32,24.870001,25.10,48600,25.10
2015-12-11,24.00,25.379999,24.00,24.870001,80600,24.870001
2015-12-10,26.16,26.700001,24.200001,25.10,145400,25.000001
2015-12-09,26.76,27.309999,26.26,26.32,48800,26.21514
2015-12-08,27.48,27.540001,26.34,26.799999,33300,26.693227
2015-12-07,27.969999,27.969999,27.23,27.68,42100,27.569722
2015-12-04,27.40,28.389999,27.040001,27.83,39800,27.719124
2015-12-03,27.68,28.02,27.08,27.52,63800,27.41036
2015-12-02,27.83,28.27,27.469999,27.68,28000,27.569722
2015-12-01,27.709999,28.26,27.459999,27.99,34800,27.878487
2015-11-30,27.92,27.92,27.059999,27.40,56800,27.290837
2015-11-27,27.60,28.200001,27.459999,27.700001,22900,27.589643
2015-11-25,26.23,27.780001,26.23,27.49,107300,27.380479
2015-11-24,25.719999,26.83,25.719999,26.200001,56500,26.095619
2015-11-23,25.809999,26.049999,25.52,25.92,33800,25.816734
2015-11-20,25.459999,26.309999,25.09,25.940001,39000,25.836655
2015-11-19,25.219999,25.440001,25.00,25.290001,41300,25.189245
2015-11-18,24.700001,25.370001,24.57,25.299999,38000,25.199203
2015-11-17,24.59,25.280001,24.52,24.639999,51100,24.541833
2015-11-16,24.59,25.200001,24.450001,24.780001,45700,24.681276
2015-11-13,24.68,25.209999,24.549999,24.690001,40900,24.591635
2015-11-12,25.51,25.629999,24.60,24.68,74700,24.581674
2015-11-11,25.780001,25.93,25.18,25.68,32700,25.57769
2015-11-10,25.57,25.940001,24.950001,25.860001,23100,25.756973
2015-11-09,26.24,26.360001,24.83,25.68,65500,25.57769
2015-11-06,26.299999,26.639999,26.17,26.33,50600,26.2251
2015-11-05,25.870001,26.33,25.469999,26.299999,34900,26.195219
2015-11-04,25.719999,26.33,25.32,25.84,42000,25.737053
2015-11-03,25.030001,25.959999,24.43,25.690001,31500,25.587651
2015-11-02,25.09,25.32,24.700001,25.00,82500,24.900399
2015-10-30,25.389999,25.389999,24.41,24.82,65200,24.721116
2015-10-29,25.73,25.98,24.98,25.48,50300,25.378486
2015-10-28,24.879999,26.059999,24.860001,25.879999,56000,25.776892
2015-10-27,25.549999,25.82,24.57,24.77,31000,24.671316
2015-10-26,25.389999,25.99,25.209999,25.59,32600,25.488049
2015-10-23,25.540001,26.030001,25.040001,25.59,60100,25.488049
2015-10-22,24.91,25.49,24.809999,25.469999,27100,25.368526
2015-10-21,25.629999,25.809999,24.84,24.91,25900,24.810758
2015-10-20,25.17,25.639999,24.83,25.59,32400,25.488049
2015-10-19,25.280001,25.450001,24.83,25.08,25500,24.98008
2015-10-16,25.67,25.780001,24.940001,25.280001,36000,25.179284
2015-10-15,25.16,25.559999,24.76,25.559999,36200,25.458168
2015-10-14,25.540001,25.700001,24.440001,25.16,50300,25.059762
