Date,Open,High,Low,Close,Volume,Adj Close
2016-01-22,45.220001,45.779999,44.25,45.610001,226800,45.610001
2016-01-21,45.689999,45.970001,44.310001,44.459999,287400,44.459999
2016-01-20,45.34,46.040001,43.82,45.509998,314300,45.509998
2016-01-19,47.009998,47.990002,45.84,46.16,280800,46.16
2016-01-15,45.790001,46.419998,44.59,46.299999,361200,46.299999
2016-01-14,47.77,48.400002,46.549999,47.23,443700,47.23
2016-01-13,50.50,50.740002,47.029999,47.23,511600,47.23
2016-01-12,50.84,50.900002,49.18,50.119999,264200,50.119999
2016-01-11,50.650002,51.349998,50.00,50.34,246300,50.34
2016-01-08,51.599998,52.049999,50.09,50.220001,324900,50.220001
2016-01-07,51.84,52.369999,50.759998,51.009998,410700,51.009998
2016-01-06,52.470001,53.549999,52.09,53.040001,322100,53.040001
2016-01-05,54.00,54.330002,53.009998,53.400002,250000,53.400002
2016-01-04,53.91,54.599998,53.299999,53.740002,213500,53.740002
2015-12-31,55.279999,55.900002,54.84,55.07,214500,55.07
2015-12-30,56.299999,57.299999,55.240002,55.52,214800,55.52
2015-12-29,56.110001,58.639999,55.950001,56.450001,154400,56.450001
2015-12-28,56.310001,57.09,55.389999,56.07,177100,55.729998
2015-12-24,56.27,57.029999,56.27,56.57,138200,56.226966
2015-12-23,55.610001,56.349998,55.279999,56.189999,134800,55.849269
2015-12-22,54.68,55.419998,53.939999,55.360001,253000,55.024304
2015-12-21,54.27,54.959999,53.950001,54.68,259600,54.348427
2015-12-18,53.950001,54.860001,52.27,53.869999,2183500,53.543338
2015-12-17,55.959999,56.029999,53.849998,54.290001,425800,53.960793
2015-12-16,56.369999,56.369999,54.380001,55.799999,410600,55.461635
2015-12-15,55.490002,56.310001,54.599998,55.52,369300,55.183334
2015-12-14,55.279999,55.77,54.00,54.77,457500,54.437882
2015-12-11,54.91,55.709999,54.27,55.349998,422300,55.014363
2015-12-10,55.990002,56.57,55.709999,55.91,399600,55.570968
2015-12-09,57.049999,58.110001,55.759998,56.27,346000,55.928786
2015-12-08,58.68,58.970001,57.049999,57.27,303000,56.922722
2015-12-07,61.16,61.16,58.91,59.200001,294200,58.841019
2015-12-04,61.040001,62.529999,60.389999,61.150002,352400,60.779195
2015-12-03,62.400002,62.720001,60.720001,60.77,270600,60.401499
2015-12-02,63.650002,64.00,61.82,61.900002,249300,61.524647
2015-12-01,63.810001,64.32,62.810001,63.490002,127000,63.105006
2015-11-30,63.759998,63.900002,60.669998,63.369999,162100,62.985731
2015-11-27,63.599998,63.73,62.919998,63.59,63100,63.204398
2015-11-25,63.43,63.740002,63.080002,63.580002,81000,63.19446
2015-11-24,62.889999,63.630001,62.59,63.41,140700,63.025489
2015-11-23,62.790001,63.939999,62.34,63.240002,164800,62.856522
2015-11-20,62.869999,63.549999,62.59,62.900002,111400,62.518584
2015-11-19,62.919998,62.959999,62.18,62.57,97400,62.190583
2015-11-18,62.630001,63.119999,61.759998,63.09,158500,62.70743
2015-11-17,62.59,63.099998,61.599998,62.240002,109000,61.862586
2015-11-16,61.18,62.279999,60.790001,62.240002,164700,61.862586
2015-11-13,61.220001,62.48,60.790001,61.400002,173400,61.027679
2015-11-12,63.040001,63.040001,61.470001,61.599998,155400,61.226464
2015-11-11,65.220001,65.260002,63.259998,63.450001,192300,63.065248
2015-11-10,64.209999,65.279999,63.73,64.830002,205700,64.436881
2015-11-09,65.059998,65.379997,63.970001,64.480003,245200,64.089004
2015-11-06,63.68,65.230003,63.68,64.82,253700,64.426939
2015-11-05,62.189999,63.68,61.23,63.189999,174000,62.806822
2015-11-04,62.25,62.330002,61.639999,62.189999,102000,61.812886
2015-11-03,61.240002,62.400002,61.09,62.09,140600,61.713494
2015-11-02,61.110001,61.619999,60.529999,61.48,342500,61.107192
2015-10-30,61.98,62.150002,59.919998,60.630001,332900,60.262348
2015-10-29,61.52,62.709999,61.23,62.049999,241400,61.673736
2015-10-28,58.759998,61.669998,58.759998,61.639999,255500,61.266222
2015-10-27,59.48,59.919998,58.529999,58.849998,148100,58.493139
2015-10-26,59.68,60.360001,58.830002,59.73,139800,59.367804
2015-10-23,59.48,60.189999,59.16,59.900002,192000,59.536775
2015-10-22,58.439999,59.900002,58.25,59.150002,211400,58.791323
2015-10-21,59.66,60.290001,58.25,58.299999,125200,57.946475
2015-10-20,59.400002,59.900002,58.18,59.59,162700,59.228654
2015-10-19,58.799999,59.779999,58.700001,59.380001,295500,59.019928
2015-10-16,59.310001,59.310001,58.50,59.080002,118600,58.721748
2015-10-15,58.50,59.41,57.700001,59.299999,213700,58.940411
2015-10-14,59.57,59.57,57.75,58.099998,194400,57.747687
2015-10-13,60.080002,60.709999,59.52,59.560001,125300,59.198837
2015-10-12,59.82,60.580002,59.57,60.34,124400,59.974106
2015-10-09,60.919998,61.00,59.689999,59.790001,97400,59.427442
2015-10-08,60.150002,60.77,59.740002,60.73,156400,60.36174
2015-10-07,59.77,60.66,59.240002,60.240002,172800,59.874714
2015-10-06,59.209999,59.529999,58.740002,59.279999,190700,58.920532
2015-10-05,58.610001,59.540001,57.830002,59.459999,235800,59.099441
2015-10-02,57.650002,58.18,56.00,58.139999,255000,57.787445
2015-10-01,59.009998,60.470001,57.799999,58.57,240400,58.214838
2015-09-30,58.00,58.290001,57.59,58.209999,217900,57.857021
2015-09-29,57.790001,58.150002,57.27,57.529999,170900,57.181144
2015-09-28,57.27,58.040001,56.830002,57.720001,218700,57.369994
2015-09-25,58.360001,58.900002,57.700001,57.830002,333900,57.14139
2015-09-24,57.66,58.279999,57.529999,57.990002,382500,57.299485
2015-09-23,58.77,58.98,57.91,58.220001,241600,57.526746
2015-09-22,58.48,58.849998,57.959999,58.740002,138500,58.040554
2015-09-21,58.959999,59.830002,58.959999,59.150002,136800,58.445672
2015-09-18,58.959999,59.23,58.07,58.459999,456100,57.763886
2015-09-17,61.59,62.349998,59.849998,60.040001,200400,59.325074
2015-09-16,61.299999,61.709999,60.709999,61.57,157100,60.836854
2015-09-15,60.849998,61.470001,60.630001,61.099998,173300,60.372449
2015-09-14,60.57,61.200001,60.25,60.68,157500,59.957452
2015-09-11,60.439999,61.00,60.07,60.720001,104600,59.996977
2015-09-10,60.490002,61.639999,60.25,60.919998,108400,60.194592
2015-09-09,61.900002,62.00,60.580002,60.650002,201900,59.927811
2015-09-08,60.610001,61.490002,60.389999,61.200001,136800,60.471261
2015-09-04,59.049999,59.91,58.970001,59.619999,109000,58.910073
2015-09-03,59.98,60.59,59.41,59.849998,106100,59.137334
2015-09-02,59.34,59.639999,58.209999,59.630001,141100,58.919956
2015-09-01,59.560001,61.009998,58.189999,58.57,208200,57.872576
2015-08-31,59.860001,61.029999,59.619999,60.900002,186400,60.174834
2015-08-28,59.490002,60.73,59.490002,60.360001,154500,59.641263
2015-08-27,59.619999,60.669998,59.040001,59.919998,214400,59.2065
2015-08-26,57.919998,59.02,56.869999,58.900002,226200,58.198649
2015-08-25,59.470001,59.77,56.630001,56.720001,253200,56.044607
2015-08-24,57.75,57.970001,56.939999,57.189999,383100,56.509008
2015-08-21,60.450001,61.400002,60.099998,60.349998,276900,59.63138
2015-08-20,62.279999,62.599998,61.259998,61.259998,194800,60.530544
2015-08-19,63.23,63.34,62.549999,62.759998,218900,62.012683
2015-08-18,63.73,64.290001,62.93,63.34,131800,62.585778
2015-08-17,63.509998,64.379997,62.650002,63.68,194700,62.92173
2015-08-14,62.689999,63.959999,62.560001,63.880001,92000,63.119349
2015-08-13,63.110001,63.939999,62.330002,62.689999,193000,61.943516
