Date,Open,High,Low,Close,Volume,Adj Close
2016-01-22,22.00,22.24,21.65,22.219999,218400,22.219999
2016-01-21,22.57,22.57,21.700001,21.719999,242500,21.719999
2016-01-20,21.969999,22.809999,21.59,22.58,279400,22.58
2016-01-19,23.02,23.32,22.200001,22.34,232900,22.34
2016-01-15,22.76,23.00,22.290001,22.76,363400,22.76
2016-01-14,23.219999,23.73,22.959999,23.389999,233700,23.389999
2016-01-13,23.73,23.73,22.799999,23.139999,320000,23.139999
2016-01-12,24.17,24.17,23.360001,23.629999,387700,23.629999
2016-01-11,23.74,24.10,23.74,23.93,226900,23.93
2016-01-08,24.370001,24.370001,23.57,23.67,232100,23.67
2016-01-07,24.00,24.43,24.00,24.16,328800,24.16
2016-01-06,24.299999,24.809999,24.299999,24.549999,191900,24.549999
2016-01-05,24.85,25.059999,24.639999,24.76,188100,24.76
2016-01-04,25.129999,25.360001,24.799999,24.870001,385200,24.870001
2015-12-31,26.389999,26.450001,25.700001,25.700001,239800,25.700001
2015-12-30,26.74,26.85,26.52,26.530001,188700,26.530001
2015-12-29,26.57,26.85,26.459999,26.790001,140600,26.790001
2015-12-28,26.43,26.549999,25.98,26.370001,138100,26.370001
2015-12-24,26.32,26.67,26.299999,26.50,75700,26.50
2015-12-23,26.16,26.42,26.00,26.41,121300,26.41
2015-12-22,26.129999,26.129999,25.540001,26.02,141300,26.02
2015-12-21,25.48,26.07,25.48,26.07,267700,26.07
2015-12-18,26.139999,26.200001,25.09,25.40,2508900,25.40
2015-12-17,26.440001,26.639999,26.02,26.25,265900,26.25
2015-12-16,26.280001,26.51,25.60,26.33,238700,26.33
2015-12-15,25.60,26.15,25.360001,26.00,407800,26.00
2015-12-14,25.35,25.690001,25.00,25.299999,274300,25.299999
2015-12-11,25.969999,26.35,25.200001,25.360001,257500,25.360001
2015-12-10,26.58,26.90,26.280001,26.459999,157000,26.459999
2015-12-09,26.870001,27.139999,26.40,26.639999,220300,26.639999
2015-12-08,27.299999,27.58,26.809999,26.90,261700,26.90
2015-12-07,28.60,28.77,27.360001,27.58,215100,27.58
2015-12-04,28.290001,29.00,28.209999,28.690001,183200,28.690001
2015-12-03,29.280001,29.389999,28.219999,28.280001,277700,28.280001
2015-12-02,30.40,30.450001,29.139999,29.15,234800,29.15
2015-12-01,30.50,30.700001,30.299999,30.42,316900,30.42
2015-11-30,30.83,31.00,30.32,30.51,196000,30.51
2015-11-27,30.40,30.780001,30.200001,30.73,55000,30.73
2015-11-25,30.49,30.73,30.17,30.42,119200,30.42
2015-11-24,29.860001,30.639999,29.75,30.469999,150700,30.469999
2015-11-23,29.969999,30.190001,29.82,30.08,105400,30.08
2015-11-20,29.84,30.40,29.75,30.00,194800,30.00
2015-11-19,29.83,29.93,29.49,29.76,164700,29.76
2015-11-18,29.57,29.91,29.26,29.90,145700,29.90
2015-11-17,29.190001,29.809999,28.959999,29.43,186600,29.43
2015-11-16,28.709999,29.139999,28.60,29.049999,272400,29.049999
2015-11-13,29.18,29.40,28.34,28.73,141200,28.73
2015-11-12,29.809999,29.98,29.290001,29.34,146100,29.34
2015-11-11,30.40,30.73,30.059999,30.110001,102000,30.110001
2015-11-10,29.59,30.58,29.59,30.40,188700,30.40
2015-11-09,29.75,29.93,29.280001,29.690001,141700,29.690001
2015-11-06,28.49,29.940001,28.49,29.629999,207400,29.629999
2015-11-05,27.879999,28.68,27.84,28.43,232700,28.43
2015-11-04,27.82,27.99,26.799999,27.870001,117200,27.870001
2015-11-03,27.25,27.879999,27.25,27.74,110300,27.74
2015-11-02,26.969999,27.59,26.92,27.389999,133100,27.389999
2015-10-30,27.610001,27.639999,26.65,26.950001,199400,26.950001
2015-10-29,27.639999,28.110001,27.450001,27.67,164300,27.67
2015-10-28,26.200001,27.74,26.09,27.73,201700,27.73
2015-10-27,26.42,26.809999,25.969999,26.07,198900,26.07
2015-10-26,27.01,27.120001,26.49,26.65,111200,26.65
2015-10-23,26.60,27.139999,26.50,27.139999,107600,27.139999
2015-10-22,26.01,26.709999,26.01,26.469999,91800,26.469999
2015-10-21,26.40,26.709999,25.84,25.860001,103800,25.860001
2015-10-20,26.200001,26.559999,26.129999,26.33,79700,26.33
2015-10-19,25.950001,26.440001,25.83,26.24,134800,26.24
2015-10-16,26.030001,26.139999,25.75,25.950001,141100,25.950001
2015-10-15,25.27,25.93,25.110001,25.92,174600,25.92
2015-10-14,26.01,26.01,25.10,25.120001,127700,25.120001
2015-10-13,26.15,26.549999,25.959999,26.00,144000,26.00
2015-10-12,26.139999,26.48,25.83,26.35,81800,26.35
2015-10-09,26.50,26.709999,25.84,26.07,124800,26.07
2015-10-08,26.129999,26.540001,26.10,26.49,124500,26.49
2015-10-07,25.83,26.25,25.68,26.190001,174500,26.190001
2015-10-06,25.76,26.120001,25.42,25.67,155400,25.67
2015-10-05,25.02,25.76,24.85,25.700001,147100,25.700001
2015-10-02,24.74,25.200001,23.90,24.92,330400,24.92
2015-10-01,25.110001,25.32,24.68,25.139999,218600,25.139999
2015-09-30,24.969999,25.17,24.809999,25.030001,227600,25.030001
2015-09-29,24.35,24.82,24.27,24.73,156700,24.73
2015-09-28,24.60,24.620001,24.110001,24.27,222200,24.27
2015-09-25,25.190001,25.49,24.870001,24.950001,148600,24.66
2015-09-24,24.559999,24.950001,24.50,24.90,158500,24.61058
2015-09-23,24.809999,24.98,24.559999,24.780001,92900,24.491976
2015-09-22,24.66,25.00,24.440001,24.73,127000,24.442556
2015-09-21,24.73,25.10,24.549999,25.030001,132700,24.73907
2015-09-18,24.959999,25.10,24.370001,24.49,879900,24.205346
