Date,Open,High,Low,Close,Volume,Adj Close
2016-01-22,23.77,23.99,23.77,23.99,11200,23.99
2016-01-21,22.799999,23.370001,22.799999,23.219999,15500,23.219999
2016-01-20,23.469999,23.469999,22.722,23.264,35300,23.264
2016-01-19,23.629999,23.879999,23.549999,23.690001,21700,23.690001
2016-01-15,23.809999,23.99,23.50,23.57,71200,23.57
2016-01-14,23.959999,24.40,23.959999,24.389999,35100,24.389999
2016-01-13,24.51,24.565001,23.98,24.02,36700,24.02
2016-01-12,24.407,24.459999,24.273001,24.459999,4800,24.459999
2016-01-11,24.450001,24.48,24.309999,24.421,38000,24.421
2016-01-08,24.75,24.90,24.379999,24.379999,180800,24.379999
2016-01-07,24.67,24.959999,24.67,24.75,10000,24.75
2016-01-06,25.450001,25.450001,25.02,25.15,13100,25.15
2016-01-05,25.83,25.83,25.562,25.667999,38500,25.667999
2016-01-04,25.32,26.134001,25.32,25.65,23300,25.65
2015-12-31,26.139999,26.49,26.01,26.01,27200,26.01
2015-12-30,26.458,26.530001,26.25,26.27,20500,26.27
2015-12-29,26.219999,26.57,26.219999,26.469999,36000,26.469999
2015-12-28,26.290001,26.35,26.01,26.16,41000,26.16
2015-12-24,26.32,26.32,26.142,26.27,43300,26.27
2015-12-23,26.389999,26.41,26.200001,26.370001,18200,26.370001
2015-12-22,25.919001,26.07,25.902,26.07,13000,26.07
2015-12-21,25.969999,26.25,25.860001,25.875,8200,25.875
2015-12-18,26.00,26.00,25.799999,25.82,28500,25.82
2015-12-17,26.719999,26.719999,26.385,26.469999,7900,26.286999
2015-12-16,26.25,26.42,26.172001,26.42,10100,26.237346
2015-12-15,26.031,26.18,26.031,26.120001,14100,25.939421
2015-12-14,25.870001,25.936001,25.76,25.84,7700,25.661356
2015-12-11,25.90,25.99,25.639999,25.65,71700,25.472669
2015-12-10,26.18,26.23,26.049999,26.110001,13200,25.92949
2015-12-09,26.209999,26.440001,26.02,26.059999,15100,25.879834
2015-12-08,26.50,26.530001,26.190001,26.23,17900,26.048659
2015-12-07,26.959999,26.959999,26.57,26.639999,6700,26.455824
2015-12-04,26.85,26.889999,26.747999,26.889999,10700,26.704096
2015-12-03,27.381001,27.381001,26.73,26.799999,21600,26.614718
2015-12-02,27.25,27.25,26.889999,26.92,40800,26.733889
2015-12-01,27.049999,27.15,27.02,27.059999,21500,26.872921
2015-11-30,26.85,27.007999,26.85,26.91,7700,26.723958
2015-11-27,27.09,27.09,27.004,27.004,1600,26.817308
2015-11-25,26.940001,27.190001,26.93,27.18,37700,26.992092
2015-11-24,26.780001,27.15,26.780001,27.035999,34300,26.849086
2015-11-23,27.389999,27.389999,26.93,26.93,3300,26.74382
2015-11-20,27.09,27.34,27.073999,27.09,6000,26.902714
2015-11-19,27.18,27.18,27.030001,27.139999,21700,26.952367
2015-11-18,26.629999,26.919001,26.629999,26.919001,29200,26.732897
2015-11-17,26.549999,26.780001,26.549999,26.700001,13100,26.515411
2015-11-16,26.35,26.530001,26.296,26.530001,6400,26.346586
2015-11-13,26.35,26.35,26.219999,26.35,7300,26.16783
2015-11-12,26.77,26.77,26.523001,26.610001,7500,26.426033
2015-11-11,26.85,26.98,26.85,26.92,5400,26.733889
2015-11-10,26.50,26.74,26.490999,26.74,8200,26.555133
2015-11-09,26.73,26.73,26.49,26.639999,14600,26.455824
2015-11-06,26.92,26.92,26.77,26.83,18600,26.644511
2015-11-05,27.01,27.01,26.841,26.959999,9100,26.773612
2015-11-04,27.299999,27.299999,27.01,27.120001,7400,26.932507
2015-11-03,27.00,27.219999,27.00,27.219999,8200,27.031814
2015-11-02,27.110001,27.17,26.965,27.17,8600,26.982161
2015-10-30,27.00,27.035,26.959999,26.969999,5500,26.783543
2015-10-29,26.84,27.040001,26.84,27.040001,5500,26.85306
2015-10-28,27.023001,27.283001,26.863001,26.945999,15600,26.759708
2015-10-27,27.030001,27.030001,26.75,26.84,10900,26.654442
2015-10-26,27.110001,27.110001,26.940001,26.940001,3900,26.753751
2015-10-23,27.07,27.110001,26.959999,27.10,9600,26.912645
2015-10-22,26.76,26.90,26.76,26.90,7900,26.714027
2015-10-21,26.74,26.799999,26.549999,26.549999,3300,26.366446
2015-10-20,26.690001,26.809999,26.67,26.799999,10000,26.614718
2015-10-19,26.511999,26.57,26.475,26.57,3000,26.386308
2015-10-16,26.35,26.58,26.35,26.57,10700,26.386308
2015-10-15,26.559999,26.700001,26.42,26.700001,29900,26.515411
2015-10-14,26.08,26.290001,26.02,26.27,9800,26.088383
2015-10-13,26.25,26.379999,26.200001,26.219999,3200,26.038728
2015-10-12,26.532,26.532,26.360001,26.360001,4900,26.177761
2015-10-09,26.620001,26.620001,26.527,26.57,14700,26.386308
2015-10-08,26.27,26.49,26.07,26.389999,21900,26.207553
2015-10-07,26.02,26.42,26.02,26.309999,11600,26.128106
2015-10-06,25.940001,26.059999,25.879999,25.950001,7400,25.770596
2015-10-05,25.74,26.166,25.74,26.166,8500,25.985102
2015-10-02,25.059999,25.700001,25.059999,25.700001,5900,25.522324
2015-10-01,25.52,25.52,25.110001,25.379999,140400,25.204535
2015-09-30,24.895,25.10,24.895,24.98,6400,24.807301
2015-09-29,24.68,24.709999,24.511999,24.709999,30600,24.539167
2015-09-28,24.99,24.99,24.75,24.809999,2900,24.638476
2015-09-25,25.24,25.290001,25.096001,25.096001,4500,24.9225
2015-09-24,24.74,25.02,24.67,25.00,48200,24.827163
2015-09-23,25.16,25.309999,25.00,25.120001,21600,24.946334
2015-09-22,25.50,25.50,25.18,25.32,12200,25.14495
2015-09-21,25.902,25.950001,25.768,25.83,8700,25.651425
2015-09-18,25.82,26.17,25.809999,25.85,11000,25.671287
2015-09-17,25.91,26.43,25.91,26.16,5400,25.979143
2015-09-16,26.09,26.309999,26.040001,26.309999,43400,26.128106
2015-09-15,25.709,25.98,25.709,25.98,19500,25.800387
2015-09-14,25.799999,25.799999,25.610001,25.66,3400,25.4826
2015-09-11,25.75,25.91,25.75,25.879999,4800,25.701078
2015-09-10,25.719999,25.92,25.719999,25.92,3700,25.740803
2015-09-09,25.879999,25.950001,25.610001,25.799999,5500,25.621631
2015-09-08,25.51,25.52,25.360001,25.52,1300,25.343568
2015-09-04,25.040001,25.225,24.91,25.01,12500,24.837094
2015-09-03,25.68,25.74,25.440001,25.549999,18900,25.37336
2015-09-02,25.334999,25.50,25.190001,25.42,11900,25.244259
2015-09-01,25.535999,25.60,25.07,25.07,50500,24.896679
2015-08-31,26.10,26.10,25.841,26.01,6600,25.830181
2015-08-28,25.940001,26.07,25.780001,26.02,38000,25.840112
2015-08-27,25.48,26.10,25.48,25.74,7400,25.562047
2015-08-26,25.174999,25.358,25.02,25.34,21500,25.164812
2015-08-25,25.52,25.60,24.780001,24.860001,12300,24.688131
2015-08-24,24.530001,25.440001,23.120001,24.93,45500,24.757647
2015-08-21,25.93,26.209999,25.379999,25.389999,35600,25.214466
2015-08-20,26.215,26.43,26.09,26.09,10800,25.909627
2015-08-19,26.51,26.709999,26.459999,26.57,11100,26.386308
2015-08-18,27.028,27.028,26.92,26.93,3700,26.74382
2015-08-17,27.33,27.33,27.01,27.16,7800,26.97223
2015-08-14,27.309999,27.309999,27.114,27.25,6600,27.061608
2015-08-13,27.200001,27.299999,27.049999,27.23,15400,27.041745
2015-08-12,27.079,27.299999,26.992001,27.25,20100,27.061608
2015-08-11,27.50,27.59,27.26,27.370001,19000,27.180779
2015-08-10,27.33,27.76,27.33,27.73,17800,27.538289
2015-08-07,27.389999,27.51,27.27,27.32,24100,27.131123
2015-08-06,27.50,27.50,27.25,27.379999,16900,27.190708
2015-08-05,27.459999,27.50,27.35,27.469999,107300,27.280086
2015-08-04,27.50,27.50,27.24,27.24,13100,27.051676
2015-08-03,27.690001,27.690001,27.299999,27.34,21300,27.150986
2015-07-31,27.459999,27.59,27.41,27.50,13800,27.309879
2015-07-30,27.370001,27.40,27.18,27.40,23900,27.21057
2015-07-29,27.469999,27.66,27.379999,27.379999,15900,27.190708
2015-07-28,26.959999,27.27,26.959999,27.23,23800,27.041745
2015-07-27,27.00,27.09,26.82,26.950001,14800,26.763682
2015-07-24,27.59,27.59,27.252001,27.35,13800,27.160917
2015-07-23,27.65,27.65,27.33,27.51,120400,27.31981
2015-07-22,27.540001,27.540001,27.27,27.459999,43500,27.270155
2015-07-21,27.65,27.65,27.48,27.48,16600,27.290017
2015-07-20,27.469999,27.65,27.450001,27.639999,21800,27.448911
2015-07-17,27.459999,27.639999,27.43,27.49,34700,27.299948
2015-07-16,27.51,27.778,27.469999,27.700001,15800,27.508497
2015-07-15,27.559999,27.57,27.32,27.459999,10700,27.270155
2015-07-14,27.450001,27.530001,27.290001,27.530001,10700,27.339672
2015-07-13,26.42,27.408001,26.42,27.40,10100,27.21057
2015-07-10,27.040001,27.209999,26.870001,27.08,18100,26.892783
2015-07-09,26.556,26.790001,26.410999,26.60,123100,26.416102
2015-07-08,26.709999,26.709999,26.17,26.219999,34200,26.038728
2015-07-07,27.15,27.15,26.48,27.07,52900,26.882852
2015-07-06,27.09,27.238001,26.870001,26.879999,19100,26.694165
2015-07-02,27.50,27.639999,27.459999,27.469999,19700,27.280086
2015-07-01,27.780001,27.924999,27.58,27.65,24400,27.458842
2015-06-30,27.639999,27.639999,27.309999,27.43,24400,27.240363
2015-06-29,28.00,28.290001,27.33,27.530001,16300,27.339672
2015-06-26,28.17,28.24,28.049999,28.132999,10400,27.938502
2015-06-25,28.290001,28.290001,28.120001,28.190001,13000,27.995109
2015-06-24,28.299999,28.299999,28.07,28.129999,18800,27.935523
2015-06-23,28.17,28.43,28.17,28.27,6200,28.074556
2015-06-22,28.360001,28.379999,28.139999,28.18,24100,27.985178
2015-06-19,27.82,28.01,27.799999,27.860001,31100,27.667391
2015-06-18,27.91,28.209999,27.91,28.16,45500,27.809402
2015-06-17,27.969999,28.094,27.700001,27.92,229600,27.57239
2015-06-16,28.26,28.275999,28.049999,28.190001,41700,27.839029
2015-06-15,28.25,28.26,28.10,28.26,12500,27.908157
