Date,Open,High,Low,Close,Volume,Adj Close
2016-01-22,14.97,15.61,14.97,15.60,531900,15.60
2016-01-21,14.96,15.04,14.69,14.80,431800,14.80
2016-01-20,15.18,15.32,14.56,14.88,416600,14.88
2016-01-19,15.49,15.60,15.07,15.38,473000,15.38
2016-01-15,15.47,15.84,15.21,15.48,492700,15.48
2016-01-14,15.79,16.16,15.58,15.85,288000,15.85
2016-01-13,16.440001,16.51,15.68,15.74,289200,15.74
2016-01-12,16.620001,16.860001,16.02,16.43,262700,16.43
2016-01-11,16.200001,16.65,16.10,16.52,245700,16.52
2016-01-08,16.940001,17.200001,16.08,16.10,420700,16.10
2016-01-07,17.379999,17.43,16.700001,16.91,261900,16.91
2016-01-06,17.68,17.92,17.40,17.52,204600,17.52
2016-01-05,17.700001,17.969999,17.530001,17.84,231200,17.84
2016-01-04,17.559999,17.860001,17.40,17.559999,422500,17.559999
2015-12-31,17.75,17.92,17.559999,17.77,653900,17.77
2015-12-30,18.209999,18.35,17.66,17.700001,183000,17.700001
2015-12-29,17.809999,18.52,17.57,18.200001,538400,18.200001
2015-12-28,17.43,17.85,17.43,17.75,200600,17.75
2015-12-24,17.620001,17.75,17.35,17.51,162100,17.51
2015-12-23,17.959999,17.99,17.73,17.780001,169900,17.780001
2015-12-22,17.77,17.77,17.389999,17.74,198600,17.74
2015-12-21,17.620001,17.91,17.540001,17.690001,235800,17.690001
2015-12-18,18.09,18.18,17.43,17.469999,286800,17.469999
2015-12-17,17.74,18.26,17.74,18.16,199700,18.16
2015-12-16,18.030001,18.309999,17.440001,17.700001,274200,17.700001
2015-12-15,17.940001,18.190001,17.73,17.940001,201500,17.940001
2015-12-14,18.10,18.209999,17.59,17.85,228000,17.85
2015-12-11,18.43,18.75,17.91,18.10,167600,18.10
2015-12-10,18.90,19.07,18.66,18.77,124400,18.77
2015-12-09,19.190001,19.40,18.559999,18.940001,241500,18.940001
2015-12-08,19.120001,19.60,18.99,19.290001,160900,19.290001
2015-12-07,19.360001,19.51,19.049999,19.33,203500,19.33
2015-12-04,19.16,19.67,19.16,19.540001,160600,19.540001
2015-12-03,19.469999,19.84,19.129999,19.190001,217600,19.190001
2015-12-02,19.709999,19.719999,19.360001,19.379999,144700,19.379999
2015-12-01,19.26,19.82,19.049999,19.67,285000,19.67
