Date,Open,High,Low,Close,Volume,Adj Close
2016-01-22,11.77,11.97,11.68,11.88,532800,11.88
2016-01-21,11.71,11.81,10.67,11.61,677100,11.61
2016-01-20,11.18,11.68,11.10,11.60,902200,11.60
2016-01-19,11.36,11.70,11.22,11.36,825600,11.36
2016-01-15,11.17,11.30,10.89,11.27,967000,11.27
2016-01-14,11.47,11.67,11.27,11.55,592200,11.55
2016-01-13,11.68,11.83,11.33,11.37,784000,11.37
2016-01-12,11.55,11.70,11.44,11.67,826500,11.67
2016-01-11,11.42,11.51,11.32,11.44,570100,11.44
2016-01-08,11.59,11.70,11.29,11.36,946300,11.36
2016-01-07,11.66,11.77,11.48,11.54,1192600,11.54
2016-01-06,12.18,12.30,11.81,11.88,728000,11.88
2016-01-05,12.53,12.64,12.23,12.35,836100,12.35
2016-01-04,12.49,13.12,12.29,12.53,1186900,12.53
2015-12-31,13.05,13.09,12.76,12.76,627100,12.76
2015-12-30,13.31,13.39,13.08,13.12,423300,13.12
2015-12-29,13.36,13.48,12.96,13.39,429400,13.39
2015-12-28,13.20,13.31,13.06,13.31,457200,13.31
2015-12-24,13.06,13.35,13.06,13.28,222300,13.28
2015-12-23,13.05,13.32,13.05,13.11,297700,13.11
2015-12-22,13.03,13.13,12.78,13.01,374600,13.01
2015-12-21,12.98,13.59,12.80,12.99,508500,12.99
2015-12-18,12.99,13.07,12.37,12.87,1923200,12.87
2015-12-17,13.24,13.24,13.01,13.06,800700,13.06
2015-12-16,13.15,13.23,12.90,13.16,1216500,13.16
2015-12-15,12.94,13.18,12.60,13.08,835700,13.08
2015-12-14,13.17,13.20,12.81,12.86,692800,12.86
2015-12-11,13.32,13.51,13.14,13.20,841000,13.20
2015-12-10,13.48,13.66,13.48,13.53,457900,13.53
2015-12-09,13.77,13.80,13.47,13.52,740900,13.52
2015-12-08,13.99,14.02,13.72,13.78,659800,13.78
2015-12-07,14.18,14.25,14.09,14.14,995800,14.14
2015-12-04,13.92,14.28,13.89,14.22,556400,14.22
2015-12-03,14.26,14.41,13.92,13.93,657800,13.93
2015-12-02,14.43,14.53,14.17,14.18,594900,14.18
2015-12-01,14.48,14.55,14.36,14.40,1151900,14.40
2015-11-30,14.37,14.52,14.19,14.48,1103000,14.48
2015-11-27,14.26,14.38,14.15,14.30,276000,14.30
2015-11-25,13.93,14.35,13.88,14.27,651700,14.27
2015-11-24,14.08,14.20,13.97,13.99,1187100,13.99
2015-11-23,14.16,14.16,13.91,14.10,585700,14.10
2015-11-20,14.08,14.27,13.96,14.14,724900,14.14
2015-11-19,14.04,14.12,13.88,14.00,529900,14.00
2015-11-18,13.59,14.10,13.20,13.97,1323900,13.97
2015-11-17,13.57,13.71,13.10,13.52,562900,13.52
2015-11-16,13.30,13.56,13.27,13.54,470900,13.54
2015-11-13,13.38,13.50,12.84,13.33,671900,13.33
2015-11-12,13.75,13.86,13.57,13.57,447500,13.449999
2015-11-11,13.82,14.00,13.78,13.83,447900,13.7077
2015-11-10,13.87,13.99,13.77,13.79,958800,13.668054
2015-11-09,14.18,14.19,13.94,13.96,669800,13.836551
2015-11-06,13.97,14.23,13.95,14.19,723500,14.064517
2015-11-05,13.97,14.07,13.78,13.96,557400,13.836551
2015-11-04,13.82,13.92,13.72,13.91,777500,13.786993
2015-11-03,13.72,13.92,13.64,13.76,1078800,13.63832
2015-11-02,13.63,13.86,13.55,13.77,1111400,13.648231
2015-10-30,13.60,13.64,13.42,13.55,1088500,13.430177
2015-10-29,13.95,13.95,13.00,13.57,1356900,13.449999
2015-10-28,12.80,13.30,12.73,13.26,1932000,13.142741
2015-10-27,12.75,12.98,12.66,12.80,990800,12.686809
2015-10-26,13.16,13.16,12.80,12.91,406400,12.795836
2015-10-23,13.02,13.16,12.74,13.12,613100,13.003979
2015-10-22,12.64,12.91,12.63,12.89,1031000,12.776013
2015-10-21,12.65,12.75,12.43,12.44,517700,12.329992
2015-10-20,12.52,12.66,12.44,12.52,560500,12.409285
2015-10-19,12.57,12.74,12.50,12.53,637700,12.419196
2015-10-16,12.72,12.72,12.50,12.52,541000,12.409285
2015-10-15,12.64,12.79,12.49,12.71,883100,12.597605
2015-10-14,12.15,12.74,12.06,12.55,1396400,12.43902
2015-10-13,12.05,12.34,12.05,12.11,398600,12.00291
2015-10-12,12.38,12.38,12.05,12.15,505800,12.042556
2015-10-09,12.45,12.49,12.30,12.33,499000,12.220965
2015-10-08,12.32,12.52,12.17,12.47,703600,12.359727
2015-10-07,12.15,12.35,11.94,12.32,835200,12.211053
2015-10-06,12.03,12.17,11.91,12.10,632300,11.992999
2015-10-05,11.94,12.11,11.90,12.01,680800,11.903795
2015-10-02,11.45,11.87,11.45,11.87,879300,11.765033
2015-10-01,11.64,11.65,11.40,11.62,1791200,11.517243
2015-09-30,11.41,11.76,11.34,11.70,1482000,11.596536
2015-09-29,11.16,11.36,11.10,11.28,1033100,11.18025
2015-09-28,11.25,11.33,11.08,11.12,737200,11.021665
2015-09-25,11.52,11.62,11.22,11.32,1317100,11.219896
2015-09-24,11.25,11.43,10.94,11.36,1250300,11.259542
2015-09-23,11.20,11.35,11.09,11.30,1782500,11.200074
2015-09-22,11.33,11.34,11.06,11.14,1115700,11.041489
2015-09-21,11.75,11.77,11.38,11.44,1484600,11.338835
2015-09-18,11.00,11.71,10.89,11.61,5539500,11.507332
2015-09-17,10.87,11.30,10.87,11.19,1972300,11.091046
