Date,Open,High,Low,Close,Volume,Adj Close
2016-01-22,106.18,107.93,105.309998,107.470001,147900,107.470001
2016-01-21,106.900002,107.279999,104.82,105.389999,98200,105.389999
2016-01-20,107.559998,108.900002,105.00,106.919998,136600,106.919998
2016-01-19,110.339996,110.339996,108.080002,108.699997,102200,108.699997
2016-01-15,108.07,113.709999,107.199997,108.989998,92400,108.989998
2016-01-14,110.050003,112.080002,109.269997,110.93,51300,110.93
2016-01-13,113.129997,113.129997,109.029999,109.809998,73400,109.809998
2016-01-12,112.32,113.080002,111.68,112.900002,41200,112.900002
2016-01-11,110.160004,112.32,109.790001,111.93,50500,111.93
2016-01-08,111.019997,113.220001,110.150002,110.589996,86300,110.589996
2016-01-07,111.029999,111.639999,110.510002,110.82,48400,110.82
2016-01-06,111.269997,113.160004,111.269997,112.669998,53100,112.669998
2016-01-05,113.099998,113.730003,111.870003,112.43,45500,112.43
2016-01-04,115.089996,115.089996,112.57,113.089996,80200,113.089996
2015-12-31,119.160004,119.699997,116.660004,116.669998,104900,116.669998
2015-12-30,119.620003,119.989998,118.620003,119.25,49400,119.25
2015-12-29,118.519997,119.43,117.860001,119.370003,35300,119.370003
2015-12-28,118.43,118.43,116.639999,117.639999,46100,117.639999
2015-12-24,116.419998,118.889999,116.419998,118.209999,54100,118.209999
2015-12-23,115.160004,116.160004,114.099998,115.900002,40700,115.900002
2015-12-22,113.309998,114.660004,112.279999,114.529999,43900,114.529999
2015-12-21,113.220001,113.459999,111.720001,112.919998,34600,112.919998
2015-12-18,113.699997,113.699997,111.419998,112.690002,207700,112.690002
2015-12-17,115.75,115.75,114.239998,114.370003,44000,113.980003
2015-12-16,115.610001,115.940002,113.760002,115.690002,40900,115.295502
2015-12-15,115.559998,115.669998,113.739998,115.349998,42000,114.956657
2015-12-14,113.339996,114.959999,113.120003,114.699997,65900,114.308872
2015-12-11,113.00,115.00,113.00,114.309998,63300,113.920203
2015-12-10,115.32,115.790001,114.379997,114.860001,43500,114.46833
2015-12-09,116.949997,117.629997,115.00,115.580002,39400,115.185876
2015-12-08,115.75,117.739998,115.75,117.040001,60600,116.640897
2015-12-07,116.919998,117.029999,115.510002,116.370003,42400,115.973183
2015-12-04,115.059998,117.449997,115.059998,116.50,56800,116.102737
2015-12-03,115.550003,116.800003,113.879997,115.019997,51300,114.627781
2015-12-02,117.300003,117.300003,115.18,115.709999,36800,115.31543
2015-12-01,116.580002,117.459999,116.339996,117.150002,33600,116.750522
2015-11-30,118.099998,118.779999,116.459999,116.68,36300,116.282124
2015-11-27,117.260002,118.330002,116.709999,118.059998,27100,117.657415
2015-11-25,116.790001,118.120003,116.029999,117.470001,20300,117.069431
2015-11-24,116.059998,116.910004,115.00,116.459999,43100,116.062873
2015-11-23,115.25,116.980003,115.25,116.139999,51200,115.743964
2015-11-20,116.00,116.93,115.110001,115.650002,74300,115.255637
2015-11-19,115.169998,115.830002,114.639999,115.18,53100,114.787239
2015-11-18,114.279999,115.080002,113.639999,114.980003,46700,114.587924
2015-11-17,114.910004,115.209999,113.410004,113.989998,41500,113.601294
2015-11-16,113.889999,114.800003,113.650002,114.709999,74700,114.31884
2015-11-13,113.410004,114.599998,113.389999,113.730003,71000,113.342186
