Date,Open,High,Low,Close,Volume,Adj Close
2016-01-22,20.700001,20.950001,20.540001,20.74,21800,20.74
2016-01-21,20.440001,20.57,19.709999,20.370001,31200,20.370001
2016-01-20,19.530001,20.85,18.33,20.24,34200,20.24
2016-01-19,20.41,20.85,19.50,19.690001,20800,19.690001
2016-01-15,20.67,20.799999,20.110001,20.440001,31600,20.440001
2016-01-14,21.76,21.950001,20.99,21.17,20700,21.17
2016-01-13,21.950001,22.33,21.299999,21.549999,15200,21.549999
2016-01-12,21.940001,22.610001,21.85,22.059999,31800,22.059999
2016-01-11,22.459999,22.639999,21.860001,22.450001,14400,22.370001
2016-01-08,22.75,23.08,22.200001,22.530001,20400,22.449716
2016-01-07,21.790001,23.049999,21.790001,22.690001,23300,22.609146
2016-01-06,22.00,22.299999,21.93,21.98,20400,21.901675
2016-01-05,22.950001,22.950001,21.860001,22.280001,22100,22.200607
2016-01-04,21.75,23.27,21.75,22.889999,32700,22.808432
2015-12-31,22.389999,22.969999,21.870001,21.889999,15300,21.811995
2015-12-30,22.66,22.92,22.280001,22.280001,17800,22.200607
2015-12-29,23.059999,23.389999,22.129999,22.75,24700,22.668931
2015-12-28,22.889999,23.379999,22.790001,22.950001,17900,22.868219
2015-12-24,23.129999,23.370001,22.870001,23.059999,13000,22.977826
2015-12-23,23.209999,23.389999,22.860001,22.99,15700,22.908076
2015-12-22,22.75,23.34,22.60,22.98,18800,22.898111
2015-12-21,22.700001,23.379999,22.700001,23.110001,17700,23.027649
2015-12-18,22.809999,23.32,21.76,22.75,31200,22.668931
2015-12-17,23.219999,23.35,22.860001,22.98,14000,22.898111
2015-12-16,23.00,23.389999,22.73,22.959999,31200,22.878182
2015-12-15,22.98,23.389999,22.790001,23.00,33700,22.91804
2015-12-14,22.35,23.370001,21.940001,22.73,26100,22.649002
2015-12-11,21.73,22.68,21.73,22.34,34400,22.260392
2015-12-10,24.26,24.26,21.76,22.190001,170200,22.110927
2015-12-09,23.90,23.90,22.91,22.940001,26500,22.858255
2015-12-08,23.959999,24.690001,22.91,22.950001,20600,22.868219
2015-12-07,24.65,25.01,23.290001,23.52,55600,23.436188
2015-12-04,23.879999,24.00,23.780001,23.870001,15000,23.784941
2015-12-03,23.889999,23.99,23.309999,23.75,13900,23.665368
2015-12-02,24.120001,24.24,23.74,23.83,17100,23.745083
2015-12-01,24.42,24.610001,23.709999,24.09,10700,24.004156
2015-11-30,24.450001,24.610001,23.65,24.00,30700,23.914477
2015-11-27,24.200001,24.25,23.559999,24.219999,8100,24.133692
2015-11-25,24.16,24.209999,23.860001,24.040001,27500,23.954335
2015-11-24,24.25,24.50,23.83,24.15,14100,24.063942
2015-11-23,24.299999,24.870001,22.299999,24.24,20700,24.153621
2015-11-20,23.52,25.09,22.83,24.190001,23400,24.1038
2015-11-19,23.00,23.870001,22.92,23.379999,17700,23.296685
2015-11-18,23.00,23.50,22.809999,23.00,13000,22.91804
2015-11-17,22.950001,23.190001,22.82,23.00,8900,22.91804
2015-11-16,21.26,22.969999,21.26,22.940001,13300,22.858255
2015-11-13,21.99,22.629999,21.75,22.24,13400,22.160748
2015-11-12,22.030001,22.50,21.67,22.10,16600,22.021248
2015-11-11,22.48,22.809999,21.92,22.129999,35600,22.05114
2015-11-10,22.450001,22.77,21.889999,22.389999,16400,22.310213
2015-11-09,22.77,22.82,22.35,22.389999,10600,22.310213
2015-11-06,22.610001,23.09,22.450001,23.040001,6900,22.957899
2015-11-05,22.68,22.98,22.02,22.799999,8600,22.718752
2015-11-04,21.959999,23.09,21.959999,22.790001,8800,22.70879
2015-11-03,21.139999,23.059999,21.139999,22.52,13400,22.439751
2015-11-02,21.58,22.49,21.25,22.459999,11900,22.379964
2015-10-30,21.93,22.35,21.41,21.43,16400,21.353635
2015-10-29,23.08,23.08,21.200001,21.889999,7400,21.811995
2015-10-28,21.530001,22.379999,21.200001,21.57,22000,21.493136
2015-10-27,22.219999,22.219999,21.440001,21.469999,13600,21.393492
2015-10-26,23.059999,23.059999,21.809999,22.280001,7900,22.200607
2015-10-23,23.610001,23.610001,22.709999,23.02,5200,22.93797
2015-10-22,22.58,23.709999,22.58,23.709999,11800,23.625509
2015-10-21,23.299999,23.299999,22.030001,22.50,2100,22.419822
2015-10-20,23.02,23.280001,22.280001,23.049999,6700,22.967861
2015-10-19,22.309999,23.299999,22.309999,23.120001,7700,23.037614
2015-10-16,22.40,22.48,21.67,22.48,10000,22.399893
2015-10-15,21.860001,22.309999,21.34,22.299999,11800,22.220534
2015-10-14,21.530001,22.299999,21.52,21.860001,2300,21.782103
2015-10-13,22.41,22.41,21.440001,21.49,18500,21.413421
2015-10-12,23.639999,23.77,22.209999,22.50,35200,22.340107
2015-10-09,23.57,23.809999,23.16,23.49,7000,23.323071
2015-10-08,22.620001,23.809999,22.450001,23.76,5900,23.591153
2015-10-07,22.030001,22.65,22.030001,22.620001,12600,22.459255
2015-10-06,22.01,22.75,21.93,22.120001,9800,21.962808
2015-10-05,22.16,23.01,21.65,22.66,15100,22.49897
2015-10-02,20.700001,21.639999,20.700001,21.57,9700,21.416715
2015-10-01,21.219999,21.559999,20.41,21.209999,21500,21.059273
2015-09-30,20.98,21.559999,20.33,21.10,17300,20.950056
2015-09-29,21.00,21.309999,21.00,21.040001,14900,20.890483
2015-09-28,20.98,21.00,20.33,20.50,17000,20.35432
2015-09-25,22.00,22.030001,20.60,20.85,14500,20.701833
2015-09-24,21.719999,23.370001,21.719999,21.799999,12700,21.645081
2015-09-23,21.90,23.120001,21.799999,21.870001,8900,21.714585
2015-09-22,22.639999,23.200001,22.209999,22.83,13000,22.667762
2015-09-21,23.040001,23.74,22.530001,22.68,18700,22.518828
2015-09-18,24.60,24.75,23.049999,23.24,41500,23.074848
2015-09-17,24.75,25.030001,23.780001,25.02,7000,24.842199
2015-09-16,24.00,24.42,23.34,24.219999,13300,24.047883
2015-09-15,23.00,23.74,22.889999,23.139999,14000,22.975558
2015-09-14,23.10,23.10,21.209999,22.780001,19400,22.618118
2015-09-11,22.34,23.99,22.26,22.709999,15400,22.548614
2015-09-10,22.59,23.110001,21.700001,22.450001,23200,22.290463
2015-09-09,23.93,24.860001,22.43,22.85,25500,22.68762
2015-09-08,24.66,25.940001,23.549999,23.799999,39700,23.630868
2015-09-04,23.700001,24.540001,23.389999,24.540001,3200,24.365611
2015-09-03,24.85,24.85,23.639999,24.07,10700,23.89895
2015-09-02,24.610001,25.950001,23.85,24.17,17200,23.998239
2015-09-01,24.58,24.67,23.620001,23.83,15100,23.660655
2015-08-31,23.66,25.540001,23.66,25.07,14400,24.891843
2015-08-28,22.42,23.860001,22.42,23.41,7800,23.24364
2015-08-27,22.860001,23.60,22.110001,22.59,15900,22.429467
2015-08-26,23.18,23.700001,22.49,22.59,16100,22.429467
2015-08-25,22.15,24.059999,21.76,22.629999,24800,22.469182
2015-08-24,22.00,23.719999,22.00,22.059999,27300,21.903233
2015-08-21,23.700001,25.00,23.00,23.01,27100,22.846483
2015-08-20,25.65,25.65,23.719999,24.17,7500,23.998239
2015-08-19,25.99,27.00,25.559999,25.60,7500,25.418077
2015-08-18,25.34,27.23,23.00,26.950001,27600,26.758484
2015-08-17,23.00,26.469999,23.00,25.950001,18800,25.765591
2015-08-14,24.15,25.959999,23.209999,24.809999,26700,24.633691
2015-08-13,23.17,25.25,23.17,23.91,5100,23.740087
2015-08-12,24.41,25.68,22.139999,24.799999,16000,24.623761
2015-08-11,21.360001,25.40,21.059999,24.559999,57600,24.385467
2015-08-10,20.83,22.73,20.75,21.530001,6900,21.377001
2015-08-07,21.209999,22.120001,21.209999,21.40,8300,21.247923
2015-08-06,21.33,21.790001,21.299999,21.309999,26000,21.158563
2015-08-05,21.110001,21.799999,21.110001,21.40,15300,21.247923
2015-08-04,21.01,21.10,20.75,21.030001,7700,20.880554
2015-08-03,21.09,21.219999,21.00,21.120001,30400,20.969914
2015-07-31,21.10,21.370001,20.75,21.10,13900,20.950056
2015-07-30,21.209999,21.549999,20.790001,21.15,14500,20.9997
2015-07-29,21.00,22.00,21.00,21.34,14300,21.18835
2015-07-28,21.10,21.129999,20.780001,21.00,29200,20.850766
2015-07-27,21.00,21.25,20.709999,21.15,8800,20.9997
2015-07-24,21.709999,22.07,20.93,20.98,9500,20.830908
2015-07-23,21.92,22.360001,21.799999,21.799999,6300,21.645081
2015-07-22,22.700001,22.969999,21.91,22.00,53100,21.84366
2015-07-21,23.219999,23.549999,22.48,22.73,17100,22.568472
2015-07-20,23.219999,23.26,22.60,22.950001,18200,22.78691
2015-07-17,23.219999,23.540001,22.879999,23.440001,14500,23.273427
2015-07-16,24.110001,24.110001,23.049999,23.280001,6800,23.114565
2015-07-15,23.889999,24.40,22.98,23.290001,18200,23.124494
2015-07-14,24.549999,24.809999,23.610001,23.83,29500,23.660655
2015-07-13,23.74,25.059999,23.700001,24.90,27400,24.648584
2015-07-10,23.57,24.629999,23.379999,23.92,8800,23.678479
2015-07-09,25.209999,25.209999,23.309999,23.40,15900,23.163729
2015-07-08,23.790001,25.00,23.790001,24.139999,7200,23.896257
2015-07-07,23.59,24.73,23.10,23.93,15400,23.688378
2015-07-06,23.16,24.25,22.559999,23.059999,26100,22.827162
2015-07-02,23.879999,24.280001,23.030001,23.389999,21500,23.15383
2015-07-01,23.700001,24.25,23.639999,24.00,11100,23.757671
2015-06-30,23.23,23.90,23.18,23.549999,11500,23.312214
2015-06-29,23.50,23.73,23.040001,23.23,22300,22.995446
2015-06-26,23.85,23.940001,23.030001,23.610001,42500,23.37161
2015-06-25,23.65,24.01,23.57,23.879999,9200,23.638882
2015-06-24,24.16,24.190001,23.280001,23.450001,19300,23.213225
2015-06-23,24.280001,24.530001,23.780001,24.059999,14100,23.817065
2015-06-22,24.10,24.360001,23.77,24.17,9500,23.925955
2015-06-19,24.129999,24.57,24.01,24.01,24600,23.767571
2015-06-18,24.17,24.33,23.84,24.02,9200,23.77747
2015-06-17,25.889999,25.93,23.52,24.00,20100,23.757671
2015-06-16,25.639999,26.209999,25.60,25.879999,9500,25.618688
2015-06-15,25.10,25.91,24.83,25.610001,20600,25.351416
2015-06-12,23.889999,25.709999,23.870001,25.35,21300,25.094041
2015-06-11,23.690001,24.60,23.530001,23.90,11100,23.658681
2015-06-10,23.48,23.99,23.299999,23.52,8200,23.282518
2015-06-09,22.18,23.75,22.00,23.02,25400,22.787567
2015-06-08,21.10,23.440001,21.10,22.01,20800,21.787765
2015-06-05,20.379999,21.18,20.32,21.040001,38700,20.827559
2015-06-04,22.41,23.07,20.32,20.43,24600,20.223718
2015-06-03,23.52,23.629999,22.25,22.26,20000,22.03524
2015-06-02,23.15,23.52,22.76,23.469999,13200,23.233022
2015-06-01,23.790001,24.440001,22.90,23.040001,14800,22.807365
2015-05-29,25.40,26.110001,23.559999,23.969999,18600,23.727974
2015-05-28,25.51,25.51,25.08,25.280001,6500,25.024748
2015-05-27,25.459999,25.50,25.25,25.389999,8800,25.133636
2015-05-26,26.27,26.40,25.17,25.219999,17800,24.965352
2015-05-22,26.98,27.440001,26.90,27.01,14500,26.73728
2015-05-21,26.73,26.85,26.360001,26.85,8200,26.578895
2015-05-20,25.139999,26.73,25.139999,26.73,11800,26.460106
2015-05-19,25.200001,25.280001,24.889999,25.26,60900,25.004949
