Date,Open,High,Low,Close,Volume,Adj Close
2016-01-22,75.110001,75.790001,74.269997,75.059998,155400,75.059998
2016-01-21,74.809998,75.379997,74.099998,74.209999,142200,74.209999
2016-01-20,75.580002,75.800003,73.870003,75.059998,167000,74.609997
2016-01-19,77.139999,77.510002,75.559998,76.529999,106500,76.071185
2016-01-15,76.959999,77.900002,76.099998,76.690002,163900,76.230229
2016-01-14,77.330002,79.00,76.489998,78.68,146000,78.208297
2016-01-13,78.120003,78.910004,76.730003,77.07,150700,76.607949
2016-01-12,78.550003,78.599998,76.440002,77.889999,131100,77.423032
2016-01-11,78.849998,79.379997,77.220001,78.169998,110600,77.701352
2016-01-08,79.980003,81.529999,78.510002,78.75,192200,78.277877
2016-01-07,79.839996,80.389999,79.190002,80.339996,186300,79.858341
2016-01-06,80.709999,84.010002,80.349998,80.720001,148900,80.236068
2016-01-05,82.32,82.879997,81.25,82.00,119400,81.508392
2016-01-04,82.839996,83.559998,81.169998,82.029999,146600,81.538211
2015-12-31,85.32,85.449997,83.660004,83.660004,97500,83.158444
2015-12-30,84.75,85.559998,83.410004,85.440002,97600,84.927771
2015-12-29,84.730003,85.410004,84.32,85.169998,80700,84.659386
2015-12-28,84.699997,84.989998,82.93,84.410004,93600,83.903948
2015-12-24,84.629997,85.190002,84.349998,84.690002,44100,84.182268
2015-12-23,83.349998,84.809998,82.389999,84.610001,133400,84.102746
2015-12-22,81.309998,83.199997,80.559998,82.970001,150600,82.472578
2015-12-21,83.330002,83.599998,79.68,81.099998,197100,80.613787
2015-12-18,82.860001,84.290001,75.610001,82.690002,757800,82.194258
2015-12-17,84.809998,85.440002,83.339996,83.379997,149000,82.880116
2015-12-16,83.699997,84.889999,83.160004,84.769997,152200,84.261782
2015-12-15,84.419998,85.540001,83.010002,83.459999,159200,82.959639
2015-12-14,82.790001,85.260002,82.209999,83.830002,203700,83.327423
2015-12-11,82.970001,85.489998,82.400002,82.730003,165100,82.234019
2015-12-10,83.800003,84.779999,83.599998,84.129997,159500,83.62562
2015-12-09,84.68,85.620003,83.239998,83.800003,166000,83.297604
2015-12-08,85.699997,86.760002,82.800003,84.75,195000,84.241906
2015-12-07,87.959999,88.400002,86.019997,86.690002,129900,86.170277
2015-12-04,86.620003,88.370003,86.290001,88.18,146700,87.651342
2015-12-03,86.980003,87.93,86.160004,86.639999,120300,86.120574
2015-12-02,87.25,88.00,86.589996,86.809998,134200,86.289553
2015-12-01,85.879997,88.029999,85.690002,87.489998,136700,86.965477
2015-11-30,85.870003,88.279999,85.389999,85.720001,133200,85.206091
2015-11-27,84.529999,86.260002,84.419998,85.699997,91200,85.186207
2015-11-25,84.199997,85.870003,84.110001,84.870003,142100,84.361189
2015-11-24,82.970001,84.309998,82.970001,84.239998,131400,83.734961
2015-11-23,83.639999,83.959999,82.059998,83.00,174200,82.502397
2015-11-20,83.00,84.080002,82.849998,83.32,171700,82.820478
2015-11-19,82.669998,84.230003,82.019997,82.480003,179200,81.985518
2015-11-18,81.419998,83.129997,81.150002,82.970001,139500,82.472578
2015-11-17,81.230003,82.489998,80.779999,81.129997,189000,80.643606
2015-11-16,81.419998,82.139999,80.620003,81.620003,160500,81.130673
2015-11-13,80.790001,82.389999,80.489998,81.220001,161500,80.73307
2015-11-12,81.660004,83.900002,80.440002,81.449997,161100,80.961687
