Date,Open,High,Low,Close,Volume,Adj Close
2016-01-22,117.360001,119.019997,116.110001,118.660004,262900,118.660004
2016-01-21,117.019997,117.510002,115.589996,116.830002,160100,116.830002
2016-01-20,115.559998,117.50,114.110001,116.43,223200,116.43
2016-01-19,116.07,117.07,115.379997,116.480003,173300,116.480003
2016-01-15,112.800003,114.839996,112.139999,114.720001,249400,114.720001
2016-01-14,114.540001,116.230003,113.989998,115.209999,118300,115.209999
2016-01-13,117.050003,117.300003,113.709999,114.129997,125200,114.129997
2016-01-12,115.099998,116.809998,114.400002,116.709999,181000,116.709999
2016-01-11,114.93,115.279999,112.879997,114.00,174700,114.00
2016-01-08,116.419998,116.82,113.830002,113.989998,186700,113.989998
2016-01-07,114.220001,116.599998,114.220001,116.190002,221500,116.190002
2016-01-06,114.489998,116.559998,114.489998,115.720001,161500,115.720001
2016-01-05,113.419998,116.360001,113.089996,116.019997,245300,116.019997
2016-01-04,113.839996,114.760002,112.029999,112.870003,229700,112.870003
2015-12-31,117.860001,117.860001,115.260002,115.459999,244300,115.459999
2015-12-30,117.459999,118.50,116.599998,117.510002,166400,117.510002
2015-12-29,116.139999,117.480003,115.800003,117.370003,118000,117.370003
2015-12-28,115.790001,117.220001,114.629997,115.68,125600,115.68
2015-12-24,114.339996,116.190002,113.989998,116.089996,115700,116.089996
2015-12-23,113.769997,114.489998,113.410004,113.82,102100,113.82
2015-12-22,111.910004,113.849998,111.150002,113.25,109100,113.25
2015-12-21,110.779999,112.82,110.209999,111.650002,111200,111.650002
2015-12-18,111.169998,112.279999,109.269997,110.199997,285000,110.199997
2015-12-17,112.290001,112.50,110.879997,111.830002,101900,111.830002
2015-12-16,111.940002,112.089996,110.129997,111.919998,86200,111.919998
2015-12-15,111.43,111.849998,110.220001,111.260002,81800,111.260002
2015-12-14,109.529999,110.839996,108.93,110.690002,132800,110.690002
2015-12-11,108.629997,110.370003,108.540001,109.18,87200,109.18
2015-12-10,110.589996,111.00,109.43,110.010002,97300,110.010002
2015-12-09,112.50,112.720001,110.540001,110.889999,159600,110.889999
2015-12-08,112.089996,113.339996,111.410004,112.690002,132300,112.690002
2015-12-07,112.18,113.120003,110.919998,112.529999,170300,112.529999
2015-12-04,115.080002,117.410004,115.080002,117.209999,154700,111.709996
2015-12-03,116.389999,117.809998,114.650002,115.019997,149000,109.622758
2015-12-02,116.900002,117.07,116.160004,116.32,113100,110.861759
2015-12-01,116.269997,117.400002,116.099998,116.779999,263700,111.300173
2015-11-30,117.330002,118.739998,116.00,116.260002,204500,110.804577
2015-11-27,116.32,116.980003,114.959999,116.410004,53600,110.94754
2015-11-25,115.110001,116.199997,114.419998,115.849998,76000,110.413812
2015-11-24,114.370003,115.900002,113.849998,114.889999,80700,109.498861
2015-11-23,114.599998,116.379997,114.470001,114.760002,85600,109.374963
2015-11-20,114.709999,115.559998,113.739998,114.050003,79300,108.69828
2015-11-19,113.839996,115.029999,113.550003,113.870003,70000,108.526727
2015-11-18,114.150002,114.150002,112.620003,113.82,129500,108.47907
2015-11-17,112.339996,113.589996,112.00,113.43,134000,108.107371
2015-11-16,109.279999,112.18,108.970001,112.050003,116700,106.792129
2015-11-13,109.019997,109.699997,106.370003,109.230003,58900,104.104456
2015-11-12,111.32,111.330002,109.68,109.769997,65100,104.619111
2015-11-11,111.790001,113.00,111.239998,112.160004,69100,106.896968
2015-11-10,110.349998,111.379997,109.50,111.349998,78900,106.124972
2015-11-09,110.940002,110.940002,109.519997,110.290001,106700,105.114714
2015-11-06,112.940002,113.099998,110.139999,111.110001,99500,105.896236
2015-11-05,112.629997,113.760002,112.370003,113.57,134100,108.240801
2015-11-04,113.459999,117.489998,111.709999,112.370003,161700,107.097113
2015-11-03,112.059998,114.139999,111.440002,113.25,154400,107.935817
2015-11-02,114.029999,114.029999,111.599998,112.32,127300,107.049456
2015-10-30,113.529999,114.93,111.139999,113.720001,160200,108.383764
2015-10-29,108.279999,113.480003,103.900002,113.00,246700,107.697548
2015-10-28,105.629997,105.629997,102.919998,104.300003,209200,99.405793
2015-10-27,104.589996,105.32,104.160004,105.150002,193500,100.215906
2015-10-26,102.949997,104.669998,102.779999,104.660004,164300,99.748901
2015-10-23,103.779999,104.470001,102.50,102.82,100200,97.995238
2015-10-22,101.18,103.07,100.75,102.830002,97400,98.004771
2015-10-21,101.290001,101.699997,100.540001,100.629997,59800,95.908
2015-10-20,101.580002,101.580002,100.769997,100.959999,81200,96.222516
2015-10-19,100.110001,101.660004,100.110001,101.510002,125800,96.746711
2015-10-16,100.480003,101.089996,99.980003,100.870003,103300,96.136743
2015-10-15,99.919998,100.449997,98.199997,100.260002,189200,95.555366
2015-10-14,101.400002,101.849998,99.400002,99.550003,140600,94.878684
2015-10-13,101.660004,102.93,101.169998,101.300003,120300,96.546566
2015-10-12,101.650002,102.389999,101.360001,101.879997,60700,97.099344
2015-10-09,101.400002,102.339996,101.160004,101.620003,84400,96.85155
2015-10-08,100.150002,101.379997,99.809998,100.830002,110500,96.098619
2015-10-07,99.900002,100.449997,99.309998,100.309998,229200,95.603016
2015-10-06,99.75,100.00,98.699997,99.589996,128500,94.9168
2015-10-05,98.290001,99.790001,98.290001,99.739998,71500,95.059763
2015-10-02,95.989998,97.970001,95.470001,97.940002,78800,93.344231
2015-10-01,97.68,97.68,95.510002,96.620003,81200,92.086172
2015-09-30,98.449997,99.050003,96.480003,97.480003,146800,92.905817
2015-09-29,98.889999,98.949997,97.139999,97.629997,125400,93.048773
2015-09-28,99.690002,99.959999,98.669998,98.940002,106300,94.297307
2015-09-25,100.360001,101.610001,99.510002,99.669998,152200,94.993048
2015-09-24,99.129997,100.300003,98.540001,99.57,117100,94.897742
2015-09-23,99.629997,99.989998,98.970001,99.470001,82500,94.802436
2015-09-22,99.25,99.699997,98.279999,99.459999,103200,94.792903
2015-09-21,99.550003,100.470001,99.080002,100.010002,93400,95.317098
2015-09-18,98.709999,100.459999,98.709999,99.150002,142400,94.497452
2015-09-17,100.00,101.629997,99.57,100.029999,81600,95.336156
2015-09-16,99.510002,100.519997,99.209999,100.260002,100100,95.555366
2015-09-15,98.910004,99.489998,98.279999,99.18,60500,94.526043
2015-09-14,99.010002,99.290001,98.360001,98.580002,66200,93.954199
2015-09-11,97.50,99.470001,97.50,98.82,80400,94.182935
2015-09-10,97.860001,99.25,97.57,98.089996,70400,93.487187
2015-09-09,100.00,100.169998,97.790001,98.050003,111100,93.44907
2015-09-08,98.540001,99.779999,97.580002,99.519997,97300,94.850085
2015-09-04,96.260002,97.580002,96.080002,97.32,65100,92.753322
2015-09-03,97.230003,99.110001,97.00,97.870003,97600,92.839105
2015-09-02,95.959999,97.370003,95.50,97.279999,105000,92.279429
2015-09-01,94.50,96.220001,94.440002,95.080002,189400,90.192521
2015-08-31,95.599998,96.209999,94.349998,94.830002,95400,89.955372
2015-08-28,95.32,95.849998,94.599998,95.739998,75100,90.81859
2015-08-27,94.839996,96.010002,94.209999,95.779999,108700,90.856535
2015-08-26,94.099998,94.610001,92.150002,94.25,131300,89.405184
2015-08-25,95.93,95.93,92.139999,92.300003,98700,87.555425
2015-08-24,91.959999,93.629997,91.269997,93.629997,149300,88.817052
2015-08-21,93.720001,96.370003,93.720001,95.879997,154900,90.951393
2015-08-20,93.599998,96.360001,92.379997,95.139999,98800,90.249434
2015-08-19,93.410004,94.669998,92.900002,93.93,73600,89.101634
2015-08-18,94.879997,95.00,90.559998,93.980003,120800,89.149067
2015-08-17,94.68,95.43,94.120003,95.32,69300,90.420182
2015-08-14,93.870003,95.129997,93.849998,95.07,70400,90.183033
2015-08-13,94.290001,94.989998,93.599998,94.199997,129500,89.357752
2015-08-12,94.629997,95.160004,93.07,94.279999,96900,89.433641
2015-08-11,95.110001,95.830002,94.370003,95.150002,120300,90.258922
2015-08-10,95.660004,96.160004,94.919998,95.580002,81900,90.666819
2015-08-07,94.599998,95.349998,93.910004,95.290001,67100,90.391725
2015-08-06,95.529999,95.559998,94.709999,95.029999,108000,90.145088
2015-08-05,95.190002,96.00,94.910004,95.360001,54100,90.458127
2015-08-04,93.660004,95.43,93.660004,94.720001,72400,89.851026
2015-08-03,93.220001,93.760002,92.650002,93.669998,52600,88.854997
2015-07-31,93.209999,94.139999,92.690002,93.209999,80000,88.418643
2015-07-30,92.029999,93.330002,91.709999,92.860001,56600,88.086636
2015-07-29,92.099998,92.879997,91.059998,92.550003,49000,87.792574
2015-07-28,91.309998,92.379997,89.629997,92.089996,107800,87.356213
2015-07-27,90.50,91.309998,90.010002,91.019997,45600,86.341216
2015-07-24,91.309998,91.739998,90.75,90.839996,56500,86.170468
2015-07-23,92.730003,93.18,91.209999,91.389999,70800,86.692199
2015-07-22,91.889999,92.760002,91.889999,92.730003,53300,87.963321
2015-07-21,92.029999,92.459999,91.540001,91.919998,73500,87.194954
2015-07-20,91.980003,92.32,91.459999,92.00,51200,87.270843
2015-07-17,92.480003,92.480003,91.480003,91.959999,47200,87.232898
