Date,Open,High,Low,Close,Volume,Adj Close
2016-01-22,7.11,7.48,7.05,7.44,33000,7.44
2016-01-21,7.30,7.42,7.01,7.015,47300,7.015
2016-01-20,7.39,7.39,6.72,7.15,71300,7.15
2016-01-19,7.70,7.72,7.412,7.47,70300,7.43
2016-01-15,7.77,7.86,7.53,7.60,42500,7.559304
2016-01-14,7.95,7.95,7.61,7.86,51500,7.817912
2016-01-13,8.10,8.16,7.85,7.89,58100,7.847751
2016-01-12,8.22,8.35,8.10,8.10,39000,8.056627
2016-01-11,8.33,8.38,8.081,8.20,43100,8.156091
2016-01-08,8.36,8.45,8.32,8.32,27500,8.275448
2016-01-07,8.50,8.58,8.37,8.37,61200,8.325181
2016-01-06,8.57,8.69,8.559,8.59,25400,8.544003
2016-01-05,8.64,8.71,8.57,8.66,16500,8.613628
2016-01-04,8.58,8.74,8.57,8.58,27100,8.534056
2015-12-31,8.55,8.75,8.50,8.65,107500,8.603681
2015-12-30,8.55,8.68,8.50,8.52,36400,8.474378
2015-12-29,8.50,8.70,8.50,8.61,36400,8.563895
2015-12-28,8.47,8.70,8.35,8.60,124000,8.553949
2015-12-24,8.42,8.462,8.36,8.462,17700,8.416688
2015-12-23,8.38,8.48,8.31,8.46,55500,8.414699
2015-12-22,8.25,8.50,8.25,8.31,49100,8.265502
2015-12-21,8.426,8.426,8.20,8.25,32300,8.205823
2015-12-18,8.35,8.38,8.20,8.30,65100,8.255556
2015-12-17,8.64,8.64,8.31,8.385,40700,8.340101
2015-12-16,8.58,8.63,8.30,8.63,65600,8.583789
2015-12-15,8.55,8.59,8.31,8.58,97000,8.494271
2015-12-14,8.50,8.60,8.20,8.49,136100,8.40517
2015-12-11,8.51,8.70,8.38,8.56,361000,8.474471
2015-12-10,9.18,9.20,9.10,9.13,12900,9.038775
2015-12-09,9.00,9.17,9.00,9.11,19100,9.018975
2015-12-08,9.13,9.20,8.93,9.00,29600,8.910074
2015-12-07,9.22,9.237,9.13,9.16,15300,9.068475
2015-12-04,9.25,9.25,9.21,9.22,14900,9.127876
2015-12-03,9.23,9.30,9.172,9.25,19100,9.157576
2015-12-02,9.26,9.26,9.21,9.23,16200,9.137776
2015-12-01,9.35,9.38,9.27,9.27,21000,9.177377
2015-11-30,9.30,9.42,9.24,9.41,29100,9.315977
2015-11-27,9.18,9.38,9.18,9.33,9000,9.236777
2015-11-25,9.16,9.23,9.101,9.23,19600,9.137776
2015-11-24,9.11,9.21,9.10,9.21,8300,9.117976
2015-11-23,9.15,9.18,9.12,9.16,16300,9.068475
2015-11-20,9.15,9.21,9.13,9.16,41500,9.068475
2015-11-19,9.07,9.13,9.06,9.13,15600,9.038775
2015-11-18,9.05,9.08,9.03,9.04,14900,8.949674
2015-11-17,9.09,9.09,9.00,9.05,20700,8.959575
2015-11-16,9.07,9.09,9.00,9.07,40900,8.979374
2015-11-13,9.18,9.24,9.02,9.05,26000,8.959575
2015-11-12,9.18,9.349,9.15,9.28,23100,9.147676
2015-11-11,9.30,9.31,9.06,9.24,36500,9.108246
2015-11-10,9.308,9.308,9.17,9.245,14400,9.113175
2015-11-09,9.42,9.42,9.16,9.18,21800,9.049102
2015-11-06,9.53,9.53,9.40,9.45,21700,9.315252
2015-11-05,9.45,9.61,9.45,9.52,41400,9.384254
2015-11-04,9.30,9.56,9.25,9.41,55900,9.275822
2015-11-03,9.22,9.35,9.22,9.26,20200,9.127962
2015-11-02,9.24,9.42,9.176,9.22,16700,9.088532
2015-10-30,9.25,9.41,9.15,9.20,15200,9.068817
2015-10-29,9.36,9.36,9.121,9.20,12700,9.068817
2015-10-28,9.42,9.42,9.07,9.17,31800,9.039245
2015-10-27,9.35,9.46,9.27,9.35,34900,9.216678
2015-10-26,9.40,9.52,9.34,9.40,13000,9.265965
2015-10-23,9.59,9.59,9.421,9.44,9300,9.305394
2015-10-22,9.51,9.61,9.39,9.59,11000,9.453256
2015-10-21,9.68,9.70,9.50,9.525,8800,9.349753
2015-10-20,9.49,9.71,9.476,9.535,16700,9.359569
2015-10-19,9.50,9.56,9.22,9.49,52200,9.315397
2015-10-16,9.359,9.51,9.27,9.49,53500,9.315397
2015-10-15,9.25,9.34,9.12,9.30,42900,9.128893
2015-10-14,9.34,9.342,9.25,9.33,5700,9.158341
2015-10-13,9.31,9.39,9.25,9.34,10500,9.168157
2015-10-12,9.39,9.39,9.16,9.35,19800,9.177973
2015-10-09,9.30,9.30,9.16,9.30,8500,9.128893
2015-10-08,9.165,9.32,9.16,9.28,22700,9.10926
2015-10-07,9.23,9.27,9.11,9.16,13700,8.991468
2015-10-06,9.24,9.24,9.101,9.18,17600,9.011101
2015-10-05,9.20,9.29,9.13,9.23,33400,9.06018
2015-10-02,9.21,9.27,9.11,9.11,18400,8.942388
2015-10-01,9.20,9.32,9.02,9.32,23100,9.148524
2015-09-30,9.18,9.26,9.14,9.18,10300,9.011101
2015-09-29,9.04,9.10,9.01,9.07,12000,8.903124
2015-09-28,9.30,9.30,9.01,9.04,29300,8.873676
2015-09-25,9.38,9.38,9.28,9.29,17200,9.119077
2015-09-24,9.25,9.325,9.21,9.32,13700,9.148524
2015-09-23,9.386,9.45,9.28,9.30,31400,9.128893
2015-09-22,9.25,9.48,9.23,9.31,12800,9.138709
2015-09-21,9.45,9.49,9.28,9.28,17000,9.10926
2015-09-18,9.14,9.50,9.14,9.48,42800,9.30558
2015-09-17,9.24,9.30,9.18,9.21,7700,9.040549
2015-09-16,9.07,9.32,9.011,9.26,38200,9.050364
2015-09-15,9.10,9.15,9.07,9.07,16000,8.864665
2015-09-14,9.08,9.16,9.03,9.03,12700,8.825571
2015-09-11,9.13,9.32,9.10,9.14,6200,8.933081
2015-09-10,9.29,9.40,9.15,9.15,12800,8.942854
2015-09-09,9.30,9.40,9.11,9.32,20900,9.109006
2015-09-08,9.15,9.35,9.05,9.24,41600,9.030817
2015-09-04,9.00,9.17,9.00,9.09,14000,8.884213
2015-09-03,9.19,9.289,9.04,9.04,11900,8.835345
2015-09-02,9.02,9.36,9.02,9.13,29600,8.923307
2015-09-01,9.04,9.20,9.00,9.08,62200,8.874439
2015-08-31,9.20,9.36,9.06,9.13,51500,8.923307
2015-08-28,9.30,9.39,9.01,9.16,84900,8.952628
2015-08-27,9.14,9.60,9.11,9.34,51900,9.128553
2015-08-26,9.30,9.64,8.96,9.555,32200,9.338686
2015-08-25,9.29,9.65,9.15,9.20,26600,8.991722
2015-08-24,9.29,9.29,9.01,9.01,59900,8.806024
2015-08-21,9.34,9.59,9.30,9.50,25700,9.284931
2015-08-20,9.29,9.61,9.29,9.57,22800,9.353346
2015-08-19,9.46,9.47,9.24,9.35,45400,9.138327
2015-08-18,9.48,9.70,9.31,9.395,139800,9.182308
2015-08-17,9.60,9.73,9.52,9.55,14100,9.294705
2015-08-14,9.64,9.66,9.42,9.61,45000,9.3531
2015-08-13,9.70,9.70,9.61,9.65,16200,9.392031
2015-08-12,9.87,9.96,9.60,9.68,28100,9.42123
2015-08-11,9.93,10.119,9.79,9.90,11200,9.635348
2015-08-10,9.92,9.94,9.76,9.93,17700,9.664547
2015-08-07,9.96,9.96,9.76,9.94,9600,9.674278
2015-08-06,10.07,10.21,9.75,9.95,23500,9.684011
2015-08-05,9.996,10.11,9.90,10.06,34800,9.791071
2015-08-04,10.04,10.206,9.75,9.84,30200,9.576952
2015-08-03,9.99,10.12,9.669,9.97,12600,9.703477
2015-07-31,9.83,10.12,9.83,10.03,24900,9.761873
2015-07-30,9.57,9.85,9.57,9.76,17700,9.499091
2015-07-29,9.55,9.79,9.32,9.61,31600,9.3531
2015-07-28,9.73,9.78,9.502,9.53,59900,9.275239
2015-07-27,10.01,10.01,9.62,9.75,33800,9.489358
2015-07-24,10.26,10.47,9.96,10.01,66900,9.742408
2015-07-23,10.68,10.73,10.33,10.33,38600,10.053853
2015-07-22,10.78,10.84,10.70,10.75,8300,10.462626
2015-07-21,10.82,10.90,10.80,10.84,19800,10.511289
2015-07-20,10.89,10.89,10.80,10.87,9700,10.540379
2015-07-17,10.75,10.92,10.75,10.88,9000,10.550076
2015-07-16,10.72,10.77,10.70,10.75,10700,10.424018
