Date,Open,High,Low,Close,Volume,Adj Close
2016-01-22,10.80,10.89,10.65,10.80,68500,10.80
2016-01-21,10.93,10.98,10.65,10.67,69000,10.67
2016-01-20,10.60,11.01,10.55,10.92,93600,10.92
2016-01-19,11.01,11.09,10.66,10.75,60900,10.75
2016-01-15,10.90,11.04,10.69,10.91,62600,10.91
2016-01-14,11.33,11.44,11.18,11.20,57300,11.20
2016-01-13,11.45,11.56,11.07,11.15,131200,11.15
2016-01-12,11.41,11.47,11.24,11.43,81700,11.43
2016-01-11,11.03,11.36,11.00,11.33,45900,11.33
2016-01-08,11.28,11.28,10.98,10.99,71300,10.99
2016-01-07,11.41,11.55,11.21,11.23,39400,11.23
2016-01-06,11.36,11.66,11.36,11.62,59000,11.62
2016-01-05,11.63,11.63,11.48,11.56,16800,11.56
2016-01-04,11.59,11.78,11.38,11.55,116800,11.55
2015-12-31,11.90,11.95,11.78,11.79,72200,11.79
2015-12-30,11.95,12.04,11.87,11.91,28400,11.91
2015-12-29,11.97,12.04,11.87,12.04,16400,12.04
2015-12-28,11.92,12.01,11.76,11.89,25300,11.89
2015-12-24,12.03,12.13,11.92,12.00,22400,12.00
2015-12-23,11.84,12.06,11.78,12.01,63800,12.01
2015-12-22,11.75,11.87,11.53,11.79,45000,11.79
2015-12-21,11.61,11.73,11.52,11.71,45500,11.71
2015-12-18,11.87,11.89,11.46,11.48,182900,11.48
2015-12-17,12.21,12.29,11.90,11.94,36500,11.94
2015-12-16,12.14,12.20,11.93,12.14,46400,12.14
2015-12-15,11.81,12.11,11.64,12.10,63700,12.10
2015-12-14,11.43,11.79,11.35,11.73,136600,11.73
2015-12-11,11.30,11.48,11.30,11.43,70800,11.43
2015-12-10,11.47,11.61,11.44,11.50,60000,11.50
2015-12-09,11.58,11.68,11.50,11.50,56400,11.50
2015-12-08,11.68,11.77,11.56,11.58,76300,11.58
2015-12-07,11.86,11.87,11.62,11.68,86200,11.68
2015-12-04,11.70,11.93,11.70,11.85,49000,11.85
2015-12-03,11.79,11.91,11.67,11.70,314900,11.70
2015-12-02,11.97,11.98,11.76,11.78,102800,11.78
2015-12-01,12.15,12.25,11.88,12.01,115000,12.01
2015-11-30,12.21,12.32,12.09,12.09,87800,12.09
2015-11-27,12.19,12.25,12.10,12.21,17900,12.21
2015-11-25,12.19,12.24,12.09,12.22,22600,12.22
2015-11-24,11.98,12.23,11.95,12.21,39600,12.21
2015-11-23,12.04,12.20,12.04,12.08,20200,12.08
2015-11-20,12.07,12.21,11.92,12.10,44500,12.10
2015-11-19,12.17,12.23,11.97,12.02,26300,12.02
2015-11-18,12.19,12.25,11.97,12.17,37300,12.17
2015-11-17,12.23,12.36,12.08,12.12,43200,12.12
2015-11-16,11.92,12.50,11.69,12.14,72500,12.14
2015-11-13,11.74,12.05,11.74,11.86,36200,11.86
2015-11-12,12.03,12.14,11.83,11.86,25400,11.86
2015-11-11,12.35,12.42,12.09,12.12,23300,12.12
2015-11-10,12.10,12.27,12.02,12.25,36000,12.25
2015-11-09,12.22,12.22,11.94,12.01,34100,12.01
2015-11-06,11.81,12.25,11.69,12.25,175200,12.25
2015-11-05,11.71,11.98,11.71,11.81,46100,11.81
2015-11-04,11.75,11.79,11.53,11.71,61500,11.71
2015-11-03,11.80,11.95,11.71,11.76,69000,11.675
2015-11-02,11.62,11.95,11.60,11.86,49600,11.774277
2015-10-30,11.85,11.85,11.53,11.63,46900,11.54594
2015-10-29,12.06,12.06,11.71,11.85,47200,11.76435
2015-10-28,11.44,12.07,11.44,12.05,138900,11.962904
2015-10-27,11.67,11.77,11.42,11.47,83800,11.387096
2015-10-26,11.73,11.74,11.60,11.70,37600,11.615433
2015-10-23,11.52,11.75,11.49,11.72,42000,11.635289
2015-10-22,11.44,11.61,11.40,11.52,89200,11.436735
2015-10-21,11.42,11.48,11.34,11.40,49500,11.317602
2015-10-20,11.36,11.45,11.31,11.35,45700,11.267964
2015-10-19,11.30,11.39,11.20,11.36,33600,11.277891
2015-10-16,11.37,11.37,11.23,11.33,34600,11.248108
2015-10-15,10.91,11.31,10.91,11.31,198000,11.228253
2015-10-14,11.07,11.18,10.85,10.85,50600,10.771578
2015-10-13,11.14,11.20,11.02,11.13,43400,11.049554
2015-10-12,11.10,11.16,11.00,11.15,47900,11.069409
2015-10-09,11.16,11.21,11.01,11.03,26100,10.950276
2015-10-08,11.00,11.16,10.93,11.14,36700,11.059482
2015-10-07,10.79,11.04,10.79,11.04,56500,10.960204
2015-10-06,10.82,10.97,10.71,10.74,44100,10.662372
2015-10-05,10.71,10.86,10.59,10.83,152900,10.751722
2015-10-02,10.92,10.92,10.50,10.75,78400,10.6723
2015-10-01,11.11,11.11,10.84,11.03,68100,10.950276
2015-09-30,11.13,11.16,11.05,11.11,64900,11.029698
2015-09-29,10.97,11.09,10.97,11.03,34500,10.950276
2015-09-28,10.97,11.20,10.80,10.99,51300,10.910565
2015-09-25,11.39,11.39,10.94,10.95,133100,10.870854
2015-09-24,11.15,11.30,11.15,11.27,82700,11.188542
2015-09-23,11.12,11.24,10.90,11.20,60600,11.119047
2015-09-22,11.05,11.17,11.03,11.10,51000,11.019771
2015-09-21,11.20,11.24,11.04,11.12,53200,11.039626
2015-09-18,10.85,11.20,10.79,11.19,95900,11.109119
2015-09-17,11.06,11.23,11.00,11.05,70700,10.970132
2015-09-16,11.17,11.17,11.00,11.08,41900,10.999915
