Date,Open,High,Low,Close,Volume,Adj Close
2016-01-22,1.26,1.30,1.13,1.28,6789100,1.28
2016-01-21,0.89,1.07,0.88,1.07,3665800,1.07
2016-01-20,0.81,1.00,0.69,0.92,4803900,0.92
2016-01-19,1.03,1.05,0.88,0.88,5034200,0.88
2016-01-15,1.06,1.07,1.00,1.00,3041100,1.00
2016-01-14,1.05,1.19,1.05,1.12,3930600,1.12
2016-01-13,1.15,1.15,1.06,1.06,3105500,1.06
2016-01-12,1.15,1.17,1.06,1.06,2700600,1.06
2016-01-11,1.22,1.26,1.12,1.12,2972100,1.12
2016-01-08,1.25,1.25,1.19,1.25,2514900,1.25
2016-01-07,1.20,1.25,1.18,1.18,2581700,1.18
2016-01-06,1.29,1.35,1.23,1.25,3226600,1.25
2016-01-05,1.38,1.42,1.33,1.37,1853800,1.37
2016-01-04,1.31,1.43,1.26,1.37,4269000,1.37
2015-12-31,1.21,1.34,1.17,1.29,7395700,1.29
2015-12-30,1.30,1.38,1.21,1.21,4847400,1.21
2015-12-29,1.51,1.58,1.36,1.39,4923700,1.39
2015-12-28,1.48,1.55,1.46,1.48,3790800,1.48
2015-12-24,1.65,1.73,1.48,1.53,3186900,1.53
2015-12-23,1.35,1.74,1.34,1.65,9329000,1.65
2015-12-22,1.14,1.25,1.12,1.20,4588000,1.20
2015-12-21,1.25,1.30,1.06,1.12,5493300,1.12
2015-12-18,1.31,1.40,1.25,1.25,4378200,1.25
2015-12-17,1.37,1.40,1.32,1.32,2801100,1.32
2015-12-16,1.40,1.47,1.37,1.37,3136600,1.37
2015-12-15,1.48,1.50,1.40,1.44,2797400,1.44
2015-12-14,1.43,1.55,1.40,1.43,2820800,1.43
2015-12-11,1.57,1.59,1.49,1.49,2755800,1.49
2015-12-10,1.59,1.70,1.55,1.62,2316600,1.62
2015-12-09,1.53,1.70,1.52,1.59,2982400,1.59
2015-12-08,1.33,1.55,1.30,1.52,3571700,1.52
2015-12-07,1.68,1.68,1.42,1.42,5952300,1.42
2015-12-04,1.80,1.82,1.71,1.71,3603200,1.71
2015-12-03,1.85,1.89,1.78,1.83,2409300,1.83
2015-12-02,1.93,1.97,1.73,1.80,4712700,1.80
2015-12-01,1.97,2.03,1.92,1.99,3182600,1.99
2015-11-30,2.03,2.08,1.99,2.01,2641300,2.01
2015-11-27,2.10,2.12,2.02,2.02,916100,2.02
2015-11-25,2.13,2.18,2.07,2.13,1433400,2.13
2015-11-24,2.03,2.20,2.02,2.19,2625100,2.19
2015-11-23,2.01,2.04,1.93,1.98,2731200,1.98
2015-11-20,2.10,2.14,2.01,2.01,2439500,2.01
2015-11-19,2.22,2.22,2.09,2.10,2567000,2.10
2015-11-18,2.26,2.30,2.20,2.26,1726400,2.26
2015-11-17,2.34,2.39,2.22,2.23,2157000,2.23
2015-11-16,2.23,2.42,2.17,2.41,1898100,2.41
2015-11-13,2.33,2.35,2.20,2.27,2713400,2.27
2015-11-12,2.37,2.40,2.30,2.31,1929900,2.31
2015-11-11,2.50,2.54,2.38,2.44,3008100,2.44
2015-11-10,2.66,2.67,2.52,2.52,2075900,2.52
2015-11-09,2.57,2.71,2.56,2.65,1721100,2.65
2015-11-06,2.79,2.79,2.55,2.55,2104100,2.55
2015-11-05,2.80,2.83,2.65,2.79,3310600,2.79
2015-11-04,2.78,2.92,2.76,2.83,2830900,2.83
2015-11-03,2.59,2.79,2.58,2.75,2661300,2.75
2015-11-02,2.52,2.61,2.48,2.56,1696800,2.56
2015-10-30,2.43,2.56,2.40,2.54,1528500,2.54
2015-10-29,2.53,2.57,2.42,2.44,1772800,2.44
2015-10-28,2.47,2.64,2.46,2.54,2397100,2.54
