Date,Open,High,Low,Close,Volume,Adj Close
2016-01-22,12.76,13.75,12.66,12.69,77400,12.69
2016-01-21,12.65,13.17,12.45,12.54,43800,12.54
2016-01-20,11.76,12.81,11.60,12.64,46700,12.64
2016-01-19,12.20,12.29,11.54,11.94,89800,11.94
2016-01-15,12.47,12.72,11.43,12.16,74400,12.16
2016-01-14,13.63,14.31,12.64,12.71,102400,12.71
2016-01-13,14.70,14.96,13.51,13.68,58100,13.68
2016-01-12,14.40,15.59,14.40,14.76,94700,14.76
2016-01-11,13.72,14.41,13.72,14.24,75400,14.24
2016-01-08,14.03,14.15,13.58,13.60,45700,13.60
2016-01-07,14.33,14.34,13.84,13.89,39800,13.89
2016-01-06,14.12,14.63,14.12,14.48,19400,14.48
2016-01-05,14.35,14.51,14.18,14.35,20300,14.35
2016-01-04,14.78,15.10,14.21,14.31,37400,14.31
2015-12-31,15.27,15.30,14.93,14.94,41400,14.94
2015-12-30,15.07,15.39,15.02,15.19,24400,15.19
2015-12-29,15.39,15.43,14.95,15.18,27000,15.18
2015-12-28,15.21,16.40,14.88,15.20,49800,15.20
2015-12-24,14.85,15.52,14.85,15.29,41600,15.29
2015-12-23,14.90,15.01,14.77,14.90,49900,14.90
2015-12-22,15.00,15.02,14.52,14.86,42000,14.81
2015-12-21,15.23,15.31,14.97,15.05,39100,14.999361
2015-12-18,15.67,15.67,14.96,15.13,116300,15.079092
2015-12-17,15.76,15.99,15.47,15.77,28300,15.716938
2015-12-16,15.15,15.91,15.15,15.61,52700,15.557476
2015-12-15,15.72,15.91,15.01,15.16,28100,15.10899
2015-12-14,15.12,15.59,15.03,15.15,27400,15.099024
2015-12-11,16.530001,16.559999,15.30,15.52,39500,15.46778
2015-12-10,16.23,16.959999,16.059999,16.83,22300,16.773371
2015-12-09,16.389999,16.68,16.01,16.08,13500,16.025895
2015-12-08,16.40,16.93,16.34,16.370001,13500,16.31492
2015-12-07,16.91,17.58,16.52,16.559999,23900,16.504279
2015-12-04,17.290001,17.709999,16.870001,17.00,33600,16.942799
2015-12-03,17.110001,17.469999,17.07,17.33,21200,17.271689
2015-12-02,17.09,17.200001,16.969999,17.129999,13800,17.072361
2015-12-01,17.219999,17.35,16.91,16.969999,17900,16.9129
2015-11-30,17.629999,17.780001,17.02,17.030001,36500,16.972699
2015-11-27,16.860001,17.889999,16.68,17.57,27800,17.510881
2015-11-25,15.85,16.950001,15.85,16.84,32400,16.783338
2015-11-24,15.90,16.299999,15.75,15.80,20300,15.746837
2015-11-23,15.57,16.059999,15.57,15.91,34300,15.856467
