Date,Open,High,Low,Close,Volume,Adj Close
2016-01-22,33.310001,34.50,32.32,32.509998,718300,32.509998
2016-01-21,33.099998,34.509998,32.310001,32.709999,960200,32.709999
2016-01-20,33.540001,33.540001,32.02,33.099998,1476000,33.099998
2016-01-19,35.25,35.790001,33.75,33.880001,1118300,33.880001
2016-01-15,35.049999,35.139999,32.560001,34.740002,2355200,34.740002
2016-01-14,36.07,37.310001,35.200001,36.16,1025000,36.16
2016-01-13,38.52,39.060001,35.709999,35.93,1935700,35.93
2016-01-12,38.580002,39.639999,37.830002,38.43,2135900,38.43
2016-01-11,40.18,40.18,38.869999,39.25,1162900,39.25
2016-01-08,40.299999,40.560001,39.66,39.880001,1122500,39.880001
2016-01-07,40.18,40.439999,39.50,39.630001,1149400,39.630001
2016-01-06,41.00,41.080002,40.25,40.77,1705600,40.77
2016-01-05,42.419998,42.950001,41.279999,41.630001,1294100,41.630001
2016-01-04,41.799999,43.889999,40.75,42.459999,877200,42.459999
2015-12-31,42.849998,43.66,42.650002,42.650002,453100,42.650002
2015-12-30,42.889999,43.349998,42.75,42.959999,297400,42.959999
2015-12-29,42.369999,43.779999,42.369999,42.98,439700,42.98
2015-12-28,42.779999,43.799999,42.009998,42.16,203200,42.16
2015-12-24,42.740002,43.900002,42.48,42.549999,153600,42.549999
2015-12-23,42.330002,43.049999,42.330002,42.700001,335700,42.700001
2015-12-22,42.110001,42.540001,41.689999,42.110001,292700,42.110001
2015-12-21,41.740002,44.700001,41.509998,41.860001,440600,41.860001
2015-12-18,42.490002,42.810001,41.389999,41.43,919300,41.43
2015-12-17,44.119999,44.889999,42.970001,42.98,544600,42.98
2015-12-16,43.93,45.380001,43.349998,43.939999,574800,43.939999
2015-12-15,43.220001,43.950001,43.130001,43.669998,433700,43.669998
2015-12-14,42.279999,43.00,42.25,42.98,635100,42.98
2015-12-11,43.00,43.009998,41.41,42.490002,1034200,42.490002
2015-12-10,43.77,46.84,43.77,44.110001,463300,44.110001
