Date,Open,High,Low,Close,Volume,Adj Close
2016-01-22,57.040001,58.189999,57.029999,57.73,302800,57.73
2016-01-21,55.02,57.200001,54.91,56.610001,683800,56.610001
2016-01-20,54.720001,58.439999,53.540001,55.00,798300,55.00
2016-01-19,56.150002,58.880001,54.240002,55.00,527300,55.00
2016-01-15,54.18,56.27,53.700001,55.880001,995700,55.880001
2016-01-14,55.049999,55.68,53.029999,55.290001,784500,55.290001
2016-01-13,56.360001,56.650002,53.990002,54.400002,673500,54.400002
2016-01-12,57.18,58.259998,56.43,57.110001,273800,57.110001
2016-01-11,56.799999,57.990002,56.209999,56.869999,500300,56.869999
2016-01-08,56.73,57.549999,56.240002,56.790001,663600,56.790001
2016-01-07,57.00,57.66,56.41,56.689999,513200,56.689999
2016-01-06,57.75,58.200001,57.490002,57.610001,726300,57.610001
2016-01-05,58.900002,59.169998,58.110001,58.299999,479800,58.299999
2016-01-04,58.09,59.330002,57.200001,58.59,714000,58.59
2015-12-31,58.830002,59.93,58.150002,58.650002,430100,58.650002
2015-12-30,59.00,59.759998,58.360001,58.810001,398000,58.810001
2015-12-29,58.82,59.360001,58.450001,59.130001,427100,59.130001
2015-12-28,57.889999,59.07,57.459999,58.59,300300,58.59
2015-12-24,58.139999,58.830002,57.900002,58.119999,101800,58.119999
2015-12-23,58.200001,58.849998,57.720001,58.169998,262900,58.169998
2015-12-22,56.869999,58.150002,56.459999,57.869999,433900,57.869999
2015-12-21,55.610001,58.639999,55.610001,56.860001,569100,56.860001
2015-12-18,56.18,56.540001,54.73,55.490002,1323900,55.490002
2015-12-17,57.970001,58.799999,57.23,57.25,531400,57.25
2015-12-16,57.68,58.189999,56.810001,57.93,656000,57.93
2015-12-15,55.25,56.09,53.990002,56.02,405300,56.02
2015-12-14,56.00,59.099998,54.91,55.080002,709800,55.080002
2015-12-11,58.380001,58.490002,56.740002,57.00,602900,57.00
2015-12-10,57.310001,58.029999,56.290001,57.630001,684600,57.630001
2015-12-09,56.98,57.68,56.00,57.09,455500,57.09
2015-12-08,57.93,58.369999,57.25,57.369999,444400,57.369999
2015-12-07,59.700001,59.880001,58.279999,58.400002,447000,58.400002
2015-12-04,60.049999,60.380001,58.799999,59.900002,342800,59.900002
2015-12-03,61.419998,61.810001,59.889999,60.169998,321700,60.169998
2015-12-02,62.66,62.66,60.970001,61.200001,379000,61.200001
2015-12-01,62.349998,63.25,61.389999,62.860001,297000,62.860001
2015-11-30,63.549999,63.93,62.200001,62.419998,313000,62.419998
2015-11-27,62.779999,63.75,62.650002,63.310001,117500,63.310001
2015-11-25,62.610001,62.98,61.990002,62.740002,236300,62.740002
2015-11-24,62.049999,62.549999,61.459999,62.419998,313500,62.419998
2015-11-23,62.68,63.009998,62.299999,62.470001,207100,62.470001
2015-11-20,62.790001,63.25,62.490002,62.50,282900,62.50
2015-11-19,62.599998,63.50,62.330002,62.549999,297700,62.549999
2015-11-18,62.380001,62.880001,61.209999,62.689999,276500,62.689999
2015-11-17,61.959999,62.900002,61.560001,61.869999,235400,61.869999
2015-11-16,60.830002,62.209999,60.700001,62.049999,354600,62.049999
2015-11-13,61.450001,61.700001,60.849998,61.080002,325200,61.080002
2015-11-12,63.060001,63.450001,61.43,61.450001,262400,61.450001
2015-11-11,63.75,63.799999,62.560001,63.279999,159100,63.279999
2015-11-10,63.259998,64.410004,62.919998,63.75,279600,63.75
2015-11-09,63.790001,64.419998,62.220001,63.23,403300,63.23
2015-11-06,63.349998,64.620003,62.450001,64.050003,718100,64.050003
2015-11-05,63.610001,64.150002,62.73,63.400002,286200,63.320001
2015-11-04,63.970001,64.169998,62.939999,63.310001,218600,63.230115
2015-11-03,64.389999,64.660004,63.93,64.07,358200,63.989154
2015-11-02,63.110001,64.50,63.110001,64.379997,559000,64.298761
2015-10-30,63.599998,64.07,63.00,63.040001,381000,62.960455
2015-10-29,61.529999,63.66,61.529999,63.509998,448300,63.429859
2015-10-28,61.57,61.959999,60.82,61.91,463300,61.83188
2015-10-27,62.860001,62.889999,60.950001,61.439999,717900,61.362472
2015-10-26,61.860001,63.290001,61.720001,63.18,553800,63.100278
2015-10-23,64.25,65.900002,61.630001,62.130001,595300,62.051604
2015-10-22,65.00,65.230003,64.190002,65.209999,424700,65.127715
2015-10-21,65.650002,66.00,64.629997,64.769997,241400,64.688268
2015-10-20,64.980003,65.989998,64.860001,65.300003,325500,65.217606
2015-10-19,63.709999,64.970001,63.639999,64.849998,335500,64.768169
2015-10-16,64.529999,65.160004,63.689999,63.860001,243400,63.77942
2015-10-15,64.410004,64.690002,63.950001,64.650002,202300,64.568424
2015-10-14,63.529999,64.68,63.509998,64.120003,254600,64.039094
2015-10-13,64.339996,65.089996,63.540001,63.740002,448200,63.659573
2015-10-12,65.519997,65.540001,64.050003,65.010002,542500,64.927971
2015-10-09,64.959999,65.550003,64.25,65.309998,687900,65.227587
2015-10-08,64.209999,64.800003,64.209999,64.639999,481500,64.558435
2015-10-07,64.449997,65.68,64.199997,64.580002,452900,64.498513
2015-10-06,64.599998,64.839996,64.010002,64.290001,298000,64.208878
2015-10-05,63.240002,64.839996,63.240002,64.620003,662700,64.538463
2015-10-02,61.959999,63.259998,61.849998,63.220001,597500,63.140228
2015-10-01,63.349998,63.669998,62.75,62.970001,593500,62.890544
2015-09-30,66.00,66.309998,63.150002,63.470001,1022800,63.389913
2015-09-29,66.080002,66.220001,65.440002,65.860001,500500,65.776896
2015-09-28,67.239998,67.440002,66.089996,66.120003,342700,66.036571
2015-09-25,66.269997,67.599998,66.040001,67.379997,475000,67.294975
2015-09-24,66.650002,66.690002,65.589996,65.82,231400,65.736946
2015-09-23,66.860001,67.269997,66.43,67.07,307100,66.985369
2015-09-22,68.040001,68.459999,66.709999,66.910004,378800,66.825575
2015-09-21,67.940002,69.129997,67.940002,68.650002,372000,68.563377
2015-09-18,68.110001,69.139999,67.349998,67.669998,571700,67.58461
2015-09-17,68.599998,69.110001,68.599998,68.900002,380800,68.813061
2015-09-16,68.230003,68.919998,67.860001,68.800003,341400,68.713189
2015-09-15,66.970001,68.120003,66.599998,68.07,455100,67.984107
2015-09-14,67.050003,67.050003,66.489998,66.809998,265900,66.725695
2015-09-11,67.349998,67.660004,66.849998,67.050003,208700,66.965397
2015-09-10,67.830002,68.239998,67.099998,67.529999,300100,67.444787
2015-09-09,68.300003,68.300003,67.639999,67.800003,341300,67.714451
2015-09-08,67.330002,67.900002,66.610001,67.629997,251500,67.54466
2015-09-04,65.379997,67.25,64.660004,66.519997,637200,66.43606
2015-09-03,65.900002,66.349998,65.699997,66.199997,532600,66.116464
2015-09-02,65.470001,65.650002,64.919998,65.629997,361700,65.547183
2015-09-01,65.150002,65.949997,64.699997,64.879997,440300,64.79813
2015-08-31,65.830002,67.169998,65.629997,66.199997,602500,66.116464
2015-08-28,66.690002,66.900002,65.629997,66.059998,643100,65.976641
2015-08-27,66.650002,67.150002,66.120003,66.870003,642900,66.785624
2015-08-26,66.209999,66.739998,65.089996,66.410004,663900,66.326206
