Date,Open,High,Low,Close,Volume,Adj Close
2016-01-22,10.57,10.93,10.39,10.86,307400,10.86
2016-01-21,10.60,10.73,10.25,10.36,227300,10.36
2016-01-20,10.36,10.72,9.95,10.50,203000,10.50
2016-01-19,10.77,10.92,10.26,10.48,195800,10.48
2016-01-15,10.58,10.81,10.42,10.66,201000,10.66
2016-01-14,10.98,11.21,10.81,10.92,158300,10.92
2016-01-13,11.68,11.70,10.80,10.90,233200,10.90
2016-01-12,11.66,11.75,11.49,11.66,146500,11.66
2016-01-11,11.39,11.65,11.16,11.60,142400,11.60
2016-01-08,11.74,11.82,11.34,11.41,168100,11.41
2016-01-07,11.52,11.77,11.41,11.65,250300,11.65
2016-01-06,11.51,11.77,11.45,11.71,127600,11.71
2016-01-05,11.87,12.22,11.56,11.65,83100,11.65
2016-01-04,11.89,11.99,11.15,11.87,224400,11.87
2015-12-31,12.55,12.70,12.17,12.19,361700,12.19
2015-12-30,12.54,12.80,12.50,12.69,187700,12.69
2015-12-29,12.40,12.52,12.27,12.50,143800,12.50
2015-12-28,12.45,12.52,12.03,12.38,116300,12.38
2015-12-24,12.28,12.59,12.28,12.42,130700,12.42
2015-12-23,11.95,12.23,11.95,12.17,97800,12.17
2015-12-22,11.91,11.98,11.69,11.91,75100,11.91
2015-12-21,11.86,12.06,11.25,11.83,95000,11.83
2015-12-18,11.97,12.11,11.79,11.83,252000,11.83
2015-12-17,12.03,12.26,11.88,12.04,175900,12.04
2015-12-16,11.66,12.01,11.27,12.00,136400,12.00
2015-12-15,10.90,11.65,10.65,11.65,138300,11.65
2015-12-14,10.81,11.07,10.41,10.90,156200,10.90
2015-12-11,11.10,11.28,10.85,10.92,84600,10.92
2015-12-10,11.34,11.44,11.00,11.34,131600,11.34
2015-12-09,11.21,11.54,11.15,11.34,89800,11.34
2015-12-08,11.46,11.54,11.13,11.21,110600,11.21
2015-12-07,11.79,11.89,11.44,11.60,98300,11.60
2015-12-04,11.79,11.95,11.73,11.78,79800,11.78
2015-12-03,11.69,11.99,11.58,11.73,98100,11.73
2015-12-02,11.67,11.82,11.53,11.68,139600,11.68
2015-12-01,11.88,12.17,11.64,11.68,138900,11.68
2015-11-30,11.82,12.00,11.69,11.82,176300,11.82
2015-11-27,11.96,11.98,11.66,11.88,52700,11.88
2015-11-25,11.87,12.10,11.76,11.98,261500,11.98
2015-11-24,11.75,11.97,11.66,11.79,73300,11.79
2015-11-23,12.11,12.25,11.75,11.79,80500,11.79
2015-11-20,11.97,12.25,11.86,12.04,124900,12.04
2015-11-19,11.84,12.17,11.72,11.97,117300,11.97
2015-11-18,11.29,11.97,11.19,11.91,138200,11.91
2015-11-17,11.50,11.52,11.10,11.21,70300,11.21
2015-11-16,11.40,11.50,11.30,11.49,117700,11.49
2015-11-13,10.87,11.78,9.71,11.51,183100,11.51
2015-11-12,11.12,11.27,10.84,10.96,166200,10.96
2015-11-11,11.58,11.59,11.08,11.25,79600,11.25
2015-11-10,11.55,11.70,11.34,11.60,145600,11.60
2015-11-09,11.43,11.96,11.36,11.61,203700,11.61
2015-11-06,11.43,11.44,11.09,11.31,75100,11.31
2015-11-05,11.61,11.81,11.03,11.46,280500,11.46
2015-11-04,11.14,11.79,10.92,11.57,274200,11.57
2015-11-03,10.98,11.48,10.80,11.14,141400,11.14
2015-11-02,10.79,11.10,10.79,10.93,164000,10.93
2015-10-30,10.79,10.93,10.56,10.74,145200,10.74
2015-10-29,10.96,11.07,10.19,10.76,166800,10.76
2015-10-28,10.21,11.08,10.09,11.00,244400,10.96
2015-10-27,10.32,10.71,10.03,10.22,99100,10.182837
2015-10-26,10.25,10.73,9.99,10.32,179500,10.282472
2015-10-23,9.98,10.29,9.86,10.25,113400,10.212727
2015-10-22,9.21,10.74,9.21,10.35,291300,10.312364
2015-10-21,9.10,9.27,8.85,8.86,31800,8.827782
2015-10-20,8.99,9.15,8.71,9.10,89300,9.06691
2015-10-19,8.71,9.10,8.52,8.99,48900,8.957309
2015-10-16,8.93,8.93,8.50,8.73,195000,8.698254
2015-10-15,8.45,8.96,8.40,8.95,108700,8.917454
2015-10-14,9.18,9.18,8.38,8.40,62700,8.369454
2015-10-13,9.03,9.28,9.02,9.20,96000,9.166545
2015-10-12,9.16,9.16,8.84,9.05,62900,9.017091
2015-10-09,8.98,9.25,8.79,9.18,84900,9.146619
2015-10-08,8.57,8.99,8.30,8.95,92100,8.917454
2015-10-07,8.28,8.76,8.28,8.57,50900,8.538836
2015-10-06,8.62,8.62,8.22,8.27,49200,8.239928
2015-10-05,8.42,8.79,8.39,8.60,42600,8.568728
2015-10-02,8.13,8.29,7.89,8.25,64800,8.22
2015-10-01,8.46,8.49,8.08,8.15,42500,8.120363
2015-09-30,8.46,8.54,8.33,8.44,44500,8.409309
2015-09-29,8.60,8.78,8.35,8.40,51100,8.369454
2015-09-28,8.76,8.86,8.56,8.56,44500,8.528873
2015-09-25,9.04,9.44,8.73,8.77,90400,8.73811
2015-09-24,8.90,9.10,8.90,8.96,72400,8.927418
2015-09-23,8.91,9.02,8.81,8.95,65200,8.917454
2015-09-22,8.90,9.04,8.90,8.93,63700,8.897528
2015-09-21,8.80,9.10,8.73,8.91,65300,8.8776
2015-09-18,9.21,9.25,8.64,8.69,115800,8.6584
2015-09-17,9.35,9.50,9.29,9.36,46200,9.325963
2015-09-16,9.24,9.41,9.17,9.35,51900,9.316
2015-09-15,9.17,9.40,9.10,9.17,54700,9.136655
