Date,Open,High,Low,Close,Volume,Adj Close
2016-01-22,26.110001,26.450001,25.950001,26.24,3678900,26.24
2016-01-21,25.129999,25.92,24.809999,25.82,6136600,25.82
2016-01-20,24.57,25.139999,23.85,24.98,5615900,24.98
2016-01-19,25.84,25.879999,24.450001,24.870001,7706300,24.870001
2016-01-15,25.700001,26.120001,25.16,25.690001,6674200,25.690001
2016-01-14,26.35,26.57,25.90,26.299999,4120100,26.299999
2016-01-13,27.129999,27.65,26.24,26.26,4147300,26.26
2016-01-12,26.860001,27.17,26.57,27.110001,3910500,27.110001
2016-01-11,27.10,27.139999,26.379999,26.700001,4779200,26.700001
2016-01-08,27.190001,27.540001,26.93,26.93,6295700,26.93
2016-01-07,26.50,27.200001,26.18,27.059999,6731300,27.059999
2016-01-06,26.82,27.09,26.48,26.92,6936800,26.92
2016-01-05,27.620001,27.73,26.969999,27.26,4045300,27.26
2016-01-04,26.709999,27.440001,26.43,27.43,5840000,27.43
2015-12-31,27.41,27.450001,27.040001,27.17,3155400,27.17
2015-12-30,27.700001,27.93,27.40,27.440001,1897000,27.440001
2015-12-29,27.68,27.870001,27.48,27.68,2473500,27.68
2015-12-28,27.58,27.690001,27.200001,27.469999,2689800,27.469999
2015-12-24,27.65,27.889999,27.50,27.690001,1447400,27.690001
2015-12-23,27.23,27.73,27.049999,27.66,5139500,27.66
2015-12-22,26.48,27.02,25.969999,27.02,5067800,27.02
2015-12-21,26.309999,26.43,26.129999,26.379999,4000400,26.379999
2015-12-18,26.639999,26.799999,26.18,26.190001,7819900,26.190001
2015-12-17,27.60,27.65,26.74,26.85,6154300,26.85
2015-12-16,27.41,27.68,26.67,27.530001,8451000,27.530001
2015-12-15,27.27,27.49,26.959999,27.09,7987400,27.09
2015-12-14,26.959999,27.58,26.76,27.07,13832800,27.07
2015-12-11,25.290001,26.42,25.27,26.25,10642200,26.25
2015-12-10,25.299999,25.860001,25.280001,25.57,7317500,25.57
2015-12-09,25.08,26.09,25.030001,25.309999,7031600,25.309999
2015-12-08,25.40,25.90,25.27,25.379999,6365600,25.379999
2015-12-07,25.459999,25.99,25.40,25.75,8041100,25.75
2015-12-04,24.969999,25.639999,24.860001,25.540001,10319600,25.540001
2015-12-03,24.59,24.860001,24.280001,24.48,7322000,24.48
2015-12-02,24.790001,24.92,24.48,24.620001,4241700,24.620001
2015-12-01,24.93,25.030001,24.57,24.83,5816100,24.83
2015-11-30,24.559999,24.870001,24.370001,24.860001,4941400,24.860001
2015-11-27,24.790001,24.90,24.40,24.48,1717300,24.48
2015-11-25,24.43,24.99,24.08,24.809999,4110900,24.809999
2015-11-24,23.459999,24.52,23.379999,24.370001,4790400,24.370001
2015-11-23,24.18,24.43,23.530001,23.549999,4551200,23.549999
2015-11-20,24.51,24.76,24.25,24.540001,5666500,24.160001
