Date,Open,High,Low,Close,Volume,Adj Close
2016-01-22,48.849998,49.18,48.299999,49.09,121700,49.09
2016-01-21,49.630001,49.630001,47.84,48.240002,125800,48.240002
2016-01-20,48.099998,49.91,47.610001,49.41,155000,49.41
2016-01-19,48.880001,49.02,48.240002,48.66,136600,48.66
2016-01-15,47.32,48.43,46.790001,48.41,150500,48.41
2016-01-14,49.23,49.23,47.68,48.689999,230500,48.689999
2016-01-13,50.560001,50.93,48.52,49.040001,146000,49.040001
2016-01-12,50.110001,50.580002,49.66,50.459999,106600,50.459999
2016-01-11,49.700001,50.360001,49.360001,49.66,111900,49.66
2016-01-08,50.950001,51.369999,49.799999,49.82,126100,49.82
2016-01-07,50.860001,51.73,50.66,50.93,86600,50.93
2016-01-06,51.82,52.150002,51.50,51.630001,76500,51.630001
2016-01-05,51.630001,52.689999,51.459999,52.509998,103300,52.509998
2016-01-04,52.639999,53.139999,51.34,51.34,174000,51.34
2015-12-31,54.57,54.799999,53.439999,53.450001,90800,53.450001
2015-12-30,55.450001,55.529999,54.610001,54.68,69800,54.68
2015-12-29,55.049999,55.59,54.50,55.369999,53300,55.369999
2015-12-28,54.889999,55.220001,54.279999,55.009998,72400,55.009998
2015-12-24,55.209999,55.59,54.900002,54.98,45100,54.98
2015-12-23,55.630001,56.23,54.919998,55.150002,61300,55.150002
2015-12-22,54.650002,55.52,54.040001,55.400002,117600,55.400002
2015-12-21,53.560001,54.50,51.970001,54.459999,100600,54.459999
2015-12-18,53.75,53.75,51.889999,53.27,709100,53.27
2015-12-17,55.360001,55.360001,52.02,54.169998,137400,54.169998
2015-12-16,55.48,55.740002,54.619999,55.290001,105800,55.290001
2015-12-15,55.049999,55.279999,54.720001,55.25,109100,55.25
2015-12-14,54.880001,55.169998,54.34,54.66,101700,54.66
2015-12-11,54.509998,55.419998,54.41,54.990002,125500,54.990002
2015-12-10,55.720001,55.860001,55.049999,55.549999,197200,55.549999
2015-12-09,56.490002,56.82,55.360001,55.830002,97700,55.830002
2015-12-08,56.889999,57.759998,55.00,56.650002,159400,56.650002
2015-12-07,58.689999,59.279999,57.080002,57.400002,226000,57.400002
2015-12-04,58.619999,59.48,58.130001,58.709999,82200,58.709999
2015-12-03,60.099998,60.360001,58.450001,58.650002,73900,58.650002
2015-12-02,60.299999,60.380001,59.66,59.990002,116700,59.990002
2015-12-01,60.119999,60.50,59.310001,60.299999,118000,60.299999
2015-11-30,60.779999,60.810001,59.529999,59.810001,115400,59.810001
2015-11-27,59.650002,61.099998,59.650002,60.419998,54800,60.419998
2015-11-25,59.889999,60.369999,59.41,59.740002,69200,59.740002
2015-11-24,59.099998,60.509998,58.459999,60.00,167800,60.00
2015-11-23,58.48,59.720001,58.240002,59.349998,82900,59.349998
2015-11-20,58.330002,58.84,57.66,58.669998,172900,58.669998
2015-11-19,57.689999,58.110001,57.330002,57.959999,192600,57.959999
2015-11-18,56.740002,58.220001,56.73,58.00,223300,57.850001
2015-11-17,57.09,58.080002,56.150002,56.720001,228400,56.573313
2015-11-16,55.939999,56.25,55.790001,55.970001,156200,55.825252
2015-11-13,56.189999,57.459999,55.380001,55.830002,166300,55.685615
2015-11-12,57.389999,57.599998,56.43,56.619999,83700,56.473569
2015-11-11,57.209999,58.169998,56.830002,57.68,96900,57.530829
2015-11-10,56.360001,57.450001,56.360001,57.209999,71700,57.062043
