Date,Open,High,Low,Close,Volume,Adj Close
2016-01-22,5.82,5.83,5.69,5.73,14100,5.73
2016-01-21,5.73,5.92,5.73,5.80,24900,5.80
2016-01-20,5.76,5.89,5.63,5.76,23500,5.76
2016-01-19,5.91,5.92,5.76,5.79,12600,5.79
2016-01-15,5.88,5.95,5.80,5.85,31000,5.85
2016-01-14,5.90,5.99,5.88,5.96,27500,5.96
2016-01-13,6.07,6.09,5.88,5.88,21200,5.88
2016-01-12,6.09,6.09,6.00,6.06,20100,6.06
2016-01-11,6.03,6.10,6.00,6.06,24100,6.06
2016-01-08,5.95,6.13,5.95,6.05,50300,6.05
2016-01-07,6.00,6.05,5.97,5.97,30300,5.97
2016-01-06,6.07,6.15,6.06,6.07,35500,6.07
2016-01-05,6.01,6.15,5.96,6.15,55700,6.15
2016-01-04,6.01,6.06,5.91,6.01,59300,6.01
2015-12-31,6.02,6.08,5.99,6.05,22200,6.05
2015-12-30,6.05,6.05,5.97,6.02,38400,6.02
2015-12-29,5.96,6.05,5.95,6.02,51000,6.02
2015-12-28,6.00,6.00,5.91,5.95,9000,5.95
2015-12-24,5.94,6.00,5.94,5.98,6900,5.98
2015-12-23,5.97,6.00,5.93,6.00,13100,6.00
2015-12-22,5.94,5.98,5.92,5.94,20200,5.94
2015-12-21,5.97,5.97,5.87,5.90,34500,5.90
2015-12-18,5.89,5.96,5.86,5.94,66000,5.94
2015-12-17,5.97,5.99,5.93,5.96,23600,5.96
2015-12-16,5.99,5.99,5.91,5.93,28800,5.93
2015-12-15,5.94,6.00,5.89,5.95,36900,5.95
2015-12-14,5.87,5.96,5.82,5.90,40500,5.90
2015-12-11,5.93,5.98,5.92,5.95,27600,5.95
2015-12-10,6.00,6.10,5.95,5.99,21000,5.99
2015-12-09,5.97,6.00,5.97,5.99,10100,5.99
2015-12-08,5.94,6.00,5.90,5.97,22900,5.97
2015-12-07,6.08,6.12,5.99,6.01,25600,6.01
2015-12-04,6.01,6.12,5.98,6.10,38900,6.10
2015-12-03,5.97,6.07,5.96,5.98,66600,5.98
2015-12-02,5.94,6.08,5.94,6.01,59900,6.01
2015-12-01,5.90,5.99,5.88,5.95,50100,5.95
2015-11-30,5.96,5.97,5.80,5.89,84100,5.89
2015-11-27,5.77,5.87,5.72,5.87,29700,5.87
2015-11-25,5.65,5.78,5.64,5.74,47100,5.74
2015-11-24,5.50,5.74,5.50,5.70,30700,5.70
2015-11-23,5.81,5.81,5.61,5.64,104000,5.64
2015-11-20,5.52,5.88,5.52,5.74,88800,5.74
2015-11-19,5.49,5.60,5.45,5.55,63700,5.55
2015-11-18,5.45,5.50,5.32,5.42,576100,5.42
2015-11-17,5.40,5.45,5.30,5.45,58800,5.45
2015-11-16,5.38,5.41,5.28,5.41,104600,5.41
2015-11-13,5.41,5.41,5.26,5.38,79700,5.38
2015-11-12,5.30,5.40,5.28,5.35,36000,5.35
2015-11-11,5.32,5.39,5.29,5.37,70700,5.37
2015-11-10,5.31,5.39,5.27,5.37,66500,5.37
2015-11-09,5.28,5.35,5.26,5.31,33100,5.31
2015-11-06,5.21,5.38,5.21,5.38,64500,5.35
2015-11-05,5.21,5.32,5.20,5.31,37600,5.28039
2015-11-04,5.25,5.26,5.22,5.25,38800,5.220725
2015-11-03,5.22,5.25,5.18,5.23,23900,5.200837
2015-11-02,5.16,5.23,5.16,5.20,12200,5.171004
2015-10-30,5.22,5.25,5.10,5.16,45000,5.131227
2015-10-29,5.20,5.24,5.19,5.22,20400,5.190892
2015-10-28,5.20,5.25,5.19,5.23,45100,5.200837
2015-10-27,5.17,5.21,5.17,5.19,12300,5.16106
2015-10-26,5.18,5.22,5.18,5.18,42100,5.151115
2015-10-23,5.20,5.20,5.18,5.18,13200,5.151115
2015-10-22,5.20,5.20,5.18,5.19,12300,5.16106
2015-10-21,5.16,5.21,5.16,5.20,11400,5.171004
2015-10-20,5.16,5.20,5.16,5.18,28300,5.151115
2015-10-19,5.18,5.25,5.16,5.18,8400,5.151115
2015-10-16,5.11,5.20,5.11,5.16,25200,5.131227
2015-10-15,5.14,5.17,5.08,5.14,29500,5.111338
2015-10-14,5.15,5.15,5.10,5.10,5700,5.071561
2015-10-13,5.14,5.17,5.13,5.14,12500,5.111338
2015-10-12,5.15,5.17,5.13,5.15,3600,5.121283
2015-10-09,5.25,5.25,5.18,5.20,13700,5.171004
2015-10-08,5.25,5.25,5.21,5.21,19900,5.180948
2015-10-07,5.21,5.25,5.18,5.21,35600,5.180948
2015-10-06,5.15,5.20,5.15,5.20,4700,5.171004
2015-10-05,5.20,5.28,5.18,5.21,11900,5.180948
2015-10-02,5.11,5.20,5.07,5.20,13800,5.171004
2015-10-01,5.17,5.18,5.09,5.12,10200,5.09145
2015-09-30,5.14,5.20,5.11,5.18,21500,5.151115
2015-09-29,5.11,5.25,5.11,5.16,19900,5.131227
2015-09-28,5.15,5.15,5.05,5.11,34700,5.081506
2015-09-25,5.16,5.19,5.15,5.17,14800,5.141171
2015-09-24,5.16,5.19,5.13,5.13,5600,5.101394
2015-09-23,5.23,5.24,5.15,5.18,9200,5.151115
2015-09-22,5.14,5.24,5.14,5.21,6100,5.180948
2015-09-21,5.16,5.20,5.15,5.19,7100,5.16106
2015-09-18,5.07,5.18,5.05,5.18,44600,5.151115
2015-09-17,5.10,5.20,5.07,5.07,43800,5.041729
2015-09-16,5.15,5.17,5.09,5.13,21700,5.101394
2015-09-15,5.11,5.17,5.10,5.12,30300,5.09145
2015-09-14,5.16,5.19,5.08,5.11,39700,5.081506
2015-09-11,5.16,5.18,5.10,5.13,34800,5.101394
2015-09-10,5.12,5.23,5.08,5.17,22900,5.141171
2015-09-09,5.16,5.17,5.07,5.09,27500,5.061617
2015-09-08,5.17,5.17,5.09,5.14,7500,5.111338
2015-09-04,5.08,5.16,5.06,5.11,22800,5.081506
2015-09-03,5.10,5.16,5.07,5.08,13000,5.051673
2015-09-02,5.18,5.20,5.13,5.16,25000,5.131227
2015-09-01,5.14,5.23,5.08,5.14,20400,5.111338
2015-08-31,5.31,5.31,5.15,5.20,13600,5.171004
2015-08-28,5.11,5.32,5.05,5.28,45400,5.250558
2015-08-27,5.10,5.13,5.05,5.08,19000,5.051673
2015-08-26,5.03,5.14,4.96,5.07,45100,5.041729
2015-08-25,5.25,5.30,5.02,5.04,47100,5.011896
2015-08-24,5.23,5.23,5.19,5.19,74100,5.16106
2015-08-21,5.27,5.31,5.24,5.29,61500,5.260502
2015-08-20,5.28,5.32,5.24,5.25,17500,5.220725
2015-08-19,5.30,5.33,5.28,5.28,11400,5.250558
2015-08-18,5.28,5.37,5.23,5.30,33200,5.270446
2015-08-17,5.25,5.31,5.23,5.26,12700,5.230669
2015-08-14,5.27,5.30,5.23,5.30,12700,5.270446
2015-08-13,5.29,5.32,5.22,5.27,38000,5.240613
2015-08-12,5.27,5.32,5.24,5.30,16800,5.270446
2015-08-11,5.29,5.32,5.27,5.28,19000,5.250558
2015-08-10,5.34,5.37,5.30,5.31,22700,5.250558
2015-08-07,5.33,5.40,5.33,5.33,24500,5.270334
2015-08-06,5.34,5.43,5.30,5.33,13500,5.270334
2015-08-05,5.36,5.40,5.33,5.33,18900,5.270334
2015-08-04,5.44,5.44,5.30,5.36,17800,5.299998
2015-08-03,5.40,5.41,5.30,5.41,35200,5.349438
2015-07-31,5.40,5.43,5.35,5.41,20400,5.349438
2015-07-30,5.34,5.42,5.34,5.42,22400,5.359326
