Date,Open,High,Low,Close,Volume,Adj Close
2016-01-22,16.780001,17.15,16.780001,17.08,130100,17.08
2016-01-21,16.469999,16.809999,16.450001,16.620001,146300,16.620001
2016-01-20,16.700001,16.73,16.200001,16.51,625200,16.51
2016-01-19,17.110001,17.120001,16.77,16.870001,427900,16.870001
2016-01-15,17.07,17.16,16.90,17.040001,204000,17.040001
2016-01-14,17.139999,17.450001,17.08,17.379999,220600,17.379999
2016-01-13,17.48,17.549999,17.09,17.09,232900,17.09
2016-01-12,17.67,17.77,17.26,17.49,266100,17.49
2016-01-11,17.76,17.790001,17.540001,17.629999,221000,17.629999
2016-01-08,17.879999,17.90,17.709999,17.709999,105900,17.709999
2016-01-07,17.940001,18.049999,17.77,17.82,239300,17.82
2016-01-06,18.299999,18.34,18.10,18.17,112600,18.17
2016-01-05,18.389999,18.469999,18.26,18.41,128400,18.41
2016-01-04,18.219999,18.35,18.16,18.33,150900,18.33
2015-12-31,18.290001,18.42,18.219999,18.34,263000,18.34
2015-12-30,18.299999,18.35,18.23,18.280001,296200,18.280001
2015-12-29,18.32,18.50,18.299999,18.360001,389000,18.360001
2015-12-28,18.280001,18.370001,18.200001,18.32,282500,18.32
2015-12-24,18.40,18.469999,18.379999,18.40,92400,18.40
2015-12-23,18.120001,18.41,18.120001,18.40,221200,18.40
2015-12-22,17.91,18.209999,17.90,18.16,187800,18.061
2015-12-21,17.75,17.91,17.75,17.90,187200,17.802417
2015-12-18,17.719999,17.82,17.700001,17.719999,223600,17.623398
2015-12-17,17.969999,17.969999,17.76,17.77,199700,17.673126
2015-12-16,17.75,18.030001,17.75,17.99,197900,17.891926
2015-12-15,17.60,17.77,17.60,17.700001,342300,17.603508
2015-12-14,17.690001,17.77,17.50,17.559999,345500,17.46427
2015-12-11,17.85,17.93,17.709999,17.75,382000,17.653235
2015-12-10,18.129999,18.209999,18.02,18.02,161300,17.921763
2015-12-09,17.940001,18.309999,17.940001,18.15,296200,18.051054
2015-12-08,17.90,18.110001,17.90,17.98,167200,17.88198
2015-12-07,18.16,18.190001,17.92,18.01,527500,17.911818
2015-12-04,18.25,18.35,18.200001,18.24,193100,18.140563
2015-12-03,18.41,18.43,18.24,18.299999,194400,18.200236
2015-12-02,18.639999,18.700001,18.41,18.43,173800,18.329528
2015-12-01,18.639999,18.75,18.610001,18.67,172600,18.568219
2015-11-30,18.719999,18.75,18.58,18.65,224500,18.548328
2015-11-27,18.610001,18.75,18.59,18.75,51500,18.647783
2015-11-25,18.620001,18.68,18.57,18.620001,238800,18.518493
2015-11-24,18.530001,18.67,18.52,18.66,119600,18.558274
2015-11-23,18.620001,18.700001,18.57,18.60,109200,18.498601
2015-11-20,18.709999,18.73,18.60,18.60,241300,18.498601
2015-11-19,18.74,18.790001,18.719999,18.76,226800,18.538383
2015-11-18,18.74,18.790001,18.65,18.75,177100,18.528501
2015-11-17,18.74,18.799999,18.639999,18.67,122800,18.449446
2015-11-16,18.549999,18.790001,18.549999,18.76,112700,18.538383
2015-11-13,18.67,18.700001,18.540001,18.60,123900,18.380273
2015-11-12,18.83,18.84,18.639999,18.639999,182200,18.4198
2015-11-11,18.93,19.040001,18.809999,18.860001,126400,18.637202
