Date,Open,High,Low,Close,Volume,Adj Close
2016-01-22,41.09,41.740002,40.400002,41.599998,9510700,41.599998
2016-01-21,40.82,40.91,40.00,40.330002,9483900,40.330002
2016-01-20,40.889999,41.150002,39.68,40.669998,12799700,40.669998
2016-01-19,41.049999,41.66,40.650002,41.459999,14040300,41.459999
2016-01-15,40.560001,40.860001,39.790001,40.310001,19074400,40.310001
2016-01-14,41.549999,41.93,40.59,41.360001,12285700,41.360001
2016-01-13,42.110001,42.330002,40.52,40.59,14091400,40.59
2016-01-12,41.68,42.290001,41.509998,42.119999,10948500,42.119999
2016-01-11,41.330002,41.799999,41.040001,41.68,10232000,41.68
2016-01-08,41.650002,42.060001,40.970001,40.990002,14529700,40.990002
2016-01-07,43.040001,43.040001,41.349998,41.59,19806400,41.59
2016-01-06,43.330002,44.169998,43.279999,43.990002,19644700,43.990002
2016-01-05,43.790001,44.450001,43.650002,44.150002,15463500,44.150002
2016-01-04,44.09,44.450001,43.25,43.790001,11588700,43.790001
2015-12-31,45.209999,45.450001,44.759998,44.84,4648400,44.84
2015-12-30,45.740002,45.950001,45.419998,45.509998,5596400,45.509998
2015-12-29,45.150002,45.810001,44.900002,45.75,5895900,45.75
2015-12-28,45.240002,45.48,44.959999,45.07,3668600,44.90
2015-12-24,45.57,45.669998,45.34,45.349998,2290100,45.178943
2015-12-23,44.939999,45.619999,44.810001,45.580002,6618100,45.408079
2015-12-22,44.48,44.810001,44.00,44.709999,6225600,44.541357
2015-12-21,43.650002,44.52,43.360001,44.439999,8812600,44.272375
2015-12-18,43.93,44.259998,42.950001,43.299999,21561100,43.136676
2015-12-17,44.849998,44.900002,44.220001,44.360001,6994100,44.192679
2015-12-16,43.98,44.939999,43.970001,44.849998,9952200,44.680829
2015-12-15,44.240002,44.509998,43.75,44.02,8121200,43.853961
2015-12-14,43.07,43.389999,42.630001,43.32,9638700,43.156601
2015-12-11,43.16,43.57,42.57,42.73,9971200,42.568826
2015-12-10,43.580002,44.34,43.52,43.98,8901600,43.814111
2015-12-09,43.759998,44.25,43.360001,43.650002,7023600,43.485358
2015-12-08,43.490002,44.209999,43.150002,44.00,6576100,43.834036
2015-12-07,44.43,44.50,43.73,44.029999,9224600,43.863922
2015-12-04,42.830002,44.540001,42.82,44.50,11278000,44.33215
2015-12-03,43.91,44.130001,42.41,42.610001,13964900,42.44928
2015-12-02,44.34,44.349998,43.759998,43.860001,5420200,43.694565
2015-12-01,44.080002,44.540001,43.759998,44.32,10622100,44.152829
2015-11-30,44.419998,44.580002,43.619999,43.66,11531800,43.495319
2015-11-27,44.07,44.57,43.790001,44.419998,3258300,44.25245
