Date,Open,High,Low,Close,Volume,Adj Close
2016-01-22,2.21,2.34,2.16,2.27,892600,2.27
2016-01-21,1.83,2.19,1.83,2.01,698100,2.01
2016-01-20,1.63,1.92,1.57,1.86,1074600,1.86
2016-01-19,1.93,2.03,1.62,1.66,850000,1.66
2016-01-15,1.87,2.00,1.82,1.93,773700,1.93
2016-01-14,1.85,2.31,1.82,2.09,1143300,2.09
2016-01-13,2.06,2.12,1.80,1.84,943100,1.84
2016-01-12,2.30,2.45,1.95,2.01,1277000,2.01
2016-01-11,2.36,2.41,2.20,2.29,849300,2.29
2016-01-08,2.40,2.54,2.28,2.41,543400,2.41
2016-01-07,2.39,2.83,2.25,2.37,1000900,2.37
2016-01-06,2.46,2.53,2.25,2.44,907900,2.44
2016-01-05,2.79,2.83,2.58,2.62,746100,2.62
2016-01-04,2.65,2.95,2.57,2.89,1170900,2.89
2015-12-31,2.22,2.65,2.22,2.64,1615000,2.64
2015-12-30,2.21,2.34,2.05,2.29,1950900,2.29
2015-12-29,2.67,2.73,2.39,2.42,1124400,2.42
2015-12-28,2.87,2.95,2.27,2.53,3132100,2.53
2015-12-24,2.71,3.25,2.70,3.08,2602700,3.08
2015-12-23,1.85,2.75,1.85,2.74,3283900,2.74
2015-12-22,1.63,1.96,1.57,1.81,2373300,1.81
2015-12-21,1.67,1.70,1.61,1.61,1369900,1.61
2015-12-18,1.80,1.85,1.64,1.64,1520700,1.64
2015-12-17,1.94,1.96,1.77,1.82,1265800,1.82
2015-12-16,2.03,2.03,1.79,1.96,1593600,1.96
2015-12-15,2.06,2.19,2.01,2.03,1223700,2.03
2015-12-14,2.10,2.18,2.01,2.06,1718000,2.06
2015-12-11,2.04,2.17,2.00,2.12,1300900,2.12
2015-12-10,2.15,2.50,2.02,2.03,2418200,2.03
2015-12-09,2.20,2.61,2.16,2.17,2392400,2.17
2015-12-08,2.35,2.47,2.18,2.20,2393800,2.20
2015-12-07,2.75,2.80,2.35,2.48,2297400,2.48
2015-12-04,3.14,3.19,2.80,2.91,1475200,2.91
2015-12-03,3.17,3.30,3.12,3.21,863400,3.21
2015-12-02,3.40,3.48,3.02,3.19,1385200,3.19
2015-12-01,3.60,3.66,3.40,3.48,958700,3.48
2015-11-30,3.73,3.90,3.60,3.66,611600,3.66
2015-11-27,3.77,3.88,3.73,3.77,215600,3.77
2015-11-25,3.75,4.06,3.66,3.92,936900,3.92
2015-11-24,3.58,3.84,3.54,3.77,1012000,3.77
2015-11-23,3.65,3.87,3.55,3.57,770400,3.57
2015-11-20,3.91,3.99,3.62,3.64,1563400,3.64
2015-11-19,4.00,4.07,3.93,3.95,872500,3.95
2015-11-18,4.15,4.37,4.01,4.07,1315400,4.07
2015-11-17,4.58,4.64,4.13,4.19,1674700,4.19
2015-11-16,4.83,4.95,4.51,4.65,1095600,4.65
2015-11-13,4.60,5.05,4.53,4.98,1013700,4.98
2015-11-12,4.83,4.84,4.53,4.56,1005100,4.56
2015-11-11,4.72,4.83,4.55,4.72,907900,4.72
2015-11-10,4.67,4.85,4.59,4.71,859500,4.71
2015-11-09,4.90,4.94,4.58,4.67,883100,4.67
2015-11-06,5.13,5.13,4.78,4.84,943700,4.84
2015-11-05,5.03,5.17,4.85,5.02,1198500,5.02
2015-11-04,5.49,5.88,4.89,5.13,1795600,5.13
2015-11-03,5.50,5.95,5.50,5.92,748700,5.92
2015-11-02,5.64,5.94,5.57,5.80,682600,5.50
2015-10-30,5.65,5.79,5.44,5.58,573600,5.291379
2015-10-29,5.77,6.09,5.60,5.65,733700,5.357759
2015-10-28,5.00,5.90,4.96,5.72,1317400,5.424138
2015-10-27,4.96,4.97,4.72,4.90,1569000,4.646552
2015-10-26,5.38,5.55,5.16,5.21,544600,4.940517
2015-10-23,5.68,5.76,5.36,5.40,1179700,5.12069
2015-10-22,6.02,6.16,5.80,5.86,435100,5.556897
2015-10-21,6.15,6.30,5.92,6.03,487300,5.718104
2015-10-20,6.20,6.44,6.15,6.28,268700,5.955173
2015-10-19,6.51,6.62,6.05,6.20,428800,5.87931
2015-10-16,6.38,6.65,6.15,6.60,515900,6.258621
2015-10-15,6.06,6.39,5.92,6.38,434200,6.05
2015-10-14,5.94,6.12,5.82,6.08,554800,5.765517
2015-10-13,6.05,6.19,5.90,5.93,510200,5.623276
2015-10-12,6.50,6.52,6.02,6.10,580100,5.784483
2015-10-09,6.89,6.89,6.53,6.54,1235300,6.201724
2015-10-08,6.65,7.05,6.30,6.90,1060200,6.543104
2015-10-07,6.68,6.87,6.28,6.60,1060000,6.258621
2015-10-06,5.87,6.57,5.78,6.55,1343400,6.211207
2015-10-05,5.33,5.95,5.30,5.87,985000,5.566379
2015-10-02,4.87,5.48,4.77,5.38,797200,5.101724
2015-10-01,4.92,5.07,4.62,4.86,889900,4.608621
2015-09-30,4.75,4.98,4.65,4.81,1059800,4.561207
2015-09-29,4.98,5.05,4.64,4.71,1069100,4.466379
2015-09-28,5.15,5.25,4.91,4.95,767800,4.693965
2015-09-25,5.20,5.39,5.11,5.21,677000,4.940517
2015-09-24,5.10,5.28,4.96,5.16,790200,4.893103
2015-09-23,5.50,5.61,5.11,5.11,766600,4.84569
2015-09-22,5.73,5.80,5.21,5.54,1253300,5.253448
2015-09-21,6.18,6.18,5.77,5.79,583200,5.490517
2015-09-18,6.06,6.21,5.81,6.03,2493700,5.718104
2015-09-17,5.80,6.31,5.73,6.23,1150100,5.907759
2015-09-16,5.50,6.03,5.50,5.75,1598700,5.452586
2015-09-15,5.54,5.70,5.47,5.49,1460000,5.206034
2015-09-14,5.64,5.89,5.42,5.62,1157300,5.32931
2015-09-11,6.38,6.39,5.75,5.79,2321600,5.490517
2015-09-10,6.68,6.84,6.48,6.64,607500,6.296552
2015-09-09,6.96,7.15,6.51,6.68,1020000,6.334483
2015-09-08,7.07,7.25,6.97,7.02,773700,6.656897
2015-09-04,7.37,7.50,7.04,7.08,366600,6.713793
2015-09-03,7.39,7.59,7.27,7.40,628300,7.017241
2015-09-02,7.33,7.48,7.14,7.43,962800,7.04569
2015-09-01,7.38,7.57,7.20,7.28,1053500,6.903448
2015-08-31,7.43,7.69,6.90,7.69,2727900,7.292241
2015-08-28,6.37,7.32,6.31,7.21,1685500,6.837069
2015-08-27,6.38,6.74,6.31,6.61,1266200,6.268104
2015-08-26,6.01,6.19,5.81,6.13,842700,5.812931
2015-08-25,6.01,6.39,5.69,5.83,1242000,5.528448
2015-08-24,5.32,5.97,5.00,5.61,2011100,5.319828
2015-08-21,5.75,5.88,5.36,5.50,2596900,5.215517
2015-08-20,6.26,6.43,5.75,5.78,1626300,5.481035
2015-08-19,6.50,7.04,6.18,6.26,1768800,5.936207
2015-08-18,6.55,6.75,6.38,6.62,1014500,6.277586
2015-08-17,6.50,6.71,6.35,6.52,1606100,6.182759
2015-08-14,6.83,6.87,6.74,6.79,1114400,6.438793
2015-08-13,7.17,7.33,6.64,6.75,2869800,6.400862
2015-08-12,7.46,7.59,7.09,7.44,1620500,7.055172
2015-08-11,7.36,7.52,7.11,7.29,1304400,6.912931
2015-08-10,7.53,7.57,7.11,7.54,1972700,7.15
2015-08-07,7.48,7.91,7.28,7.50,2888600,7.112069
2015-08-06,6.85,8.20,6.85,7.60,3461100,7.206896
2015-08-05,8.70,8.91,7.12,7.51,6309500,7.121552
