Date,Open,High,Low,Close,Volume,Adj Close
2016-01-22,27.50,27.780001,27.17,27.57,113000,27.57
2016-01-21,27.66,28.00,27.120001,27.16,65600,27.16
2016-01-20,27.43,27.84,26.879999,27.65,81300,27.65
2016-01-19,28.549999,28.549999,27.67,27.91,20200,27.91
2016-01-15,27.639999,28.16,27.40,28.129999,36500,28.129999
2016-01-14,28.26,28.700001,27.93,28.49,59600,28.49
2016-01-13,29.030001,29.120001,27.84,28.02,42300,28.02
2016-01-12,29.049999,29.200001,28.540001,29.049999,102300,29.049999
2016-01-11,29.08,29.27,28.90,28.969999,190200,28.969999
2016-01-08,29.92,29.92,28.76,28.799999,67400,28.799999
2016-01-07,29.84,30.24,29.58,29.629999,75100,29.629999
2016-01-06,30.139999,30.60,30.139999,30.360001,41600,30.360001
2016-01-05,30.68,30.870001,30.370001,30.700001,60900,30.700001
2016-01-04,30.780001,30.860001,30.360001,30.540001,50700,30.540001
2015-12-31,31.84,31.98,31.379999,31.379999,33700,31.379999
2015-12-30,32.360001,32.360001,31.93,31.959999,17100,31.959999
2015-12-29,32.09,32.380001,31.969999,32.349998,23600,32.349998
2015-12-28,31.870001,32.07,31.52,31.950001,7700,31.950001
2015-12-24,31.93,32.25,31.83,32.009998,7100,32.009998
2015-12-23,31.530001,31.940001,31.530001,31.93,34000,31.93
2015-12-22,31.58,31.58,31.059999,31.549999,26600,31.549999
2015-12-21,31.200001,31.51,31.02,31.43,26400,31.43
2015-12-18,31.41,31.41,30.450001,30.83,146900,30.83
2015-12-17,31.75,32.119999,31.42,31.610001,23900,31.610001
2015-12-16,31.40,31.84,31.110001,31.75,20600,31.75
2015-12-15,30.959999,31.60,30.950001,31.450001,22900,31.450001
2015-12-14,30.50,31.059999,30.280001,30.709999,29100,30.709999
2015-12-11,30.76,31.030001,30.389999,30.549999,30700,30.549999
2015-12-10,31.40,31.66,31.110001,31.280001,45900,31.280001
2015-12-09,32.00,32.110001,31.08,31.32,40500,31.32
2015-12-08,32.110001,32.549999,31.85,32.130001,48500,32.130001
2015-12-07,33.25,33.290001,32.209999,32.50,50900,32.50
2015-12-04,32.849998,33.450001,32.810001,33.32,44700,33.32
