Date,Open,High,Low,Close,Volume,Adj Close
2016-01-22,13.15,13.35,13.00,13.06,3900,13.06
2016-01-21,13.50,13.65,13.01,13.01,9800,13.01
2016-01-20,13.52,13.85,13.13,13.40,8100,13.40
2016-01-19,13.50,13.88,13.50,13.69,1400,13.69
2016-01-15,14.00,14.04,13.29,13.41,7300,13.41
2016-01-14,14.10,14.15,14.01,14.15,4300,14.15
2016-01-13,14.23,14.23,14.00,14.00,1600,14.00
2016-01-12,14.41,14.41,14.10,14.10,2900,14.10
2016-01-11,14.60,14.60,14.36,14.36,1100,14.36
2016-01-08,14.24,14.70,14.24,14.66,3900,14.66
2016-01-07,14.22,14.40,14.22,14.40,5100,14.40
2016-01-06,14.27,14.88,14.27,14.37,1600,14.37
2016-01-05,14.47,14.47,14.40,14.40,300,14.40
2016-01-04,14.30,14.99,14.30,14.55,6700,14.55
2015-12-31,14.57,14.65,14.43,14.64,1700,14.64
2015-12-30,14.43,14.96,14.38,14.38,2300,14.38
2015-12-29,14.40,14.93,14.37,14.78,800,14.78
2015-12-28,14.70,15.00,14.52,14.52,1700,14.52
2015-12-24,14.49,15.00,14.36,14.71,7300,14.71
2015-12-23,14.55,14.55,14.28,14.41,1700,14.41
2015-12-22,14.25,14.54,14.25,14.54,2800,14.54
2015-12-21,14.54,14.60,14.50,14.50,6800,14.50
2015-12-18,14.50,14.59,14.29,14.50,9000,14.50
2015-12-17,14.59,14.59,14.20,14.39,46800,14.39
2015-12-16,14.38,14.62,14.28,14.32,1800,14.32
2015-12-15,14.21,14.48,14.21,14.35,1900,14.35
2015-12-14,14.50,14.52,14.22,14.52,1800,14.52
2015-12-11,14.50,14.74,14.50,14.52,6300,14.52
2015-12-10,14.52,14.63,14.50,14.57,6400,14.57
2015-12-09,14.02,14.60,14.02,14.60,6300,14.60
2015-12-08,14.21,14.49,14.20,14.25,10100,14.25
2015-12-07,14.54,14.54,14.20,14.49,9200,14.49
2015-12-04,14.33,14.55,14.20,14.55,7100,14.55
2015-12-03,14.34,14.53,14.25,14.50,4100,14.50
2015-12-02,14.22,14.36,14.20,14.25,2500,14.25
2015-12-01,14.43,14.47,14.20,14.40,1700,14.40
2015-11-30,14.50,14.54,14.24,14.52,5100,14.52
2015-11-27,14.53,14.53,14.47,14.50,1600,14.50
2015-11-25,14.46,14.46,14.21,14.39,3900,14.39
2015-11-24,14.20,14.61,14.06,14.50,12500,14.50
2015-11-23,14.53,14.53,14.00,14.25,7900,14.25
2015-11-20,14.48,14.48,14.28,14.30,3100,14.30
2015-11-19,14.51,14.66,14.30,14.33,10200,14.33
2015-11-18,14.95,14.97,14.49,14.66,2600,14.66
2015-11-17,14.77,14.77,14.02,14.53,8400,14.53
2015-11-16,15.17,15.20,14.62,14.99,7800,14.99
2015-11-13,15.08,15.20,14.97,15.20,4200,15.20
2015-11-12,15.06,15.06,14.48,14.99,4900,14.99
2015-11-11,14.47,14.84,14.47,14.84,3900,14.84
2015-11-10,14.35,14.50,14.01,14.50,4000,14.50
2015-11-09,14.48,14.50,14.00,14.45,5400,14.45
2015-11-06,13.95,14.45,13.95,14.39,5900,14.39
2015-11-05,13.87,13.89,13.87,13.89,300,13.89
2015-11-04,13.98,13.98,13.73,13.88,1400,13.88
2015-11-03,14.00,14.00,13.69,14.00,1900,14.00
2015-11-02,13.66,13.74,13.64,13.74,2400,13.74
2015-10-30,13.93,13.99,13.71,13.71,500,13.71
2015-10-29,13.53,13.94,13.51,13.89,6000,13.89
2015-10-28,13.80,13.93,13.45,13.93,5200,13.93
2015-10-27,13.62,14.05,13.55,13.76,5800,13.65
2015-10-26,13.80,13.91,13.80,13.91,700,13.798801
2015-10-23,14.05,14.05,14.05,14.05,300,13.937682
2015-10-22,14.02,14.02,13.66,13.66,3300,13.550799
2015-10-21,13.91,13.91,13.91,13.91,100,13.798801
2015-10-20,13.68,14.01,13.68,13.85,1600,13.739281
2015-10-19,13.70,14.01,13.70,14.01,2100,13.898002
2015-10-16,13.90,14.08,13.72,13.72,4700,13.61032
2015-10-15,14.03,14.06,13.85,14.06,3400,13.947602
2015-10-14,13.92,14.10,13.80,14.08,1400,13.967442
