Date,Open,High,Low,Close,Volume,Adj Close
2016-01-22,20.16,20.690001,20.10,20.26,52800,20.26
2016-01-21,20.530001,20.59,20.01,20.049999,56200,20.049999
2016-01-20,20.030001,20.76,20.00,20.610001,37900,20.610001
2016-01-19,20.52,20.68,20.049999,20.25,35300,20.25
2016-01-15,20.10,20.629999,20.049999,20.43,37400,20.43
2016-01-14,20.469999,20.92,20.389999,20.59,27900,20.59
2016-01-13,21.01,21.23,20.200001,20.40,42400,20.40
2016-01-12,21.15,21.23,20.799999,20.950001,47300,20.950001
2016-01-11,20.530001,21.200001,20.530001,21.00,37900,21.00
2016-01-08,21.48,21.48,20.450001,20.530001,61600,20.530001
2016-01-07,21.290001,21.51,20.93,21.10,23800,21.10
2016-01-06,21.459999,21.84,21.459999,21.65,31400,21.65
2016-01-05,21.709999,21.99,21.59,21.879999,17500,21.879999
2016-01-04,22.43,22.43,21.40,21.60,37300,21.60
2015-12-31,23.24,23.24,22.860001,22.879999,57700,22.879999
2015-12-30,23.24,23.42,23.01,23.299999,19400,23.299999
2015-12-29,23.17,23.41,23.07,23.280001,20200,23.280001
2015-12-28,22.860001,23.129999,22.60,23.07,31600,23.07
2015-12-24,23.00,23.190001,22.83,23.02,9000,23.02
2015-12-23,22.90,23.219999,22.799999,23.01,16000,23.01
2015-12-22,22.639999,22.85,22.459999,22.82,37700,22.82
2015-12-21,22.610001,22.85,22.459999,22.719999,20100,22.719999
2015-12-18,22.48,22.709999,22.389999,22.610001,145100,22.610001
2015-12-17,22.629999,22.700001,22.48,22.620001,28600,22.620001
2015-12-16,22.389999,22.690001,21.719999,22.620001,35500,22.620001
2015-12-15,22.15,22.49,21.99,22.389999,34700,22.389999
2015-12-14,21.540001,21.98,21.52,21.92,30500,21.92
2015-12-11,21.68,22.34,21.389999,21.610001,36300,21.610001
2015-12-10,22.219999,22.42,21.610001,22.120001,42800,22.120001
2015-12-09,22.450001,22.91,21.98,22.27,83500,22.27
2015-12-08,22.690001,22.77,22.290001,22.610001,31800,22.610001
2015-12-07,23.139999,23.299999,22.559999,22.77,45100,22.77
2015-12-04,22.75,23.290001,22.610001,23.129999,29900,23.129999
2015-12-03,23.200001,23.35,22.780001,22.84,31100,22.84
2015-12-02,23.25,23.33,22.92,23.190001,35800,23.190001
2015-12-01,23.049999,23.389999,23.040001,23.34,41700,23.20
2015-11-30,23.059999,23.18,22.74,23.02,133700,22.881919
2015-11-27,23.110001,23.139999,22.969999,23.01,30600,22.871979
2015-11-25,22.93,23.10,22.65,23.02,127600,22.881919
2015-11-24,23.27,23.299999,22.299999,22.85,179000,22.712939
2015-11-23,23.459999,23.799999,23.41,23.52,17200,23.37892
2015-11-20,23.49,23.90,23.280001,23.559999,15500,23.418679
2015-11-19,23.60,23.780001,23.27,23.35,16600,23.20994
2015-11-18,23.620001,23.77,23.08,23.73,33400,23.58766
2015-11-17,23.799999,24.049999,23.33,23.60,29500,23.45844
2015-11-16,23.690001,23.700001,22.459999,23.690001,36800,23.5479
2015-11-13,22.629999,23.889999,22.59,23.790001,67400,23.647301
2015-11-12,22.809999,23.09,22.65,22.860001,33300,22.722879
2015-11-11,23.530001,24.030001,23.00,23.02,24100,22.881919
2015-11-10,22.780001,23.91,22.780001,23.58,26900,23.43856
2015-11-09,23.049999,23.129999,22.82,22.950001,19000,22.812339
2015-11-06,22.60,23.309999,22.60,23.16,16200,23.021079
2015-11-05,22.059999,22.68,21.629999,22.59,14100,22.454498
2015-11-04,22.49,22.74,21.809999,22.07,79900,21.937617
2015-11-03,22.299999,22.65,22.24,22.51,25800,22.374978
2015-11-02,21.459999,22.59,21.459999,22.370001,30900,22.235819
2015-10-30,22.879999,22.889999,21.389999,21.639999,36800,21.510196
2015-10-29,22.959999,23.51,22.92,23.030001,84700,22.89186
2015-10-28,21.719999,23.139999,21.719999,23.129999,40300,22.991258
2015-10-27,22.60,22.700001,21.629999,21.690001,25000,21.559897
2015-10-26,22.469999,22.700001,22.469999,22.67,17900,22.534018
2015-10-23,22.15,22.719999,22.15,22.549999,37500,22.414737
2015-10-22,21.66,22.15,21.66,22.10,29700,21.967438
2015-10-21,21.84,22.00,21.50,21.50,17500,21.371036
2015-10-20,21.66,22.00,21.66,21.77,20200,21.639417
2015-10-19,21.66,21.799999,21.66,21.73,25100,21.599656
2015-10-16,21.73,21.799999,21.530001,21.690001,22000,21.559897
2015-10-15,21.15,21.709999,20.98,21.629999,43700,21.500256
2015-10-14,21.799999,21.799999,21.059999,21.07,16600,20.943615
2015-10-13,21.620001,22.040001,21.620001,21.76,31900,21.629477
2015-10-12,21.379999,21.76,21.34,21.73,18600,21.599656
2015-10-09,21.74,21.85,21.309999,21.379999,25000,21.251755
2015-10-08,21.379999,21.85,21.190001,21.59,31400,21.460497
2015-10-07,21.209999,21.610001,21.209999,21.48,28000,21.351156
2015-10-06,21.219999,21.43,21.07,21.18,32000,21.052956
2015-10-05,20.17,21.379999,20.17,21.280001,62000,21.152357
2015-10-02,20.02,20.17,19.65,20.17,44300,20.049014
2015-10-01,20.309999,20.540001,19.959999,20.15,66100,20.029134
2015-09-30,20.65,20.65,20.25,20.360001,59500,20.237875
2015-09-29,20.799999,20.91,20.530001,20.57,25800,20.446614
2015-09-28,20.67,20.940001,20.57,20.719999,23300,20.595714
2015-09-25,21.870001,21.870001,20.51,20.76,78300,20.635475
2015-09-24,21.139999,21.889999,21.10,21.60,30500,21.470437
2015-09-23,21.370001,21.389999,21.120001,21.299999,40500,21.172235
2015-09-22,21.00,21.24,21.00,21.139999,37200,21.013195
2015-09-21,20.639999,21.35,20.25,21.16,27700,21.033076
2015-09-18,20.91,21.190001,20.290001,20.35,100000,20.227935
2015-09-17,21.15,21.92,21.120001,21.290001,33400,21.162297
2015-09-16,21.360001,21.790001,21.24,21.299999,35700,21.172235
2015-09-15,21.139999,21.860001,20.92,21.59,21100,21.460497
2015-09-14,20.90,21.10,20.90,20.98,8300,20.854155
2015-09-11,20.57,21.15,20.51,20.91,19600,20.784575
2015-09-10,20.25,20.620001,20.25,20.559999,12100,20.436674
2015-09-09,20.74,20.879999,20.23,20.24,15900,20.118594
2015-09-08,20.610001,20.92,20.50,20.549999,25500,20.426734
2015-09-04,20.25,20.52,20.200001,20.389999,26700,20.267694
2015-09-03,20.66,20.83,20.299999,20.370001,15400,20.247815
2015-09-02,20.360001,20.77,20.32,20.690001,14500,20.565895
2015-09-01,20.389999,20.76,20.18,20.26,35200,19.999314
2015-08-31,20.32,20.82,20.32,20.709999,15900,20.443523
2015-08-28,20.25,20.60,20.25,20.469999,30000,20.206611
2015-08-27,20.66,21.01,20.290001,20.41,43400,20.147384
2015-08-26,20.60,20.60,20.18,20.60,50200,20.334939
2015-08-25,20.92,20.92,20.129999,20.209999,37000,19.949956
2015-08-24,20.879999,21.26,20.25,20.34,33200,20.078285
2015-08-21,20.780001,21.35,20.27,21.290001,85500,21.016062
2015-08-20,21.719999,21.719999,21.17,21.17,20600,20.897605
2015-08-19,21.75,22.209999,21.620001,21.879999,25100,21.598468
2015-08-18,21.98,22.10,21.83,21.879999,18800,21.598468
2015-08-17,21.52,22.01,21.18,22.00,28500,21.716925
2015-08-14,21.32,21.549999,21.24,21.52,35300,21.243102
2015-08-13,21.379999,21.549999,21.24,21.32,15700,21.045675
2015-08-12,21.41,21.530001,21.01,21.379999,16600,21.104902
2015-08-11,21.77,21.799999,21.540001,21.629999,15800,21.351685
2015-08-10,21.98,22.139999,21.790001,21.85,31500,21.568856
2015-08-07,21.950001,22.110001,21.74,21.870001,18300,21.588599
2015-08-06,22.129999,22.40,21.969999,22.09,23800,21.805767
2015-08-05,21.940001,22.25,21.940001,22.15,56200,21.864995
2015-08-04,21.84,22.059999,21.83,21.91,23000,21.628083
2015-08-03,21.76,22.049999,21.700001,21.90,30400,21.618212
2015-07-31,21.950001,22.049999,21.67,21.889999,50200,21.60834
2015-07-30,21.799999,21.969999,21.67,21.85,31400,21.568856
2015-07-29,21.889999,22.07,21.610001,21.99,85600,21.707054
2015-07-28,21.93,21.93,21.389999,21.700001,27100,21.420786
2015-07-27,21.389999,21.860001,21.24,21.77,28300,21.489885
2015-07-24,21.52,21.68,21.389999,21.389999,34800,21.114774
2015-07-23,22.00,22.10,21.25,21.58,54200,21.302329
2015-07-22,21.67,22.00,21.67,21.969999,12700,21.687311
2015-07-21,21.690001,21.92,21.60,21.76,35000,21.480014
2015-07-20,21.889999,21.93,21.639999,21.66,27500,21.3813
2015-07-17,21.969999,21.969999,21.68,21.809999,41500,21.529369
2015-07-16,22.00,22.030001,21.809999,21.870001,39200,21.588599
2015-07-15,21.82,22.00,21.76,21.950001,48500,21.667569
2015-07-14,21.940001,22.00,21.75,22.00,79600,21.716925
2015-07-13,21.799999,21.940001,21.639999,21.879999,50700,21.598468
2015-07-10,21.74,21.879999,21.66,21.83,49100,21.549113
2015-07-09,21.799999,21.83,21.40,21.559999,24000,21.282586
2015-07-08,21.549999,21.73,21.440001,21.49,17700,21.213487
2015-07-07,21.870001,21.90,21.34,21.68,76800,21.401043
2015-07-06,21.780001,21.940001,21.549999,21.790001,48400,21.509628
2015-07-02,22.049999,22.049999,21.57,21.809999,23200,21.529369
2015-07-01,22.00,22.030001,21.940001,21.969999,48100,21.687311
