Date,Open,High,Low,Close,Volume,Adj Close
2016-01-22,32.080002,33.360001,31.84,32.189999,6025400,32.189999
2016-01-21,31.549999,31.790001,30.92,31.030001,4433100,31.030001
2016-01-20,31.00,31.59,30.709999,31.16,3724200,31.16
2016-01-19,32.299999,32.349998,30.889999,31.07,3345100,31.07
2016-01-15,30.43,32.009998,30.280001,31.99,4975000,31.99
2016-01-14,32.360001,32.740002,32.060001,32.310001,3929200,32.310001
2016-01-13,33.27,33.639999,32.09,32.110001,2767800,32.110001
2016-01-12,33.360001,33.639999,32.990002,33.150002,3032400,33.150002
2016-01-11,32.450001,33.439999,32.450001,33.060001,5380900,33.060001
2016-01-08,34.529999,34.68,32.209999,32.330002,8201800,32.330002
2016-01-07,34.490002,34.57,33.810001,34.259998,5312600,34.259998
2016-01-06,35.740002,35.990002,35.049999,35.18,4390300,35.18
2016-01-05,36.779999,37.32,36.189999,36.23,3423700,36.23
2016-01-04,37.299999,37.419998,36.290001,36.669998,3159200,36.669998
2015-12-31,38.240002,38.48,38.00,38.00,1512300,38.00
2015-12-30,38.77,38.849998,37.91,38.41,1537800,38.41
2015-12-29,37.900002,38.93,37.82,38.790001,1493700,38.790001
2015-12-28,37.810001,38.00,37.330002,37.84,811300,37.84
2015-12-24,37.459999,38.009998,37.459999,37.869999,505400,37.869999
2015-12-23,37.459999,37.810001,37.02,37.59,1367400,37.59
2015-12-22,37.759998,37.98,37.049999,37.310001,1565300,37.310001
2015-12-21,37.669998,37.759998,37.200001,37.66,1523900,37.66
2015-12-18,37.560001,37.84,37.080002,37.240002,11217600,37.240002
2015-12-17,38.48,38.650002,37.59,37.59,2611700,37.59
2015-12-16,38.630001,38.84,37.830002,38.330002,1849000,38.330002
2015-12-15,38.310001,38.68,37.759998,38.290001,2897300,38.290001
2015-12-14,37.91,38.48,37.630001,38.060001,3668300,38.060001
2015-12-11,37.549999,38.400002,37.529999,37.790001,3346000,37.790001
2015-12-10,37.049999,38.029999,36.669998,37.869999,3462300,37.869999
2015-12-09,37.41,37.59,36.860001,37.110001,2624400,37.110001
2015-12-08,37.419998,37.459999,36.400002,36.599998,2371400,36.599998
2015-12-07,37.91,38.130001,37.290001,37.66,2173200,37.66
2015-12-04,36.32,38.200001,36.23,38.150002,3595100,38.150002
2015-12-03,39.00,39.00,36.709999,36.939999,5394600,36.939999
2015-12-02,38.529999,38.889999,38.450001,38.689999,2778700,38.689999
2015-12-01,39.150002,39.290001,38.529999,38.689999,2189900,38.689999
2015-11-30,39.139999,39.189999,38.43,38.77,2635500,38.77
2015-11-27,38.779999,39.200001,38.619999,39.16,619100,39.16
2015-11-25,38.639999,39.07,38.48,38.830002,1633600,38.830002
2015-11-24,38.330002,39.02,38.240002,38.720001,3137000,38.720001
2015-11-23,39.610001,39.77,38.439999,38.459999,4428400,38.459999
2015-11-20,39.919998,40.349998,39.380001,39.990002,2621900,39.990002
2015-11-19,39.23,39.830002,39.040001,39.650002,1489900,39.650002
2015-11-18,39.00,39.580002,38.799999,39.41,1973200,39.41
2015-11-17,38.560001,39.240002,38.560001,38.689999,1439800,38.689999
2015-11-16,38.48,39.240002,38.48,39.150002,1758300,38.850002
2015-11-13,39.27,39.349998,38.759998,38.830002,2306400,38.532454
2015-11-12,39.360001,40.009998,39.259998,39.330002,1913500,39.028623
2015-11-11,39.490002,39.990002,39.490002,39.630001,1984100,39.326323
2015-11-10,39.650002,39.810001,39.169998,39.50,2379700,39.197318
2015-11-09,40.599998,40.860001,40.00,40.02,2214600,39.713334
2015-11-06,40.259998,40.970001,40.259998,40.560001,2796700,40.249197
2015-11-05,40.900002,41.360001,40.529999,40.709999,1767600,40.398045
2015-11-04,41.459999,41.459999,40.98,41.07,1947100,40.755287
