Date,Open,High,Low,Close,Volume,Adj Close
2016-01-22,8.95,9.12,8.86,9.09,29200,9.09
2016-01-21,9.01,9.08,8.65,8.84,13500,8.84
2016-01-20,8.85,9.23,8.67,9.14,19500,9.14
2016-01-19,8.96,8.98,8.82,8.93,15800,8.93
2016-01-15,8.88,9.00,8.80,8.90,16000,8.90
2016-01-14,9.02,9.30,8.88,9.15,15900,9.15
2016-01-13,9.12,9.16,8.91,9.01,22200,9.01
2016-01-12,9.30,9.30,8.95,9.09,16400,9.09
2016-01-11,8.88,9.32,8.81,9.27,20200,9.27
2016-01-08,9.02,9.26,8.78,8.92,23800,8.92
2016-01-07,9.73,9.73,8.61,8.96,50900,8.96
2016-01-06,9.88,10.10,9.73,9.92,20300,9.92
2016-01-05,10.00,10.30,9.62,9.99,34300,9.99
2016-01-04,10.02,10.02,9.59,9.93,35800,9.93
2015-12-31,10.53,10.66,10.12,10.12,28200,10.12
2015-12-30,11.07,11.27,10.68,10.70,15500,10.70
2015-12-29,11.14,11.34,10.95,11.18,13400,11.18
2015-12-28,11.11,11.19,10.87,10.96,12100,10.96
2015-12-24,11.36,11.42,10.90,11.21,12000,11.21
2015-12-23,11.24,11.50,11.09,11.33,17000,11.33
2015-12-22,10.84,11.27,10.55,11.21,23400,11.21
2015-12-21,10.64,10.90,10.49,10.83,24700,10.83
2015-12-18,10.71,10.75,10.47,10.58,39000,10.58
2015-12-17,10.98,11.15,10.75,10.79,15300,10.79
2015-12-16,10.75,10.97,10.75,10.87,21000,10.87
2015-12-15,10.67,10.75,10.50,10.72,20100,10.72
2015-12-14,10.54,11.01,10.50,10.54,23500,10.54
2015-12-11,10.30,10.67,10.30,10.57,39300,10.57
2015-12-10,10.82,10.94,10.36,10.55,48900,10.55
2015-12-09,10.87,10.99,10.74,10.77,18600,10.77
2015-12-08,11.13,11.31,10.74,11.03,33100,11.03
2015-12-07,11.60,11.93,11.12,11.32,20400,11.32
2015-12-04,11.54,11.63,11.53,11.54,7900,11.54
2015-12-03,11.76,11.90,11.50,11.54,14200,11.54
2015-12-02,11.93,11.93,11.75,11.76,12700,11.76
2015-12-01,11.94,11.94,11.69,11.82,17400,11.82
2015-11-30,12.26,12.46,11.75,11.77,17200,11.77
2015-11-27,12.23,12.41,11.95,12.27,5700,12.27
2015-11-25,11.39,12.37,11.38,12.32,27200,12.32
2015-11-24,11.36,11.55,11.18,11.47,37200,11.47
2015-11-23,11.68,11.77,11.51,11.65,12800,11.65
2015-11-20,11.01,11.66,11.01,11.65,32300,11.65
2015-11-19,10.99,11.04,10.52,10.73,15100,10.73
2015-11-18,10.85,10.97,10.85,10.89,26900,10.89
2015-11-17,10.87,11.06,10.85,10.95,49300,10.95
2015-11-16,11.24,11.71,10.78,10.95,25900,10.95
2015-11-13,12.10,12.34,11.48,11.54,36000,11.44
2015-11-12,12.28,12.59,12.06,12.21,17100,12.104194
2015-11-11,12.10,12.60,11.73,12.43,18500,12.322288
2015-11-10,11.97,12.23,11.97,12.16,13600,12.054627
2015-11-09,11.93,12.16,11.91,12.01,14100,11.905928
