Date,Open,High,Low,Close,Volume,Adj Close
2016-01-22,14.71,14.92,14.59,14.92,282900,14.92
2016-01-21,15.09,15.09,14.55,14.56,351800,14.56
2016-01-20,14.72,15.04,14.08,15.01,489900,15.01
2016-01-19,14.74,14.96,14.55,14.88,367600,14.88
2016-01-15,14.25,14.64,14.19,14.60,616800,14.60
2016-01-14,14.38,14.63,14.20,14.60,431300,14.60
2016-01-13,14.83,14.93,14.27,14.35,230200,14.35
2016-01-12,15.11,15.12,14.46,14.73,271500,14.73
2016-01-11,14.83,15.07,14.74,15.07,457600,15.07
2016-01-08,14.94,15.15,14.80,14.80,231700,14.80
2016-01-07,15.05,15.32,14.91,14.91,255900,14.91
2016-01-06,15.14,15.43,15.14,15.33,270100,15.33
2016-01-05,15.34,15.45,15.14,15.34,155600,15.34
2016-01-04,15.46,15.51,15.00,15.27,372100,15.27
2015-12-31,15.70,15.93,15.62,15.71,225800,15.71
2015-12-30,15.45,15.85,15.38,15.78,215900,15.78
2015-12-29,15.50,15.64,15.21,15.44,151200,15.44
2015-12-28,15.39,15.52,15.23,15.45,110200,15.45
2015-12-24,15.46,15.54,15.38,15.45,51300,15.45
2015-12-23,15.44,15.54,15.34,15.51,101200,15.51
2015-12-22,15.23,15.36,15.07,15.32,138700,15.32
2015-12-21,15.32,15.32,15.02,15.17,168700,15.17
2015-12-18,15.54,15.54,15.16,15.18,528300,15.18
2015-12-17,15.75,15.84,15.49,15.63,273800,15.63
2015-12-16,15.54,15.75,15.53,15.75,161700,15.75
2015-12-15,15.05,15.55,14.44,15.39,250300,15.39
2015-12-14,15.17,15.27,15.05,15.21,251300,15.21
2015-12-11,15.12,15.42,14.72,15.14,260700,15.14
2015-12-10,15.62,15.99,15.36,15.39,283300,15.39
2015-12-09,15.74,16.02,15.68,15.68,159200,15.68
2015-12-08,15.60,16.02,15.53,15.84,177700,15.84
2015-12-07,16.030001,16.030001,15.69,15.72,182000,15.72
2015-12-04,15.92,16.110001,15.60,16.07,207400,16.07
2015-12-03,16.17,16.23,15.80,15.85,363900,15.85
2015-12-02,16.07,16.139999,15.90,16.10,599200,16.10
2015-12-01,15.92,16.33,15.81,16.030001,1735700,16.030001
2015-11-30,15.22,15.91,15.22,15.87,594600,15.87
2015-11-27,15.54,15.61,15.45,15.48,88200,15.48
2015-11-25,15.20,15.54,15.12,15.50,257200,15.50
2015-11-24,14.89,15.10,14.85,15.08,124800,15.08
2015-11-23,14.90,15.06,14.87,14.96,163100,14.96
2015-11-20,14.92,15.03,14.43,14.92,186900,14.92
2015-11-19,14.98,15.12,14.82,14.87,161800,14.87
2015-11-18,14.85,15.24,14.41,15.09,263200,15.09
2015-11-17,15.08,15.11,14.97,15.06,273200,14.840001
2015-11-16,15.03,15.11,14.82,15.05,203700,14.830147
2015-11-13,15.08,15.57,14.99,15.03,180500,14.810438
2015-11-12,15.33,15.54,15.22,15.26,188800,15.037079
2015-11-11,15.66,15.84,15.35,15.47,296400,15.244011
2015-11-10,14.71,15.57,14.29,15.56,1201700,15.332697
2015-11-09,14.79,14.84,14.30,14.45,471000,14.238911
2015-11-06,14.49,14.79,14.34,14.72,270300,14.504967
2015-11-05,14.66,14.78,14.52,14.57,414500,14.357158
2015-11-04,14.67,14.73,14.35,14.66,284700,14.445844
2015-11-03,14.65,14.74,14.46,14.64,232900,14.426136
2015-11-02,14.19,14.76,14.14,14.70,257200,14.485259
2015-10-30,14.25,14.29,14.02,14.20,339200,13.992563
2015-10-29,13.90,14.28,13.60,14.26,219600,14.051687
2015-10-28,13.61,13.96,13.61,13.93,231300,13.726508
2015-10-27,13.85,13.86,13.52,13.61,156400,13.411182
2015-10-26,13.95,13.98,13.80,13.87,182400,13.667384
2015-10-23,13.94,13.97,13.78,13.93,186500,13.726508
2015-10-22,13.86,14.23,13.66,13.80,338700,13.598407
2015-10-21,14.12,14.12,13.77,13.79,296900,13.588553
2015-10-20,13.92,14.11,13.87,14.06,341600,13.854609
2015-10-19,13.88,14.13,13.88,13.92,198900,13.716654
