Date,Open,High,Low,Close,Volume,Adj Close
2016-01-22,6.85,6.90,6.85,6.85,18400,6.85
2016-01-21,6.85,6.85,6.85,6.85,000,6.85
2016-01-20,6.75,6.95,6.75,6.85,17800,6.85
2016-01-19,7.00,7.00,7.00,7.00,5000,7.00
2016-01-15,7.01,7.01,6.80,6.80,17600,6.80
2016-01-14,7.05,7.05,7.00,7.02,19100,7.02
2016-01-13,7.27,7.27,7.11,7.11,1000,7.11
2016-01-12,7.27,7.36,7.27,7.36,300,7.36
2016-01-11,7.10,7.10,7.10,7.10,6200,7.10
2016-01-08,7.11,7.12,7.05,7.05,15900,7.05
2016-01-07,7.15,7.15,7.11,7.11,4400,7.11
2016-01-06,7.15,7.30,7.15,7.30,30200,7.30
2016-01-05,7.22,7.28,7.20,7.28,14300,7.28
2016-01-04,7.15,7.35,7.15,7.21,4000,7.21
2015-12-31,7.12,7.12,7.12,7.12,500,7.12
2015-12-30,7.04,7.25,7.00,7.10,31600,7.10
2015-12-29,7.05,7.08,7.00,7.00,7300,7.00
2015-12-28,7.62,7.62,7.04,7.05,4900,7.05
2015-12-24,7.15,7.18,6.90,6.93,8000,6.93
2015-12-23,7.14,7.52,7.11,7.49,7900,7.49
2015-12-22,7.10,7.25,7.08,7.10,118200,7.10
2015-12-21,7.45,7.45,7.45,7.45,000,7.45
2015-12-18,7.45,7.45,6.98,7.45,265700,7.45
2015-12-17,7.47,7.55,7.47,7.55,200,7.55
2015-12-16,7.50,7.50,7.47,7.47,2000,7.47
2015-12-15,7.51,7.51,7.51,7.51,000,7.51
2015-12-14,7.51,7.51,7.51,7.51,000,7.51
2015-12-11,7.51,7.51,7.51,7.51,200,7.51
2015-12-10,7.66,7.66,7.62,7.62,2100,7.62
2015-12-09,7.64,7.65,7.64,7.65,1000,7.65
2015-12-08,7.68,7.70,7.62,7.62,2200,7.62
2015-12-07,7.68,7.70,7.68,7.70,2400,7.70
2015-12-04,7.67,7.67,7.67,7.67,000,7.67
2015-12-03,7.67,7.67,7.67,7.67,000,7.67
2015-12-02,7.69,7.69,7.67,7.67,2900,7.67
2015-12-01,7.64,7.69,7.64,7.69,1600,7.69
2015-11-30,7.69,7.69,7.64,7.64,1000,7.64
2015-11-27,7.64,7.65,7.64,7.65,1100,7.65
2015-11-25,7.65,7.65,7.64,7.64,1200,7.64
2015-11-24,7.64,7.64,7.64,7.64,000,7.64
2015-11-23,7.64,7.64,7.64,7.64,700,7.64
2015-11-20,7.56,7.56,7.56,7.56,000,7.56
2015-11-19,7.56,7.56,7.56,7.56,100,7.56
2015-11-18,7.58,7.58,7.51,7.52,800,7.52
2015-11-17,7.50,7.56,7.45,7.56,17300,7.56
2015-11-16,7.53,7.65,7.53,7.65,7900,7.65
2015-11-13,7.47,7.48,7.47,7.48,400,7.48
2015-11-12,7.47,7.47,7.47,7.47,100,7.47
2015-11-11,7.50,7.50,7.50,7.50,000,7.50
2015-11-10,7.50,7.50,7.50,7.50,000,7.50
2015-11-09,7.53,7.53,7.50,7.50,900,7.50
2015-11-06,7.53,7.53,7.53,7.53,000,7.53
2015-11-05,7.50,7.53,7.50,7.53,500,7.53
2015-11-04,7.42,7.42,7.42,7.42,000,7.42
2015-11-03,7.42,7.42,7.42,7.42,000,7.42
2015-11-02,7.38,7.55,7.38,7.42,1600,7.42
2015-10-30,7.54,7.55,7.38,7.38,1200,7.38
2015-10-29,7.50,7.50,7.50,7.50,000,7.50
2015-10-28,7.52,7.54,7.49,7.50,1200,7.50
2015-10-27,7.40,7.40,7.35,7.37,1800,7.37
2015-10-26,7.47,7.47,7.47,7.47,200,7.47
2015-10-23,7.49,7.53,7.49,7.53,1000,7.53
2015-10-22,7.35,7.35,7.35,7.35,000,7.35
2015-10-21,7.37,7.40,7.30,7.35,2700,7.35
2015-10-20,7.37,7.37,7.25,7.35,19700,7.35
2015-10-19,7.55,7.55,7.33,7.42,4700,7.42
2015-10-16,7.50,7.55,7.50,7.55,5000,7.55
2015-10-15,7.50,7.55,7.47,7.55,900,7.55
2015-10-14,7.50,7.50,7.50,7.50,000,7.50
2015-10-13,7.50,7.50,7.50,7.50,400,7.50
2015-10-12,7.50,7.50,7.50,7.50,1700,7.50
2015-10-09,7.52,7.52,7.49,7.52,2900,7.52
2015-10-08,7.51,7.51,7.51,7.51,300,7.51
2015-10-07,7.53,7.53,7.36,7.36,500,7.36
2015-10-06,7.35,7.35,7.35,7.35,200,7.32
2015-10-05,7.49,7.55,7.49,7.55,1500,7.519184
2015-10-02,7.49,7.49,7.35,7.35,400,7.32
2015-10-01,7.35,7.40,7.35,7.38,600,7.349878
2015-09-30,7.45,7.45,7.45,7.45,000,7.419592
2015-09-29,7.45,7.45,7.45,7.45,000,7.419592
2015-09-28,7.38,7.45,7.38,7.45,1200,7.419592
2015-09-25,7.40,7.49,7.40,7.49,600,7.459429
2015-09-24,7.49,7.49,7.49,7.49,200,7.459429
2015-09-23,7.45,7.47,7.45,7.47,3000,7.43951
2015-09-22,7.55,7.55,7.35,7.43,500,7.399673
2015-09-21,7.52,7.54,7.45,7.54,3900,7.509225
2015-09-18,7.34,7.54,7.25,7.54,7100,7.509225
2015-09-17,7.55,7.55,7.33,7.33,900,7.300082
2015-09-16,7.35,7.35,7.33,7.33,300,7.300082
2015-09-15,7.28,7.52,7.28,7.33,2800,7.300082
2015-09-14,7.26,7.26,7.25,7.25,800,7.220408
2015-09-11,7.25,7.36,7.25,7.25,600,7.220408
2015-09-10,7.43,7.59,7.25,7.52,18600,7.489306
2015-09-09,7.48,7.48,7.26,7.47,7800,7.43951
2015-09-08,7.38,7.41,7.35,7.35,2700,7.32
2015-09-04,7.42,7.47,7.37,7.40,10300,7.369796
2015-09-03,7.44,7.44,7.43,7.43,200,7.399673
2015-09-02,7.63,7.63,7.44,7.44,700,7.409633
2015-09-01,7.50,7.58,7.50,7.58,500,7.549061
2015-08-31,7.51,7.56,7.51,7.56,2100,7.529143
2015-08-28,7.50,7.52,7.50,7.52,400,7.489306
2015-08-27,7.52,7.52,7.51,7.51,300,7.479347
2015-08-26,7.50,7.56,7.40,7.55,5500,7.519184
2015-08-25,7.57,7.65,7.50,7.51,5500,7.479347
2015-08-24,7.85,7.85,7.53,7.53,9400,7.499266
2015-08-21,7.87,7.87,7.81,7.83,1600,7.798041
2015-08-20,7.90,7.90,7.90,7.90,100,7.867755
2015-08-19,7.81,7.82,7.81,7.82,1100,7.788082
2015-08-18,7.80,7.85,7.80,7.85,200,7.817959
2015-08-17,7.78,7.78,7.78,7.78,200,7.748245
2015-08-14,7.84,7.94,7.84,7.87,20400,7.837878
2015-08-13,7.56,7.84,7.56,7.84,5900,7.808
2015-08-12,7.53,7.53,7.53,7.53,100,7.499266
2015-08-11,7.53,7.53,7.53,7.53,100,7.499266
2015-08-10,7.54,7.54,7.54,7.54,000,7.509225
2015-08-07,7.54,7.58,7.54,7.54,1300,7.509225
2015-08-06,7.84,7.86,7.63,7.63,1500,7.598857
