Date,Open,High,Low,Close,Volume,Adj Close
2016-01-22,10.47,11.04,10.40,10.89,96500,10.89
2016-01-21,10.76,10.84,9.84,10.30,146200,10.30
2016-01-20,10.86,11.00,9.89,10.79,268500,10.79
2016-01-19,11.83,11.85,11.01,11.06,141600,11.06
2016-01-15,11.33,11.71,11.04,11.69,125800,11.69
2016-01-14,11.89,11.89,11.25,11.61,216200,11.61
2016-01-13,12.88,12.88,11.66,11.95,185900,11.95
2016-01-12,12.71,12.83,12.41,12.77,84300,12.77
2016-01-11,12.85,12.89,12.43,12.62,136700,12.62
2016-01-08,13.17,13.35,12.80,12.86,167500,12.86
2016-01-07,13.32,13.45,13.10,13.25,111100,13.25
2016-01-06,13.78,14.15,13.38,13.69,143000,13.69
2016-01-05,13.52,14.32,13.51,13.98,203300,13.98
2016-01-04,14.09,14.51,13.52,14.10,331300,13.700001
2015-12-31,14.49,14.71,14.02,14.32,89900,13.913759
2015-12-30,14.44,14.69,14.28,14.40,91600,13.991489
2015-12-29,14.18,14.84,14.09,14.49,237700,14.078936
2015-12-28,14.01,14.14,13.79,14.03,78400,13.631986
2015-12-24,13.52,14.00,13.47,13.90,42000,13.505674
2015-12-23,13.67,13.72,13.37,13.52,41100,13.136455
2015-12-22,13.40,13.68,13.35,13.66,76500,13.272482
2015-12-21,13.50,13.74,13.29,13.32,61300,12.942128
2015-12-18,13.79,14.18,13.25,13.44,148600,13.058723
2015-12-17,13.70,13.94,13.60,13.77,54500,13.379362
2015-12-16,13.50,13.78,13.45,13.78,54200,13.389078
2015-12-15,12.93,13.49,12.93,13.43,95100,13.049008
2015-12-14,13.54,13.85,12.80,12.96,143900,12.592341
2015-12-11,13.81,14.02,13.58,13.66,150600,13.272482
2015-12-10,14.05,14.18,13.85,13.95,92500,13.554255
2015-12-09,13.88,14.25,13.87,13.98,90100,13.583404
2015-12-08,13.75,14.05,13.75,13.98,137000,13.583404
2015-12-07,13.81,14.09,13.77,13.88,165100,13.486242
2015-12-04,14.04,14.04,13.81,13.84,34300,13.447376
2015-12-03,14.15,14.23,13.92,14.00,56100,13.602837
2015-12-02,14.13,14.36,13.98,14.02,70900,13.62227
2015-12-01,14.08,14.30,14.00,14.27,80900,13.865178
2015-11-30,13.93,14.19,13.86,14.04,129300,13.641702
2015-11-27,13.67,13.89,13.61,13.76,55900,13.369646
2015-11-25,13.64,14.01,13.64,13.75,62900,13.359929
2015-11-24,13.23,13.66,13.16,13.55,111400,13.165603
2015-11-23,13.60,13.84,13.16,13.41,190100,13.029575
2015-11-20,13.92,14.00,13.57,13.73,71500,13.340496
2015-11-19,14.02,14.23,13.90,13.92,65900,13.525107
2015-11-18,13.56,14.10,13.56,13.95,110300,13.554255
2015-11-17,14.45,14.62,13.51,13.60,233200,13.214185
2015-11-16,14.16,14.89,13.95,14.31,319200,13.904043
2015-11-13,17.01,17.23,16.90,17.219999,172900,14.1178
2015-11-12,17.040001,17.10,16.90,17.01,102900,13.945633
2015-11-11,17.40,17.40,16.73,17.030001,81100,13.96203
2015-11-10,17.17,17.719999,16.950001,17.24,146000,14.134198
2015-11-09,16.75,17.10,16.50,16.60,124600,13.609495
2015-11-06,16.58,16.639999,16.299999,16.58,111600,13.593098
2015-11-05,17.08,17.08,16.360001,16.52,173300,13.543907
2015-11-04,17.049999,17.15,16.629999,17.059999,131300,13.986625
2015-11-03,17.200001,17.299999,16.629999,16.780001,107300,13.757068
2015-11-02,16.58,17.190001,16.58,16.860001,195100,13.822656
2015-10-30,16.66,16.91,16.51,16.59,69500,13.601296
2015-10-29,16.76,16.99,16.51,16.549999,106900,13.568502
2015-10-28,16.200001,16.93,16.10,16.77,46200,13.748869
2015-10-27,16.870001,16.870001,16.049999,16.190001,141400,13.273357
2015-10-26,16.870001,17.200001,16.85,17.00,72000,13.937434
2015-10-23,17.700001,17.700001,16.75,16.969999,155600,13.912838
2015-10-22,17.440001,17.700001,17.40,17.50,66800,14.347359
2015-10-21,17.75,17.799999,17.379999,17.530001,108100,14.371955
2015-10-20,17.540001,17.76,17.26,17.68,144100,14.494932
2015-10-19,17.969999,18.299999,17.85,17.950001,284800,14.306368
2015-10-16,17.879999,18.24,17.57,17.83,132300,14.210726
2015-10-15,16.99,17.92,16.99,17.790001,186600,14.178846
2015-10-14,17.139999,17.139999,16.90,16.969999,140900,13.525295
2015-10-13,16.90,17.32,16.90,16.90,142500,13.469504
2015-10-12,16.950001,17.10,16.84,16.860001,201300,13.437624
2015-10-09,16.83,17.25,16.75,16.950001,978000,13.509356
2015-10-08,17.65,18.09,16.99,17.209999,384600,13.716577
2015-10-07,19.040001,19.040001,18.50,18.639999,81600,14.856305
2015-10-06,18.93,19.139999,18.799999,19.02,122700,15.15917
2015-10-05,19.10,19.18,18.85,18.950001,155700,15.10338
2015-10-02,18.50,18.99,18.25,18.91,152300,15.071499
2015-10-01,16.77,18.26,16.75,18.209999,292200,14.513589
2015-09-30,15.65,16.629999,15.62,16.43,186400,13.094909
2015-09-29,15.55,15.74,15.05,15.48,114500,12.337747
2015-09-28,16.049999,16.17,15.45,15.55,101200,12.393538
