Date,Open,High,Low,Close,Volume,Adj Close
2016-01-22,14.76,14.86,14.52,14.57,976100,14.57
2016-01-21,14.81,14.93,14.61,14.65,223500,14.65
2016-01-20,14.59,14.90,14.51,14.78,318700,14.78
2016-01-19,15.03,15.06,14.64,14.75,284300,14.75
2016-01-15,14.66,15.00,14.66,14.95,241000,14.95
2016-01-14,14.91,15.16,14.81,15.00,292700,15.00
2016-01-13,15.52,15.55,14.87,14.98,246200,14.98
2016-01-12,15.58,15.65,15.36,15.57,146600,15.57
2016-01-11,15.41,15.69,15.39,15.48,135100,15.48
2016-01-08,15.63,15.70,15.37,15.41,142000,15.41
2016-01-07,15.57,15.71,15.55,15.60,140800,15.60
2016-01-06,15.44,15.75,15.44,15.65,115500,15.65
2016-01-05,15.56,15.81,15.43,15.64,65200,15.64
2016-01-04,15.67,15.79,15.46,15.52,175900,15.52
2015-12-31,16.280001,16.280001,15.91,15.92,103400,15.92
2015-12-30,16.360001,16.40,16.280001,16.299999,149600,16.299999
2015-12-29,16.200001,16.370001,16.139999,16.35,237900,16.35
2015-12-28,16.18,16.219999,16.049999,16.190001,82700,16.190001
2015-12-24,16.16,16.299999,16.15,16.219999,156900,16.219999
2015-12-23,16.23,16.290001,16.07,16.139999,79600,16.139999
2015-12-22,16.18,16.219999,15.84,16.18,120000,16.18
2015-12-21,16.26,16.299999,15.86,16.139999,202500,16.139999
2015-12-18,16.25,16.25,15.85,16.200001,828200,16.200001
2015-12-17,16.23,16.299999,16.15,16.26,157300,16.26
2015-12-16,16.030001,16.24,15.80,16.219999,127400,16.219999
2015-12-15,15.83,16.040001,15.76,16.01,129900,16.01
2015-12-14,15.43,15.76,15.41,15.73,177600,15.73
2015-12-11,15.35,15.60,15.35,15.41,103800,15.41
2015-12-10,15.60,15.77,15.55,15.56,64000,15.56
2015-12-09,15.75,15.87,15.57,15.63,58000,15.63
2015-12-08,15.69,15.91,15.67,15.79,97400,15.79
2015-12-07,15.95,16.02,15.71,15.80,77200,15.80
2015-12-04,15.82,16.040001,15.77,15.95,77100,15.95
2015-12-03,15.94,16.110001,15.78,15.81,97000,15.81
2015-12-02,16.07,16.190001,15.91,15.92,86200,15.92
2015-12-01,16.00,16.129999,15.84,16.059999,88400,16.059999
2015-11-30,15.92,16.02,15.79,15.93,138300,15.93
2015-11-27,15.91,15.96,15.78,15.91,38300,15.91
2015-11-25,15.86,15.91,15.71,15.91,56600,15.91
2015-11-24,15.77,15.88,15.65,15.84,76900,15.84
2015-11-23,15.81,15.91,15.71,15.84,84100,15.84
2015-11-20,15.82,15.90,15.64,15.83,86900,15.83
2015-11-19,15.79,15.79,15.64,15.75,73000,15.75
2015-11-18,15.57,15.77,15.45,15.76,133800,15.76
2015-11-17,15.59,15.68,15.47,15.57,151500,15.57
2015-11-16,15.56,15.76,15.43,15.54,177300,15.54
2015-11-13,15.52,15.86,15.44,15.56,133500,15.56
2015-11-12,15.77,15.87,15.58,15.62,104500,15.62
2015-11-11,15.99,16.129999,15.84,15.87,73600,15.87
2015-11-10,15.78,16.09,15.78,15.94,173200,15.94
2015-11-09,15.90,15.96,15.69,15.81,106500,15.81
2015-11-06,15.91,16.110001,15.85,15.96,151200,15.96
2015-11-05,15.93,16.120001,15.87,15.98,233000,15.91
2015-11-04,15.82,15.95,15.75,15.93,189200,15.86022
2015-11-03,15.44,15.77,15.32,15.70,217900,15.631227
2015-11-02,15.33,15.59,15.31,15.49,151800,15.422146
2015-10-30,15.70,15.76,15.21,15.32,169200,15.252891
2015-10-29,15.73,15.94,15.65,15.71,249100,15.641183
2015-10-28,15.51,15.80,15.48,15.80,391800,15.730789
2015-10-27,15.47,15.60,15.33,15.51,118000,15.442059
2015-10-26,15.58,15.63,15.20,15.53,108600,15.461971
2015-10-23,15.59,15.64,15.45,15.60,97800,15.531665
2015-10-22,15.43,15.66,15.38,15.50,142100,15.432103
2015-10-21,15.60,15.60,15.27,15.30,82000,15.232979
2015-10-20,15.39,15.54,15.32,15.51,63100,15.442059
2015-10-19,15.35,15.54,15.33,15.41,68800,15.342497
2015-10-16,15.48,15.49,15.27,15.41,71900,15.342497
2015-10-15,15.14,15.44,15.11,15.44,212600,15.372365
2015-10-14,15.32,15.48,15.02,15.08,123400,15.013943
2015-10-13,15.42,15.49,15.33,15.34,91300,15.272804
2015-10-12,15.27,15.47,15.25,15.47,158400,15.402234
2015-10-09,15.42,15.42,15.21,15.25,83100,15.183198
2015-10-08,15.24,15.39,15.23,15.36,135700,15.292716
2015-10-07,15.16,15.30,15.00,15.28,424400,15.213066
2015-10-06,15.19,15.28,15.05,15.13,113800,15.063724
2015-10-05,15.13,15.25,15.07,15.19,95700,15.12346
2015-10-02,14.97,15.02,14.71,15.01,144800,14.944249
2015-10-01,15.18,15.21,15.00,15.11,129700,15.043811
2015-09-30,15.20,15.26,15.08,15.21,162300,15.143373
2015-09-29,15.19,15.27,15.06,15.11,125600,15.043811
2015-09-28,15.20,15.28,15.13,15.17,127900,15.103548
2015-09-25,15.37,15.38,15.20,15.21,256500,15.143373
2015-09-24,15.12,15.35,15.04,15.28,213500,15.213066
2015-09-23,15.15,15.29,15.13,15.20,90800,15.133417
2015-09-22,15.07,15.23,15.07,15.15,82800,15.083636
2015-09-21,15.01,15.22,15.01,15.19,127400,15.12346
2015-09-18,14.93,15.12,14.85,14.91,567400,14.844687
2015-09-17,15.18,15.39,15.01,15.09,201300,15.023899
2015-09-16,15.23,15.36,15.10,15.16,139400,15.093592
2015-09-15,15.16,15.30,15.14,15.25,187800,15.183198
2015-09-14,15.15,15.20,15.10,15.14,184000,15.07368
2015-09-11,14.96,15.15,14.82,15.15,164300,15.083636
2015-09-10,14.95,15.17,14.92,15.03,185200,14.964161
2015-09-09,15.07,15.08,14.93,14.95,294600,14.884512
2015-09-08,14.98,15.01,14.86,14.98,212900,14.91438
2015-09-04,14.73,14.89,14.64,14.82,122600,14.755081
2015-09-03,14.82,14.92,14.78,14.86,171500,14.794906
2015-09-02,14.78,14.87,14.65,14.80,195400,14.735169
