Date,Open,High,Low,Close,Volume,Adj Close
2016-01-22,18.49,19.10,18.42,19.059999,173200,19.059999
2016-01-21,18.299999,18.879999,18.290001,18.40,225500,18.40
2016-01-20,18.610001,18.889999,18.040001,18.379999,371300,18.379999
2016-01-19,19.33,19.450001,18.559999,18.91,303100,18.91
2016-01-15,18.74,19.360001,18.74,19.219999,300500,19.219999
2016-01-14,19.02,19.35,18.709999,19.190001,260300,19.190001
2016-01-13,19.620001,19.950001,18.629999,18.84,277400,18.84
2016-01-12,19.879999,19.969999,19.32,19.540001,118100,19.540001
2016-01-11,19.790001,20.004999,19.379999,19.709999,241100,19.709999
2016-01-08,20.15,20.615,19.700001,19.75,246900,19.75
2016-01-07,20.200001,20.43,19.549999,20.10,171600,20.10
2016-01-06,20.620001,21.120001,20.379999,20.50,178500,20.50
2016-01-05,20.92,21.209999,20.65,20.809999,258800,20.809999
2016-01-04,21.49,21.530001,20.610001,21.17,259100,21.17
2015-12-31,22.10,22.24,21.690001,21.860001,189100,21.860001
2015-12-30,22.59,22.610001,22.120001,22.15,85500,22.15
2015-12-29,22.43,22.60,22.254,22.59,235300,22.560001
2015-12-28,22.110001,22.35,21.275,22.24,131200,22.210465
2015-12-24,21.98,22.209999,21.889999,22.09,83800,22.060665
2015-12-23,22.17,22.459999,21.860001,21.98,164300,21.95081
2015-12-22,21.82,22.129999,21.66,22.00,178600,21.970784
2015-12-21,21.73,22.07,21.485001,21.75,126000,21.721116
2015-12-18,22.030001,22.360001,21.57,21.620001,563300,21.59129
2015-12-17,21.85,22.17,21.549999,22.030001,171000,22.000745
2015-12-16,21.40,21.860001,21.129999,21.709999,284400,21.681168
2015-12-15,21.200001,21.389999,20.950001,21.24,133400,21.211793
2015-12-14,21.200001,21.450001,20.969999,21.08,165500,21.052006
2015-12-11,21.139999,21.370001,20.700001,21.120001,146700,21.091954
2015-12-10,21.66,21.85,21.35,21.41,130600,21.381568
2015-12-09,21.98,22.23,18.76,21.709999,138100,21.681168
2015-12-08,21.76,22.059999,21.639,21.950001,132000,21.920851
2015-12-07,22.059999,22.299999,21.889999,21.969999,185700,21.940823
2015-12-04,22.07,22.368999,22.040001,22.139999,122300,22.110598
2015-12-03,22.290001,22.42,22.040001,22.09,176500,22.060665
2015-12-02,22.030001,22.33,21.76,22.129999,193200,22.100611
2015-12-01,22.059999,22.309999,21.76,22.120001,181400,22.090626
2015-11-30,21.530001,22.23,21.51,21.91,475400,21.880904
2015-11-27,21.469999,21.74,21.43,21.559999,54500,21.531368
2015-11-25,21.450001,21.709999,21.23,21.50,136700,21.471448
2015-11-24,21.50,21.50,21.07,21.370001,91800,21.341622
2015-11-23,21.280001,21.552999,21.209999,21.469999,88300,21.441487
2015-11-20,21.25,21.559999,21.075001,21.24,196600,21.211793
2015-11-19,21.41,21.41,21.00,21.24,175600,21.211793
2015-11-18,21.26,21.530001,21.10,21.34,199300,21.311661
2015-11-17,21.33,21.610001,21.209999,21.23,194400,21.201806
2015-11-16,21.51,21.92,20.91,21.34,342800,21.311661
2015-11-13,21.33,21.809999,21.264999,21.60,141600,21.571316
2015-11-12,21.52,21.709999,21.309999,21.459999,137800,21.4315
2015-11-11,21.629999,21.90,21.50,21.59,154400,21.561329
2015-11-10,21.75,21.959999,21.450001,21.51,217400,21.481435
2015-11-09,21.790001,21.969999,21.690001,21.799999,140600,21.771049
2015-11-06,21.469999,21.98,21.469999,21.809999,294100,21.781036
2015-11-05,21.370001,21.629999,21.25,21.59,90300,21.561329
2015-11-04,21.440001,21.48,21.17,21.40,437300,21.371581
2015-11-03,20.60,21.50,20.43,21.469999,825900,21.441487
2015-11-02,19.65,20.08,19.620001,19.860001,366100,19.833627
2015-10-30,19.469999,19.73,18.940001,19.709999,287700,19.683824
2015-10-29,19.440001,19.559999,19.280001,19.41,93000,19.384224
2015-10-28,18.950001,19.530001,18.92,19.50,199200,19.474104
2015-10-27,19.33,19.33,18.540001,18.940001,310500,18.914848
2015-10-26,19.16,19.99,19.049999,19.360001,202800,19.334291
2015-10-23,19.77,19.77,18.969999,19.15,225400,19.124569
2015-10-22,19.66,19.98,19.52,19.67,82500,19.643878
2015-10-21,20.33,20.35,19.49,19.540001,136000,19.514052
2015-10-20,20.27,20.43,20.040001,20.280001,221700,20.253069
2015-10-19,19.639999,20.23,19.584,20.219999,263600,20.193147
2015-10-16,19.65,19.889999,19.440001,19.77,216900,19.743746
2015-10-15,19.24,19.59,19.040001,19.57,178600,19.544011
2015-10-14,19.200001,19.540001,19.129999,19.209999,134800,19.184488
2015-10-13,19.559999,19.860001,19.035999,19.18,144800,19.154529
2015-10-12,19.530001,19.690001,19.469999,19.65,138900,19.623905
2015-10-09,19.49,19.77,19.370001,19.49,145500,19.464117
2015-10-08,19.24,19.540001,19.219999,19.469999,262100,19.444143
2015-10-07,19.290001,19.35,19.16,19.25,279800,19.224436
2015-10-06,19.15,19.33,19.059999,19.18,236600,19.154529
2015-10-05,18.84,19.27,18.52,19.219999,538700,19.194475
2015-10-02,18.92,18.950001,18.60,18.67,291400,18.645206
2015-10-01,19.209999,19.290001,18.559999,18.98,340000,18.954794
2015-09-30,19.389999,19.469999,19.120001,19.290001,405600,19.264384
2015-09-29,19.35,19.389999,19.09,19.24,156100,19.214449
2015-09-28,19.709999,19.719999,19.18,19.34,353900,19.294343
2015-09-25,20.09,20.51,19.67,19.73,203000,19.683422
2015-09-24,19.940001,20.040001,19.709999,19.91,290400,19.862997
2015-09-23,19.90,20.219999,19.799999,19.959999,232900,19.912878
2015-09-22,20.049999,20.25,19.879999,19.92,228400,19.872974
2015-09-21,20.07,20.35,19.950001,20.209999,464000,20.162288
2015-09-18,19.42,20.07,19.299999,20.00,933300,19.952785
2015-09-17,19.90,19.969999,19.51,19.66,392100,19.613587
2015-09-16,19.75,20.08,19.57,20.01,369800,19.962761
2015-09-15,19.50,19.91,19.440001,19.700001,314600,19.653494
2015-09-14,19.27,19.540001,19.10,19.41,220100,19.364177
2015-09-11,19.00,19.49,19.00,19.27,391300,19.224509
2015-09-10,18.969999,19.360001,18.85,19.129999,245500,19.084838
2015-09-09,19.00,19.190001,18.90,19.00,201400,18.955146
2015-09-08,18.610001,19.030001,18.42,18.90,337900,18.855381
2015-09-04,18.110001,18.459999,18.07,18.41,187800,18.366538
2015-09-03,18.280001,18.615,18.209999,18.290001,271500,18.246823
2015-09-02,18.33,18.34,17.98,18.27,416900,18.226869
2015-09-01,18.15,18.33,17.98,18.25,572700,18.206916
2015-08-31,18.52,18.66,18.299999,18.33,831000,18.286727
2015-08-28,18.870001,19.00,18.486,18.60,268400,18.55609
2015-08-27,18.879999,19.040001,18.59,19.00,311200,18.955146
2015-08-26,19.01,19.01,18.26,18.73,436500,18.685782
2015-08-25,19.17,19.18,18.540001,18.700001,439100,18.655855
2015-08-24,18.35,19.00,17.52,18.700001,530000,18.655855
2015-08-21,19.40,19.75,19.139999,19.15,783400,19.104791
2015-08-20,19.879999,19.92,19.58,19.709999,345700,19.663468
2015-08-19,19.48,19.950001,19.396999,19.639999,721800,19.593634
2015-08-18,19.709999,19.889999,19.316999,19.66,576100,19.613587
2015-08-17,19.58,19.950001,19.50,19.860001,668500,19.813116
2015-08-14,19.049999,19.83,19.00,19.76,1288600,19.713352
2015-08-13,18.799999,19.139999,18.77,19.10,5339200,19.05491
2015-08-12,19.32,19.540001,18.77,19.09,1209400,19.044933
2015-08-11,20.709999,20.709999,19.27,19.799999,559600,19.753256
2015-08-10,21.67,21.790001,21.25,21.35,153000,21.299598
2015-08-07,21.629999,21.73,21.360001,21.559999,123100,21.509101
2015-08-06,21.68,21.940001,21.40,21.73,94100,21.6787
2015-08-05,21.530001,21.719999,21.35,21.59,120600,21.539031
2015-08-04,22.549999,23.67,20.915001,21.51,572500,21.45922
2015-08-03,22.799999,23.32,22.60,22.959999,170800,22.905796
2015-07-31,22.719999,23.17,22.719999,22.889999,115500,22.835962
2015-07-30,22.50,23.01,22.41,22.790001,132000,22.736199
2015-07-29,22.43,22.690001,22.360001,22.530001,64700,22.476813
2015-07-28,22.780001,22.927999,22.349001,22.43,128900,22.377048
2015-07-27,22.34,22.77,22.219999,22.629999,127200,22.576575
2015-07-24,22.610001,22.82,22.559999,22.58,105500,22.526694
2015-07-23,23.030001,23.200001,22.690001,22.700001,81500,22.646411
2015-07-22,23.059999,23.26,22.90,23.030001,79100,22.975632
2015-07-21,22.85,23.299999,22.82,23.040001,272200,22.985609
2015-07-20,22.959999,23.58,22.77,22.90,219500,22.845938
2015-07-17,23.610001,23.610001,22.83,22.950001,161500,22.895821
2015-07-16,22.99,23.879,22.92,23.67,573500,23.614121
2015-07-15,22.440001,22.725,22.389999,22.620001,189100,22.5666
2015-07-14,22.43,22.82,22.43,22.540001,416700,22.486789
2015-07-13,22.139999,22.82,22.034,22.60,523800,22.546647
2015-07-10,21.709999,22.35,21.59,22.27,335300,22.217426
2015-07-09,21.280001,21.589001,21.18,21.42,597700,21.369433
2015-07-08,20.92,21.25,20.830999,20.99,108300,20.940447
2015-07-07,21.08,21.32,20.93,21.049999,217200,21.000305
2015-07-06,21.16,21.16,20.747,21.08,196000,21.030235
2015-07-02,20.959999,21.360001,20.959999,21.16,207000,21.110046
2015-07-01,21.110001,21.34,20.639999,20.959999,276100,20.910518
2015-06-30,20.809999,21.139999,20.801001,20.83,354900,20.780825
2015-06-29,20.66,20.85,20.530001,20.719999,376600,20.671084
2015-06-26,20.129999,20.780001,20.10,20.719999,662600,20.651132
2015-06-25,19.77,20.212999,19.60,20.10,730000,20.033193
2015-06-24,19.719999,19.870001,19.719999,19.75,167700,19.684356
2015-06-23,19.879999,19.879999,19.65,19.77,203400,19.70429
2015-06-22,19.889999,20.00,19.700001,19.82,258000,19.754123
2015-06-19,19.639999,19.799999,19.620001,19.709999,238700,19.644488
2015-06-18,19.450001,19.780001,19.290001,19.58,266700,19.514921
2015-06-17,19.459999,19.50,19.26,19.370001,512700,19.30562
2015-06-16,19.379999,19.549999,19.209999,19.360001,100600,19.295653
2015-06-15,19.42,19.530001,18.969999,19.34,103000,19.275719
2015-06-12,19.700001,19.700001,19.459999,19.52,48500,19.455121
2015-06-11,19.030001,19.809999,19.030001,19.690001,120100,19.624556
2015-06-10,19.60,19.76,19.559999,19.65,225700,19.584688
2015-06-09,19.57,19.59,19.459999,19.51,36100,19.445154
2015-06-08,19.60,19.60,19.43,19.51,75600,19.445154
2015-06-05,19.73,19.73,19.41,19.59,74400,19.524888
2015-06-04,19.90,19.950001,19.450001,19.57,63000,19.504954
2015-06-03,19.50,20.00,19.33,19.940001,143100,19.873725
2015-06-02,19.530001,19.67,19.389999,19.43,60500,19.36542
2015-06-01,19.559999,19.68,19.440001,19.559999,80000,19.494987
2015-05-29,19.52,19.700001,19.40,19.42,70600,19.355453
2015-05-28,19.49,19.68,19.42,19.60,41800,19.534855
2015-05-27,19.26,19.59,18.948,19.49,129700,19.42522
2015-05-26,19.57,19.639999,19.120001,19.17,74800,19.106284
2015-05-22,19.90,19.93,18.719999,19.639999,64900,19.574721
2015-05-21,19.93,19.969999,19.809999,19.889999,52900,19.82389
2015-05-20,19.92,19.950001,19.535,19.93,56200,19.863758
2015-05-19,19.639999,19.98,19.48,19.91,114000,19.843824
2015-05-18,19.459999,19.75,19.304001,19.639999,65800,19.574721
2015-05-15,19.959999,19.99,19.610001,19.639999,77400,19.574721
2015-05-14,19.889999,20.139999,19.652,19.93,67300,19.863758
2015-05-13,19.85,19.98,19.74,19.870001,39000,19.803958
2015-05-12,20.049999,20.07,19.52,19.74,81700,19.674389
2015-05-11,20.15,20.15,19.98,20.049999,57600,19.983358
2015-05-08,20.190001,20.49,19.940001,20.09,64500,20.023226
2015-05-07,20.00,20.18,19.91,20.01,89700,19.943492
2015-05-06,19.780001,19.93,19.700001,19.870001,95100,19.803958
2015-05-05,19.93,19.99,19.370001,19.75,85800,19.684356
2015-05-04,19.75,19.790001,19.398001,19.629999,106600,19.564754
2015-05-01,19.50,19.73,19.32,19.700001,56200,19.634523
2015-04-30,19.40,19.75,19.27,19.34,102800,19.275719
2015-04-29,19.629999,19.83,19.440001,19.459999,48500,19.395319
2015-04-28,19.59,19.700001,19.43,19.68,64100,19.614589
2015-04-27,19.469999,19.75,19.40,19.60,89300,19.534855
2015-04-24,19.50,19.549999,19.40,19.469999,38500,19.405286
2015-04-23,19.68,19.84,19.48,19.52,39000,19.455121
2015-04-22,19.66,19.799999,19.40,19.68,41300,19.614589
2015-04-21,19.65,19.700001,19.440001,19.66,54500,19.594655
2015-04-20,19.309999,19.65,19.200001,19.60,72200,19.534855
2015-04-17,19.50,19.620001,19.23,19.280001,152000,19.215919
2015-04-16,19.75,19.799999,19.60,19.60,72000,19.534855
