Date,Open,High,Low,Close,Volume,Adj Close
2016-01-22,11.20,11.20,11.03,11.14,960200,11.14
2016-01-21,11.32,11.32,11.04,11.05,2100200,11.05
2016-01-20,11.15,11.41,11.05,11.28,2037300,11.28
2016-01-19,11.46,11.48,11.25,11.30,1173600,11.30
2016-01-15,11.24,11.41,11.20,11.38,2042200,11.38
2016-01-14,11.57,11.60,11.40,11.51,1261100,11.51
2016-01-13,11.80,11.83,11.43,11.48,1282100,11.48
2016-01-12,11.73,11.79,11.60,11.77,1492100,11.77
2016-01-11,11.64,11.68,11.53,11.64,1993000,11.64
2016-01-08,11.80,11.84,11.55,11.57,1628200,11.57
2016-01-07,11.80,11.90,11.69,11.73,1090000,11.73
2016-01-06,11.98,12.09,11.92,11.96,884900,11.96
2016-01-05,12.12,12.18,12.02,12.09,926600,12.09
2016-01-04,12.14,12.20,12.00,12.09,1441000,12.09
2015-12-31,12.39,12.45,12.32,12.33,823900,12.33
2015-12-30,12.51,12.51,12.41,12.43,499000,12.43
2015-12-29,12.41,12.53,12.41,12.52,556300,12.52
2015-12-28,12.43,12.43,12.27,12.39,660700,12.39
2015-12-24,12.34,12.48,12.34,12.43,509400,12.43
2015-12-23,12.25,12.37,12.20,12.36,939700,12.36
2015-12-22,12.13,12.21,12.01,12.21,946700,12.21
2015-12-21,12.17,12.24,12.00,12.11,1092100,12.11
2015-12-18,12.17,12.21,12.07,12.08,7358900,12.08
2015-12-17,12.37,12.39,12.20,12.25,1536600,12.25
2015-12-16,12.33,12.38,12.16,12.36,2576100,12.36
2015-12-15,12.14,12.32,12.11,12.24,1742500,12.24
2015-12-14,11.94,12.07,11.93,12.06,1826800,12.06
2015-12-11,12.01,12.10,11.91,11.97,1655500,11.97
2015-12-10,12.08,12.29,12.04,12.19,1507400,12.19
2015-12-09,12.23,12.29,12.04,12.08,1062500,12.08
2015-12-08,12.32,12.41,12.24,12.24,905200,12.24
2015-12-07,12.49,12.53,12.35,12.44,908000,12.44
2015-12-04,12.25,12.52,12.25,12.51,1087800,12.51
2015-12-03,12.46,12.49,12.22,12.23,1084900,12.23
2015-12-02,12.56,12.58,12.37,12.37,1286300,12.37
2015-12-01,12.51,12.58,12.45,12.55,935900,12.55
2015-11-30,12.50,12.54,12.41,12.49,1009700,12.49
2015-11-27,12.43,12.50,12.38,12.50,185100,12.50
2015-11-25,12.45,12.49,12.39,12.45,405500,12.45
2015-11-24,12.44,12.47,12.36,12.44,564000,12.44
2015-11-23,12.45,12.59,12.43,12.49,648800,12.49
2015-11-20,12.47,12.52,12.41,12.46,3688900,12.46
2015-11-19,12.37,12.48,12.34,12.46,510500,12.46
2015-11-18,12.34,12.43,12.26,12.41,882800,12.41
2015-11-17,12.42,12.49,12.29,12.33,779500,12.33
2015-11-16,12.18,12.34,12.11,12.34,460000,12.34
2015-11-13,12.25,12.33,12.10,12.18,569800,12.18
2015-11-12,12.40,12.45,12.30,12.31,446300,12.31
2015-11-11,12.50,12.57,12.42,12.48,331100,12.48
2015-11-10,12.46,12.53,12.39,12.49,584900,12.49
2015-11-09,12.60,12.67,12.42,12.46,756000,12.46
2015-11-06,12.47,12.70,12.47,12.64,776700,12.64
2015-11-05,12.28,12.45,12.28,12.35,768200,12.35
2015-11-04,12.28,12.33,12.18,12.27,647400,12.27
2015-11-03,12.23,12.27,12.14,12.25,523900,12.25
2015-11-02,12.10,12.25,12.03,12.24,779200,12.24
2015-10-30,12.15,12.16,11.96,12.04,824200,12.04
2015-10-29,12.21,12.30,12.14,12.15,755300,12.15
2015-10-28,12.07,12.32,12.07,12.29,1698400,12.18
2015-10-27,12.11,12.18,12.02,12.06,564600,11.952059
2015-10-26,12.25,12.28,12.12,12.16,449000,12.051164
2015-10-23,12.18,12.29,12.14,12.27,759300,12.16018
2015-10-22,11.98,12.17,11.98,12.11,561200,12.001611
2015-10-21,12.10,12.15,11.92,11.92,1069000,11.813312
2015-10-20,11.93,12.12,11.91,12.08,868100,11.97188
2015-10-19,11.94,12.04,11.92,11.94,981800,11.833132
2015-10-16,12.17,12.18,11.96,11.99,1214500,11.882685
2015-10-15,11.87,12.13,11.87,12.12,1454600,12.011522
2015-10-14,11.93,11.94,11.76,11.82,752700,11.714207
2015-10-13,12.02,12.07,11.92,11.93,470500,11.823223
2015-10-12,11.97,12.08,11.95,12.08,552500,11.97188
2015-10-09,12.09,12.16,11.97,12.00,619800,11.892596
2015-10-08,11.99,12.11,11.96,12.11,574300,12.001611
2015-10-07,11.97,12.11,11.97,12.03,807200,11.922327
2015-10-06,12.04,12.04,11.91,11.94,929300,11.833132
2015-10-05,11.89,12.05,11.89,12.03,688500,11.922327
2015-10-02,11.65,11.85,11.42,11.85,1425400,11.743939
2015-10-01,11.85,11.85,11.66,11.77,950000,11.664655
2015-09-30,11.73,11.82,11.69,11.75,1006300,11.644833
2015-09-29,11.64,11.67,11.58,11.64,668000,11.535818
2015-09-28,11.75,11.76,11.59,11.59,872500,11.486266
2015-09-25,11.79,11.89,11.76,11.81,999900,11.704297
2015-09-24,11.60,11.68,11.56,11.66,781000,11.555639
2015-09-23,11.69,11.76,11.59,11.64,1228600,11.535818
2015-09-22,11.61,11.73,11.59,11.66,1300900,11.555639
2015-09-21,11.70,11.81,11.70,11.78,762100,11.674565
2015-09-18,11.69,11.77,11.62,11.64,2926100,11.535818
2015-09-17,12.05,12.14,11.81,11.87,1885600,11.763759
2015-09-16,12.07,12.09,11.96,12.06,943000,11.952059
2015-09-15,11.94,12.09,11.92,12.04,1015300,11.932238
2015-09-14,11.89,12.00,11.89,11.92,933200,11.813312
2015-09-11,11.87,11.93,11.84,11.90,1247400,11.79349
2015-09-10,11.86,12.04,11.82,11.96,896800,11.852954
2015-09-09,12.06,12.11,11.86,11.86,789900,11.753848
2015-09-08,11.94,11.99,11.85,11.96,1373400,11.852954
2015-09-04,11.77,11.83,11.71,11.77,1302300,11.664655
2015-09-03,11.83,11.96,11.77,11.90,1326800,11.79349
2015-09-02,11.76,11.84,11.67,11.77,1855900,11.664655
2015-09-01,11.84,11.86,11.59,11.64,1652800,11.535818
2015-08-31,11.97,12.04,11.93,12.02,1371700,11.912417
2015-08-28,11.97,12.07,11.95,12.01,2071900,11.902506
2015-08-27,11.96,12.10,11.94,12.03,2957700,11.922327
2015-08-26,11.76,11.89,11.55,11.86,4209700,11.753848
2015-08-25,11.96,11.99,11.52,11.52,4560200,11.416892
2015-08-24,11.74,12.02,11.54,11.72,2471400,11.615102
2015-08-21,12.22,12.44,12.21,12.23,1792700,12.120537
2015-08-20,12.69,12.69,12.40,12.42,5420100,12.308837
2015-08-19,12.73,12.77,12.59,12.60,9878800,12.487226
2015-08-18,12.63,12.80,12.59,12.75,20102300,12.635883
2015-08-17,10.93,11.05,10.78,10.92,656000,10.822262
2015-08-14,10.81,10.96,10.71,10.95,450600,10.851993
2015-08-13,10.74,10.89,10.71,10.83,512500,10.733068
2015-08-12,10.84,10.88,10.60,10.75,1146500,10.653784
2015-08-11,10.83,10.99,10.78,10.86,540900,10.762799
2015-08-10,10.80,10.96,10.80,10.94,774300,10.842083
2015-08-07,10.81,10.92,10.66,10.76,556600,10.663694
2015-08-06,10.88,10.99,10.82,10.87,611500,10.77271
2015-08-05,10.85,11.01,10.82,10.89,493300,10.792531
2015-08-04,10.78,10.91,10.78,10.81,820100,10.713247
2015-08-03,10.70,10.79,10.64,10.74,856200,10.643873
2015-07-31,10.74,10.77,10.62,10.72,683300,10.624052
2015-07-30,10.72,10.77,10.66,10.74,733400,10.643873
