Date,Open,High,Low,Close,Volume,Adj Close
2016-01-22,19.00,19.41,18.83,19.33,226200,19.33
2016-01-21,18.620001,18.99,18.24,18.74,232700,18.74
2016-01-20,18.620001,18.91,17.98,18.610001,272400,18.610001
2016-01-19,18.709999,19.01,18.299999,18.82,501700,18.82
2016-01-15,18.629999,18.879999,18.120001,18.41,256200,18.41
2016-01-14,18.92,19.360001,18.700001,19.049999,256900,19.049999
2016-01-13,19.469999,19.50,18.65,18.91,396400,18.91
2016-01-12,19.200001,19.68,19.200001,19.35,364500,19.35
2016-01-11,20.15,20.26,18.85,18.98,923800,18.98
2016-01-08,21.25,21.52,20.07,20.16,622400,20.16
2016-01-07,21.48,21.76,21.09,21.299999,316900,21.299999
2016-01-06,21.200001,21.860001,21.08,21.780001,405900,21.780001
2016-01-05,20.969999,21.50,20.82,21.42,472400,21.42
2016-01-04,21.190001,21.379999,20.76,20.940001,376800,20.940001
2015-12-31,21.67,21.889999,21.34,21.639999,506800,21.639999
2015-12-30,21.74,22.59,21.50,21.700001,230100,21.700001
2015-12-29,22.209999,22.280001,21.790001,21.91,194900,21.91
2015-12-28,21.190001,22.030001,21.040001,21.92,243000,21.92
2015-12-24,21.379999,21.59,21.07,21.190001,286700,21.190001
2015-12-23,22.01,22.139999,21.52,21.59,323900,21.59
2015-12-22,22.17,22.26,21.530001,22.02,400000,22.02
2015-12-21,21.120001,22.10,20.879999,22.08,537000,22.08
2015-12-18,21.120001,21.469999,21.02,21.059999,970800,21.059999
2015-12-17,21.92,21.92,21.049999,21.110001,349800,21.110001
2015-12-16,21.639999,22.08,21.459999,21.90,324500,21.90
2015-12-15,21.42,21.889999,21.26,21.43,272500,21.43
2015-12-14,21.25,21.76,21.00,21.23,405300,21.23
2015-12-11,21.57,21.76,21.129999,21.200001,310900,21.200001
2015-12-10,21.73,22.25,21.620001,21.950001,211800,21.950001
2015-12-09,22.040001,22.360001,21.83,21.889999,247700,21.889999
2015-12-08,22.17,22.43,21.790001,21.99,193400,21.99
2015-12-07,22.49,22.73,22.16,22.360001,245400,22.360001
2015-12-04,22.15,22.559999,21.870001,22.51,368200,22.51
2015-12-03,23.51,23.74,21.959999,21.99,584000,21.99
2015-12-02,23.42,23.84,23.16,23.41,243200,23.41
2015-12-01,22.34,23.41,22.34,23.360001,341100,23.360001
2015-11-30,24.120001,24.120001,22.860001,22.940001,315500,22.940001
2015-11-27,23.91,24.23,23.83,24.10,68300,24.10
2015-11-25,23.84,24.129999,23.76,23.940001,159400,23.940001
2015-11-24,23.82,24.15,23.639999,23.93,253200,23.93
2015-11-23,23.67,24.07,23.48,24.00,359800,24.00
2015-11-20,23.10,23.85,23.10,23.709999,260200,23.709999
2015-11-19,23.309999,23.43,22.83,23.02,226200,23.02
2015-11-18,23.07,23.440001,22.799999,23.35,315700,23.35
2015-11-17,23.08,23.540001,22.65,23.07,342600,23.07
2015-11-16,22.40,23.120001,22.360001,23.10,229900,23.10
2015-11-13,22.93,23.120001,22.17,22.35,334500,22.35
2015-11-12,23.049999,23.719999,22.969999,22.99,377400,22.99
2015-11-11,24.00,24.030001,23.16,23.18,334100,23.18
