Date,Open,High,Low,Close,Volume,Adj Close
2016-01-22,26.646,26.870001,26.646,26.690001,22900,26.690001
2016-01-21,26.709999,26.83,26.25,26.66,71800,26.66
2016-01-20,26.815001,26.870001,26.26,26.83,33900,26.83
2016-01-19,26.85,26.93,26.67,26.92,22800,26.92
2016-01-15,26.700001,26.989,26.700001,26.90,8400,26.90
2016-01-14,26.896,27.049999,26.75,26.99,11200,26.99
2016-01-13,26.799999,26.99,26.719999,26.940001,22200,26.940001
2016-01-12,26.799999,27.00,26.77,26.93,13400,26.93
2016-01-11,26.82,26.98,26.719999,26.92,8700,26.92
2016-01-08,26.709999,26.99,26.700001,26.93,10600,26.93
2016-01-07,26.91,27.040001,26.76,26.98,23100,26.98
2016-01-06,26.90,27.16,26.90,27.07,15300,27.07
2016-01-05,27.030001,27.17,26.700001,27.049999,52500,27.049999
2016-01-04,26.809999,26.98,26.709999,26.93,33900,26.93
2015-12-31,26.76,26.85,26.76,26.796,3500,26.796
2015-12-30,26.68,26.870001,26.68,26.76,35500,26.76
2015-12-29,26.879999,26.879999,26.681999,26.76,43400,26.76
2015-12-28,26.690001,26.91,26.67,26.870001,31500,26.870001
2015-12-24,26.530001,26.690001,26.530001,26.68,23100,26.68
2015-12-23,26.629999,26.73,26.52,26.690001,22300,26.690001
2015-12-22,26.334,26.719999,26.334,26.629999,16400,26.629999
2015-12-21,26.17,26.40,26.15,26.32,16600,26.32
2015-12-18,26.24,26.27,26.01,26.23,11500,26.23
2015-12-17,26.07,26.27,25.860001,26.01,32600,26.01
2015-12-16,25.941,25.969999,25.76,25.870001,16800,25.870001
2015-12-15,25.59,26.00,25.549999,25.85,47500,25.85
2015-12-14,26.190001,26.216999,25.50,25.59,33400,25.59
2015-12-11,26.629999,26.65,26.299999,26.299999,34900,26.299999
2015-12-10,26.785999,26.950001,26.66,26.85,38600,26.484
2015-12-09,26.66,26.799999,26.66,26.790001,10200,26.424819
2015-12-08,26.719,26.75,26.65,26.690001,11100,26.326182
2015-12-07,26.68,26.77,26.65,26.75,36200,26.385363
2015-12-04,26.700001,26.75,26.624001,26.719999,9500,26.355771
2015-12-03,26.67,26.75,26.60,26.610001,21800,26.247272
2015-12-02,26.709999,26.790001,26.620001,26.719999,23000,26.355771
2015-12-01,26.677,26.790001,26.65,26.700001,212300,26.336045
2015-11-30,26.629999,26.74,26.629999,26.700001,9700,26.336045
2015-11-27,26.52,26.700001,26.52,26.700001,3900,26.336045
2015-11-25,26.41,26.60,26.41,26.52,9700,26.158499
2015-11-24,26.469999,26.57,26.389999,26.469999,9700,26.109179
2015-11-23,26.468,26.559999,26.440001,26.469999,11800,26.109179
2015-11-20,26.33,26.48,26.33,26.48,15000,26.119043
2015-11-19,26.43,26.43,26.33,26.33,7400,25.971088
2015-11-18,26.360001,26.459999,26.32,26.33,31400,25.971088
2015-11-17,26.440001,26.51,26.40,26.40,30300,26.040134
2015-11-16,26.43,26.50,26.40,26.417999,9700,26.057888
2015-11-13,26.49,26.50,26.42,26.49,9700,26.128907
2015-11-12,26.49,26.530001,26.358999,26.43,18500,26.069725
2015-11-11,26.370001,26.440001,26.299999,26.42,16300,26.059862
2015-11-10,26.27,26.40,26.243,26.26,22600,25.902043
2015-11-09,26.27,26.280001,26.120001,26.25,27500,25.892179
2015-11-06,26.559999,26.59,26.200001,26.200001,48300,25.842861
2015-11-05,26.50,26.58,26.360001,26.42,14200,26.059862
2015-11-04,26.32,26.530001,26.299999,26.43,20900,26.069725
2015-11-03,26.41,26.52,26.309999,26.309999,19400,25.95136
2015-11-02,26.200001,26.41,26.200001,26.379999,25200,26.020406
2015-10-30,26.219999,26.27,26.219999,26.27,10900,25.911907
2015-10-29,26.16,26.299999,26.16,26.25,23200,25.892179
2015-10-28,26.200001,26.32,26.15,26.25,39400,25.892179
2015-10-27,26.35,26.35,26.200001,26.200001,56600,25.842861
2015-10-26,26.243999,26.33,26.18,26.33,20900,25.971088
2015-10-23,26.23,26.32,26.18,26.25,30900,25.892179
2015-10-22,26.25,26.25,26.07,26.16,26400,25.803405
2015-10-21,26.15,26.15,25.950001,26.129999,16700,25.773814
2015-10-20,26.190001,26.200001,26.10,26.10,31100,25.744224
2015-10-19,26.190001,26.299999,26.128,26.18,22100,25.823133
2015-10-16,26.077999,26.190001,26.040001,26.190001,24000,25.832997
2015-10-15,25.93,26.197001,25.860001,26.030001,17600,25.675178
2015-10-14,25.860001,26.00,25.799999,26.00,18400,25.645587
2015-10-13,25.719999,25.92,25.719999,25.92,19500,25.566677
2015-10-12,25.719999,25.83,25.719999,25.83,9100,25.477904
2015-10-09,25.65,25.85,25.65,25.85,13800,25.497632
2015-10-08,25.597,25.82,25.59,25.82,4300,25.46804
2015-10-07,25.65,25.690001,25.59,25.639999,10700,25.290493
2015-10-06,25.620001,25.690001,25.530001,25.549999,19300,25.20172
2015-10-05,25.469999,25.620001,25.469999,25.48,25700,25.132674
2015-10-02,25.57,25.58,25.389999,25.516001,12800,25.168185
2015-10-01,25.60,25.60,25.35,25.41,45900,25.063629
2015-09-30,25.50,25.60,25.43,25.43,30700,25.083357
2015-09-29,25.49,25.50,25.42,25.50,18400,25.152402
2015-09-28,25.608,25.639999,25.440001,25.440001,39700,25.093221
2015-09-25,25.629999,25.629999,25.51,25.51,16500,25.162266
2015-09-24,25.51,25.629999,25.50,25.52,16600,25.17213
2015-09-23,25.629999,25.629999,25.59,25.629999,11800,25.280629
2015-09-22,25.486,25.610001,25.440001,25.610001,19700,25.260903
2015-09-21,25.639999,25.639999,25.379999,25.52,27200,25.17213
2015-09-18,25.299999,25.51,25.299999,25.35,4000,25.004447
2015-09-17,25.33,25.450001,25.25,25.360001,10500,25.014311
2015-09-16,25.302999,25.33,25.27,25.33,11600,24.984719
2015-09-15,25.309999,25.33,25.299999,25.299999,13000,24.955128
2015-09-14,25.299999,25.485001,25.26,25.309999,11400,24.964992
2015-09-11,25.60,25.60,25.219999,25.33,36900,24.984719
2015-09-10,25.719999,25.82,25.690001,25.82,144200,25.107029
2015-09-09,25.82,25.82,25.719999,25.77,21900,25.058411
2015-09-08,25.75,25.82,25.700001,25.700001,65300,24.990344
2015-09-04,25.82,25.82,25.74,25.75,10400,25.038963
2015-09-03,25.790001,25.82,25.700001,25.82,15700,25.107029
2015-09-02,25.790001,25.790001,25.65,25.77,427600,25.058411
2015-09-01,25.725,25.799999,25.639999,25.700001,19600,24.990344
2015-08-31,25.85,25.870001,25.701,25.709999,15100,25.000066
2015-08-28,25.790001,25.889999,25.77,25.870001,16500,25.15565
2015-08-27,25.700001,25.790001,25.57,25.790001,15200,25.077859
2015-08-26,25.76,25.76,25.559999,25.60,29000,24.893105
2015-08-25,25.389999,25.709999,25.278,25.540001,19800,24.834762
2015-08-24,25.540001,25.77,25.35,25.35,33400,24.650008
2015-08-21,25.719999,25.790001,25.66,25.67,13300,24.961172
2015-08-20,25.809999,25.809999,25.709999,25.725,8700,25.014653
2015-08-19,25.799999,25.83,25.74,25.789,12900,25.076885
2015-08-18,25.780001,25.84,25.700001,25.790001,16200,25.077859
2015-08-17,25.67,25.790001,25.67,25.790001,24500,25.077859
2015-08-14,25.68,25.77,25.68,25.77,10800,25.058411
2015-08-13,25.790001,25.790001,25.65,25.74,18900,25.029238
2015-08-12,25.700001,25.790001,25.67,25.77,25300,25.058411
2015-08-11,25.719999,25.799999,25.718,25.799999,15400,25.087581
2015-08-10,25.75,25.77,25.666,25.77,22700,25.058411
2015-08-07,25.690001,25.74,25.65,25.67,22400,24.961172
2015-08-06,25.780001,25.780001,25.690001,25.690001,46200,24.98062
2015-08-05,25.780001,25.90,25.714001,25.76,36200,25.048687
2015-08-04,25.799999,25.799999,25.67,25.754,14600,25.042852
2015-08-03,25.60,25.75,25.60,25.67,27500,24.961172
2015-07-31,25.65,25.700001,25.634001,25.65,44700,24.941724
2015-07-30,25.639999,25.67,25.620001,25.67,13700,24.961172
2015-07-29,25.65,25.77,25.60,25.68,18800,24.970896
2015-07-28,25.610001,25.76,25.610001,25.76,27000,25.048687
2015-07-27,25.77,25.780001,25.629999,25.684999,25900,24.975757
2015-07-24,25.752001,25.780001,25.700001,25.73,6800,25.019514
2015-07-23,25.610001,25.73,25.60,25.719999,31300,25.00979
2015-07-22,25.799999,25.799999,25.65,25.709999,33700,25.000066
2015-07-21,25.871,25.93,25.75,25.76,17300,25.048687
2015-07-20,25.959999,25.959999,25.83,25.83,31100,25.116753
2015-07-17,25.879999,25.93,25.809999,25.93,5400,25.213993
2015-07-16,25.889999,25.90,25.77,25.799999,24900,25.087581
2015-07-15,25.790001,25.940001,25.74,25.77,43800,25.058411
2015-07-14,25.790001,25.790001,25.73,25.790001,3900,25.077859
2015-07-13,25.74,25.790001,25.690001,25.780001,13000,25.068135
2015-07-10,25.790001,25.790001,25.65,25.73,14100,25.019514
2015-07-09,25.65,25.879999,25.65,25.790001,32000,25.077859
2015-07-08,25.860001,25.860001,25.66,25.66,17800,24.951448
2015-07-07,25.77,25.92,25.66,25.84,129100,25.126478
2015-07-06,25.940001,25.940001,25.629999,25.700001,15000,24.990344
2015-07-02,25.549999,25.68,25.438,25.639999,20400,24.931999
2015-07-01,25.50,25.51,25.42,25.48,19700,24.776418
2015-06-30,25.26,25.58,25.26,25.58,120000,24.873657
2015-06-29,25.379999,25.379999,25.18,25.280001,35000,24.581941
2015-06-26,25.360001,25.43,25.280001,25.40,14200,24.698627
2015-06-25,25.27,25.35,25.16,25.34,15200,24.640284
2015-06-24,24.98,25.259001,24.98,25.259001,12900,24.561521
2015-06-23,25.239,25.239,25.00,25.120001,38100,24.42636
2015-06-22,25.190001,25.27,25.091,25.27,17700,24.572217
2015-06-19,25.27,25.27,25.190001,25.25,21800,24.552769
2015-06-18,25.27,25.299999,25.200001,25.23,30900,24.533321
2015-06-17,25.32,25.35,25.200001,25.299999,23800,24.601388
2015-06-16,25.34,25.34,25.26,25.32,10900,24.620836
2015-06-15,25.33,25.34,25.200001,25.33,16700,24.63056
2015-06-12,25.34,25.34,25.18,25.290001,15500,24.591666
2015-06-11,25.25,25.34,25.16,25.33,60500,24.63056
2015-06-10,25.58,25.65,25.50,25.559999,42600,24.498314
2015-06-09,25.65,25.65,25.530001,25.58,18500,24.517484
2015-06-08,25.549999,25.68,25.544001,25.620001,8100,24.555823
2015-06-05,25.700001,25.700001,25.549999,25.549999,36900,24.488729
2015-06-04,25.75,25.75,25.66,25.74,30600,24.670838
2015-06-03,25.712,25.780001,25.60,25.67,33100,24.603746
2015-06-02,25.780001,25.780001,25.65,25.690001,24700,24.622915
2015-06-01,25.73,25.799999,25.709999,25.74,35300,24.670838
2015-05-29,25.709999,25.790001,25.620001,25.719999,55200,24.651668
2015-05-28,25.959999,25.959999,25.65,25.73,61100,24.661253
2015-05-27,25.98,25.98,25.83,25.90,54200,24.824192
2015-05-26,25.889999,25.98,25.780001,25.969999,35400,24.891284
2015-05-22,25.84,25.92,25.77,25.792,24700,24.720678
2015-05-21,25.704,25.860001,25.704,25.84,17200,24.766684
2015-05-20,25.790001,25.790001,25.67,25.709999,122300,24.642083
2015-05-19,25.860001,25.860001,25.67,25.780001,51700,24.709177
