Date,Open,High,Low,Close,Volume,Adj Close
2016-01-22,4.37,4.60,4.34,4.59,1068500,4.59
2016-01-21,4.23,4.44,4.23,4.34,831700,4.34
2016-01-20,4.25,4.34,3.82,4.31,2772800,4.31
2016-01-19,4.54,4.65,4.25,4.30,2288400,4.30
2016-01-15,4.78,4.82,4.45,4.64,1977200,4.64
2016-01-14,4.86,4.94,4.70,4.87,1470000,4.87
2016-01-13,5.13,5.19,4.82,4.87,1712100,4.87
2016-01-12,5.24,5.28,5.08,5.14,1156800,5.14
2016-01-11,5.30,5.35,5.20,5.21,785900,5.21
2016-01-08,5.32,5.44,5.27,5.27,630900,5.27
2016-01-07,5.42,5.49,5.31,5.31,796500,5.31
2016-01-06,5.44,5.57,5.41,5.51,505600,5.51
2016-01-05,5.37,5.51,5.32,5.48,602700,5.48
2016-01-04,5.24,5.38,5.23,5.35,1070700,5.35
2015-12-31,5.43,5.49,5.33,5.33,1234000,5.33
2015-12-30,5.50,5.54,5.43,5.47,965500,5.47
2015-12-29,5.53,5.56,5.52,5.53,1118400,5.53
2015-12-28,5.59,5.60,5.50,5.55,958700,5.55
2015-12-24,5.61,5.64,5.60,5.62,413400,5.62
2015-12-23,5.59,5.65,5.50,5.64,1159900,5.64
2015-12-22,5.87,5.97,5.80,5.85,1528400,5.61
2015-12-21,5.71,5.82,5.62,5.81,1641300,5.571641
2015-12-18,5.49,5.67,5.45,5.67,2269000,5.437385
2015-12-17,5.37,5.50,5.30,5.49,1737700,5.264769
2015-12-16,5.13,5.30,5.11,5.29,1702500,5.072974
2015-12-15,5.00,5.15,4.94,5.13,1030300,4.919539
2015-12-14,5.38,5.40,4.98,4.99,2976500,4.785282
2015-12-11,5.41,5.49,5.35,5.36,829200,5.140103
2015-12-10,5.43,5.49,5.43,5.46,1040800,5.236
2015-12-09,5.43,5.53,5.43,5.45,975000,5.22641
2015-12-08,5.53,5.55,5.44,5.45,976600,5.22641
2015-12-07,5.55,5.61,5.52,5.55,824600,5.322308
2015-12-04,5.60,5.65,5.57,5.59,727500,5.360667
2015-12-03,5.66,5.69,5.60,5.60,712000,5.370256
2015-12-02,5.81,5.81,5.63,5.64,1315300,5.408615
2015-12-01,5.84,5.84,5.75,5.78,612100,5.542872
