Date,Open,High,Low,Close,Volume,Adj Close
2016-01-22,18.51,18.51,17.83,17.969999,66200,17.969999
2016-01-21,18.17,18.17,17.73,17.77,24200,17.77
2016-01-20,17.90,18.120001,17.719999,18.00,76000,18.00
2016-01-19,18.209999,18.299999,17.940001,18.09,44600,18.09
2016-01-15,18.00,18.43,17.91,18.110001,106300,18.110001
2016-01-14,18.559999,18.700001,18.299999,18.33,34100,18.33
2016-01-13,18.98,18.98,18.18,18.42,78700,18.42
2016-01-12,18.99,18.99,18.459999,18.719999,48900,18.719999
2016-01-11,18.690001,18.940001,18.66,18.91,59500,18.91
2016-01-08,19.120001,19.120001,18.629999,18.690001,582900,18.690001
2016-01-07,18.969999,18.99,18.33,18.889999,184900,18.889999
2016-01-06,18.940001,19.110001,18.15,19.040001,742900,19.040001
2016-01-05,19.610001,19.99,19.530001,19.950001,23300,19.950001
2016-01-04,19.879999,19.93,19.33,19.67,42300,19.67
2015-12-31,20.809999,20.809999,19.98,20.030001,28500,20.030001
2015-12-30,20.90,20.959999,20.700001,20.799999,18700,20.799999
2015-12-29,20.540001,21.00,20.540001,20.940001,19200,20.940001
2015-12-28,20.309999,20.59,20.07,20.450001,68000,20.450001
2015-12-24,20.26,20.469999,20.219999,20.34,10300,20.34
2015-12-23,20.26,20.290001,20.10,20.23,20000,20.23
2015-12-22,20.16,20.209999,18.75,20.190001,38200,20.190001
2015-12-21,19.940001,20.290001,19.91,20.09,47200,20.09
2015-12-18,19.889999,19.98,19.60,19.85,133100,19.85
2015-12-17,20.25,20.25,19.860001,20.01,37800,20.01
2015-12-16,19.690001,20.01,19.66,19.83,54500,19.83
2015-12-15,19.370001,19.59,19.26,19.57,21200,19.57
2015-12-14,19.01,19.60,19.01,19.25,27700,19.25
2015-12-11,18.879999,19.389999,18.879999,19.15,38800,19.15
2015-12-10,19.33,19.379999,19.17,19.24,20700,19.24
2015-12-09,19.09,19.58,19.09,19.25,29200,19.25
2015-12-08,19.450001,19.610001,19.219999,19.41,20100,19.41
2015-12-07,19.799999,19.99,19.52,19.610001,57300,19.610001
2015-12-04,19.93,20.450001,19.90,19.99,39300,19.99
2015-12-03,19.959999,20.00,19.85,19.90,66400,19.90
2015-12-02,19.879999,20.00,19.799999,19.969999,40700,19.969999
2015-12-01,19.84,19.950001,19.629999,19.91,12000,19.91
2015-11-30,19.719999,19.940001,19.33,19.76,19900,19.76
2015-11-27,19.629999,19.90,19.629999,19.76,4900,19.76
2015-11-25,19.75,19.799999,19.58,19.65,14300,19.65
2015-11-24,19.809999,19.82,19.59,19.709999,11400,19.709999
2015-11-23,19.790001,20.00,19.76,19.93,13700,19.93
2015-11-20,19.84,19.950001,19.65,19.799999,15200,19.799999
2015-11-19,19.77,19.879999,19.540001,19.709999,30500,19.709999
2015-11-18,19.620001,19.879999,19.42,19.73,31100,19.73
2015-11-17,19.34,19.73,19.33,19.540001,24100,19.540001
2015-11-16,19.440001,19.440001,19.120001,19.290001,34400,19.290001
2015-11-13,19.16,19.90,19.16,19.389999,43900,19.389999
2015-11-12,19.549999,19.700001,19.219999,19.290001,25100,19.290001
2015-11-11,19.780001,19.92,19.549999,19.75,20600,19.75
2015-11-10,19.540001,19.74,18.719999,19.620001,34100,19.620001
2015-11-09,20.00,20.00,18.85,19.43,46800,19.43
2015-11-06,19.51,20.25,19.51,19.98,36700,19.98
2015-11-05,19.219999,19.690001,19.219999,19.49,29000,19.49
2015-11-04,19.01,20.41,18.74,19.309999,60900,19.309999
2015-11-03,18.389999,19.07,18.360001,18.860001,35000,18.860001
2015-11-02,18.309999,18.610001,18.26,18.52,27200,18.52
2015-10-30,19.25,19.25,18.43,18.459999,13300,18.459999
2015-10-29,19.030001,19.25,18.76,19.200001,17100,19.200001
2015-10-28,18.83,19.40,18.82,19.280001,45100,19.150001
2015-10-27,18.879999,19.10,18.559999,18.690001,20300,18.563979
2015-10-26,18.200001,19.10,18.049999,19.00,30800,18.871888
2015-10-23,18.01,18.51,18.01,18.40,45900,18.275934
2015-10-22,18.190001,18.41,17.91,18.10,33400,17.977957
2015-10-21,18.459999,18.459999,17.969999,17.99,19500,17.868698
2015-10-20,18.18,18.49,18.15,18.459999,16200,18.335529
2015-10-19,18.139999,18.49,18.139999,18.23,13900,18.10708
2015-10-16,18.360001,18.360001,18.00,18.209999,30900,18.087214
2015-10-15,17.91,18.360001,17.90,18.280001,40200,18.156744
2015-10-14,17.90,18.01,17.60,17.92,33200,17.799171
2015-10-13,18.040001,18.040001,17.90,17.969999,10700,17.848833
2015-10-12,17.959999,18.09,17.77,18.049999,10700,17.928293
2015-10-09,18.15,18.15,17.90,17.92,7400,17.799171
2015-10-08,17.83,18.389999,17.620001,18.030001,30000,17.90843
2015-10-07,17.75,17.98,17.66,17.969999,30500,17.848833
2015-10-06,17.93,17.93,17.549999,17.610001,22700,17.491261
2015-10-05,17.48,17.65,17.450001,17.620001,36100,17.501194
2015-10-02,17.08,17.379999,16.74,17.379999,27100,17.262811
2015-10-01,17.10,17.379999,16.799999,17.219999,76500,17.10389
2015-09-30,17.51,17.57,17.120001,17.219999,45600,17.10389
2015-09-29,17.309999,17.540001,17.209999,17.459999,25700,17.342271
2015-09-28,17.23,17.49,16.98,17.360001,20600,17.242947
2015-09-25,17.629999,17.629999,17.120001,17.190001,81700,17.074093
2015-09-24,17.40,17.60,17.40,17.43,27000,17.312475
2015-09-23,17.370001,17.639999,17.309999,17.459999,24500,17.342271
2015-09-22,17.049999,17.389999,17.049999,17.309999,32500,17.193283
2015-09-21,16.77,17.24,16.610001,17.200001,112700,17.084026
2015-09-18,17.02,17.200001,16.51,16.59,87100,16.478138
2015-09-17,17.59,17.639999,17.200001,17.280001,26000,17.163487
2015-09-16,17.84,17.84,17.41,17.60,23700,17.481329
2015-09-15,17.299999,17.74,17.26,17.700001,102200,17.580655
2015-09-14,17.66,17.74,16.99,17.379999,85100,17.262811
2015-09-11,17.60,17.74,17.52,17.629999,47400,17.511125
2015-09-10,17.360001,17.93,17.32,17.74,63700,17.620384
2015-09-09,17.76,17.76,17.34,17.370001,24700,17.25288
2015-09-08,17.469999,17.709999,17.379999,17.49,38400,17.37207
2015-09-04,17.48,17.709999,17.040001,17.299999,84400,17.18335
2015-09-03,17.66,18.09,17.66,17.709999,42300,17.590586
2015-09-02,18.049999,18.379999,17.870001,17.92,27000,17.799171
2015-09-01,18.110001,18.610001,17.870001,17.90,39300,17.779305
2015-08-31,18.110001,18.60,18.10,18.42,28500,18.295799
2015-08-28,18.08,18.559999,18.040001,18.280001,30000,18.156744
2015-08-27,18.24,18.25,18.00,18.219999,24300,18.097147
2015-08-26,18.450001,18.48,17.93,18.209999,18400,18.087214
2015-08-25,18.620001,18.620001,18.00,18.25,51400,18.126945
2015-08-24,17.879999,18.049999,17.200001,18.049999,32100,17.928293
2015-08-21,18.030001,18.709999,18.030001,18.629999,41500,18.504382
2015-08-20,18.50,18.799999,18.32,18.32,26000,18.196473
2015-08-19,18.34,18.84,18.110001,18.59,27100,18.464653
2015-08-18,18.780001,18.799999,17.780001,18.23,36400,18.10708
2015-08-17,18.940001,19.129999,18.85,19.040001,27300,18.91162
2015-08-14,18.18,19.00,18.15,18.940001,48600,18.812293
2015-08-13,18.23,18.49,18.110001,18.120001,16600,17.997823
2015-08-12,18.280001,18.389999,18.00,18.23,18400,18.10708
2015-08-11,18.379999,18.57,18.25,18.290001,14500,18.166677
2015-08-10,18.299999,18.83,18.27,18.43,38100,18.305732
2015-08-07,17.940001,18.190001,17.940001,18.10,25700,17.977957
2015-08-06,17.84,18.33,17.84,18.030001,17700,17.90843
2015-08-05,17.549999,17.99,17.549999,17.91,23600,17.789238
2015-08-04,17.43,17.82,17.200001,17.549999,45100,17.431665
2015-08-03,17.59,17.59,17.200001,17.32,18200,17.203216
2015-07-31,17.639999,17.77,17.459999,17.530001,24000,17.411801
2015-07-30,17.42,17.91,17.299999,17.52,36900,17.401868
2015-07-29,17.60,17.889999,17.379999,17.52,38600,17.272745
2015-07-28,17.469999,17.690001,17.26,17.610001,35800,17.361475
2015-07-27,17.790001,17.790001,16.879999,17.48,53400,17.233308
2015-07-24,17.209999,18.92,17.209999,17.780001,16000,17.529076
2015-07-23,18.25,18.40,17.73,17.73,30200,17.47978
2015-07-22,18.25,18.379999,18.18,18.290001,14700,18.031878
2015-07-21,18.65,18.65,18.219999,18.33,9900,18.071313
2015-07-20,18.60,18.82,18.549999,18.60,23000,18.337503
2015-07-17,18.68,19.09,18.639999,18.809999,28800,18.544538
2015-07-16,18.889999,18.98,18.610001,18.68,20800,18.416374
2015-07-15,18.58,18.889999,18.50,18.809999,22900,18.544538
2015-07-14,18.719999,18.90,18.41,18.66,36400,18.396656
2015-07-13,18.73,18.93,18.629999,18.85,16000,18.583975
2015-07-10,18.540001,18.73,18.32,18.68,23500,18.416374
2015-07-09,18.610001,18.700001,18.34,18.34,28300,18.081172
2015-07-08,18.690001,18.690001,18.41,18.459999,17600,18.199477
2015-07-07,18.620001,18.790001,18.35,18.610001,30800,18.347362
2015-07-06,18.459999,18.83,18.33,18.67,22200,18.406515
2015-07-02,18.790001,18.90,18.57,18.58,12600,18.317785
2015-07-01,18.629999,18.950001,18.629999,18.73,18500,18.465667
2015-06-30,18.77,18.77,18.50,18.65,25700,18.386796
2015-06-29,18.59,18.870001,18.42,18.450001,30400,18.18962
2015-06-26,18.40,18.879999,18.32,18.76,116800,18.495245
2015-06-25,18.34,18.459999,18.299999,18.299999,38100,18.041736
2015-06-24,18.309999,18.379999,18.23,18.33,30300,18.071313
2015-06-23,17.959999,18.360001,17.950001,18.309999,15200,18.051595
2015-06-22,17.610001,18.09,17.60,18.09,30400,17.8347
2015-06-19,17.32,17.67,17.209999,17.629999,68100,17.381191
2015-06-18,17.200001,17.469999,17.08,17.379999,29000,17.134719
2015-06-17,17.309999,17.379999,17.139999,17.17,14200,16.927684
2015-06-16,17.049999,17.34,16.83,17.34,11200,17.095285
2015-06-15,17.23,17.280001,16.74,17.18,24800,16.937543
2015-06-12,17.25,17.379999,17.23,17.26,14200,17.016414
2015-06-11,16.940001,17.35,16.940001,17.299999,38300,17.055848
2015-06-10,17.360001,17.48,17.17,17.280001,25100,17.036132
2015-06-09,17.190001,17.370001,17.15,17.209999,16900,16.967118
2015-06-08,17.23,17.42,17.07,17.280001,25400,17.036132
2015-06-05,17.280001,17.42,17.049999,17.280001,25100,17.036132
2015-06-04,17.25,17.34,16.93,17.27,31500,17.026273
2015-06-03,17.35,17.49,16.99,17.280001,32400,17.036132
2015-06-02,17.09,17.389999,16.98,17.389999,11400,17.144578
2015-06-01,16.860001,17.469999,16.860001,17.09,14800,16.848813
2015-05-29,17.190001,17.450001,16.91,17.299999,26500,17.055848
2015-05-28,17.299999,17.440001,17.07,17.25,12200,17.006555
2015-05-27,17.02,17.459999,16.93,17.42,66100,17.174156
2015-05-26,17.110001,17.110001,16.82,16.93,18000,16.691071
2015-05-22,17.299999,17.299999,16.959999,17.24,58700,16.996696
2015-05-21,17.34,17.43,17.25,17.27,34700,17.026273
2015-05-20,17.370001,17.370001,17.26,17.290001,7500,17.045991
2015-05-19,17.280001,17.379999,17.209999,17.27,9100,17.026273
2015-05-18,17.209999,17.48,17.01,17.379999,14100,17.134719
2015-05-15,17.25,17.370001,17.040001,17.139999,43700,16.898107
2015-05-14,16.950001,17.25,16.950001,17.23,8100,16.986837
2015-05-13,16.91,17.10,16.91,17.07,7000,16.829095
2015-05-12,17.00,17.120001,16.75,17.049999,12300,16.809377
2015-05-11,16.85,17.10,16.85,17.00,9300,16.760083
2015-05-08,17.15,17.15,16.84,16.92,15000,16.681212
2015-05-07,17.10,17.23,16.92,16.92,26300,16.681212
2015-05-06,16.90,17.26,16.76,17.059999,30900,16.819236
2015-05-05,16.76,16.93,16.65,16.860001,22500,16.622059
2015-05-04,16.83,16.959999,16.780001,16.870001,15700,16.631918
2015-05-01,16.790001,17.00,16.709999,16.75,17900,16.513611
2015-04-30,17.200001,17.50,16.780001,16.780001,30600,16.543188
2015-04-29,17.40,17.49,17.15,17.360001,9500,16.986837
2015-04-28,17.309999,17.629999,17.290001,17.51,12400,17.133613
2015-04-27,17.35,17.389999,17.040001,17.209999,12300,16.84006
2015-04-24,16.90,17.32,16.90,17.32,12400,16.947696
2015-04-23,16.809999,16.99,16.77,16.90,14400,16.536724
