Date,Open,High,Low,Close,Volume,Adj Close
2016-01-22,3.45,3.50,3.45,3.49,11300,3.49
2016-01-21,3.39,3.45,3.27,3.42,14300,3.42
2016-01-20,3.50,3.53,3.30,3.35,24500,3.35
2016-01-19,3.67,3.83,3.50,3.53,19800,3.53
2016-01-15,3.79,3.82,3.66,3.69,47600,3.69
2016-01-14,3.73,3.89,3.72,3.88,13300,3.88
2016-01-13,3.76,3.84,3.74,3.82,14900,3.82
2016-01-12,3.98,3.98,3.72,3.77,26600,3.77
2016-01-11,4.11,4.15,3.94,3.98,35200,3.98
2016-01-08,4.17,4.25,4.08,4.10,26100,4.10
2016-01-07,3.96,4.18,3.95,4.06,20900,4.06
2016-01-06,4.10,4.10,3.97,4.01,17700,4.01
2016-01-05,3.90,4.21,3.83,4.10,40200,4.10
2016-01-04,3.76,3.97,3.72,3.87,36800,3.87
2015-12-31,3.84,3.98,3.77,3.80,136300,3.80
2015-12-30,3.92,4.00,3.86,3.89,133400,3.89
2015-12-29,4.06,4.07,3.91,3.99,85200,3.99
2015-12-28,4.18,4.43,4.10,4.15,78600,4.03
2015-12-24,4.08,4.28,3.99,4.28,25500,4.156241
2015-12-23,3.77,4.08,3.77,3.99,52500,3.874627
2015-12-22,3.77,3.88,3.75,3.81,40200,3.699831
2015-12-21,3.79,4.00,3.72,3.75,54200,3.641566
2015-12-18,3.73,3.91,3.72,3.76,12600,3.651277
2015-12-17,3.97,3.98,3.81,3.82,18100,3.709542
2015-12-16,3.90,4.00,3.86,3.90,31900,3.787229
2015-12-15,3.83,3.99,3.73,3.90,113800,3.787229
2015-12-14,3.63,3.99,3.61,3.93,94600,3.816362
2015-12-11,3.65,3.75,3.53,3.70,79800,3.593012
2015-12-10,3.67,3.77,3.67,3.74,40400,3.631856
2015-12-09,3.65,3.78,3.65,3.71,65200,3.602723
2015-12-08,3.64,3.72,3.55,3.70,49900,3.593012
2015-12-07,3.81,3.81,3.63,3.75,101200,3.641566
2015-12-04,3.93,4.01,3.84,3.88,66500,3.767807
2015-12-03,4.02,4.03,3.90,3.93,36400,3.816362
2015-12-02,4.14,4.19,3.84,4.04,103500,3.923181
2015-12-01,4.19,4.19,4.11,4.15,50100,4.03
2015-11-30,4.19,4.25,4.10,4.18,87600,4.059132
2015-11-27,4.16,4.22,4.16,4.22,1800,4.097976
2015-11-25,4.19,4.24,4.11,4.20,22500,4.078554
2015-11-24,4.23,4.26,4.17,4.23,20400,4.107687
2015-11-23,4.25,4.31,4.23,4.23,15100,4.107687
