Date,Open,High,Low,Close,Volume,Adj Close
2016-01-22,18.40,18.40,17.90,17.90,1000,17.90
2016-01-21,17.90,17.90,17.90,17.90,400,17.90
2016-01-20,17.90,17.90,17.90,17.90,1300,17.90
2016-01-19,18.25,18.26,17.90,17.90,9100,17.90
2016-01-15,18.200001,18.469999,18.200001,18.469999,800,18.469999
2016-01-14,18.26,18.299999,18.15,18.299999,3300,18.299999
2016-01-13,18.219999,18.35,18.200001,18.200001,9300,18.200001
2016-01-12,18.35,18.75,18.299999,18.299999,1500,18.299999
2016-01-11,18.299999,18.50,18.299999,18.299999,3300,18.299999
2016-01-08,18.50,18.50,18.35,18.35,3100,18.35
2016-01-07,19.24,19.24,18.35,18.49,3500,18.49
2016-01-06,18.65,18.940001,18.60,18.92,3100,18.92
2016-01-05,18.02,19.370001,18.00,18.60,4600,18.60
2016-01-04,17.379999,19.379999,17.379999,18.50,16900,18.50
2015-12-31,17.02,17.49,17.01,17.16,5300,17.16
2015-12-30,16.75,17.00,16.75,17.00,600,17.00
2015-12-29,15.51,16.23,15.41,16.23,800,16.23
2015-12-28,17.98,17.98,17.98,17.98,000,17.98
2015-12-24,17.98,17.98,17.98,17.98,000,17.98
2015-12-23,18.200001,18.200001,17.98,17.98,800,17.98
2015-12-22,18.110001,18.15,18.110001,18.15,7000,18.15
2015-12-21,18.10,18.120001,18.00,18.049999,6400,18.049999
2015-12-18,18.15,18.200001,18.00,18.190001,1800,18.190001
2015-12-17,18.00,18.01,18.00,18.01,1000,18.01
2015-12-16,18.059999,18.059999,17.950001,17.950001,1600,17.950001
2015-12-15,18.02,18.02,18.00,18.00,800,18.00
2015-12-14,18.00,18.00,18.00,18.00,1600,18.00
2015-12-11,18.00,18.01,18.00,18.01,900,18.01
2015-12-10,18.10,18.10,18.10,18.10,300,18.10
2015-12-09,18.00,18.10,18.00,18.10,1500,18.10
2015-12-08,18.379999,18.379999,18.00,18.00,3300,18.00
2015-12-07,18.200001,18.200001,17.99,18.00,7800,18.00
2015-12-04,18.35,18.35,18.200001,18.200001,3600,18.200001
2015-12-03,17.870001,18.00,17.870001,18.00,700,18.00
2015-12-02,18.00,18.00,17.940001,17.940001,4400,17.940001
2015-12-01,18.290001,18.290001,17.99,17.99,1900,17.99
2015-11-30,17.85,18.209999,17.85,18.209999,2900,18.209999
2015-11-27,17.66,17.68,17.66,17.68,300,17.68
2015-11-25,17.950001,17.950001,17.90,17.90,2300,17.90
2015-11-24,17.85,17.85,17.85,17.85,800,17.76
2015-11-23,17.76,17.99,17.75,17.90,1800,17.809748
2015-11-20,18.379999,18.379999,18.10,18.10,300,18.00874
2015-11-19,17.75,18.00,17.75,18.00,1800,17.909244
2015-11-18,17.75,18.00,17.75,17.75,5300,17.660504
2015-11-17,18.01,18.040001,17.75,17.77,3400,17.680404
2015-11-16,18.040001,18.209999,18.00,18.209999,2900,18.118184
2015-11-13,18.42,18.42,18.40,18.40,500,18.307227
2015-11-12,18.50,18.610001,18.50,18.610001,700,18.516169
2015-11-11,18.02,18.02,18.02,18.02,000,17.929143
2015-11-10,16.91,18.23,16.75,18.02,3000,17.929143
2015-11-09,17.67,17.67,17.67,17.67,100,17.580908
2015-11-06,17.129999,17.50,17.129999,17.50,5400,17.411765
2015-11-05,16.99,17.76,16.969999,17.09,7600,17.003832
2015-11-04,16.700001,16.799999,16.67,16.799999,3600,16.715293
2015-11-03,16.67,16.780001,16.67,16.700001,1100,16.615799
2015-11-02,18.00,19.00,16.65,16.77,5700,16.685446
2015-10-30,16.07,16.389999,16.07,16.08,700,15.998924
2015-10-29,16.10,16.10,16.10,16.10,200,16.018824
2015-10-28,15.89,16.530001,15.76,16.00,2700,15.919328
2015-10-27,15.77,15.77,15.75,15.75,1900,15.670588
2015-10-26,16.00,16.00,15.70,15.70,4700,15.62084
2015-10-23,15.80,15.80,15.80,15.80,400,15.720336
2015-10-22,15.60,15.74,15.60,15.70,800,15.62084
2015-10-21,15.76,15.77,15.75,15.75,3600,15.670588
2015-10-20,15.76,16.50,15.76,15.80,8000,15.720336
2015-10-19,15.97,15.97,15.75,15.75,3100,15.670588
2015-10-16,15.82,16.00,15.75,15.75,6300,15.670588
2015-10-15,15.70,15.90,15.60,15.90,1700,15.819832
2015-10-14,15.60,15.60,15.60,15.60,000,15.521345
2015-10-13,15.60,15.60,15.60,15.60,1000,15.521345
2015-10-12,15.95,15.95,15.95,15.95,200,15.86958
2015-10-09,15.79,16.00,15.60,15.60,1100,15.521345
2015-10-08,15.52,15.77,15.52,15.77,1200,15.690488
2015-10-07,15.52,15.52,15.52,15.52,1000,15.441748
2015-10-06,15.50,15.50,15.40,15.41,1300,15.332302
2015-10-05,15.52,15.54,15.52,15.52,1500,15.441748
2015-10-02,15.44,15.44,15.40,15.40,900,15.322353
2015-10-01,15.42,15.80,15.40,15.43,4100,15.352202
2015-09-30,15.91,15.91,15.71,15.71,1900,15.63079
2015-09-29,15.25,15.67,15.25,15.67,1300,15.590992
2015-09-28,15.41,15.56,15.41,15.56,700,15.481547
2015-09-25,15.50,15.71,15.34,15.34,1000,15.262656
2015-09-24,15.41,15.62,15.12,15.62,700,15.541244
2015-09-23,15.41,15.82,15.41,15.46,1600,15.38205
2015-09-22,15.70,15.71,15.12,15.71,3700,15.63079
2015-09-21,15.31,15.50,15.31,15.37,1800,15.292504
2015-09-18,15.25,15.60,15.20,15.60,1300,15.521345
2015-09-17,15.31,15.33,15.10,15.28,2700,15.202958
2015-09-16,15.31,15.39,15.10,15.15,1900,15.073613
2015-09-15,15.19,15.34,15.10,15.12,1300,15.043765
2015-09-14,15.34,15.34,15.21,15.21,700,15.133311
2015-09-11,15.30,15.30,15.19,15.19,1600,15.113411
2015-09-10,15.25,15.30,15.11,15.30,4200,15.222857
2015-09-09,15.32,15.32,15.24,15.24,2100,15.163159
2015-09-08,15.25,15.48,15.16,15.31,2300,15.232807
2015-09-04,15.22,15.71,15.22,15.71,700,15.63079
2015-09-03,15.25,15.88,15.15,15.42,2900,15.342252
2015-09-02,15.15,15.99,15.15,15.40,3000,15.322353
2015-09-01,15.32,15.70,15.12,15.45,4400,15.372101
2015-08-31,15.25,15.75,15.25,15.75,800,15.670588
2015-08-28,15.43,15.72,15.41,15.41,500,15.332302
2015-08-27,15.20,15.55,15.19,15.53,1200,15.451697
2015-08-26,15.55,15.55,15.20,15.30,2300,15.133311
2015-08-25,15.50,15.56,15.30,15.41,3500,15.242112
2015-08-24,15.35,15.40,15.35,15.40,2700,15.232221
2015-08-21,15.41,16.00,15.41,15.43,1500,15.261895
2015-08-20,15.64,15.64,15.52,15.59,1300,15.420152
2015-08-19,15.76,15.82,15.70,15.80,2600,15.627864
2015-08-18,15.73,15.88,15.65,15.70,1300,15.528953
2015-08-17,15.60,15.60,15.60,15.60,1600,15.430043
2015-08-14,15.70,15.70,15.70,15.70,500,15.528953
2015-08-13,15.70,15.70,15.70,15.70,000,15.528953
2015-08-12,15.70,15.70,15.70,15.70,500,15.528953
2015-08-11,15.60,15.70,15.60,15.70,1200,15.528953
2015-08-10,15.50,15.70,15.50,15.70,1800,15.528953
2015-08-07,15.70,15.70,15.65,15.70,1500,15.528953
2015-08-06,15.65,15.74,15.65,15.65,5300,15.479497
2015-08-05,15.56,15.70,15.50,15.58,10400,15.41026
2015-08-04,15.56,15.87,15.56,15.60,3600,15.430043
2015-08-03,15.60,15.92,15.55,15.74,7800,15.568517
2015-07-31,15.50,15.63,15.41,15.58,13500,15.41026
2015-07-30,15.18,15.63,15.18,15.52,23000,15.350914
2015-07-29,15.11,15.19,15.11,15.19,300,15.024509
2015-07-28,15.10,15.18,15.05,15.18,1900,15.014619
2015-07-27,15.00,15.19,14.91,15.19,13100,15.024509
2015-07-24,15.19,15.19,15.05,15.19,1400,15.024509
2015-07-23,15.30,15.30,15.11,15.11,600,14.945381
2015-07-22,15.01,15.29,14.95,15.29,2400,15.12342
2015-07-21,15.09,15.09,14.71,14.99,2300,14.826688
2015-07-20,15.05,15.05,14.98,15.01,300,14.846471
2015-07-17,15.13,15.17,15.13,15.17,700,15.004727
2015-07-16,15.04,15.31,15.04,15.31,300,15.143202
2015-07-15,15.23,15.23,15.02,15.14,700,14.975054
2015-07-14,15.26,15.26,15.14,15.23,2000,15.064073
2015-07-13,15.24,15.43,15.24,15.43,300,15.261895
2015-07-10,15.21,15.40,15.21,15.38,1100,15.212439
2015-07-09,15.05,15.39,14.91,15.39,6300,15.222331
2015-07-08,15.21,15.21,15.07,15.07,600,14.905816
2015-07-07,15.30,15.42,15.01,15.42,800,15.252004
2015-07-06,15.62,15.62,15.62,15.62,000,15.449824
2015-07-02,15.31,15.62,15.30,15.62,2100,15.449824
2015-07-01,15.63,15.63,15.28,15.35,4000,15.182766
2015-06-30,15.58,15.66,15.21,15.63,6300,15.459716
2015-06-29,15.35,15.58,15.35,15.58,200,15.41026
2015-06-26,15.51,15.57,15.35,15.57,700,15.400369
2015-06-25,15.33,15.57,15.30,15.57,2400,15.400369
2015-06-24,15.40,15.40,15.39,15.40,1400,15.232221
2015-06-23,15.44,15.48,15.25,15.39,5400,15.222331
2015-06-22,15.46,15.57,15.46,15.57,700,15.400369
2015-06-19,15.58,15.58,15.58,15.58,500,15.41026
2015-06-18,15.44,15.75,15.40,15.58,3300,15.41026
2015-06-17,15.25,15.62,15.25,15.42,4400,15.252004
2015-06-16,15.07,15.31,15.00,15.31,2300,15.143202
2015-06-15,15.14,15.21,15.14,15.21,600,15.044291
2015-06-12,15.07,15.15,15.05,15.15,2700,14.984945
2015-06-11,15.00,15.20,15.00,15.08,1600,14.915708
2015-06-10,15.10,15.20,15.09,15.20,3300,15.0344
2015-06-09,15.01,15.10,15.01,15.10,2000,14.93549
2015-06-08,15.08,15.08,15.08,15.08,000,14.915708
2015-06-05,15.08,15.08,15.08,15.08,300,14.915708
2015-06-04,15.00,15.08,15.00,15.08,700,14.915708
2015-06-03,14.85,15.10,14.85,15.07,5500,14.905816
2015-06-02,15.00,15.10,14.95,15.00,12500,14.836579
2015-06-01,15.06,15.09,15.01,15.09,2200,14.925599
2015-05-29,15.05,15.05,15.05,15.05,500,14.886035
2015-05-28,15.08,15.10,15.01,15.09,5000,14.925599
2015-05-27,15.03,15.04,15.03,15.04,1000,14.876143
2015-05-26,15.02,15.05,15.01,15.01,1800,14.767342
2015-05-22,14.83,15.20,14.83,15.20,500,14.95427
2015-05-21,15.01,15.01,15.01,15.01,200,14.767342
2015-05-20,15.05,15.05,15.01,15.01,1500,14.767342
2015-05-19,15.05,15.07,15.05,15.06,1800,14.816534
2015-05-18,15.03,15.03,15.03,15.03,000,14.787018
2015-05-15,15.03,15.03,15.03,15.03,000,14.787018
2015-05-14,14.93,15.05,14.93,15.03,3500,14.787018
2015-05-13,15.15,15.15,15.15,15.15,1000,14.905078
2015-05-12,15.12,15.12,15.05,15.05,600,14.806695
2015-05-11,15.05,15.18,15.05,15.18,500,14.934594
2015-05-08,15.05,15.05,15.05,15.05,400,14.806695
2015-05-07,15.00,15.17,15.00,15.17,800,14.924755
2015-05-06,15.14,15.14,15.01,15.14,6200,14.89524
2015-05-05,15.12,15.14,15.01,15.01,600,14.767342
2015-05-04,15.03,15.03,15.03,15.03,100,14.787018
2015-05-01,15.10,15.14,15.01,15.14,1900,14.89524
2015-04-30,15.01,15.10,15.01,15.10,1100,14.855887
2015-04-29,15.12,15.12,15.12,15.12,200,14.875563
2015-04-28,15.15,15.20,15.13,15.20,3200,14.95427
2015-04-27,15.25,15.25,15.25,15.25,000,15.003462
2015-04-24,15.20,15.25,15.18,15.25,3100,15.003462
2015-04-23,15.01,15.20,15.01,15.20,4200,14.95427
2015-04-22,15.01,15.10,15.01,15.10,1100,14.855887
2015-04-21,15.02,15.10,15.02,15.04,3400,14.796857
2015-04-20,15.00,15.06,15.00,15.01,700,14.767342
2015-04-17,15.00,15.12,14.97,15.07,1100,14.826371
2015-04-16,15.00,15.07,15.00,15.00,1600,14.757503
2015-04-15,15.00,15.10,15.00,15.02,2400,14.77718
2015-04-14,15.00,15.00,15.00,15.00,1300,14.757503
2015-04-13,15.02,15.09,15.00,15.01,600,14.767342
2015-04-10,15.23,15.23,15.00,15.02,600,14.77718
2015-04-09,15.00,15.03,15.00,15.03,500,14.787018
2015-04-08,15.02,15.02,15.00,15.01,700,14.767342
2015-04-07,14.89,14.91,14.89,14.91,400,14.668958
2015-04-06,15.10,15.26,15.00,15.01,2700,14.767342
2015-04-02,15.00,15.03,15.00,15.03,400,14.787018
2015-04-01,15.10,15.45,15.00,15.01,4800,14.767342
2015-03-31,15.00,15.12,14.95,15.01,7700,14.767342
2015-03-30,15.02,15.02,15.00,15.00,800,14.757503
2015-03-27,14.90,15.00,14.90,15.00,5000,14.757503
2015-03-26,15.00,15.06,15.00,15.00,1600,14.757503
2015-03-25,15.01,15.01,15.00,15.00,3700,14.757503
2015-03-24,15.05,15.05,15.05,15.05,600,14.806695
2015-03-23,15.00,15.01,15.00,15.00,3100,14.757503
2015-03-20,15.00,15.34,14.91,14.91,46100,14.668958
2015-03-19,15.00,15.36,15.00,15.05,15400,14.806695
2015-03-18,15.07,15.42,15.00,15.06,4700,14.816534
2015-03-17,15.03,15.35,15.00,15.15,2100,14.905078
2015-03-16,15.02,15.44,14.95,15.02,18700,14.77718
2015-03-13,15.01,15.43,15.00,15.02,2900,14.77718
2015-03-12,14.95,15.23,14.95,15.00,4000,14.757503
2015-03-11,15.01,15.05,14.95,14.97,12500,14.727989
2015-03-10,15.02,15.02,14.90,15.02,21100,14.77718
2015-03-09,14.87,15.01,14.85,15.00,3000,14.757503
2015-03-06,15.00,15.40,15.00,15.00,1900,14.757503
2015-03-05,15.00,15.00,15.00,15.00,6900,14.757503
2015-03-04,15.00,15.15,15.00,15.13,1500,14.885402
2015-03-03,15.00,15.00,15.00,15.00,000,14.757503
2015-03-02,15.00,15.00,15.00,15.00,100,14.757503
2015-02-27,15.00,15.01,14.99,15.00,6000,14.757503
2015-02-26,15.07,15.07,15.07,15.07,000,14.826371
2015-02-25,15.07,15.07,15.07,15.07,200,14.826371
2015-02-24,15.07,15.07,15.07,15.07,100,14.747665
2015-02-23,15.00,15.00,15.00,15.00,1200,14.679162
2015-02-20,15.14,15.14,14.96,14.96,3300,14.640018
2015-02-19,15.00,15.15,15.00,15.00,1800,14.679162
2015-02-18,15.00,15.15,15.00,15.15,4400,14.825953
2015-02-17,14.93,14.93,14.93,14.93,300,14.61066
2015-02-13,15.20,15.20,15.00,15.05,3800,14.728093
2015-02-12,15.20,15.27,15.06,15.25,1800,14.923815
2015-02-11,15.25,15.25,15.25,15.25,000,14.923815
2015-02-10,15.25,15.25,15.25,15.25,700,14.923815
2015-02-09,15.15,15.15,15.15,15.15,000,14.825953
2015-02-06,15.05,15.19,15.05,15.15,4100,14.825953
2015-02-05,15.05,15.20,15.05,15.10,2800,14.777024
2015-02-04,15.08,15.08,15.07,15.07,500,14.747665
2015-02-03,15.08,15.16,15.07,15.10,1000,14.777024
2015-02-02,15.12,15.17,15.06,15.09,2200,14.767237
2015-01-30,15.29,15.29,15.29,15.29,400,14.962959
2015-01-29,15.10,15.18,15.05,15.11,3000,14.786809
2015-01-28,15.18,15.18,15.18,15.18,100,14.855312
2015-01-27,15.31,15.31,15.10,15.11,400,14.786809
2015-01-26,15.18,15.40,15.11,15.11,21600,14.786809
2015-01-23,14.96,15.20,14.96,15.00,2400,14.679162
2015-01-22,15.10,15.25,15.00,15.10,8400,14.777024
2015-01-21,15.23,15.25,15.01,15.23,5300,14.904242
2015-01-20,15.20,15.20,15.20,15.20,000,14.874884
2015-01-16,15.20,15.20,15.20,15.20,000,14.874884
2015-01-15,15.20,15.20,15.01,15.20,5200,14.874884
2015-01-14,15.10,15.10,15.05,15.06,800,14.737879
2015-01-13,15.04,15.06,15.00,15.00,3900,14.679162
2015-01-12,15.13,15.14,15.01,15.14,1200,14.816168
2015-01-09,15.06,15.13,15.06,15.13,500,14.806382
2015-01-08,15.05,15.05,15.05,15.05,1300,14.728093
2015-01-07,15.10,15.11,15.05,15.05,1900,14.728093
