Date,Open,High,Low,Close,Volume,Adj Close
2016-01-22,10.00,10.00,9.95,10.00,8600,10.00
2016-01-21,9.94,9.97,9.94,9.97,2200,9.97
2016-01-20,9.94,9.99,9.94,9.95,9700,9.95
2016-01-19,10.00,10.01,9.94,9.95,14700,9.95
2016-01-15,9.89,10.02,9.86,9.94,24100,9.94
2016-01-14,9.98,10.00,9.94,10.00,4400,10.00
2016-01-13,10.00,10.01,10.00,10.01,6300,10.01
2016-01-12,10.05,10.05,9.98,10.00,8000,10.00
2016-01-11,10.08,10.08,10.03,10.03,1300,10.03
2016-01-08,10.06,10.06,10.00,10.00,1200,10.00
2016-01-07,10.00,10.11,10.00,10.11,9100,10.11
2016-01-06,9.98,10.01,9.98,10.01,800,10.01
2016-01-05,9.99,9.99,9.99,9.99,700,9.99
2016-01-04,9.96,10.02,9.96,9.99,2800,9.99
2015-12-31,10.10,10.10,9.95,9.95,11700,9.95
2015-12-30,10.00,10.05,9.95,10.05,10500,10.05
2015-12-29,10.10,10.10,9.99,9.99,3500,9.99
2015-12-28,10.15,10.18,10.01,10.01,4000,10.01
2015-12-24,10.19,10.19,10.15,10.18,900,9.985
2015-12-23,10.14,10.25,10.13,10.15,2900,9.955574
2015-12-22,10.09,10.10,10.08,10.10,1600,9.906533
2015-12-21,10.04,10.04,10.04,10.04,000,9.847682
2015-12-18,10.11,10.11,10.04,10.04,300,9.847682
2015-12-17,10.04,10.10,10.04,10.10,1900,9.906533
2015-12-16,10.04,10.04,10.01,10.01,1800,9.818257
2015-12-15,10.03,10.03,9.99,9.99,2100,9.798639
2015-12-14,9.95,9.98,9.95,9.98,3600,9.788831
2015-12-11,10.03,10.03,9.94,10.01,6100,9.818257
2015-12-10,9.96,10.02,9.96,10.02,1500,9.828065
2015-12-09,10.06,10.06,9.97,9.97,18000,9.779023
2015-12-08,10.09,10.09,9.96,10.00,27000,9.808448
2015-12-07,10.08,10.14,10.08,10.08,6200,9.886915
2015-12-04,10.14,10.15,10.11,10.11,3300,9.916341
2015-12-03,10.10,10.10,10.06,10.06,1300,9.867299
2015-12-02,10.10,10.13,10.05,10.13,2500,9.935958
2015-12-01,10.14,10.30,10.14,10.15,9500,9.955574
2015-11-30,10.12,10.12,10.10,10.11,1100,9.916341
2015-11-27,10.15,10.15,10.08,10.12,2600,9.926149
2015-11-25,10.12,10.12,10.12,10.12,000,9.926149
2015-11-24,10.14,10.15,10.12,10.12,900,9.926149
