Date,Open,High,Low,Close,Volume,Adj Close
2016-01-22,17.950001,18.040001,17.709999,18.00,4200,18.00
2016-01-21,17.860001,17.940001,17.84,17.90,3400,17.90
2016-01-20,17.809999,17.92,17.42,17.90,14200,17.90
2016-01-19,17.709999,17.950001,17.709999,17.940001,7700,17.940001
2016-01-15,17.540001,17.860001,17.50,17.59,5000,17.59
2016-01-14,17.549999,17.82,17.549999,17.709999,2500,17.709999
2016-01-13,17.809999,18.059999,17.690001,17.889999,6200,17.889999
2016-01-12,18.040001,18.040001,17.559999,17.809999,9400,17.809999
2016-01-11,17.540001,18.02,17.540001,17.799999,14400,17.799999
2016-01-08,17.719999,17.719999,17.23,17.540001,11000,17.540001
2016-01-07,17.73,17.889999,17.25,17.35,14500,17.35
2016-01-06,16.98,17.620001,16.98,17.209999,23000,17.209999
2016-01-05,17.09,17.09,16.799999,17.08,11600,17.08
2016-01-04,17.09,17.09,16.76,16.959999,7200,16.959999
2015-12-31,17.129999,17.25,17.129999,17.15,5200,17.15
2015-12-30,17.110001,17.110001,17.110001,17.110001,000,17.110001
2015-12-29,16.74,17.18,16.299999,17.110001,16400,17.110001
2015-12-28,16.83,17.049999,16.559999,17.02,10900,17.02
2015-12-24,16.90,16.90,16.74,16.84,1700,16.84
2015-12-23,16.66,16.889999,16.40,16.870001,103700,16.870001
2015-12-22,16.40,16.690001,16.32,16.49,12900,16.49
2015-12-21,16.219999,16.719999,16.219999,16.690001,6300,16.690001
2015-12-18,16.129999,16.719999,16.129999,16.719999,28900,16.719999
2015-12-17,16.299999,16.49,16.299999,16.40,7800,16.40
2015-12-16,16.360001,16.49,16.280001,16.34,2200,16.34
2015-12-15,16.110001,16.459999,16.110001,16.43,6600,16.43
2015-12-14,16.58,16.58,15.94,16.450001,12900,16.450001
2015-12-11,16.940001,17.209999,16.18,16.66,6600,16.66
2015-12-10,17.25,17.25,16.969999,16.969999,5100,16.969999
2015-12-09,17.01,17.09,17.00,17.040001,2800,17.040001
2015-12-08,17.120001,17.25,17.00,17.00,3700,17.00
2015-12-07,17.26,17.57,17.25,17.25,7300,17.25
2015-12-04,17.26,17.60,17.15,17.299999,5200,17.299999
2015-12-03,17.10,17.10,17.040001,17.040001,6100,17.040001
2015-12-02,16.950001,17.48,16.950001,17.25,1200,17.25
2015-12-01,17.09,17.24,16.91,16.93,8900,16.93
2015-11-30,16.690001,17.25,16.690001,17.25,11900,17.25
2015-11-27,16.799999,16.809999,16.74,16.809999,1900,16.809999
2015-11-25,16.799999,16.799999,16.799999,16.799999,200,16.799999
2015-11-24,16.74,16.809999,16.74,16.809999,500,16.809999
2015-11-23,16.68,16.74,16.68,16.74,1200,16.74
2015-11-20,16.77,16.84,16.65,16.73,2100,16.73
2015-11-19,16.620001,16.719999,16.60,16.65,1600,16.65
2015-11-18,16.700001,16.719999,16.60,16.60,5900,16.60
2015-11-17,16.610001,16.620001,16.610001,16.610001,900,16.610001
2015-11-16,16.950001,16.950001,16.610001,16.700001,700,16.700001
2015-11-13,16.809999,17.10,16.52,16.620001,4500,16.620001
2015-11-12,16.379999,17.02,16.379999,16.51,15000,16.51
2015-11-11,16.799999,16.799999,16.35,16.360001,6800,16.360001
2015-11-10,16.50,16.60,16.360001,16.549999,5500,16.549999
2015-11-09,16.65,16.82,16.43,16.51,3900,16.51
2015-11-06,16.74,17.290001,16.530001,16.700001,3400,16.700001
2015-11-05,16.940001,16.940001,16.549999,16.700001,3000,16.700001
2015-11-04,17.049999,17.049999,17.049999,17.049999,000,17.049999
2015-11-03,17.120001,17.120001,17.01,17.049999,2400,16.989999
2015-11-02,17.200001,17.25,16.860001,17.16,5400,17.099613
2015-10-30,17.209999,17.27,16.90,17.27,3300,17.209226
2015-10-29,16.860001,17.309999,16.860001,17.219999,6200,17.159401
2015-10-28,16.440001,17.00,16.379999,16.91,19100,16.850493
2015-10-27,16.50,16.50,16.25,16.360001,1400,16.302429
2015-10-26,16.41,16.469999,16.290001,16.440001,2400,16.382147
2015-10-23,16.360001,16.360001,16.049999,16.25,2500,16.192815
2015-10-22,16.030001,16.469999,16.030001,16.43,2800,16.372182
2015-10-21,16.40,16.549999,16.00,16.35,5300,16.292464
2015-10-20,16.35,16.360001,16.17,16.17,500,16.113097
2015-10-19,16.18,16.459999,16.17,16.360001,3700,16.302429
2015-10-16,16.530001,16.700001,16.35,16.360001,9400,16.302429
2015-10-15,16.35,16.52,16.290001,16.52,17500,16.461866
2015-10-14,16.33,16.43,16.25,16.25,12700,16.192815
2015-10-13,16.209999,16.209999,16.209999,16.209999,300,16.152955
2015-10-12,16.290001,16.33,16.209999,16.290001,4000,16.232675
2015-10-09,16.35,16.360001,16.290001,16.35,700,16.292464
2015-10-08,16.389999,16.389999,16.280001,16.280001,2000,16.22271
2015-10-07,16.34,16.42,16.34,16.389999,2400,16.332322
2015-10-06,16.299999,16.450001,16.27,16.32,17000,16.262569
2015-10-05,16.10,16.35,16.10,16.26,5400,16.20278
2015-10-02,15.81,16.030001,15.80,16.01,1600,15.95366
2015-10-01,15.99,16.91,15.74,16.280001,11600,16.22271
2015-09-30,15.64,16.129999,15.64,16.08,8500,16.023413
2015-09-29,15.56,15.57,15.56,15.57,1400,15.515208
2015-09-28,15.72,15.72,15.67,15.71,2500,15.654716
2015-09-25,15.85,16.10,15.65,16.09,6500,16.033379
2015-09-24,15.80,15.85,15.61,15.79,2300,15.734434
2015-09-23,15.10,15.64,15.10,15.64,300,15.584962
2015-09-22,15.66,15.70,15.43,15.53,4500,15.475349
2015-09-21,15.51,16.02,15.50,15.66,2700,15.604891
2015-09-18,15.56,15.62,15.45,15.62,8700,15.565032
2015-09-17,15.66,15.70,15.50,15.50,3200,15.445455
2015-09-16,15.52,15.70,15.44,15.66,1200,15.604891
2015-09-15,15.45,15.55,15.44,15.49,3300,15.43549
2015-09-14,15.50,15.50,15.41,15.47,1700,15.41556
2015-09-11,15.48,15.50,15.46,15.46,1800,15.405595
2015-09-10,15.46,15.46,15.45,15.45,2400,15.39563
2015-09-09,15.45,15.48,15.40,15.45,6100,15.39563
2015-09-08,15.50,15.50,15.37,15.37,4200,15.315912
2015-09-04,15.64,15.70,15.35,15.45,11200,15.39563
2015-09-03,15.73,15.80,15.58,15.66,9300,15.604891
2015-09-02,15.50,15.89,15.50,15.72,2900,15.664681
2015-09-01,15.67,15.67,15.46,15.55,2600,15.495279
2015-08-31,15.80,16.09,15.78,15.78,11200,15.724469
2015-08-28,15.70,16.10,15.70,15.91,18100,15.854012
2015-08-27,15.65,16.17,15.65,16.09,21800,16.033379
2015-08-26,15.20,15.65,15.20,15.52,15000,15.465385
2015-08-25,15.14,15.16,15.08,15.16,6800,15.106651
2015-08-24,15.05,15.23,15.00,15.21,19900,15.156475
2015-08-21,15.10,15.24,15.07,15.24,3600,15.186369
2015-08-20,15.28,15.28,15.15,15.16,15400,15.106651
2015-08-19,15.18,15.30,15.15,15.30,8200,15.246159
2015-08-18,15.25,15.25,15.18,15.18,800,15.126581
2015-08-17,15.15,15.25,15.05,15.17,11800,15.116616
2015-08-14,15.25,15.32,15.10,15.11,8800,15.056827
2015-08-13,15.23,15.27,15.23,15.25,3500,15.196334
2015-08-12,15.27,15.31,15.25,15.25,4600,15.196334
2015-08-11,15.27,15.40,15.20,15.22,5100,15.16644
2015-08-10,15.20,15.26,15.20,15.26,1600,15.206299
2015-08-07,15.28,15.50,15.20,15.25,7800,15.196334
2015-08-06,15.26,15.41,15.14,15.17,11100,15.116616
2015-08-05,15.31,15.31,15.15,15.28,8900,15.226229
2015-08-04,15.09,15.28,15.08,15.18,46400,15.126581
2015-08-03,15.02,15.39,14.96,15.03,4700,14.977108
2015-07-31,15.09,15.65,14.84,14.99,13300,14.937249
2015-07-30,15.14,15.15,14.95,15.00,26900,14.947214
2015-07-29,14.80,15.21,14.80,14.96,118100,14.907355
2015-07-28,14.83,14.83,14.78,14.78,2500,14.668199
2015-07-27,14.80,14.84,14.80,14.84,4100,14.727746
2015-07-24,14.80,14.80,14.80,14.80,2700,14.688048
2015-07-23,15.01,15.01,14.90,14.90,11000,14.787291
2015-07-22,14.72,15.05,14.72,15.05,800,14.936157
2015-07-21,14.82,14.86,14.80,14.82,1500,14.707897
2015-07-20,14.81,14.91,14.80,14.90,2400,14.787291
2015-07-17,14.95,14.99,14.75,14.80,6400,14.688048
2015-07-16,14.84,14.98,14.79,14.85,9000,14.73767
2015-07-15,14.75,14.85,14.75,14.79,8100,14.678124
2015-07-14,14.79,14.79,14.70,14.75,19600,14.638426
2015-07-13,14.80,14.81,14.73,14.75,29400,14.638426
2015-07-10,14.72,14.84,14.72,14.73,12900,14.618577
2015-07-09,14.80,14.80,14.73,14.74,8400,14.628502
2015-07-08,14.80,14.81,14.54,14.73,23100,14.618577
2015-07-07,14.75,14.79,14.74,14.76,21600,14.648351
2015-07-06,14.79,14.80,14.75,14.80,8100,14.688048
2015-07-02,14.87,14.87,14.74,14.75,18400,14.638426
2015-07-01,14.80,14.99,14.80,14.83,35000,14.717821
2015-06-30,14.83,14.85,14.75,14.84,5500,14.727746
2015-06-29,14.89,14.89,14.82,14.82,12200,14.707897
2015-06-26,14.99,14.99,14.82,14.85,19900,14.73767
2015-06-25,14.85,14.93,14.80,14.84,14400,14.727746
2015-06-24,14.97,14.97,14.67,14.85,24700,14.73767
2015-06-23,14.98,14.99,14.94,14.97,16900,14.856763
2015-06-22,15.20,15.20,14.95,14.99,11400,14.876611
2015-06-19,15.00,15.35,14.99,15.35,10800,15.233888
2015-06-18,15.05,15.05,14.99,15.00,15900,14.886535
2015-06-17,14.80,15.05,14.70,14.98,28400,14.866686
2015-06-16,15.00,15.07,14.95,14.99,7700,14.876611
2015-06-15,15.04,15.11,14.98,14.99,6600,14.876611
2015-06-12,15.00,15.04,14.80,14.96,8900,14.846838
2015-06-11,15.05,15.18,15.05,15.06,1600,14.946082
2015-06-10,15.15,15.17,15.12,15.12,3600,15.005628
2015-06-09,15.17,15.17,15.00,15.11,6000,14.995703
2015-06-08,15.22,15.23,15.21,15.21,700,15.094947
2015-06-05,15.25,15.32,15.25,15.25,2300,15.134644
2015-06-04,15.35,15.35,15.25,15.25,1000,15.134644
2015-06-03,15.34,15.36,15.34,15.35,1100,15.233888
2015-06-02,15.36,15.36,15.20,15.31,6200,15.194191
2015-06-01,15.44,15.50,15.30,15.34,8600,15.223964
2015-05-29,15.48,15.50,15.39,15.39,3200,15.273586
2015-05-28,15.59,15.60,15.31,15.41,11200,15.293434
2015-05-27,15.58,15.72,15.54,15.54,12800,15.422451
2015-05-26,15.69,15.69,15.53,15.55,11300,15.432375
2015-05-22,15.58,15.58,15.33,15.46,2900,15.343056
2015-05-21,15.49,15.52,15.43,15.52,2600,15.402602
2015-05-20,15.46,15.46,15.30,15.39,5700,15.273586
2015-05-19,15.36,15.47,15.33,15.40,3700,15.283509
2015-05-18,15.28,15.35,15.18,15.33,8200,15.214039
2015-05-15,15.10,15.35,15.00,15.19,10500,15.075098
2015-05-14,15.26,15.40,15.20,15.27,6200,15.154493
2015-05-13,15.29,15.40,15.29,15.34,4800,15.223964
2015-05-12,15.45,15.45,15.25,15.36,7900,15.243812
2015-05-11,15.26,15.46,15.26,15.41,4000,15.293434
2015-05-08,15.33,15.44,15.28,15.30,3700,15.184266
2015-05-07,15.38,15.47,15.31,15.34,3200,15.223964
2015-05-06,15.32,15.38,15.32,15.38,800,15.263661
2015-05-05,15.38,15.48,15.37,15.39,2100,15.273586
2015-05-04,15.33,15.49,15.30,15.35,7800,15.233888
2015-05-01,15.50,15.50,15.27,15.32,16700,15.204115
2015-04-30,15.70,15.70,15.53,15.57,3800,15.452223
2015-04-29,15.65,15.65,15.50,15.50,7600,15.382753
2015-04-28,15.31,15.65,15.30,15.55,2900,15.372829
2015-04-27,15.20,15.60,15.15,15.60,7600,15.422259
2015-04-24,15.00,15.20,15.00,15.20,7700,15.026816
2015-04-23,14.90,15.00,14.90,14.95,38400,14.779665
2015-04-22,14.85,14.92,14.85,14.86,6500,14.69069
2015-04-21,14.92,14.92,14.89,14.91,8700,14.74012
2015-04-20,14.92,14.92,14.85,14.92,12600,14.750007
2015-04-17,14.89,14.90,14.78,14.85,3900,14.680804
2015-04-16,14.92,14.92,14.90,14.90,7400,14.730234
2015-04-15,14.62,14.89,14.62,14.87,12300,14.700576
2015-04-14,14.77,14.78,14.68,14.70,8500,14.532513
2015-04-13,14.69,14.75,14.69,14.70,18800,14.532513
2015-04-10,14.60,14.70,14.60,14.63,19100,14.463311
2015-04-09,14.67,14.70,14.67,14.67,5900,14.502855
2015-04-08,14.76,14.85,14.66,14.66,7600,14.492969
2015-04-07,14.70,14.84,14.70,14.78,7200,14.611601
2015-04-06,14.65,14.78,14.65,14.71,1400,14.542399
2015-04-02,14.81,14.83,14.65,14.75,14100,14.581943
2015-04-01,14.60,14.84,14.59,14.79,8500,14.621488
2015-03-31,14.53,14.78,14.50,14.73,33300,14.562171
2015-03-30,14.40,14.65,14.40,14.60,58900,14.433653
2015-03-27,14.33,14.45,14.20,14.44,27800,14.275475
2015-03-26,14.36,14.36,14.26,14.28,6000,14.117298
2015-03-25,14.30,14.31,14.25,14.31,8500,14.146957
2015-03-24,14.39,14.40,14.26,14.30,5700,14.137071
2015-03-23,14.35,14.35,14.32,14.35,4300,14.186501
2015-03-20,14.58,14.58,14.30,14.34,12300,14.176615
2015-03-19,14.54,14.55,14.33,14.33,8900,14.166729
2015-03-18,14.50,14.50,14.48,14.49,3500,14.324906
2015-03-17,14.60,14.61,14.50,14.54,19500,14.374336
2015-03-16,14.79,14.79,14.58,14.58,12500,14.41388
2015-03-13,14.72,14.79,14.58,14.72,9500,14.552285
2015-03-12,14.71,14.79,14.50,14.51,17900,14.344678
