Date,Open,High,Low,Close,Volume,Adj Close
2016-01-22,23.85,23.85,23.40,23.799999,15900,23.799999
2016-01-21,23.77,23.889999,23.51,23.51,15900,23.51
2016-01-20,23.639999,23.700001,22.950001,23.690001,35900,23.690001
2016-01-19,23.889999,23.99,23.690001,23.84,14800,23.84
2016-01-15,23.84,23.99,23.60,23.99,25600,23.99
2016-01-14,23.83,23.860001,23.75,23.85,10200,23.85
2016-01-13,23.65,23.90,23.459999,23.75,10700,23.75
2016-01-12,23.299999,23.959999,23.299999,23.959999,16100,23.959999
2016-01-11,23.25,23.90,23.25,23.780001,8700,23.738
2016-01-08,23.75,23.790001,23.59,23.65,7700,23.608229
2016-01-07,23.559999,23.799999,23.41,23.620001,7000,23.578283
2016-01-06,23.629999,23.799999,23.610001,23.690001,14000,23.648159
2016-01-05,23.879999,23.889999,23.59,23.85,14200,23.807876
2016-01-04,23.629999,23.98,23.48,23.90,27600,23.857787
2015-12-31,23.459999,23.709999,23.35,23.60,6500,23.558318
2015-12-30,23.50,23.57,23.129999,23.41,10800,23.368653
2015-12-29,23.40,23.59,23.33,23.540001,14200,23.498424
2015-12-28,23.620001,23.66,23.33,23.370001,19600,23.328725
2015-12-24,23.690001,23.73,23.58,23.700001,9300,23.658142
2015-12-23,23.57,23.700001,23.57,23.690001,12300,23.648159
2015-12-22,23.58,23.65,23.48,23.540001,9400,23.498424
2015-12-21,23.73,23.73,23.48,23.52,4300,23.478459
2015-12-18,23.780001,23.790001,23.33,23.610001,5000,23.568301
2015-12-17,23.66,23.85,23.66,23.780001,6700,23.738
2015-12-16,23.700001,23.75,23.60,23.709999,9600,23.668122
2015-12-15,23.60,23.75,23.58,23.58,4700,23.538353
2015-12-14,23.690001,23.75,23.40,23.530001,16400,23.488442
2015-12-11,23.73,23.889999,23.700001,23.719999,6400,23.678105
2015-12-10,23.74,23.90,23.73,23.85,10400,23.807876
2015-12-09,23.82,23.870001,23.780001,23.82,7300,23.733008
2015-12-08,23.809999,24.040001,23.799999,23.83,8400,23.742972
2015-12-07,23.83,23.950001,23.809999,23.940001,3900,23.852571
2015-12-04,23.780001,24.02,23.780001,23.870001,6700,23.782827
2015-12-03,23.84,23.99,23.77,23.77,8900,23.683192
2015-12-02,23.82,23.98,23.809999,23.83,9000,23.742972
2015-12-01,23.83,23.959999,23.809999,23.90,4700,23.812716
2015-11-30,23.75,23.90,23.75,23.809999,17800,23.723044
2015-11-27,23.75,23.75,23.75,23.75,000,23.663264
2015-11-25,23.799999,23.950001,23.690001,23.75,22100,23.663264
2015-11-24,23.85,23.93,23.780001,23.780001,8600,23.693155
2015-11-23,23.780001,24.01,23.75,23.860001,11400,23.772863
2015-11-20,23.85,24.02,23.780001,23.790001,5200,23.703119
2015-11-19,23.75,24.049999,23.75,23.780001,2800,23.693155
2015-11-18,23.799999,24.08,23.799999,23.879999,5200,23.792789
2015-11-17,23.98,23.98,23.76,23.76,5800,23.673228
2015-11-16,24.18,24.18,23.639999,24.01,2800,23.922315
2015-11-13,23.950001,24.15,23.639999,24.059999,8200,23.972131
2015-11-12,23.780001,24.459999,23.780001,23.83,12500,23.742972
2015-11-11,23.940001,23.959999,23.700001,23.780001,8800,23.693155
2015-11-10,23.799999,24.040001,23.75,24.040001,8300,23.952206
2015-11-09,23.85,23.99,23.77,23.83,9500,23.697141
2015-11-06,23.690001,23.870001,23.68,23.870001,4400,23.736918
2015-11-05,23.639999,23.85,23.530001,23.76,10600,23.627531
2015-11-04,23.559999,23.889999,23.540001,23.709999,14100,23.577809
2015-11-03,23.780001,23.870001,23.66,23.66,8500,23.528088
2015-11-02,23.57,23.90,23.51,23.559999,9200,23.428645
2015-10-30,23.59,23.60,23.35,23.450001,20600,23.31926
2015-10-29,23.66,23.66,23.08,23.50,11700,23.36898
2015-10-28,23.719999,23.879999,23.65,23.74,16000,23.607642
2015-10-27,23.76,23.85,23.629999,23.65,12000,23.518144
2015-10-26,23.67,23.879999,23.60,23.610001,5000,23.478368
2015-10-23,23.66,23.75,23.549999,23.620001,10700,23.488312
2015-10-22,23.67,23.870001,23.50,23.66,14100,23.528088
2015-10-21,23.629999,23.74,23.50,23.620001,12100,23.488312
2015-10-20,23.25,23.450001,23.25,23.42,11800,23.289427
2015-10-19,23.50,23.50,22.969999,23.32,5200,23.189984
2015-10-16,23.32,23.549999,23.049999,23.139999,10000,23.010987
2015-10-15,23.23,23.299999,22.959999,23.299999,7400,23.170095
2015-10-14,23.15,23.32,23.07,23.07,9800,22.941378
2015-10-13,23.01,23.33,23.01,23.23,13300,23.100485
2015-10-12,23.049999,23.40,23.030001,23.17,9800,23.04082
2015-10-09,23.65,23.65,23.01,23.32,5800,23.189984
2015-10-08,23.15,23.469999,23.02,23.129999,13300,22.957288
2015-10-07,23.25,23.25,22.90,23.030001,8300,22.858036
2015-10-06,23.00,23.200001,22.67,23.01,11100,22.838185
2015-10-05,23.040001,23.08,22.209999,23.00,14700,22.82826
2015-10-02,22.700001,23.200001,21.610001,22.77,19500,22.599978
2015-10-01,22.870001,23.00,22.73,22.790001,23000,22.619829
2015-09-30,23.58,23.58,22.809999,22.90,10700,22.729006
2015-09-29,23.48,23.549999,23.25,23.25,12600,23.076393
2015-09-28,23.469999,23.629999,23.469999,23.50,6500,23.324526
2015-09-25,23.799999,23.799999,23.469999,23.469999,16700,23.294749
2015-09-24,23.459999,23.73,23.459999,23.73,2000,23.552808
2015-09-23,23.700001,23.700001,23.610001,23.629999,4200,23.453555
2015-09-22,23.66,23.700001,23.559999,23.58,3500,23.403929
2015-09-21,23.60,23.620001,23.40,23.610001,11400,23.433705
2015-09-18,23.450001,23.690001,23.450001,23.50,7800,23.324526
2015-09-17,23.620001,23.68,23.40,23.450001,20200,23.2749
2015-09-16,23.60,23.60,23.469999,23.57,10300,23.394003
2015-09-15,23.57,23.60,23.459999,23.60,4000,23.42378
2015-09-14,23.51,23.60,23.42,23.43,5600,23.255049
2015-09-11,23.43,23.58,23.40,23.440001,4200,23.264975
2015-09-10,23.34,23.469999,23.34,23.42,17100,23.245124
2015-09-09,23.60,23.60,23.32,23.33,5000,23.114109
2015-09-08,23.58,23.58,23.299999,23.34,3900,23.124016
2015-09-04,23.200001,23.450001,23.200001,23.200001,6000,22.985313
2015-09-03,23.40,23.48,23.299999,23.299999,9200,23.084386
2015-09-02,23.17,23.40,23.08,23.34,17600,23.124016
2015-09-01,23.35,23.379999,22.959999,23.01,21100,22.79707
2015-08-31,23.17,23.290001,23.10,23.24,9300,23.024941
2015-08-28,23.18,23.33,23.120001,23.139999,7000,22.925866
2015-08-27,23.16,23.35,23.16,23.209999,9600,22.995218
2015-08-26,22.90,23.26,22.629999,23.16,49200,22.945682
2015-08-25,24.15,24.15,22.84,22.84,18700,22.628643
2015-08-24,23.700001,24.139999,23.01,23.58,23600,23.361795
2015-08-21,23.77,23.809999,23.75,23.75,7800,23.530222
2015-08-20,23.77,23.82,23.77,23.809999,8900,23.589666
2015-08-19,23.76,23.879999,23.76,23.85,8200,23.629297
2015-08-18,23.85,23.889999,23.73,23.82,4400,23.599574
2015-08-17,23.629999,23.90,23.629999,23.82,14200,23.599574
2015-08-14,23.700001,23.889999,23.66,23.66,7000,23.441055
2015-08-13,23.799999,23.879999,23.700001,23.790001,20900,23.569853
2015-08-12,23.799999,23.82,23.65,23.799999,15600,23.579759
2015-08-11,23.809999,23.879999,23.799999,23.85,14400,23.591648
2015-08-10,23.91,23.91,23.799999,23.83,23500,23.571865
2015-08-07,23.91,24.02,23.860001,23.91,53100,23.650998
2015-08-06,23.879999,24.01,23.879999,24.00,42700,23.740023
2015-08-05,23.92,23.950001,23.85,23.90,6500,23.641106
2015-08-04,23.790001,23.93,23.77,23.83,11500,23.571865
2015-08-03,23.73,23.940001,23.73,23.82,6700,23.561973
2015-07-31,23.74,23.76,23.73,23.76,1300,23.502623
2015-07-30,23.76,23.870001,23.719999,23.719999,10400,23.463056
2015-07-29,23.68,23.85,23.68,23.75,5300,23.492731
2015-07-28,23.780001,23.860001,23.66,23.709999,18700,23.453164
2015-07-27,23.91,23.92,23.73,23.799999,18100,23.542189
2015-07-24,23.940001,24.01,23.84,23.940001,12100,23.680674
2015-07-23,24.02,24.049999,23.92,23.940001,7700,23.680674
2015-07-22,23.969999,24.10,23.91,24.00,104800,23.740023
2015-07-21,24.10,24.10,23.83,23.91,42100,23.650998
2015-07-20,23.950001,24.120001,23.90,24.030001,348300,23.769699
2015-07-17,23.799999,23.99,23.620001,23.879999,722300,23.621322
2015-07-16,24.00,24.00,23.73,23.780001,63500,23.522407
2015-07-15,24.049999,24.059999,23.799999,23.84,50900,23.581756
2015-07-14,24.15,24.219999,24.02,24.049999,31700,23.789481
2015-07-13,24.209999,24.209999,24.129999,24.139999,37700,23.878506
2015-07-10,24.16,24.27,24.110001,24.209999,46400,23.947747
2015-07-09,24.25,24.26,24.129999,24.200001,19400,23.898291
2015-07-08,24.33,24.360001,24.110001,24.16,13800,23.858789
2015-07-07,24.35,24.360001,24.23,24.35,14200,24.046421
2015-07-06,24.35,24.469999,24.27,24.360001,18500,24.056297
2015-07-02,24.360001,24.469999,24.35,24.389999,4000,24.085921
2015-07-01,24.35,24.459999,24.35,24.41,2700,24.105672
2015-06-30,24.34,24.370001,24.34,24.35,5400,24.046421
2015-06-29,24.34,24.48,24.34,24.34,10900,24.036545
2015-06-26,24.469999,24.50,24.32,24.40,8900,24.095797
2015-06-25,24.309999,24.469999,24.309999,24.459999,3300,24.155048
2015-06-24,24.35,24.41,24.299999,24.33,5300,24.02667
2015-06-23,24.370001,24.41,24.370001,24.370001,2100,24.066172
2015-06-22,24.48,24.48,24.370001,24.370001,1700,24.066172
2015-06-19,24.42,24.48,24.34,24.389999,5900,24.085921
2015-06-18,24.370001,24.40,24.33,24.33,12300,24.02667
2015-06-17,24.48,24.49,24.370001,24.370001,6500,24.066172
2015-06-16,24.42,24.49,24.370001,24.49,4800,24.184675
2015-06-15,24.370001,24.41,24.370001,24.41,1600,24.105672
2015-06-12,24.34,24.469999,24.34,24.370001,5600,24.066172
2015-06-11,24.26,24.389999,24.26,24.309999,3100,24.006919
2015-06-10,24.35,24.450001,24.27,24.27,9400,23.967418
2015-06-09,24.370001,24.48,24.209999,24.48,11100,24.133322
2015-06-08,24.379999,24.41,24.360001,24.360001,5400,24.015023
2015-06-05,24.379999,24.469999,24.379999,24.389999,3800,24.044597
2015-06-04,24.42,24.42,24.40,24.40,3000,24.054455
2015-06-03,24.41,24.52,24.40,24.40,12600,24.054455
2015-06-02,24.40,24.51,24.379999,24.379999,12500,24.034738
2015-06-01,24.48,24.50,24.41,24.41,10700,24.064314
2015-05-29,24.42,24.51,24.41,24.41,5400,24.064314
2015-05-28,24.50,24.50,24.40,24.41,10800,24.064314
