Date,Open,High,Low,Close,Volume,Adj Close
2016-01-22,23.67,24.549999,23.67,23.67,3900,23.67
2016-01-21,23.60,23.60,23.60,23.60,000,23.60
2016-01-20,23.50,24.00,23.50,23.60,2200,23.60
2016-01-19,24.00,24.00,24.00,24.00,700,24.00
2016-01-15,24.00,24.00,23.50,23.50,3500,23.50
2016-01-14,24.24,24.24,24.24,24.24,000,24.24
2016-01-13,24.24,24.24,24.24,24.24,000,24.24
2016-01-12,24.25,24.25,24.24,24.24,200,24.24
2016-01-11,24.50,24.50,23.75,23.75,2300,23.75
2016-01-08,23.92,24.02,23.83,23.83,600,23.83
2016-01-07,23.92,24.799999,23.92,23.92,900,23.92
2016-01-06,24.01,24.389999,24.00,24.389999,2600,24.389999
2016-01-05,24.25,24.379999,23.860001,23.92,6700,23.92
2016-01-04,24.549999,24.549999,24.549999,24.549999,000,24.549999
2015-12-31,24.58,24.90,24.24,24.549999,2200,24.549999
2015-12-30,24.50,25.049999,24.00,24.620001,5000,24.620001
2015-12-29,24.309999,24.309999,24.309999,24.309999,000,24.309999
2015-12-28,25.809999,25.809999,24.309999,24.309999,1200,24.309999
2015-12-24,24.25,24.25,24.25,24.25,000,24.25
2015-12-23,24.25,24.25,24.25,24.25,1800,24.25
2015-12-22,24.07,24.25,24.07,24.25,7400,24.25
2015-12-21,24.309999,24.68,24.309999,24.34,1400,24.34
2015-12-18,25.469999,25.469999,24.50,25.25,1400,25.25
2015-12-17,24.780001,24.780001,24.780001,24.780001,000,24.780001
2015-12-16,24.299999,24.809999,24.299999,24.780001,800,24.780001
2015-12-15,24.25,24.25,24.25,24.25,000,24.25
2015-12-14,24.25,24.25,24.25,24.25,2200,24.25
2015-12-11,25.09,25.09,25.00,25.00,900,25.00
2015-12-10,25.10,25.10,24.57,24.57,300,24.57
2015-12-09,24.51,24.51,24.51,24.51,000,24.51
2015-12-08,24.52,25.200001,24.40,24.51,3000,24.51
2015-12-07,24.50,24.50,24.50,24.50,300,24.50
2015-12-04,24.290001,24.290001,24.290001,24.290001,200,24.290001
2015-12-03,25.129999,25.129999,24.50,24.50,4900,24.50
2015-12-02,25.57,25.57,25.57,25.57,000,25.57
2015-12-01,25.57,25.57,25.57,25.57,000,25.57
2015-11-30,25.25,26.00,25.25,25.57,1700,25.57
2015-11-27,25.25,25.25,25.25,25.25,100,25.25
2015-11-25,25.200001,25.200001,25.200001,25.200001,000,25.200001
2015-11-24,25.24,25.25,25.200001,25.200001,500,25.200001
2015-11-23,25.030001,26.00,25.00,25.76,4100,25.76
2015-11-20,25.00,25.00,25.00,25.00,000,25.00
2015-11-19,25.25,25.360001,25.00,25.00,7400,25.00
2015-11-18,25.43,26.030001,25.110001,25.110001,5300,25.110001
2015-11-17,25.450001,25.450001,25.450001,25.450001,100,25.450001
2015-11-16,25.50,25.50,24.50,25.049999,2900,25.049999
2015-11-13,24.25,24.639999,24.25,24.50,1500,24.50
2015-11-12,24.50,24.50,24.50,24.50,200,24.50
2015-11-11,25.379999,25.379999,24.370001,24.379999,600,24.379999
2015-11-10,25.40,25.40,24.33,24.68,13300,24.68
