Date,Open,High,Low,Close,Volume,Adj Close
2016-01-22,5.01,5.01,4.80,4.97,15300,4.97
2016-01-21,5.05,5.10,5.00,5.01,2200,5.01
2016-01-20,4.80,5.014,4.80,5.014,1000,5.014
2016-01-19,4.90,5.09,4.90,5.02,9300,5.02
2016-01-15,5.01,5.01,4.90,5.00,10900,5.00
2016-01-14,5.10,5.28,5.10,5.28,800,5.28
2016-01-13,5.07,5.07,4.752,5.03,7900,5.03
2016-01-12,5.17,5.17,5.17,5.17,200,5.17
2016-01-11,5.029,5.17,5.029,5.17,800,5.17
2016-01-08,5.20,5.20,5.04,5.11,10500,5.11
2016-01-07,5.078,5.26,5.078,5.26,1100,5.26
2016-01-06,5.58,5.58,5.19,5.19,1100,5.19
2016-01-05,5.01,5.25,5.01,5.17,900,5.17
2016-01-04,5.10,5.39,4.70,5.22,21900,5.22
2015-12-31,5.50,5.82,5.50,5.72,9900,5.72
2015-12-30,5.46,5.50,5.40,5.50,3300,5.50
2015-12-29,5.374,5.559,5.24,5.43,8000,5.43
2015-12-28,5.40,5.50,5.27,5.45,31400,5.45
2015-12-24,5.55,5.55,5.55,5.55,300,5.55
2015-12-23,5.45,5.50,5.35,5.50,5700,5.50
2015-12-22,5.48,5.50,5.48,5.50,5000,5.50
2015-12-21,5.50,5.50,5.466,5.481,2100,5.481
2015-12-18,5.37,5.599,5.37,5.48,900,5.48
2015-12-17,5.72,5.72,5.48,5.57,5800,5.57
2015-12-16,5.75,5.75,5.676,5.70,4700,5.70
2015-12-15,5.63,5.65,5.42,5.56,7700,5.56
2015-12-14,5.65,5.65,5.59,5.65,2900,5.65
2015-12-11,5.65,5.66,5.52,5.58,10700,5.58
2015-12-10,5.71,5.87,5.68,5.79,14000,5.79
2015-12-09,5.67,5.68,5.67,5.68,800,5.68
2015-12-08,5.684,5.79,5.67,5.79,3100,5.79
2015-12-07,5.84,5.84,5.84,5.84,200,5.84
2015-12-04,5.65,5.895,5.65,5.75,8900,5.75
2015-12-03,5.98,5.98,5.751,5.751,1200,5.751
2015-12-02,6.00,6.00,5.66,5.90,20200,5.78
2015-12-01,5.80,6.09,5.80,6.00,29100,5.877966
2015-11-30,5.654,5.785,5.654,5.785,1600,5.667339
2015-11-27,5.651,5.80,5.651,5.80,800,5.682034
2015-11-25,5.75,5.80,5.65,5.775,6200,5.657543
2015-11-24,5.799,5.96,5.65,5.80,16000,5.682034
2015-11-23,5.66,5.774,5.66,5.77,4400,5.652644
2015-11-20,5.75,5.81,5.75,5.79,5100,5.672237
2015-11-19,5.51,5.795,5.41,5.63,6000,5.515492
2015-11-18,5.86,5.86,5.57,5.60,18800,5.486102
2015-11-17,5.64,5.69,5.61,5.69,1300,5.574271
2015-11-16,5.745,5.87,5.73,5.731,1200,5.614437
2015-11-13,5.65,5.73,5.61,5.61,8900,5.495899
2015-11-12,5.22,5.77,5.20,5.672,41800,5.556637
2015-11-11,5.999,6.00,5.98,5.999,8200,5.876987
2015-11-10,5.945,6.00,5.945,6.00,2100,5.877966
2015-11-09,5.979,6.00,5.979,6.00,1600,5.877966
2015-11-06,5.98,6.04,5.93,5.93,15900,5.80939
2015-11-05,5.85,6.01,5.85,5.95,27400,5.828983
2015-11-04,5.72,5.86,5.72,5.86,4800,5.740814
2015-11-03,5.90,5.90,5.67,5.67,4800,5.554678
2015-11-02,5.72,5.90,5.72,5.89,7600,5.770203
2015-10-30,5.85,5.946,5.85,5.90,1100,5.78
2015-10-29,5.90,5.907,5.82,5.82,1100,5.701627
2015-10-28,5.723,5.93,5.723,5.80,5200,5.682034
2015-10-27,5.90,5.90,5.89,5.89,3300,5.770203
2015-10-26,5.80,5.82,5.80,5.82,25400,5.701627
2015-10-23,5.90,5.90,5.90,5.90,500,5.78
2015-10-22,5.86,5.955,5.71,5.737,18500,5.620315
2015-10-21,5.90,5.90,5.90,5.90,600,5.78
2015-10-20,5.97,5.97,5.86,5.94,2400,5.819187
2015-10-19,5.96,5.964,5.954,5.964,2200,5.842699
2015-10-16,5.86,5.95,5.85,5.85,1400,5.731017
2015-10-15,5.96,6.00,5.76,5.95,4300,5.828983
2015-10-14,5.82,5.82,5.82,5.82,100,5.701627
2015-10-13,5.85,5.85,5.85,5.85,1100,5.731017
2015-10-12,5.80,5.85,5.80,5.85,1100,5.731017
2015-10-09,5.966,5.97,5.83,5.83,2900,5.711424
2015-10-08,5.963,5.963,5.963,5.963,100,5.841719
2015-10-07,5.93,5.98,5.93,5.98,6200,5.858373
2015-10-06,5.80,5.94,5.80,5.94,1000,5.819187
2015-10-05,5.95,5.95,5.83,5.88,2500,5.760407
2015-10-02,5.94,5.94,5.94,5.94,000,5.819187
2015-10-01,5.96,5.96,5.93,5.94,1100,5.819187
