Date,Open,High,Low,Close,Volume,Adj Close
2016-01-22,9.11,9.47,9.11,9.31,111400,9.31
2016-01-21,8.97,9.38,8.97,9.09,85300,9.09
2016-01-20,8.96,9.24,8.85,9.02,204300,9.02
2016-01-19,9.10,9.33,8.87,9.11,121100,9.11
2016-01-15,9.36,9.46,9.01,9.08,238000,9.08
2016-01-14,9.48,9.74,9.26,9.46,196100,9.46
2016-01-13,9.88,9.93,9.46,9.48,110400,9.48
2016-01-12,10.15,10.15,9.60,9.80,110800,9.80
2016-01-11,10.32,10.33,9.91,10.04,99700,10.04
2016-01-08,9.99,10.10,9.92,9.93,36600,9.93
2016-01-07,10.03,10.15,9.91,9.91,53300,9.91
2016-01-06,9.78,10.28,9.78,10.21,49800,10.21
2016-01-05,10.06,10.06,9.75,9.94,50400,9.94
2016-01-04,9.96,10.01,9.57,9.97,68500,9.97
2015-12-31,9.82,10.20,9.61,9.96,109600,9.96
2015-12-30,9.34,9.73,9.34,9.68,97800,9.68
2015-12-29,9.33,9.46,9.31,9.42,36300,9.42
2015-12-28,9.75,9.75,9.35,9.35,108100,9.35
2015-12-24,9.67,9.76,9.67,9.70,21300,9.70
2015-12-23,9.14,9.80,9.14,9.73,123400,9.73
2015-12-22,9.09,9.21,8.91,9.11,130200,9.11
2015-12-21,9.30,9.30,8.96,9.14,129800,9.14
2015-12-18,9.59,9.59,9.21,9.25,80900,9.25
2015-12-17,10.00,10.00,9.28,9.68,177600,9.68
2015-12-16,9.58,9.97,9.50,9.81,86800,9.81
2015-12-15,9.50,9.62,9.15,9.51,150100,9.51
2015-12-14,9.82,9.97,8.85,9.49,353400,9.49
2015-12-11,10.60,10.65,10.23,10.40,208200,9.80
2015-12-10,10.73,10.80,10.49,10.67,103300,10.054423
2015-12-09,10.69,10.94,10.69,10.80,80800,10.176923
2015-12-08,10.65,10.81,10.40,10.70,85800,10.082692
2015-12-07,11.00,11.00,10.60,10.72,67700,10.101539
2015-12-04,11.11,11.26,10.80,10.93,68700,10.299424
2015-12-03,11.40,11.50,11.16,11.18,86700,10.535
2015-12-02,11.40,11.56,11.25,11.38,73100,10.723462
2015-12-01,11.42,11.45,11.21,11.40,48700,10.742308
2015-11-30,11.48,11.54,11.30,11.35,51900,10.695193
2015-11-27,11.50,11.57,11.32,11.40,29200,10.742308
2015-11-25,11.20,11.50,11.20,11.37,94300,10.714039
2015-11-24,11.43,11.45,11.20,11.31,55400,10.657501
2015-11-23,11.43,11.59,11.28,11.37,52800,10.714039
2015-11-20,11.35,11.64,11.01,11.44,125200,10.78
2015-11-19,11.25,11.60,11.10,11.28,85600,10.629231
2015-11-18,10.50,11.22,10.50,11.15,81900,10.506731
2015-11-17,11.30,11.30,10.19,10.74,220600,10.120385
2015-11-16,11.12,11.41,11.05,11.29,59300,10.638654
2015-11-13,11.18,11.19,10.99,11.18,67000,10.535
2015-11-12,11.35,11.44,11.15,11.16,23300,10.516154
2015-11-11,11.60,11.66,11.32,11.34,23300,10.68577
2015-11-10,11.50,11.76,11.42,11.54,72000,10.874231
2015-11-09,11.59,11.62,11.38,11.49,50900,10.827115
2015-11-06,11.66,11.69,11.37,11.59,29700,10.921347
2015-11-05,11.79,11.96,11.72,11.73,72300,11.053269
2015-11-04,11.93,11.93,11.70,11.77,69500,11.090962
2015-11-03,11.93,12.00,11.75,11.79,77600,11.109808
2015-11-02,11.93,11.98,11.61,11.90,69300,11.213461
2015-10-30,11.63,11.80,11.43,11.73,50400,11.053269
2015-10-29,11.39,11.56,11.39,11.49,20900,10.827115
2015-10-28,11.34,11.49,11.28,11.39,53500,10.732885
2015-10-27,11.53,11.53,11.16,11.26,75000,10.610385
2015-10-26,11.47,11.73,11.31,11.38,52900,10.723462
2015-10-23,11.60,11.87,11.44,11.61,49800,10.940192
2015-10-22,11.75,11.92,11.42,11.45,44900,10.789423
2015-10-21,11.96,12.11,11.69,11.79,53600,11.109808
2015-10-20,11.68,12.20,11.68,11.89,45800,11.204039
2015-10-19,11.87,11.87,11.66,11.76,69300,11.081539
2015-10-16,11.85,11.97,11.77,11.92,59600,11.232308
2015-10-15,11.75,11.89,11.66,11.77,79600,11.090962
2015-10-14,11.75,11.89,11.54,11.65,56300,10.977884
2015-10-13,11.82,12.06,11.74,11.86,39500,11.175769
2015-10-12,12.11,12.16,11.79,11.93,26400,11.241731
2015-10-09,12.03,12.51,12.00,12.20,37600,11.496154
