Date,Open,High,Low,Close,Volume,Adj Close
2016-01-22,5.77,6.10,5.70,5.93,1848000,5.93
2016-01-21,5.70,5.86,5.56,5.79,1855600,5.79
2016-01-20,5.70,5.85,5.38,5.78,2780900,5.78
2016-01-19,6.12,6.14,5.53,5.63,3375700,5.63
2016-01-15,6.20,6.26,5.99,6.06,1949300,6.06
2016-01-14,6.14,6.24,5.98,6.11,1932700,6.11
2016-01-13,6.11,6.46,6.11,6.23,2223100,6.23
2016-01-12,6.37,6.39,5.94,6.13,3066300,6.13
2016-01-11,6.95,6.97,6.33,6.45,2268500,6.45
2016-01-08,6.88,7.09,6.80,6.92,2298400,6.92
2016-01-07,6.86,7.18,6.76,7.03,2348500,7.03
2016-01-06,6.77,6.85,6.69,6.81,1339900,6.81
2016-01-05,6.77,6.79,6.59,6.69,1315900,6.69
2016-01-04,6.67,6.86,6.58,6.76,2097900,6.76
2015-12-31,6.49,6.58,6.42,6.50,1384200,6.50
2015-12-30,6.51,6.68,6.47,6.52,1173400,6.52
2015-12-29,6.66,6.72,6.55,6.66,1317400,6.66
2015-12-28,6.81,6.82,6.55,6.60,1028300,6.60
2015-12-24,6.75,6.93,6.75,6.86,574300,6.86
2015-12-23,6.59,6.80,6.59,6.69,1397900,6.69
2015-12-22,6.47,6.61,6.46,6.56,1321900,6.56
2015-12-21,6.50,6.62,6.41,6.49,1749100,6.49
2015-12-18,6.35,6.53,6.28,6.33,3955200,6.33
2015-12-17,6.58,6.63,6.22,6.24,2384600,6.24
2015-12-16,6.53,6.89,6.52,6.83,2779300,6.83
2015-12-15,6.60,6.67,6.37,6.42,2128100,6.42
2015-12-14,7.09,7.11,6.47,6.52,2941500,6.52
2015-12-11,7.01,7.26,6.96,7.14,1610900,7.14
2015-12-10,7.14,7.26,7.10,7.10,1243800,7.10
2015-12-09,7.19,7.32,7.03,7.17,1737500,7.17
2015-12-08,7.15,7.21,6.95,7.02,1742500,7.02
2015-12-07,7.45,7.55,7.05,7.18,1598700,7.18
2015-12-04,7.25,7.59,7.20,7.59,1997500,7.59
2015-12-03,7.18,7.31,7.04,7.17,1778800,7.17
2015-12-02,7.16,7.27,6.98,7.10,1524300,7.10
2015-12-01,7.01,7.29,6.91,7.28,1588000,7.28
2015-11-30,6.89,7.13,6.87,6.96,1750000,6.96
2015-11-27,6.79,6.95,6.75,6.82,668700,6.82
2015-11-25,6.82,7.10,6.79,6.96,1695300,6.96
2015-11-24,6.94,7.00,6.78,6.94,1900200,6.94
2015-11-23,6.67,6.92,6.59,6.77,1710400,6.77
2015-11-20,6.95,7.05,6.64,6.66,2403500,6.66
2015-11-19,6.80,6.98,6.73,6.93,2012000,6.93
2015-11-18,6.45,6.79,6.38,6.76,2374200,6.71
2015-11-17,7.00,7.04,6.37,6.46,2532400,6.412219
2015-11-16,6.94,7.09,6.89,7.06,2122900,7.007781
2015-11-13,6.70,6.96,6.64,6.90,1804300,6.848965
2015-11-12,6.55,6.92,6.54,6.74,1747300,6.690148
2015-11-11,6.77,6.81,6.55,6.66,1920700,6.610739
2015-11-10,6.87,6.97,6.72,6.74,1690900,6.690148
2015-11-09,6.91,7.06,6.70,7.01,2279400,6.958151
2015-11-06,6.98,7.01,6.82,6.91,2372400,6.85889
2015-11-05,7.43,7.43,7.03,7.11,3330800,7.057411
2015-11-04,7.57,7.83,7.33,7.40,2468000,7.345266
2015-11-03,7.51,7.73,7.42,7.65,1708400,7.593417
2015-11-02,7.46,7.74,7.30,7.63,1933100,7.573565
2015-10-30,7.69,7.78,7.52,7.57,2035000,7.514009
2015-10-29,8.05,8.17,7.59,7.72,2131700,7.662899
2015-10-28,8.34,8.80,7.97,8.17,3304700,8.109571
2015-10-27,8.17,8.32,8.03,8.19,1475300,8.129423
2015-10-26,8.23,8.36,8.07,8.24,2422800,8.179053
2015-10-23,8.21,8.38,7.96,8.26,2359300,8.198905
2015-10-22,7.85,8.24,7.85,8.10,1855400,8.040089
2015-10-21,8.07,8.09,7.80,7.92,2176300,7.86142
2015-10-20,7.87,8.29,7.82,8.17,2515000,8.109571
2015-10-19,8.42,8.46,7.76,7.82,2620300,7.76216
2015-10-16,8.54,8.70,8.38,8.45,3454200,8.3875
2015-10-15,8.13,8.69,8.02,8.61,4111800,8.546316
2015-10-14,7.73,8.37,7.69,8.34,3346300,8.278314
2015-10-13,7.56,7.79,7.37,7.59,1755600,7.533861
2015-10-12,7.96,7.97,7.45,7.52,2243100,7.464379
2015-10-09,7.83,7.96,7.63,7.83,2936100,7.772086
2015-10-08,7.26,7.93,7.26,7.50,3320500,7.444527
2015-10-07,7.66,7.82,7.44,7.65,2507300,7.593417
2015-10-06,7.35,7.98,7.32,7.67,4820100,7.613269
2015-10-05,6.80,7.26,6.75,7.19,3453300,7.13682
2015-10-02,6.44,6.79,6.34,6.78,3263300,6.729852
2015-10-01,6.41,6.54,6.10,6.16,2000400,6.114438
2015-09-30,6.21,6.40,6.20,6.35,2462800,6.303032
2015-09-29,6.30,6.43,6.25,6.29,1938200,6.243476
2015-09-28,6.40,6.43,6.22,6.25,1566400,6.203772
2015-09-25,6.54,6.65,6.49,6.57,2035700,6.521405
2015-09-24,6.42,6.68,6.30,6.63,3639100,6.580962
2015-09-23,6.58,6.62,6.23,6.25,1965900,6.203772
2015-09-22,6.68,6.71,6.43,6.49,2044900,6.441997
2015-09-21,6.95,7.10,6.85,6.85,2260700,6.799334
2015-09-18,7.12,7.24,6.90,7.10,5969700,7.047485
2015-09-17,6.74,7.05,6.62,6.93,4010300,6.878742
2015-09-16,6.48,6.86,6.45,6.84,3090500,6.789408
2015-09-15,6.34,6.49,6.26,6.32,1914200,6.273255
2015-09-14,6.27,6.48,6.13,6.36,1950800,6.312959
2015-09-11,6.10,6.34,5.95,6.30,2563700,6.253402
2015-09-10,6.40,6.45,6.15,6.16,2148200,6.114438
2015-09-09,6.60,6.75,6.29,6.30,2000400,6.253402
2015-09-08,6.67,6.83,6.57,6.69,1462400,6.640518
2015-09-04,6.60,6.70,6.45,6.62,1760000,6.571035
2015-09-03,6.60,7.06,6.58,6.67,2152800,6.620666
2015-09-02,6.75,6.91,6.61,6.74,2444300,6.690148
2015-09-01,6.90,7.10,6.71,6.75,2447300,6.700074
2015-08-31,6.94,6.97,6.56,6.93,2758100,6.878742
2015-08-28,6.31,6.83,6.29,6.73,3422300,6.680222
2015-08-27,5.96,6.37,5.93,6.29,3483700,6.243476
2015-08-26,6.16,6.17,5.85,5.92,3440200,5.876213
2015-08-25,6.66,6.75,6.22,6.29,2718300,6.243476
2015-08-24,6.90,7.01,6.46,6.51,4192300,6.461849
2015-08-21,7.44,7.54,7.01,7.14,3047600,7.087189
2015-08-20,7.26,7.59,7.25,7.41,2962800,7.305562
2015-08-19,7.08,7.33,7.03,7.14,2805500,7.039367
