Date,Open,High,Low,Close,Volume,Adj Close
2016-01-22,21.469999,21.469999,21.040001,21.09,11800,21.09
2016-01-21,20.75,20.93,20.66,20.700001,3800,20.700001
2016-01-20,20.370001,20.65,20.02,20.65,7600,20.65
2016-01-19,21.07,21.120001,20.83,20.84,3800,20.84
2016-01-15,20.83,20.870001,20.530001,20.870001,1600,20.870001
2016-01-14,21.459999,21.469999,21.459999,21.469999,600,21.469999
2016-01-13,21.450001,21.48,20.959999,20.959999,17900,20.959999
2016-01-12,21.49,21.49,21.35,21.43,900,21.43
2016-01-11,21.98,21.98,21.18,21.360001,11200,21.360001
2016-01-08,21.559999,21.57,21.559999,21.57,1600,21.57
2016-01-07,21.790001,21.93,21.52,21.52,3100,21.52
2016-01-06,22.49,22.49,22.059999,22.07,1600,22.07
2016-01-05,23.00,23.00,22.610001,22.719999,31100,22.719999
2016-01-04,22.629999,22.84,22.52,22.74,6900,22.74
2015-12-31,23.41,23.41,23.07,23.18,37100,23.18
2015-12-30,23.34,23.41,23.26,23.309999,13400,23.309999
2015-12-29,23.41,23.469999,23.41,23.469999,2700,23.469999
2015-12-28,23.49,23.49,23.190001,23.24,7600,23.24
2015-12-24,23.709999,23.709999,23.49,23.629999,3300,23.629999
2015-12-23,23.16,23.57,23.16,23.57,2800,23.57
2015-12-22,22.66,23.16,22.66,23.139999,59000,23.139999
2015-12-21,22.77,22.790001,22.530001,22.59,15200,22.59
2015-12-18,22.620001,22.98,22.620001,22.790001,7500,22.790001
2015-12-17,23.32,23.32,22.92,22.92,11200,22.773999
2015-12-16,23.18,23.25,23.040001,23.25,5100,23.101897
2015-12-15,23.02,23.02,22.90,22.950001,6200,22.803809
2015-12-14,22.60,22.67,22.59,22.67,1100,22.525592
2015-12-11,23.200001,23.200001,22.969999,22.969999,3100,22.82368
2015-12-10,23.610001,23.65,23.469999,23.51,3600,23.360241
2015-12-09,23.799999,23.799999,23.459999,23.60,4100,23.449668
2015-12-08,23.719999,23.73,23.52,23.52,1100,23.370178
2015-12-07,23.99,24.059999,23.879999,24.059999,5200,23.906737
2015-12-04,23.98,24.209999,23.98,24.209999,700,24.055781
2015-12-03,24.16,24.18,23.969999,24.00,36400,23.84712
2015-12-02,24.23,24.27,24.040001,24.040001,13700,23.886866
2015-12-01,24.459999,24.59,24.42,24.59,7400,24.433362
2015-11-30,23.99,24.370001,23.99,24.02,23000,23.866993
2015-11-27,24.34,24.34,24.34,24.34,000,24.184954
2015-11-25,24.32,24.34,24.23,24.34,3900,24.184954
2015-11-24,23.969999,24.25,23.969999,24.25,800,24.095527
2015-11-23,23.959999,24.139999,23.959999,24.10,2000,23.946483
2015-11-20,24.25,24.280001,23.959999,23.98,4400,23.827247
2015-11-19,24.18,24.360001,24.18,24.190001,2300,24.03591
2015-11-18,24.02,24.219999,24.02,24.219999,700,24.065718
2015-11-17,24.23,24.23,24.139999,24.139999,600,23.986227
2015-11-16,23.98,24.209999,23.98,24.209999,1000,24.055781
2015-11-13,23.969999,24.07,23.969999,24.07,600,23.916674
2015-11-12,24.139999,24.139999,23.98,23.99,4700,23.837183
2015-11-11,24.32,24.42,24.280001,24.309999,11100,24.155145
2015-11-10,24.57,24.57,24.469999,24.469999,400,24.314125
2015-11-09,24.51,24.51,24.50,24.50,1200,24.343935
2015-11-06,24.85,24.85,24.559999,24.68,2800,24.522789
2015-11-05,25.040001,25.040001,25.02,25.02,500,24.860623
2015-11-04,25.07,25.07,25.07,25.07,1100,24.910304
2015-11-03,25.200001,25.450001,25.18,25.450001,2400,25.287884
2015-11-02,25.01,25.23,25.01,25.200001,5100,25.039477
2015-10-30,25.16,25.16,25.16,25.16,000,24.99973
2015-10-29,25.16,25.16,25.16,25.16,400,24.99973
2015-10-28,25.49,25.91,25.379999,25.379999,1700,25.218328
2015-10-27,25.35,25.450001,25.24,25.33,4000,25.168648
2015-10-26,25.76,25.76,25.76,25.76,000,25.595909
