Date,Open,High,Low,Close,Volume,Adj Close
2016-01-22,17.450001,17.50,17.450001,17.50,19700,17.50
2016-01-21,17.879999,17.879999,17.879999,17.879999,000,17.879999
2016-01-20,17.799999,17.879999,17.40,17.879999,1000,17.879999
2016-01-19,17.83,17.83,17.83,17.83,200,17.83
2016-01-15,17.75,17.799999,17.209999,17.299999,1700,17.299999
2016-01-14,17.639999,18.00,17.25,18.00,2000,18.00
2016-01-13,17.219999,17.219999,17.219999,17.219999,100,17.219999
2016-01-12,17.969999,17.969999,17.879999,17.879999,400,17.879999
2016-01-11,17.959999,18.00,17.91,17.91,3600,17.91
2016-01-08,17.700001,17.700001,17.700001,17.700001,000,17.700001
2016-01-07,17.700001,17.75,17.65,17.700001,1600,17.700001
2016-01-06,17.540001,18.85,17.540001,17.90,17000,17.90
2016-01-05,17.49,17.49,17.49,17.49,400,17.49
2016-01-04,17.25,17.25,17.10,17.10,800,17.10
2015-12-31,17.10,17.309999,17.040001,17.10,6700,17.10
2015-12-30,17.00,17.00,17.00,17.00,000,17.00
2015-12-29,17.00,17.00,17.00,17.00,1000,17.00
2015-12-28,16.50,17.00,16.25,17.00,3700,17.00
2015-12-24,17.030001,17.030001,17.01,17.01,500,17.01
2015-12-23,17.25,17.299999,17.00,17.290001,8400,17.290001
2015-12-22,17.00,17.049999,16.90,16.950001,1000,16.950001
2015-12-21,16.85,17.16,16.85,16.879999,14600,16.879999
2015-12-18,16.799999,16.85,16.799999,16.85,2600,16.85
2015-12-17,16.799999,16.799999,16.75,16.780001,2100,16.780001
2015-12-16,16.75,16.75,16.75,16.75,000,16.75
2015-12-15,16.75,16.75,16.75,16.75,600,16.75
2015-12-14,16.75,16.75,16.75,16.75,000,16.75
2015-12-11,16.75,16.90,16.75,16.75,5600,16.75
2015-12-10,16.799999,16.799999,16.799999,16.799999,300,16.799999
2015-12-09,16.799999,16.90,16.75,16.90,2500,16.90
2015-12-08,16.75,16.75,16.75,16.75,700,16.75
2015-12-07,16.76,16.76,16.76,16.76,000,16.76
2015-12-04,16.76,16.76,16.75,16.76,400,16.76
2015-12-03,16.75,16.75,16.75,16.75,300,16.75
2015-12-02,16.60,16.76,16.60,16.76,800,16.76
2015-12-01,16.60,16.60,16.60,16.60,000,16.60
2015-11-30,16.780001,16.780001,16.60,16.60,1200,16.60
2015-11-27,16.59,16.59,16.59,16.59,000,16.59
2015-11-25,16.75,16.75,16.59,16.59,13500,16.59
2015-11-24,16.50,16.50,16.459999,16.50,6700,16.50
2015-11-23,16.25,16.50,16.25,16.50,600,16.50
2015-11-20,16.50,16.50,16.50,16.50,1700,16.50
2015-11-19,16.280001,16.280001,16.280001,16.280001,000,16.280001
2015-11-18,16.469999,16.50,16.280001,16.280001,600,16.280001
2015-11-17,16.25,16.25,16.25,16.25,000,16.25
2015-11-16,16.25,16.25,16.200001,16.25,1700,16.25
2015-11-13,16.059999,16.059999,16.059999,16.059999,400,16.059999
2015-11-12,16.01,16.01,16.01,16.01,000,16.01
2015-11-11,16.01,16.01,16.01,16.01,200,16.01
2015-11-10,15.80,15.85,15.75,15.75,4600,15.75
2015-11-09,15.81,15.86,15.80,15.80,2000,15.80
2015-11-06,16.00,16.00,15.85,15.85,4000,15.85
2015-11-05,15.89,15.94,15.75,15.75,3000,15.75
2015-11-04,15.90,15.90,15.90,15.90,000,15.84
2015-11-03,15.95,16.00,15.90,15.90,2500,15.84
2015-11-02,15.76,15.85,15.75,15.85,1000,15.790189
2015-10-30,15.80,15.80,15.75,15.75,500,15.690566
2015-10-29,15.80,15.80,15.80,15.80,100,15.740378
2015-10-28,15.85,15.85,15.85,15.85,000,15.790189
2015-10-27,15.99,15.99,15.85,15.85,600,15.790189
2015-10-26,15.82,15.82,15.82,15.82,500,15.760302
2015-10-23,15.70,15.75,15.70,15.75,2200,15.690566
2015-10-22,15.60,15.60,15.60,15.60,000,15.541133
2015-10-21,15.56,15.60,15.53,15.60,5700,15.541133
2015-10-20,15.62,15.62,15.58,15.61,2000,15.551094
2015-10-19,15.62,15.62,15.56,15.56,2100,15.501284
2015-10-16,15.62,15.62,15.61,15.61,300,15.551094
2015-10-15,15.93,15.93,15.62,15.62,500,15.561057
2015-10-14,15.62,15.62,15.60,15.60,10800,15.541133
2015-10-13,15.72,15.73,15.72,15.73,2400,15.670641
2015-10-12,15.85,15.85,15.85,15.85,800,15.790189
2015-10-09,15.55,15.55,15.55,15.55,400,15.491321
2015-10-08,15.80,15.80,15.80,15.80,100,15.740378
2015-10-07,16.00,16.00,15.60,15.60,400,15.541133
2015-10-06,15.51,15.51,15.51,15.51,000,15.451472
2015-10-05,15.51,15.51,15.51,15.51,000,15.451472
2015-10-02,15.51,15.51,15.51,15.51,500,15.451472
2015-10-01,15.50,15.50,15.50,15.50,000,15.44151
2015-09-30,15.51,15.51,15.50,15.50,400,15.44151
2015-09-29,15.55,15.55,15.55,15.55,000,15.491321
2015-09-28,15.55,15.55,15.55,15.55,300,15.491321
2015-09-25,15.50,15.50,15.50,15.50,300,15.44151
2015-09-24,15.50,15.51,15.50,15.50,2000,15.44151
2015-09-23,15.65,15.65,15.65,15.65,1500,15.590943
2015-09-22,15.65,15.65,15.65,15.65,000,15.590943
2015-09-21,15.68,15.70,15.65,15.65,1400,15.590943
2015-09-18,15.83,15.85,15.65,15.65,7700,15.590943
2015-09-17,15.66,15.66,15.66,15.66,000,15.600906
2015-09-16,15.70,15.70,15.65,15.66,800,15.600906
2015-09-15,15.74,15.75,15.66,15.74,2000,15.680604
2015-09-14,15.66,15.66,15.66,15.66,000,15.600906
2015-09-11,15.66,15.66,15.66,15.66,000,15.600906
2015-09-10,15.67,15.67,15.66,15.66,500,15.600906
2015-09-09,16.50,16.50,16.50,16.50,000,16.437736
2015-09-08,15.63,16.50,15.63,16.50,400,16.437736
2015-09-04,15.63,15.63,15.63,15.63,000,15.571019
2015-09-03,15.63,15.63,15.63,15.63,000,15.571019
2015-09-02,15.63,15.63,15.63,15.63,100,15.571019
2015-09-01,15.50,15.50,15.50,15.50,300,15.44151
2015-08-31,15.43,15.43,15.43,15.43,100,15.371774
2015-08-28,15.45,16.35,15.45,16.35,300,16.288303
2015-08-27,15.98,15.98,15.98,15.98,100,15.919698
2015-08-26,15.65,15.65,15.41,15.41,1300,15.351849
2015-08-25,15.60,15.65,15.35,15.35,6300,15.292076
2015-08-24,15.55,15.55,15.55,15.55,3500,15.491321
2015-08-21,15.55,15.55,15.55,15.55,200,15.491321
2015-08-20,15.60,15.74,15.55,15.55,7200,15.491321
2015-08-19,15.57,15.75,15.55,15.56,2700,15.501284
2015-08-18,15.66,15.66,15.66,15.66,000,15.600906
2015-08-17,15.66,15.66,15.66,15.66,000,15.600906
2015-08-14,15.80,15.80,15.66,15.66,10300,15.600906
2015-08-13,15.44,15.44,15.44,15.44,000,15.381736
2015-08-12,15.44,15.44,15.44,15.44,000,15.381736
2015-08-11,15.47,15.47,15.44,15.44,1600,15.381736
2015-08-10,15.58,15.58,15.58,15.58,000,15.521208
2015-08-07,15.50,15.58,15.44,15.58,1600,15.521208
2015-08-06,15.52,15.71,15.50,15.71,600,15.650717
2015-08-05,15.50,15.58,15.50,15.58,2100,15.521208
2015-08-04,15.55,15.65,15.55,15.65,1200,15.590943
2015-08-03,15.55,15.55,15.55,15.55,100,15.491321
2015-07-31,15.70,15.71,15.58,15.58,1600,15.521208
2015-07-30,15.65,15.65,15.65,15.65,1400,15.590943
2015-07-29,15.71,15.71,15.71,15.71,600,15.590944
2015-07-28,16.09,16.15,15.70,15.70,3700,15.581019
2015-07-27,15.64,16.40,15.60,15.60,800,15.481778
2015-07-24,15.75,15.75,15.75,15.75,000,15.630641
2015-07-23,15.76,15.77,15.75,15.75,1500,15.630641
2015-07-22,15.66,15.75,15.66,15.75,800,15.630641
2015-07-21,15.56,15.56,15.56,15.56,000,15.442081
2015-07-20,15.59,15.60,15.56,15.56,2000,15.442081
2015-07-17,15.50,15.50,15.50,15.50,1000,15.382535
2015-07-16,15.78,15.78,15.52,15.52,500,15.402384
2015-07-15,15.65,15.73,15.65,15.73,10100,15.610792
2015-07-14,15.55,15.60,15.55,15.56,13500,15.442081
2015-07-13,15.64,15.64,15.64,15.64,000,15.521475
2015-07-10,15.64,15.64,15.64,15.64,200,15.521475
2015-07-09,15.65,15.69,15.50,15.50,5800,15.382535
2015-07-08,15.50,15.55,15.50,15.50,4700,15.382535
2015-07-07,15.50,15.50,15.50,15.50,200,15.382535
2015-07-06,15.50,15.50,15.50,15.50,900,15.382535
2015-07-02,15.37,15.37,15.36,15.37,500,15.25352
2015-07-01,15.40,15.65,15.40,15.65,8700,15.531398
2015-06-30,15.25,15.33,15.25,15.33,1200,15.213823
2015-06-29,15.36,15.36,15.25,15.25,2500,15.13443
2015-06-26,15.25,15.35,15.25,15.30,1600,15.184051
2015-06-25,15.26,15.28,15.26,15.28,300,15.164202
2015-06-24,15.43,15.46,15.25,15.26,36600,15.144354
2015-06-23,15.55,15.68,15.30,15.68,6400,15.561171
2015-06-22,15.49,15.50,15.30,15.30,1400,15.184051
2015-06-19,15.70,15.99,15.25,15.50,4400,15.382535
2015-06-18,15.24,15.24,15.24,15.24,100,15.124505
2015-06-17,15.25,15.50,15.15,15.50,2400,15.382535
2015-06-16,15.25,15.35,15.12,15.35,5100,15.233672
2015-06-15,15.10,15.25,15.10,15.25,5100,15.13443
2015-06-12,15.20,15.20,15.20,15.20,2000,15.084809
2015-06-11,15.33,15.61,15.30,15.30,5400,15.184051
2015-06-10,15.35,15.35,15.35,15.35,000,15.233672
2015-06-09,15.20,15.36,15.20,15.35,7300,15.233672
2015-06-08,15.40,15.40,15.40,15.40,100,15.283293
2015-06-05,15.44,15.44,15.44,15.44,000,15.32299
2015-06-04,15.44,15.44,15.44,15.44,000,15.32299
2015-06-03,15.42,15.46,15.40,15.44,4100,15.32299
2015-06-02,15.40,15.40,15.40,15.40,200,15.283293
2015-06-01,15.85,15.95,15.85,15.93,900,15.809277
2015-05-29,15.44,15.44,15.44,15.44,000,15.32299
2015-05-28,15.44,15.44,15.44,15.44,000,15.32299
2015-05-27,15.45,15.95,15.35,15.44,900,15.32299
2015-05-26,15.19,15.19,15.19,15.19,000,15.074884
2015-05-22,15.19,15.19,15.19,15.19,000,15.074884
2015-05-21,15.19,15.19,15.19,15.19,000,15.074884
2015-05-20,15.19,15.19,15.19,15.19,000,15.074884
2015-05-19,15.45,15.95,15.19,15.19,1600,15.074884
2015-05-18,15.47,15.47,15.47,15.47,000,15.352763
2015-05-15,15.45,15.47,15.45,15.47,600,15.352763
2015-05-14,15.95,15.95,15.52,15.52,200,15.402384
2015-05-13,15.52,15.52,15.45,15.45,2300,15.332914
2015-05-12,15.52,15.52,15.45,15.45,2100,15.332914
2015-05-11,15.69,15.69,15.69,15.69,000,15.571095
2015-05-08,16.00,16.00,15.50,15.69,6600,15.571095
2015-05-07,15.75,15.75,15.75,15.75,000,15.630641
2015-05-06,15.75,15.75,15.75,15.75,000,15.571095
2015-05-05,15.75,15.75,15.75,15.75,000,15.571095
2015-05-04,15.75,15.75,15.75,15.75,000,15.571095
2015-05-01,15.75,15.75,15.75,15.75,000,15.571095
2015-04-30,15.75,15.75,15.75,15.75,000,15.571095
2015-04-29,15.75,15.75,15.75,15.75,000,15.571095
2015-04-28,15.75,15.75,15.75,15.75,000,15.571095
2015-04-27,15.75,15.75,15.75,15.75,000,15.571095
2015-04-24,15.75,15.75,15.75,15.75,200,15.571095
2015-04-23,15.75,15.75,15.75,15.75,1000,15.571095
2015-04-22,16.00,16.00,15.74,16.00,3200,15.818255
2015-04-21,15.50,15.50,15.50,15.50,000,15.323935
2015-04-20,15.55,15.55,15.50,15.50,900,15.323935
2015-04-17,15.50,15.50,15.50,15.50,000,15.323935
2015-04-16,15.50,15.50,15.50,15.50,000,15.323935
2015-04-15,15.50,15.50,15.50,15.50,000,15.323935
2015-04-14,15.50,15.50,15.50,15.50,000,15.323935
2015-04-13,15.50,15.50,15.50,15.50,000,15.323935
2015-04-10,15.50,15.50,15.50,15.50,000,15.323935
2015-04-09,15.45,15.50,15.45,15.50,1000,15.323935
2015-04-08,15.55,15.55,15.55,15.55,100,15.373367
2015-04-07,15.66,15.66,15.49,15.50,1600,15.323935
2015-04-06,15.50,15.56,15.48,15.56,4800,15.383254
2015-04-02,15.26,15.26,15.26,15.26,100,15.086661
2015-04-01,15.35,15.35,15.35,15.35,1200,15.175639
2015-03-31,15.35,15.35,15.35,15.35,2100,15.175639
2015-03-30,15.31,15.35,15.30,15.35,300,15.175639
2015-03-27,15.30,15.30,15.30,15.30,000,15.126207
2015-03-26,15.30,15.30,15.30,15.30,000,15.126207
2015-03-25,15.30,15.31,15.29,15.30,3200,15.126207
2015-03-24,15.29,15.30,15.25,15.25,5000,15.076775
2015-03-23,15.38,15.38,15.20,15.30,1600,15.126207
2015-03-20,15.35,15.37,15.21,15.21,1400,15.037229
2015-03-19,15.22,15.22,15.22,15.22,000,15.047116
2015-03-18,15.11,15.50,15.11,15.22,2300,15.047116
2015-03-17,15.11,15.11,15.11,15.11,000,14.938365
2015-03-16,15.11,15.11,15.11,15.11,100,14.938365
2015-03-13,15.11,15.11,15.11,15.11,000,14.938365
2015-03-12,15.11,15.11,15.11,15.11,000,14.938365
2015-03-11,15.05,15.11,15.05,15.11,6000,14.938365
2015-03-10,15.09,15.12,14.95,15.10,32100,14.928479
2015-03-09,15.10,15.10,15.08,15.08,1300,14.908706
2015-03-06,15.00,15.00,15.00,15.00,000,14.829614
2015-03-05,15.00,15.00,15.00,15.00,000,14.829614
2015-03-04,14.67,15.10,14.63,15.00,2500,14.829614
2015-03-03,15.09,15.09,15.09,15.09,300,14.918592
