Date,Open,High,Low,Close,Volume,Adj Close
2016-01-22,25.709999,26.200001,25.129999,25.889999,274000,25.889999
2016-01-21,25.16,26.01,25.15,25.41,218000,25.41
2016-01-20,25.030001,25.469999,24.01,25.139999,250300,25.139999
2016-01-19,26.07,26.440001,24.99,25.32,287300,25.32
2016-01-15,25.629999,26.84,25.16,25.709999,212400,25.709999
2016-01-14,26.15,26.43,25.719999,26.200001,189000,26.200001
2016-01-13,26.469999,26.90,25.84,25.99,209900,25.99
2016-01-12,27.030001,27.030001,25.559999,26.459999,498200,26.459999
2016-01-11,27.26,27.49,26.76,26.870001,246400,26.870001
2016-01-08,27.84,27.90,27.129999,27.24,286400,27.24
2016-01-07,28.639999,28.73,27.59,27.809999,366600,27.809999
2016-01-06,29.370001,29.59,28.870001,29.10,211900,29.10
2016-01-05,29.43,29.90,29.26,29.719999,204500,29.719999
2016-01-04,29.860001,30.030001,29.24,29.389999,316900,29.389999
2015-12-31,30.940001,30.940001,30.219999,30.24,295400,30.24
2015-12-30,31.469999,31.780001,30.940001,30.98,166900,30.98
2015-12-29,31.48,31.719999,31.299999,31.559999,139200,31.559999
2015-12-28,31.209999,31.549999,30.940001,31.299999,113800,31.299999
2015-12-24,31.040001,31.469999,30.879999,31.290001,69500,31.290001
2015-12-23,30.68,31.02,30.469999,30.99,134400,30.99
2015-12-22,30.139999,30.700001,30.040001,30.52,198600,30.52
2015-12-21,30.49,31.219999,29.84,30.120001,229800,30.120001
2015-12-18,31.10,31.280001,30.219999,30.35,588900,30.35
2015-12-17,31.18,31.440001,30.860001,31.280001,206600,31.280001
2015-12-16,30.73,31.17,30.33,31.049999,267300,31.049999
2015-12-15,30.48,30.73,30.280001,30.559999,207100,30.559999
2015-12-14,30.389999,30.59,30.02,30.290001,250200,30.290001
2015-12-11,30.780001,31.10,30.549999,30.690001,208300,30.315001
2015-12-10,31.59,31.950001,30.76,31.23,238700,30.848402
2015-12-09,31.879999,32.330002,31.620001,31.67,137900,31.283026
2015-12-08,31.950001,32.240002,31.74,31.98,103000,31.589237
2015-12-07,32.639999,32.639999,31.790001,32.18,143000,31.786794
2015-12-04,32.330002,32.84,32.310001,32.650002,127200,32.251053
2015-12-03,33.189999,33.380001,32.32,32.34,152100,31.944839
2015-12-02,33.740002,33.830002,33.049999,33.119999,114400,32.715307
2015-12-01,33.509998,33.779999,33.32,33.73,133600,33.317854
2015-11-30,34.110001,34.240002,33.389999,33.419998,249300,33.011641
2015-11-27,33.66,34.139999,33.509998,34.080002,66900,33.66358
2015-11-25,33.43,33.849998,33.259998,33.700001,104200,33.288222
2015-11-24,32.869999,33.619999,32.869999,33.439999,175400,33.031397
2015-11-23,32.91,33.720001,32.91,33.040001,118100,32.636287
2015-11-20,32.75,33.169998,32.619999,32.990002,159100,32.586898
2015-11-19,32.630001,32.799999,32.220001,32.540001,158400,32.142396
2015-11-18,32.669998,32.759998,32.209999,32.68,231100,32.280685
2015-11-17,32.27,32.84,32.23,32.549999,142800,32.152272
2015-11-16,32.00,32.400002,31.959999,32.400002,109700,32.004107
2015-11-13,32.00,32.32,31.690001,32.049999,151700,31.658382
2015-11-12,32.84,33.040001,32.00,32.040001,159400,31.648506
2015-11-11,33.080002,33.209999,32.689999,33.080002,158700,32.675799
2015-11-10,33.049999,33.119999,32.599998,33.040001,218000,32.636287
2015-11-09,32.900002,33.150002,32.310001,33.080002,284900,32.675799
2015-11-06,32.91,32.990002,32.349998,32.689999,452300,32.290561
2015-11-05,32.490002,33.27,32.209999,33.189999,208100,32.784452
2015-11-04,32.830002,32.93,32.299999,32.380001,268300,31.984351
2015-11-03,32.509998,33.060001,32.48,32.790001,278500,32.389341
2015-11-02,31.200001,32.68,31.120001,32.630001,335400,32.231297
2015-10-30,31.40,31.620001,31.18,31.24,307100,30.85828
2015-10-29,30.67,31.389999,30.370001,31.309999,308000,30.927424
2015-10-28,29.00,30.75,28.879999,30.74,465100,30.364389
2015-10-27,29.120001,29.540001,28.719999,29.09,382200,28.734551
2015-10-26,29.59,32.009998,29.15,29.309999,150300,28.951862
2015-10-23,29.950001,30.00,29.24,29.58,154100,29.218563
2015-10-22,29.26,29.940001,29.26,29.780001,140500,29.41612
2015-10-21,29.530001,29.65,29.209999,29.24,114300,28.882718
2015-10-20,29.530001,29.690001,29.42,29.559999,156700,29.198807
2015-10-19,29.360001,29.610001,29.27,29.60,106400,29.238319
2015-10-16,29.76,30.040001,29.469999,29.49,131700,29.129663
2015-10-15,29.700001,29.75,29.27,29.709999,112600,29.346974
2015-10-14,29.709999,29.969999,29.57,29.639999,129000,29.27783
2015-10-13,29.860001,30.139999,29.40,29.77,156400,29.406242
2015-10-12,30.059999,30.139999,29.82,30.02,224200,29.653188
2015-10-09,30.639999,32.02,29.889999,30.059999,322500,29.692698
2015-10-08,30.040001,30.23,29.68,30.07,265300,29.702576
2015-10-07,29.610001,30.139999,29.389999,30.120001,459200,29.751966
2015-10-06,29.66,29.85,29.40,29.49,154500,29.129663
2015-10-05,28.98,29.75,28.98,29.719999,226300,29.356852
2015-10-02,28.09,28.68,28.00,28.68,229900,28.329561
2015-10-01,28.73,28.879999,28.120001,28.280001,262700,27.934449
2015-09-30,28.940001,29.01,28.43,28.790001,281500,28.438217
2015-09-29,28.799999,29.09,28.40,28.540001,216500,28.191272
2015-09-28,29.139999,29.34,28.74,28.799999,183100,28.448093
2015-09-25,29.82,29.91,29.18,29.23,271700,28.87284
2015-09-24,30.00,30.10,29.40,29.620001,209800,29.258075
2015-09-23,30.49,30.60,30.059999,30.129999,118500,29.761842
2015-09-22,30.700001,31.02,30.389999,30.42,206300,30.0483
2015-09-21,31.02,31.09,30.75,30.879999,186700,30.502678
2015-09-18,30.83,31.200001,30.700001,30.790001,356400,30.413779
2015-09-17,31.18,31.780001,31.08,31.18,465100,30.799013
2015-09-16,30.690001,31.24,30.68,31.15,278000,30.769379
2015-09-15,31.18,31.200001,30.700001,30.780001,324800,30.403901
2015-09-14,31.57,31.57,31.07,31.24,199800,30.85828
2015-09-11,31.76,31.940001,31.52,31.860001,288900,31.100287
2015-09-10,31.690001,32.18,31.57,31.90,232700,31.139332
2015-09-09,32.509998,32.810001,31.629999,31.719999,211200,30.963624
2015-09-08,32.549999,32.619999,32.150002,32.299999,279500,31.529794
2015-09-04,32.509998,32.91,32.099998,32.25,85400,31.480987
2015-09-03,33.110001,33.240002,32.799999,32.830002,177600,32.047158
2015-09-02,33.009998,33.150002,32.669998,33.130001,160600,32.340004
2015-09-01,32.540001,33.040001,32.540001,32.82,294000,32.037395
