Date,Open,High,Low,Close,Volume,Adj Close
2016-01-22,18.84,19.030001,18.84,19.030001,400,19.030001
2016-01-21,18.60,18.60,18.60,18.60,200,18.60
2016-01-20,18.51,19.34,18.50,18.60,5400,18.60
2016-01-19,18.74,18.74,18.639999,18.65,9800,18.65
2016-01-15,19.190001,19.190001,18.67,18.67,1000,18.67
2016-01-14,18.700001,19.219999,18.700001,19.219999,2000,19.219999
2016-01-13,18.59,18.76,18.59,18.700001,9400,18.700001
2016-01-12,18.549999,18.75,18.549999,18.66,6900,18.66
2016-01-11,18.60,19.049999,18.549999,18.700001,84200,18.700001
2016-01-08,19.049999,19.35,18.60,18.60,14600,18.60
2016-01-07,18.60,19.299999,18.549999,19.00,25100,19.00
2016-01-06,18.379999,18.950001,18.280001,18.700001,13300,18.700001
2016-01-05,18.780001,18.959999,18.77,18.90,13700,18.90
2016-01-04,19.10,19.129999,19.10,19.129999,6800,19.129999
2015-12-31,19.35,19.35,19.32,19.34,800,19.34
2015-12-30,19.209999,19.209999,19.209999,19.209999,000,19.209999
2015-12-29,19.209999,19.209999,19.209999,19.209999,300,19.209999
2015-12-28,19.23,19.23,19.23,19.23,200,19.23
2015-12-24,19.35,19.35,19.35,19.35,000,19.35
2015-12-23,19.35,19.35,19.35,19.35,000,19.35
2015-12-22,19.16,19.35,19.16,19.35,1500,19.35
2015-12-21,19.25,19.440001,19.25,19.440001,500,19.440001
2015-12-18,19.200001,19.450001,19.200001,19.450001,1300,19.450001
2015-12-17,19.34,19.34,19.34,19.34,400,19.34
2015-12-16,19.110001,19.33,19.10,19.299999,1700,19.299999
2015-12-15,19.450001,19.450001,19.41,19.440001,1100,19.440001
2015-12-14,19.10,19.139999,19.10,19.139999,600,19.139999
2015-12-11,19.10,19.10,19.10,19.10,400,19.10
2015-12-10,19.10,19.10,19.10,19.10,200,19.10
2015-12-09,19.190001,19.190001,19.190001,19.190001,000,19.190001
2015-12-08,19.190001,19.190001,19.190001,19.190001,000,19.190001
2015-12-07,19.440001,19.440001,19.190001,19.190001,1500,19.190001
2015-12-04,19.059999,19.450001,19.059999,19.440001,700,19.440001
2015-12-03,19.450001,19.450001,19.299999,19.43,2100,19.43
2015-12-02,19.35,19.35,19.26,19.26,400,19.26
2015-12-01,19.40,19.40,19.10,19.10,1700,19.10
2015-11-30,19.24,19.24,19.110001,19.110001,2000,19.030001
2015-11-27,19.00,19.43,19.00,19.01,1900,18.930419
2015-11-25,19.00,19.00,19.00,19.00,1100,18.920461
2015-11-24,18.90,18.90,18.90,18.90,000,18.820879
2015-11-23,18.85,19.299999,18.85,18.90,1700,18.820879
2015-11-20,18.67,19.200001,18.67,19.200001,300,19.119624
2015-11-19,18.66,18.969999,18.66,18.969999,1800,18.890586
2015-11-18,18.620001,18.620001,18.620001,18.620001,000,18.542052
2015-11-17,18.620001,18.620001,18.620001,18.620001,400,18.542052
2015-11-16,18.83,18.83,18.83,18.83,400,18.751172
2015-11-13,18.66,18.66,18.65,18.65,1200,18.571926
2015-11-12,18.77,18.77,18.65,18.65,3300,18.571926
2015-11-11,19.450001,19.450001,18.780001,18.780001,4800,18.701382
2015-11-10,19.17,19.17,19.17,19.17,000,19.089749
2015-11-09,18.66,19.440001,18.65,19.17,3600,19.089749
2015-11-06,18.639999,18.969999,18.639999,18.76,3400,18.681466
2015-11-05,18.959999,19.33,18.629999,18.889999,4300,18.810921
2015-11-04,19.370001,19.41,18.799999,19.190001,1900,19.109666
2015-11-03,19.33,19.440001,18.959999,18.959999,5100,18.880627
2015-11-02,19.200001,19.26,19.049999,19.07,17200,18.990167
2015-10-30,19.24,19.450001,19.049999,19.209999,3500,19.129581
2015-10-29,18.68,19.450001,18.68,19.43,4400,19.348661
2015-10-28,18.540001,18.77,18.540001,18.68,1400,18.601801
2015-10-27,18.879999,18.879999,18.549999,18.549999,3500,18.472344
2015-10-26,18.559999,18.75,18.50,18.65,18100,18.571926
2015-10-23,18.57,18.57,18.450001,18.450001,19600,18.372764
2015-10-22,18.57,18.57,18.33,18.459999,20200,18.38272
2015-10-21,18.58,18.58,18.58,18.58,300,18.502219
2015-10-20,18.50,18.66,18.43,18.60,78700,18.522136
2015-10-19,18.360001,18.51,18.00,18.35,6600,18.273182
2015-10-16,17.83,17.83,17.83,17.83,100,17.755359
2015-10-15,17.559999,18.379999,17.51,18.360001,7100,18.283141
2015-10-14,17.99,18.09,17.99,18.059999,5000,17.984395
2015-10-13,17.950001,18.290001,17.950001,18.09,600,18.01427
2015-10-12,17.42,17.99,17.40,17.99,1900,17.914689
2015-10-09,17.50,17.50,17.50,17.50,000,17.42674
2015-10-08,17.35,17.57,17.35,17.50,2400,17.42674
2015-10-07,17.60,17.60,17.35,17.35,500,17.277369
2015-10-06,17.40,17.40,17.35,17.35,1600,17.277369
2015-10-05,17.42,17.639999,17.35,17.620001,4200,17.546239
2015-10-02,17.85,17.85,17.40,17.40,900,17.327158
2015-10-01,17.24,17.50,17.24,17.50,300,17.42674
2015-09-30,17.50,17.50,17.50,17.50,500,17.42674
2015-09-29,17.190001,17.50,17.15,17.50,2000,17.42674
2015-09-28,17.59,17.59,17.59,17.59,000,17.516364
2015-09-25,17.42,17.67,17.33,17.59,10000,17.516364
2015-09-24,17.18,17.40,17.18,17.40,4900,17.327158
2015-09-23,17.24,17.92,17.16,17.92,1200,17.844982
2015-09-22,18.01,18.049999,17.99,17.99,17100,17.914689
2015-09-21,16.030001,18.09,16.030001,18.09,1000,18.01427
2015-09-18,18.219999,18.219999,17.809999,18.219999,3700,18.143725
2015-09-17,18.040001,18.040001,18.040001,18.040001,200,17.964481
2015-09-16,18.370001,18.40,18.370001,18.40,1600,18.322972
2015-09-15,18.389999,18.99,18.110001,18.16,3100,18.083977
2015-09-14,18.50,18.50,18.15,18.209999,1000,18.133767
2015-09-11,18.25,18.870001,18.200001,18.870001,700,18.791006
2015-09-10,18.870001,18.870001,18.870001,18.870001,000,18.791006
2015-09-09,18.10,18.870001,18.10,18.870001,300,18.791006
2015-09-08,18.219999,18.469999,18.219999,18.280001,1800,18.203476
2015-09-04,18.620001,18.620001,18.48,18.48,600,18.402637
2015-09-03,18.59,18.959999,18.48,18.959999,1500,18.880627
2015-09-02,18.940001,19.450001,18.559999,18.559999,700,18.482302
2015-09-01,19.32,19.32,18.75,19.059999,500,18.980209
2015-08-31,18.50,18.50,18.50,18.50,200,18.342888
2015-08-28,18.15,19.450001,18.15,19.450001,2000,19.284821
2015-08-27,18.98,18.98,18.040001,18.50,2200,18.342888
2015-08-26,18.16,19.139999,18.16,18.77,500,18.610596
2015-08-25,19.059999,19.059999,19.059999,19.059999,300,18.898132
2015-08-24,19.450001,19.450001,18.299999,18.299999,2900,18.144586
2015-08-21,19.10,19.110001,19.049999,19.10,7100,18.937793
2015-08-20,19.440001,19.440001,19.049999,19.10,4700,18.937793
2015-08-19,19.040001,19.040001,19.040001,19.040001,000,18.878303
2015-08-18,19.040001,19.040001,19.040001,19.040001,000,18.878303
2015-08-17,19.40,19.40,19.040001,19.040001,400,18.878303
2015-08-14,19.15,19.280001,19.10,19.120001,2400,18.957624
2015-08-13,19.24,19.299999,19.07,19.07,12000,18.908047
2015-08-12,19.290001,19.48,19.00,19.16,2600,18.997283
2015-08-11,19.290001,19.290001,19.290001,19.290001,000,19.12618
2015-08-10,19.290001,19.290001,19.290001,19.290001,000,19.12618
2015-08-07,19.24,19.32,19.110001,19.290001,1600,19.12618
2015-08-06,18.75,19.10,18.50,18.98,5500,18.818811
2015-08-05,18.35,19.09,18.280001,18.60,14100,18.442039
2015-08-04,18.32,18.32,18.32,18.32,300,18.164417
2015-08-03,18.309999,18.34,18.25,18.25,3200,18.095011
2015-07-31,18.299999,18.299999,18.299999,18.299999,000,18.144586
2015-07-30,18.370001,18.42,18.26,18.299999,3700,18.144586
2015-07-29,18.82,18.82,18.82,18.82,000,18.66017
2015-07-28,18.07,18.90,18.07,18.82,4900,18.66017
2015-07-27,18.299999,18.559999,18.280001,18.50,11100,18.342888
2015-07-24,18.25,18.25,18.25,18.25,000,18.095011
